"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Full Time","12.54","8","4012","1","3","15","27","80","12.01","13.07","0","360","7","7"
"1985","Employed","Not Working","","","","","","","","","","","","","",""
"1985","Employed","Part Time","10.04","6","1203","1","2","12","22","70","9.31","10.77","0","120","5","6"
"1985","Not Employed","Full Time","","","","","","","","","","","","","",""
"1985","Not Employed","Not Working","10.91","6","123","1","2","12","32","52","8.69","13.13","1","90","5","8"
"1985","Not Employed","Part Time","","","","","","","","","","","","","",""
"1986","Employed","Full Time","","","","","","","","","","","","","",""
"1986","Employed","Not Working","","","","","","","","","","","","","",""
"1986","Employed","Part Time","","","","","","","","","","","","","",""
"1986","Not Employed","Full Time","","","","","","","","","","","","","",""
"1986","Not Employed","Not Working","","","","","","","","","","","","","",""
"1986","Not Employed","Part Time","","","","","","","","","","","","","",""
"1987","Employed","Full Time","","","","","","","","","","","","","",""
"1987","Employed","Not Working","","","","","","","","","","","","","",""
"1987","Employed","Part Time","","","","","","","","","","","","","",""
"1987","Not Employed","Full Time","","","","","","","","","","","","","",""
"1987","Not Employed","Not Working","","","","","","","","","","","","","",""
"1987","Not Employed","Part Time","","","","","","","","","","","","","",""
"1988","Employed","Full Time","","","","","","","","","","","","","",""
"1988","Employed","Not Working","","","","","","","","","","","","","",""
"1988","Employed","Part Time","","","","","","","","","","","","","",""
"1988","Not Employed","Full Time","","","","","","","","","","","","","",""
"1988","Not Employed","Not Working","","","","","","","","","","","","","",""
"1988","Not Employed","Part Time","","","","","","","","","","","","","",""
"1989","Employed","Full Time","","","","","","","","","","","","","",""
"1989","Employed","Not Working","","","","","","","","","","","","","",""
"1989","Employed","Part Time","","","","","","","","","","","","","",""
"1989","Not Employed","Full Time","","","","","","","","","","","","","",""
"1989","Not Employed","Not Working","","","","","","","","","","","","","",""
"1989","Not Employed","Part Time","","","","","","","","","","","","","",""
"1990","Employed","Full Time","14.67","10","3636","2","4","18","30","92","14.04","15.3","0","330","8","8"
"1990","Employed","Not Working","","","","","","","","","","","","","",""
"1990","Employed","Part Time","9.89","5","1048","1","2","12","22","58","8.85","10.93","0","330","5","6"
"1990","Not Employed","Full Time","","","","","","","","","","","","","",""
"1990","Not Employed","Not Working","9.78","5","87","2","4","10","20","120","6.61","12.95","1","120","4","6"
"1990","Not Employed","Part Time","","","","","","","","","","","","","",""
"1991","Employed","Full Time","","","","","","","","","","","","","",""
"1991","Employed","Not Working","","","","","","","","","","","","","",""
"1991","Employed","Part Time","","","","","","","","","","","","","",""
"1991","Not Employed","Full Time","","","","","","","","","","","","","",""
"1991","Not Employed","Not Working","","","","","","","","","","","","","",""
"1991","Not Employed","Part Time","","","","","","","","","","","","","",""
"1992","Employed","Full Time","39.43","12","622","5","8","22","50","550","31.62","47.24","1","800","12","15"
"1992","Employed","Not Working","","","","","","","","","","","","","",""
"1992","Employed","Part Time","41.08","15","143","4","7","25","60","600","21.63","60.53","2","635","12","18"
"1992","Not Employed","Full Time","","","","","","","","","","","","","",""
"1992","Not Employed","Not Working","","","","","","","","","","","","","",""
"1992","Not Employed","Part Time","","","","","","","","","","","","","",""
"1993","Employed","Full Time","12.46","8","5335","1","3","16","30","70","12.08","12.84","0","165","6","7"
"1993","Employed","Not Working","","","","","","","","","","","","","",""
"1993","Employed","Part Time","8.28","5","1506","1","1","10","20","58","7.69","8.87","0","180","4","5"
"1993","Not Employed","Full Time","","","","","","","","","","","","","",""
"1993","Not Employed","Not Working","10.04","6","150","1","2","15","25","50","8.13","11.95","0","80","5","8"
"1993","Not Employed","Part Time","","","","","","","","","","","","","",""
"1994","Employed","Full Time","","","","","","","","","","","","","",""
"1994","Employed","Not Working","","","","","","","","","","","","","",""
"1994","Employed","Part Time","","","","","","","","","","","","","",""
"1994","Not Employed","Full Time","","","","","","","","","","","","","",""
"1994","Not Employed","Not Working","","","","","","","","","","","","","",""
"1994","Not Employed","Part Time","","","","","","","","","","","","","",""
