"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","11.91","7","5338","1","3","15","26","75","11.47","12.35","0","360","6","7"
"1986","","","","","","","","","","","","","",""
"1987","","","","","","","","","","","","","",""
"1988","","","","","","","","","","","","","",""
"1989","","","","","","","","","","","","","",""
"1990","13.52","8","4771","2","4","17","30","86","12.99","14.05","0","330","7","8"
"1991","41.32","10","858","4","7","20","60","600","34.11","48.53","0","999","10","12"
"1992","39.3","12","777","5","8","22","50","550","32.11","46.49","1","800","12","15"
"1993","11.47","6","6991","1","2","15","28","70","11.15","11.79","0","180","6","6"
"1994","","","","","","","","","","","","","",""
"1995","13.57","7","7178","1","3","16","30","90","12.96","14.18","0","750","6","7"
"1996","","","","","","","","","","","","","",""
"1997","30.5","18","3214","7","10","30","54","330","28.41","32.59","1","800","16","18"
"1998","14.99","10","7161","2","4","20","35","90","14.57","15.41","0","200","8","10"
"1999","29.86","18","3729","6","10","30","50","300","28.04","31.68","2","999","16","18"
"2000","27.79","17","6428","6","10","30","50","250","26.46","29.12","1","850","16","18"
"2001","17.82","10","10944","1","3","20","35","130","16.92","18.72","1","999","10","10"
"2002","18.6","10","11594","1","3","20","35","175","17.59","19.61","0","999","10","10"
"2003","15.88","10","11357","2","4","20","35","100","15.43","16.33","0","600","10","10"
"2004","19.82","10","10596","2","4","20","36","200","18.85","20.79","0","960","10","10"
"2005","20.48","10","9941","2","4","20","40","230","19.38","21.58","1","999","10","10"
"2006","20.76","10","10608","2","4","21","40","250","19.72","21.8","1","999","10","10"
"2007","21.27","10","10050","2","4","21","40","250","20.17","22.37","1","999","10","10"
"2008","21.27","10","9663","1","4","21","40","260","20.08","22.46","1","999","10","10"
"2009","21.15","10","9010","2","4","22","40","248","19.92","22.38","1","999","10","11"
"2010","21.59","10","12303","1","4","22","40","250","20.58","22.6","1","999","10","10"
"2011","21","10","14902","1","4","22","40","220","20.09","21.91","1","999","10","10"
"2012","20.45","10","14702","1","3","22","40","200","19.54","21.36","0","999","10","10"
"2013","20.49","10","16833","1","4","21","40","250","19.72","21.26","1","999","10","10"
"2014","","","","","","","","","","","","","",""
"2015","15.67","10","14521","1","4","20","36","86","15.34","16","0","800","10","10"
"2016","","","","","","","","","","","","","",""
"2017","15.6","10","14881","2","4","20","35","85","15.29","15.91","1","700","10","10"
"2018","","","","","","","","","","","","","",""
"2019","15.28","10","14639","2","4","20","35","83","14.96","15.6","1","675","10","10"
