"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","East Germany","Female","","","","","","","","","","","","","",""
"1985","East Germany","Male","","","","","","","","","","","","","",""
"1985","West Germany","Female","9.3","5","2082","1","2","12","20","56","8.85","9.75","0","150","5","5"
"1985","West Germany","Male","13.69","8","3256","2","4","16","30","85","13.04","14.34","0","360","7","8"
"1986","East Germany","Female","","","","","","","","","","","","","",""
"1986","East Germany","Male","","","","","","","","","","","","","",""
"1986","West Germany","Female","","","","","","","","","","","","","",""
"1986","West Germany","Male","","","","","","","","","","","","","",""
"1987","East Germany","Female","","","","","","","","","","","","","",""
"1987","East Germany","Male","","","","","","","","","","","","","",""
"1987","West Germany","Female","","","","","","","","","","","","","",""
"1987","West Germany","Male","","","","","","","","","","","","","",""
"1988","East Germany","Female","","","","","","","","","","","","","",""
"1988","East Germany","Male","","","","","","","","","","","","","",""
"1988","West Germany","Female","","","","","","","","","","","","","",""
"1988","West Germany","Male","","","","","","","","","","","","","",""
"1989","East Germany","Female","","","","","","","","","","","","","",""
"1989","East Germany","Male","","","","","","","","","","","","","",""
"1989","West Germany","Female","","","","","","","","","","","","","",""
"1989","West Germany","Male","","","","","","","","","","","","","",""
"1990","East Germany","Female","","","","","","","","","","","","","",""
"1990","East Germany","Male","","","","","","","","","","","","","",""
"1990","West Germany","Female","10.38","6","1934","1","3","14","22","58","9.7","11.06","0","330","5","6"
"1990","West Germany","Male","15.72","10","2837","2","4","20","35","100","14.96","16.48","0","330","8","10"
"1991","East Germany","Female","16.3","10","299","4","6","15","25","200","12.73","19.87","0","300","9","10"
"1991","East Germany","Male","54.94","12","540","5","7","25","120","600","43.82","66.06","1","999","12","15"
"1991","West Germany","Female","","","","","","","","","","","","","",""
"1991","West Germany","Male","","","","","","","","","","","","","",""
"1992","East Germany","Female","20.13","10","295","5","7","18","30","450","12.41","27.85","1","635","10","12"
"1992","East Germany","Male","49.81","15","482","5","8","25","110","550","39.33","60.29","1","800","15","16"
"1992","West Germany","Female","","","","","","","","","","","","","",""
"1992","West Germany","Male","","","","","","","","","","","","","",""
"1993","East Germany","Female","7.48","4","961","1","1","10","20","50","6.87","8.09","0","125","3","5"
"1993","East Germany","Male","10.22","5","982","1","2","15","25","70","9.44","11","0","120","5","6"
"1993","West Germany","Female","9.47","5","2168","1","2","13","22","58","8.98","9.96","0","140","5","5"
"1993","West Germany","Male","13.97","9","2880","1","3","20","33","75","13.4","14.54","0","180","8","9"
"1994","East Germany","Female","","","","","","","","","","","","","",""
"1994","East Germany","Male","","","","","","","","","","","","","",""
"1994","West Germany","Female","","","","","","","","","","","","","",""
"1994","West Germany","Male","","","","","","","","","","","","","",""
"1995","East Germany","Female","10.51","5","956","1","2","12","22","100","9.01","12.01","0","450","4","5"
"1995","East Germany","Male","15.76","7","1010","1","2","15","26","180","12.57","18.95","0","750","6","7"
"1995","West Germany","Female","10.41","6","2253","1","2","15","25","70","9.9","10.92","0","125","5","6"
"1995","West Germany","Male","15.97","10","2959","1","3","20","39","100","15.21","16.73","0","500","8","10"
"1996","East Germany","Female","","","","","","","","","","","","","",""
"1996","East Germany","Male","","","","","","","","","","","","","",""
"1996","West Germany","Female","","","","","","","","","","","","","",""
"1996","West Germany","Male","","","","","","","","","","","","","",""
"1997","East Germany","Female","26.83","15","372","5","10","25","50","250","21.1","32.56","2","500","15","18"
"1997","East Germany","Male","39.48","18","468","6","10","30","50","450","31.19","47.77","2","540","17","20"
"1997","West Germany","Female","22.08","15","878","5","8","25","37","150","19.92","24.24","1","650","15","15"
"1997","West Germany","Male","34.12","20","1496","8","12","36","60","350","31.02","37.22","1","800","18","20"
"1998","East Germany","Female","11.38","7","941","1","3","15","25","62","10.35","12.41","1","170","6","8"
"1998","East Germany","Male","14.95","10","932","2","4","20","30","100","13.64","16.26","0","190","8","10"
"1998","West Germany","Female","12.25","8","2297","1","3","15","27","80","11.63","12.87","0","193","7","8"
"1998","West Germany","Male","17.65","11","2991","2","5","25","40","100","16.95","18.35","0","200","10","11"
"1999","East Germany","Female","24.08","15","421","6","10","25","38","250","20.25","27.91","2","400","15","16"
"1999","East Germany","Male","40.95","18","511","7","10","30","60","550","32.98","48.92","2","630","17","20"
"1999","West Germany","Female","24.1","15","1088","5","9","25","40","125","21.37","26.83","2","999","15","15"
"1999","West Germany","Male","32.09","20","1709","7","12","35","55","300","29.65","34.53","2","800","18","20"
"2000","East Germany","Female","23.62","15","639","6","9","25","40","130","19.68","27.56","2","800","15","17"
"2000","East Germany","Male","48.09","20","767","7","12","35","80","600","40.8","55.38","2","850","20","21"
"2000","West Germany","Female","20.91","15","2000","5","9","25","40","120","19.66","22.16","1","630","15","15"
"2000","West Germany","Male","29.03","20","3022","7","11","30","52","210","27.28","30.78","1","800","18","20"
"2001","East Germany","Female","14.98","8","1248","1","3","16","30","120","13.19","16.77","1","500","7","8"
"2001","East Germany","Male","32.75","11","1266","2","4","22","50","600","27.15","38.35","1","850","10","12"
"2001","West Germany","Female","12.37","7","3849","1","3","15","27","70","11.5","13.24","1","999","7","8"
"2001","West Germany","Male","19.86","11","4581","2","4","24","40","134","18.68","21.04","1","999","10","12"
"2002","East Germany","Female","14.69","8","1232","1","3","17","30","110","12.82","16.56","0","400","7","9"
"2002","East Germany","Male","40.17","11","1229","2","4","25","57","600","33.54","46.8","0","999","11","13"
"2002","West Germany","Female","12.95","7","4220","1","3","15","26","90","11.88","14.02","0","999","7","8"
"2002","West Germany","Male","19.89","12","4913","2","4","25","40","150","18.59","21.19","0","999","12","12"
"2003","East Germany","Female","14.32","8","1298","1","3","18","30","90","13.03","15.61","1","450","8","10"
"2003","East Germany","Male","18.43","10","1238","2","4","20","40","132","16.43","20.43","1","600","10","12"
"2003","West Germany","Female","12.99","8","4113","1","3","16","28","82","12.41","13.57","1","296","8","8"
"2003","West Germany","Male","18","12","4708","2","5","24","40","100","17.29","18.71","0","340","12","12"
"2004","East Germany","Female","20.72","9","1189","1","3","20","35","430","18.53","22.91","0","520","8","10"
"2004","East Germany","Male","37.07","12","1134","2","5","25","60","500","31.45","42.69","1","800","12","14"
"2004","West Germany","Female","13.75","8","3915","1","3","16","28","96","12.75","14.75","0","960","8","8"
"2004","West Germany","Male","21.74","12","4358","2","5","25","40","180","20.29","23.19","0","900","12","13"
"2005","East Germany","Female","16.63","8.25","1107","1","3","18","34","160","14.69","18.57","1","560","8","10"
