"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","11.88","8","2294","1","3","15","26","73","11.31","12.45","0","150","7","8"
"1985","35-65 y.","11.98","7","3026","1","3","15","26","76","11.34","12.62","0","360","6","7"
"1985","66 and older","","","","","","","","","","","","","",""
"1986","16-34 y.","","","","","","","","","","","","","",""
"1986","35-65 y.","","","","","","","","","","","","","",""
"1986","66 and older","","","","","","","","","","","","","",""
"1987","16-34 y.","","","","","","","","","","","","","",""
"1987","35-65 y.","","","","","","","","","","","","","",""
"1987","66 and older","","","","","","","","","","","","","",""
"1988","16-34 y.","","","","","","","","","","","","","",""
"1988","35-65 y.","","","","","","","","","","","","","",""
"1988","66 and older","","","","","","","","","","","","","",""
"1989","16-34 y.","","","","","","","","","","","","","",""
"1989","35-65 y.","","","","","","","","","","","","","",""
"1989","66 and older","","","","","","","","","","","","","",""
"1990","16-34 y.","14.75","9","2152","2","4","18","30","92","13.84","15.66","1","330","8","10"
"1990","35-65 y.","12.63","7.06","2610","2","3","15","30","74","12.01","13.25","0","300","6","7"
"1990","66 and older","","","","","","","","","","","","","",""
"1991","16-34 y.","48.01","12","433","5","7","30","115","550","38.11","57.91","0","700","11","15"
"1991","35-65 y.","34.45","10","425","4","7","17","30","600","23.95","44.95","1","999","10","12"
"1991","66 and older","","","","","","","","","","","","","",""
"1992","16-34 y.","51.53","15","359","5","8","26","110","600","38.76","64.3","2","650","15","18"
"1992","35-65 y.","28.47","10.8","418","5","7","20","35","500","20.96","35.98","1","800","10","13"
"1992","66 and older","","","","","","","","","","","","","",""
"1993","16-34 y.","12.6","8","2944","1","3","18","30","65","12.09","13.11","0","180","7","8"
"1993","35-65 y.","10.81","6","4026","1","2","15","25","70","10.41","11.21","0","150","5","6"
"1993","66 and older","","","","","","","","","","","","","",""
"1994","16-34 y.","","","","","","","","","","","","","",""
"1994","35-65 y.","","","","","","","","","","","","","",""
"1994","66 and older","","","","","","","","","","","","","",""
"1995","16-34 y.","14.61","8","3025","1","3","19","33","80","13.53","15.69","0","750","7","8"
"1995","35-65 y.","12.99","7","4128","1","2","15","30","100","12.3","13.68","0","450","6","6"
"1995","66 and older","","","","","","","","","","","","","",""
"1996","16-34 y.","","","","","","","","","","","","","",""
"1996","35-65 y.","","","","","","","","","","","","","",""
"1996","66 and older","","","","","","","","","","","","","",""
"1997","16-34 y.","32.91","20","1426","7","12","35","55","350","29.35","36.47","1","800","17","20"
"1997","35-65 y.","28.91","17","1783","6","10","30","50","290","26.45","31.37","1","800","15","17"
"1997","66 and older","","","","","","","","","","","","","",""
"1998","16-34 y.","16.13","10","3126","2","4","20","36","100","15.43","16.83","0","200","9","10"
"1998","35-65 y.","14.27","9","4020","2","4","18","32","80","13.76","14.78","0","190","8","9"
"1998","66 and older","","","","","","","","","","","","","",""
"1999","16-34 y.","33.23","20","1532","7","10","31","55","320","30.13","36.33","2","999","17","20"
"1999","35-65 y.","28.05","17","2186","6","10","30","49","300","25.84","30.26","2","800","15","17"
"1999","66 and older","","","","","","","","","","","","","",""
"2000","16-34 y.","29.78","19.75","2346","6","10","30","55","265","27.5","32.06","1","800","18","20"
"2000","35-65 y.","26.74","17","4066","6","10","30","47","200","25.09","28.39","1","850","16","17"
"2000","66 and older","","","","","","","","","","","","","",""
"2001","16-34 y.","19.34","10","3708","1","3","20","36","200","17.55","21.13","1","999","10","10"
"2001","35-65 y.","17.11","10","7184","1","3","20","34","125","16.09","18.13","1","850","9","10"
"2001","66 and older","13.44","5","52","1","2","12","28","110","6.95","19.93","1","110","3","8"
"2002","16-34 y.","21.44","10","3547","2","3","20","40","300","19.32","23.56","0","999","10","10"
"2002","35-65 y.","17.17","10","7979","1","3","20","35","140","16.06","18.28","0","999","10","10"
"2002","66 and older","26.4","3.25","68","0","2","15","28","530","10.18","42.62","0","530","3","8"
"2003","16-34 y.","17.45","10","3852","2","4","20","39","130","16.61","18.29","1","450","10","10"
"2003","35-65 y.","15.08","10","7447","2","4","20","34","90","14.55","15.61","0","600","10","10"
"2003","66 and older","12.29","6","58","1","2","23","30","70","7.42","17.16","1","80","4","8"
"2004","16-34 y.","22.64","10","3118","2","4","21","40","330","20.52","24.76","0","900","10","12"
"2004","35-65 y.","18.68","10","7397","2","4","20","35","180","17.63","19.73","0","960","10","10"
"2004","66 and older","10.67","3.74","81","1","2","12","25","80","1.46","19.88","0","345","4","8"
"2005","16-34 y.","23.88","10","2847","2","4","22","45","300","21.38","26.38","1","999","10","12"
"2005","35-65 y.","19.04","10","7011","2","4","20","38","200","17.86","20.22","1","999","10","10"
"2005","66 and older","13.97","6.71","83","1","2","25","28","85","5.13","22.81","1","350","5","10"
"2006","16-34 y.","23.89","11","2870","2","4","23","45","300","21.87","25.91","1","830","10","12"
"2006","35-65 y.","19.59","10","7629","2","4","20","37","200","18.37","20.81","1","999","10","10"
