"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"1985","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"1985","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1985","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1985","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","college entrance qualification","(2c_gen) general maturity certificate","10.28","6.13","92","2","3","15","23","75","7.98","12.58","1","75","5","10"
"1985","college entrance qualification","(2c_voc) vocational maturity certificate","13.88","8","161","2","4","17","30","95","10.05","17.71","1","250","6","10"
"1985","college entrance qualification","(3a) lower tertiary education","16.01","10","103","2","5","20","38","78","12.79","19.23","1","80","7","14"
"1985","college entrance qualification","(3b) higher tertiary education","14.43","8","300","2","3","20","31","85","12.47","16.39","1","100","7","10"
"1985","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"1985","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1985","lower secondary degree","(1b) general elementary school","9.32","5.4","657","1","2","11","20","60","8.35","10.29","0","150","5","6"
"1985","lower secondary degree","(1c) basic vocational qualification","12.45","7","1747","1","3","15","27","80","11.56","13.34","0","360","7","8"
"1985","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1985","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1985","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1985","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","lower secondary degree","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","lower secondary degree","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1985","no degree/no degree yet","(0) in school","","","","","","","","","","","","","",""
