"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Employed","Rural Area","13.05","6","968","1","2","15","30","100","11.7","14.4","0","280","5","6"
"1985","Employed","Urban Area","11.63","7","4247","1","3","15","25","65","11.18","12.08","0","360","6","7"
"1985","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1985","Not Employed","Urban Area","11.6","6.46","105","2","3","13","32","52","9.16","14.04","1","90","5","8"
"1986","Employed","Rural Area","","","","","","","","","","","","","",""
"1986","Employed","Urban Area","","","","","","","","","","","","","",""
"1986","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1986","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1987","Employed","Rural Area","","","","","","","","","","","","","",""
"1987","Employed","Urban Area","","","","","","","","","","","","","",""
"1987","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1987","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1988","Employed","Rural Area","","","","","","","","","","","","","",""
"1988","Employed","Urban Area","","","","","","","","","","","","","",""
"1988","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1988","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1989","Employed","Rural Area","","","","","","","","","","","","","",""
"1989","Employed","Urban Area","","","","","","","","","","","","","",""
"1989","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1989","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1990","Employed","Rural Area","16.13","10","889","1","3","20","36","110","14.56","17.7","0","330","6","9"
"1990","Employed","Urban Area","12.93","8","3795","2","4","15","28","74","12.38","13.48","0","330","7","8"
"1990","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1990","Not Employed","Urban Area","10.92","5","74","1","3","15","23","120","7.22","14.62","1","120","4","6"
"1991","Employed","Rural Area","","","","","","","","","","","","","",""
"1991","Employed","Urban Area","","","","","","","","","","","","","",""
"1991","Not Employed","Rural Area","","","","","","","","","","","","","",""
"1991","Not Employed","Urban Area","","","","","","","","","","","","","",""
"1992","Employed","Rural Area","42.63","12","564","5","7","25","70","550","34.14","51.12","1","800","12","15"
"1992","Employed","Urban Area","29.12","12","180","5","8","20","30","500","16.16","42.08","1","600","10","15"
"1992","Not Employed","Rural Area","","","","","","","","","","","","","",""
