"erwst","year","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","5722","0.409931532035925","0.401215396508445","0.418647667563405","1"
"Non-working","1984","5068","0.472382845938932","0.4635352838182","0.481230408059664","5"
"Other","1984","780","0.0627540369516248","0.0584560535720462","0.0670520203312034","6"
"Part-time","1984","661","0.0549315850735183","0.0508936456648429","0.0589695244821937","2"
"Full-time","1985","5256","0.416934018138833","0.407756323900015","0.42611171237765","1"
"Non-working","1985","4558","0.468402586755757","0.459114160462978","0.477691013048536","5"
"Other","1985","518","0.04644492412281","0.0425276579049457","0.0503621903406744","6"
"Part-time","1985","755","0.0682184709826005","0.0635254866284156","0.0729114553367854","2"
"Full-time","1986","5030","0.417734534925471","0.40836481161142","0.427104258239522","1"
"Non-working","1986","4338","0.465867976229119","0.456390956224283","0.475344996233956","5"
"Other","1986","633","0.0565841705918895","0.0521946699526558","0.0609736712311233","6"
"Part-time","1986","642","0.0598133182535197","0.0553080354700875","0.0643186010369519","2"
"Full-time","1987","4957","0.4223724342406","0.412929249813454","0.431815618667746","1"
"Non-working","1987","4213","0.455263008415203","0.445742254303485","0.464783762526921","5"
"Other","1987","651","0.0555733953924428","0.051193494279993","0.0599532965048927","6"
"Part-time","1987","689","0.0667911619517542","0.0620181155765119","0.0715642083269965","2"
"Full-time","1988","4669","0.421759154897507","0.412089724931365","0.431428584863648","1"
"Non-working","1988","4033","0.456369955986563","0.446617264673957","0.466122647299169","5"
"Other","1988","638","0.0542374968219779","0.0498028902647407","0.0586721033792151","6"
"Part-time","1988","680","0.0676333922939527","0.0627165285732083","0.0725502560146972","2"
"Full-time","1989","4632","0.429516903724081","0.419670619661735","0.439363187786427","1"
"Non-working","1989","3829","0.4491393316471","0.439245323422975","0.459033339871226","5"
"Other","1989","574","0.051863048073906","0.0474521665222881","0.0562739296255239","6"
"Part-time","1989","674","0.069480716554913","0.0644229861799563","0.0745384469298697","2"
"Full-time","1990","7409","0.46675235167833","0.458479158519683","0.475025544836976","1"
"Non-working","1990","4763","0.409382043238884","0.401227809609687","0.41753627686808","5"
"Other","1990","666","0.0453594937398833","0.0419086963516098","0.0488102911281569","6"
"Part-time","1990","1131","0.0785061113429034","0.0740458182794237","0.0829664044063831","2"
"Full-time","1991","6987","0.453046429209889","0.444701124610674","0.461391733809104","1"
