"erwst","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","11","","",""
"Full-time","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","66","0.52251603286626","0.435644909472265","0.609387156260255"
"Full-time","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","11","","",""
"Full-time","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","20","","",""
"Full-time","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","16","","",""
"Full-time","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","28","","",""
"Part-time","1984","1-pers.-HH","(0) in school","","","",""
"Part-time","1984","1-pers.-HH","(1a) inadequately completed","1","","",""
"Part-time","1984","1-pers.-HH","(1b) general elementary school","10","","",""
"Part-time","1984","1-pers.-HH","(1c) basic vocational qualification","4","","",""
"Part-time","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Part-time","1984","1-pers.-HH","(2a) intermediate vocational","3","","",""
"Part-time","1984","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Part-time","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1984","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Part-time","1984","1-pers.-HH","(3b) higher tertiary education","6","","",""
"Part-time","1984","(Married) couple without C. ","(0) in school","","","",""
"Part-time","1984","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Part-time","1984","(Married) couple without C. ","(1b) general elementary school","28","","",""
"Part-time","1984","(Married) couple without C. ","(1c) basic vocational qualification","40","0.036819223881449","0.0257507711362842","0.0478876766266137"
"Part-time","1984","(Married) couple without C. ","(2b) intermediate general qualification","3","","",""
"Part-time","1984","(Married) couple without C. ","(2a) intermediate vocational","21","","",""
"Part-time","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","4","","",""
"Part-time","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","11","","",""
"Part-time","1984","(Married) couple without C. ","(3a) lower tertiary education","6","","",""
"Part-time","1984","(Married) couple without C. ","(3b) higher tertiary education","9","","",""
"Part-time","1984","Single parent ","(0) in school","","","",""
"Part-time","1984","Single parent ","(1a) inadequately completed","","","",""
"Part-time","1984","Single parent ","(1b) general elementary school","11","","",""
"Part-time","1984","Single parent ","(1c) basic vocational qualification","13","","",""
"Part-time","1984","Single parent ","(2b) intermediate general qualification","2","","",""
"Part-time","1984","Single parent ","(2a) intermediate vocational","4","","",""
"Part-time","1984","Single parent ","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1984","Single parent ","(3a) lower tertiary education","","","",""
"Part-time","1984","Single parent ","(3b) higher tertiary education","2","","",""
"Part-time","1984","Couple + C. LE 16 ","(0) in school","1","","",""
"Part-time","1984","Couple + C. LE 16 ","(1a) inadequately completed","8","","",""
"Part-time","1984","Couple + C. LE 16 ","(1b) general elementary school","45","0.0937462095440012","0.070913224044027","0.116579195043975"
"Part-time","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","88","0.0814511001600042","0.0657846983347212","0.0971175019852873"
"Part-time","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Part-time","1984","Couple + C. LE 16 ","(2a) intermediate vocational","50","0.116628286511164","0.0848131783422963","0.148443394680031"
"Part-time","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Part-time","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","8","","",""
"Part-time","1984","Couple + C. LE 16 ","(3a) lower tertiary education","4","","",""
"Part-time","1984","Couple + C. LE 16 ","(3b) higher tertiary education","19","","",""
"Part-time","1984","Couple + C. GT 16 ","(0) in school","","","",""
"Part-time","1984","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"Part-time","1984","Couple + C. GT 16 ","(1b) general elementary school","31","0.0760593077043479","0.0515391560471248","0.100579459361571"
"Part-time","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","48","0.0738737515591558","0.0540680211360757","0.0936794819822359"
"Part-time","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","3","","",""
"Part-time","1984","Couple + C. GT 16 ","(2a) intermediate vocational","25","","",""
