"erwst","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","16-34 y.","in school","1","","","","1"
"Full-time","1984","16-34 y.","inadequately","134","0.352285456832041","0.29902461421595","0.405546299448133","1"
"Full-time","1984","16-34 y.","general elemantary","400","0.243520221752913","0.220062070422884","0.266978373082943","1"
"Full-time","1984","16-34 y.","middle vocational","1238","0.578962742467615","0.558251469351504","0.599674015583727","1"
"Full-time","1984","16-34 y.","vocational + Abi","94","0.556803183410713","0.480774873222144","0.632831493599282","1"
"Full-time","1984","16-34 y.","higher vocational","130","0.613245684754178","0.547534136808173","0.678957232700182","1"
"Full-time","1984","16-34 y.","higher education","171","0.70005364725808","0.643022815620751","0.757084478895408","1"
"Full-time","1984","35-65 y.","in school","","","","","1"
"Full-time","1984","35-65 y.","inadequately","410","0.557573493236692","0.520647913904723","0.59449907256866","1"
"Full-time","1984","35-65 y.","general elemantary","659","0.298707533488336","0.276709966895853","0.32070510008082","1"
"Full-time","1984","35-65 y.","middle vocational","1728","0.549916147669921","0.532005802998909","0.567826492340934","1"
"Full-time","1984","35-65 y.","vocational + Abi","95","0.686714654367666","0.60636180085966","0.767067507875672","1"
"Full-time","1984","35-65 y.","higher vocational","252","0.669184232784884","0.620981296023341","0.717387169546427","1"
"Full-time","1984","35-65 y.","higher education","361","0.737501748051798","0.698221944532417","0.77678155157118","1"
"Full-time","1984","66 and older","in school","","","","","1"
"Full-time","1984","66 and older","inadequately","","","","","1"
"Full-time","1984","66 and older","general elemantary","2","","","","1"
"Full-time","1984","66 and older","middle vocational","6","","","","1"
"Full-time","1984","66 and older","vocational + Abi","","","","","1"
"Full-time","1984","66 and older","higher vocational","4","","","","1"
"Full-time","1984","66 and older","higher education","5","","","","1"
"Non-working","1984","16-34 y.","general elemantary","514","0.40521193718181","0.378380134962674","0.432043739400945","5"
"Non-working","1984","16-34 y.","vocational + Abi","56","0.348933902290565","0.275986422665939","0.421881381915191","5"
"Non-working","1984","16-34 y.","middle vocational","660","0.296428992147898","0.277271637927492","0.315586346368304","5"
"Non-working","1984","35-65 y.","vocational + Abi","25","","","","5"
"Non-working","1984","16-34 y.","inadequately","155","0.547497667312704","0.492000553332636","0.602994781292772","5"
"Non-working","1984","35-65 y.","higher vocational","82","0.244769918123596","0.200721916535392","0.2888179197118","5"
"Non-working","1984","35-65 y.","higher education","68","0.152057828293199","0.12000162517812","0.184114031408278","5"
"Non-working","1984","16-34 y.","higher vocational","47","0.240540620939595","0.182870169350572","0.298211072528618","5"
"Non-working","1984","16-34 y.","in school","184","0.982945434617734","0.96438824006594","1.00150262916953","5"
"Non-working","1984","16-34 y.","higher education","47","0.168864720372158","0.122238783438851","0.215490657305464","5"
"Non-working","1984","35-65 y.","middle vocational","918","0.340395948026512","0.323337369475228","0.357454526577797","5"
"Non-working","1984","35-65 y.","in school","","","","","5"
"Non-working","1984","35-65 y.","inadequately","251","0.386568272407171","0.350364659791305","0.422771885023037","5"
"Non-working","1984","35-65 y.","general elemantary","804","0.564206782570689","0.540374735328164","0.588038829813215","5"
"Non-working","1984","66 and older","in school","","","","","5"
"Non-working","1984","66 and older","inadequately","15","","","","5"
"Non-working","1984","66 and older","general elemantary","506","0.976641576343799","0.963647249631093","0.989635903056504","5"
"Non-working","1984","66 and older","middle vocational","558","0.965505491858591","0.950627766946722","0.980383216770461","5"
"Non-working","1984","66 and older","vocational + Abi","18","","","","5"
"Non-working","1984","66 and older","higher vocational","76","0.921911845749187","0.864189187731444","0.979634503766931","5"
"Non-working","1984","66 and older","higher education","55","0.918619760582977","0.851103996096738","0.986135525069217","5"
"Other","1984","66 and older","higher education","2","","","","6"
"Other","1984","35-65 y.","vocational + Abi","3","","","","6"
"Other","1984","16-34 y.","general elemantary","331","0.322776299902283","0.297223146611064","0.348329453193502","6"
"Other","1984","35-65 y.","middle vocational","85","0.0303789290126139","0.024200241330564","0.0365576166946638","6"
"Other","1984","35-65 y.","higher vocational","9","","","","6"
"Other","1984","66 and older","higher vocational","1","","","","6"
"Other","1984","16-34 y.","inadequately","15","","","","6"
"Other","1984","16-34 y.","middle vocational","191","0.0804847919067927","0.0690729014499279","0.0918966823636576","6"
"Other","1984","16-34 y.","in school","1","","","","6"
"Other","1984","16-34 y.","vocational + Abi","5","","","","6"
"Other","1984","16-34 y.","higher vocational","15","","","","6"
"Other","1984","16-34 y.","higher education","13","","","","6"
"Other","1984","35-65 y.","in school","","","","","6"
"Other","1984","35-65 y.","inadequately","11","","","","6"
