"erwst","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","West Germany","5722","0.409931532035925","0.401215396508445","0.418647667563405","1"
"Full-time","1984","East Germany","","","","","1"
"Non-working","1984","East Germany","","","","","5"
"Non-working","1984","West Germany","5068","0.472382845938932","0.4635352838182","0.481230408059664","5"
"Other","1984","West Germany","780","0.0627540369516248","0.0584560535720462","0.0670520203312034","6"
"Other","1984","East Germany","","","","","6"
"Part-time","1984","West Germany","661","0.0549315850735183","0.0508936456648429","0.0589695244821937","2"
"Part-time","1984","East Germany","","","","","2"
"Full-time","1985","West Germany","5256","0.416934018138833","0.407756323900015","0.42611171237765","1"
"Full-time","1985","East Germany","","","","","1"
"Non-working","1985","East Germany","","","","","5"
"Non-working","1985","West Germany","4558","0.468402586755757","0.459114160462978","0.477691013048536","5"
"Other","1985","East Germany","","","","","6"
"Other","1985","West Germany","518","0.04644492412281","0.0425276579049457","0.0503621903406744","6"
"Part-time","1985","West Germany","755","0.0682184709826005","0.0635254866284156","0.0729114553367854","2"
"Part-time","1985","East Germany","","","","","2"
"Full-time","1986","West Germany","5030","0.417734534925471","0.40836481161142","0.427104258239522","1"
"Full-time","1986","East Germany","","","","","1"
"Non-working","1986","West Germany","4338","0.465867976229119","0.456390956224283","0.475344996233956","5"
"Non-working","1986","East Germany","","","","","5"
"Other","1986","East Germany","","","","","6"
"Other","1986","West Germany","633","0.0565841705918895","0.0521946699526558","0.0609736712311233","6"
"Part-time","1986","East Germany","","","","","2"
"Part-time","1986","West Germany","642","0.0598133182535197","0.0553080354700875","0.0643186010369519","2"
"Full-time","1987","West Germany","4957","0.4223724342406","0.412929249813454","0.431815618667746","1"
"Full-time","1987","East Germany","","","","","1"
"Non-working","1987","West Germany","4213","0.455263008415203","0.445742254303485","0.464783762526921","5"
"Non-working","1987","East Germany","","","","","5"
"Other","1987","East Germany","","","","","6"
"Other","1987","West Germany","651","0.0555733953924428","0.051193494279993","0.0599532965048927","6"
"Part-time","1987","West Germany","689","0.0667911619517542","0.0620181155765119","0.0715642083269965","2"
"Part-time","1987","East Germany","","","","","2"
"Full-time","1988","West Germany","4669","0.421759154897507","0.412089724931365","0.431428584863648","1"
"Full-time","1988","East Germany","","","","","1"
"Non-working","1988","West Germany","4033","0.456369955986563","0.446617264673957","0.466122647299169","5"
"Non-working","1988","East Germany","","","","","5"
"Other","1988","East Germany","","","","","6"
"Other","1988","West Germany","638","0.0542374968219779","0.0498028902647407","0.0586721033792151","6"
"Part-time","1988","West Germany","680","0.0676333922939527","0.0627165285732083","0.0725502560146972","2"
"Part-time","1988","East Germany","","","","","2"
"Full-time","1989","East Germany","","","","","1"
"Full-time","1989","West Germany","4632","0.429516903724081","0.419670619661735","0.439363187786427","1"
"Non-working","1989","East Germany","","","","","5"
"Non-working","1989","West Germany","3829","0.4491393316471","0.439245323422975","0.459033339871226","5"
"Other","1989","West Germany","574","0.051863048073906","0.0474521665222881","0.0562739296255239","6"
"Other","1989","East Germany","","","","","6"
"Part-time","1989","West Germany","674","0.069480716554913","0.0644229861799563","0.0745384469298697","2"
"Part-time","1989","East Germany","","","","","2"
"Full-time","1990","East Germany","2886","0.59971564914012","0.585323438393126","0.614107859887114","1"
"Full-time","1990","West Germany","4523","0.434149063785761","0.42419114660024","0.444106980971281","1"
"Non-working","1990","West Germany","3748","0.438932703422807","0.428962488874104","0.448902917971511","5"
"Non-working","1990","East Germany","1015","0.288868025352887","0.275554430012539","0.302181620693235","5"
"Other","1990","West Germany","523","0.0495204969531673","0.045161747243842","0.0538792466624926","6"
"Other","1990","East Germany","143","0.0283900178449861","0.0235113715799696","0.0332686641100026","6"
"Part-time","1990","West Germany","723","0.0773977358382645","0.0720290320555742","0.0827664396209547","2"
"Part-time","1990","East Germany","408","0.0830263076620071","0.0749212368512492","0.0911313784727651","2"
"Full-time","1991","East Germany","2458","0.536220685776658","0.521072090788489","0.551369280764826","1"
"Full-time","1991","West Germany","4529","0.431806894684565","0.421849062651362","0.441764726717767","1"
"Non-working","1991","West Germany","3613","0.431130791815833","0.421174840489538","0.441086743142129","5"
"Non-working","1991","East Germany","1328","0.385355715437018","0.370571859846495","0.40013957102754","5"
"Other","1991","West Germany","613","0.0576718593511595","0.0529852895751448","0.0623584291271742","6"
"Other","1991","East Germany","145","0.028951485587857","0.0238581677711364","0.0340448034045776","6"
"Part-time","1991","West Germany","750","0.0793904541484421","0.073955524704349","0.0848253835925352","2"
"Part-time","1991","East Germany","232","0.0494721131984675","0.0428848116029867","0.0560594147939483","2"
"Full-time","1992","East Germany","2108","0.473938029598308","0.458450659779042","0.489425399417574","1"
"Full-time","1992","West Germany","4417","0.428518209207235","0.418513229552838","0.438523188861632","1"
"Non-working","1992","West Germany","3691","0.441722528151728","0.431682609434028","0.451762446869428","5"
"Non-working","1992","East Germany","1555","0.457165081580248","0.441713645493926","0.47261651766657","5"
"Other","1992","West Germany","506","0.0474156965795496","0.0431189162744051","0.0517124768846941","6"
"Other","1992","East Germany","171","0.0351367152618021","0.0294257186046346","0.0408477119189695","6"
"Part-time","1992","East Germany","159","0.0337601735596422","0.0281581718326186","0.0393621752866658","2"
"Part-time","1992","West Germany","784","0.0823435660614873","0.0767859919453722","0.0879011401776024","2"
"Full-time","1993","West Germany","4355","0.427606543111981","0.41757216048014","0.437640925743822","1"
"Full-time","1993","East Germany","1923","0.444193567366641","0.428477988018938","0.459909146714345","1"
"Non-working","1993","West Germany","3693","0.440628550416764","0.430559057026733","0.450698043806794","5"
"Non-working","1993","East Germany","1567","0.476645229510545","0.460848099303269","0.492442359717822","5"
"Other","1993","West Germany","524","0.0508267425753161","0.0463718212201202","0.055281663930512","6"
"Other","1993","East Germany","196","0.0444870736380797","0.0379660213649834","0.051008125911176","6"
"Part-time","1993","East Germany","154","0.0346741294847337","0.0288875458449727","0.0404607131244948","2"
"Part-time","1993","West Germany","766","0.0809381638959392","0.0754063164294331","0.0864700113624454","2"
"Full-time","1994","West Germany","4159","0.416276072692253","0.406179135117584","0.426373010266922","1"
