"erwst","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Full Time","5065","0.884244891185966","0.875923292643545","0.892566489728387","1"
"Full-time","1984","Not Working","98","0.0163378832270934","0.0126992670158126","0.0199764994383742","1"
"Full-time","1984","Part Time","559","0.266926244704304","0.246983420405109","0.286869069003499","1"
"Non-working","1984","Full Time","213","0.039372190724093","0.0343136789581554","0.0444307024900307","5"
"Non-working","1984","Not Working","4479","0.969457142872177","0.964518194106358","0.974396091637996","5"
"Non-working","1984","Part Time","376","0.202559548808503","0.184440196039535","0.220678901577472","5"
"Other","1984","Full Time","281","0.0523179705649855","0.0465262558140113","0.0581096853159596","6"
"Other","1984","Part Time","430","0.241322591026558","0.222032034597248","0.260613147455869","6"
"Other","1984","Not Working","69","0.0110578855032248","0.00805639575979306","0.0140593752466565","6"
"Part-time","1984","Full Time","119","0.0240649475249555","0.0200788004849504","0.0280510945649607","2"
"Part-time","1984","Not Working","17","","","","2"
"Part-time","1984","Part Time","525","0.289191615460634","0.268751360503111","0.309631870418157","2"
"Full-time","1985","Full Time","4538","0.905632062788375","0.897517594267837","0.913746531308912","1"
"Full-time","1985","Not Working","79","0.0114178882841553","0.0082173485346402","0.0146184280336704","1"
"Full-time","1985","Part Time","639","0.311768571332632","0.290762585314675","0.332774557350589","1"
"Non-working","1985","Not Working","4050","0.968777134986132","0.963537846979105","0.97401642299316","5"
"Non-working","1985","Full Time","158","0.0314863032633356","0.0266391620268092","0.036333444499862","5"
"Non-working","1985","Part Time","350","0.188627710297992","0.17088693940912","0.206368481186864","5"
"Other","1985","Full Time","188","0.0415494746963347","0.0360103700182526","0.0470885793744169","6"
"Other","1985","Not Working","72","0.0137203186356711","0.0102159797437803","0.0172246575275619","6"
"Other","1985","Part Time","258","0.147267417986839","0.131197286880127","0.163337549093551","6"
"Part-time","1985","Full Time","102","0.0213321592519549","0.0173215807520717","0.0253427377518382","2"
"Part-time","1985","Not Working","32","0.00608465809404121","0.00374195773689165","0.00842735845119077","2"
"Part-time","1985","Part Time","621","0.352336300382537","0.330673573307684","0.373999027457389","2"
"Full-time","1986","Full Time","4418","0.906571403766872","0.898393394686041","0.914749412847704","1"
"Full-time","1986","Not Working","73","0.0137501014874115","0.0101162177795546","0.0173839851952683","1"
"Full-time","1986","Part Time","539","0.264509446662183","0.244317601765983","0.284701291558383","1"
"Non-working","1986","Full Time","139","0.0268811989502708","0.0223364079321022","0.0314259899684394","5"
"Non-working","1986","Not Working","3795","0.969795086297261","0.964454322433252","0.97513585016127","5"
"Non-working","1986","Part Time","404","0.229130827746652","0.209891098342238","0.248370557151066","5"
"Other","1986","Not Working","59","0.0119248026239134","0.00853756873423079","0.015312036513596","6"
