"erwst","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","lower secondary degree","1-pers.-HH","187","0.221556031215567","0.190410681857483","0.252701380573651"
"Full-time","1984","lower secondary degree","(Married) couple without C. ","560","0.312423663180861","0.289727666661281","0.335119659700442"
"Full-time","1984","lower secondary degree","Single parent ","133","0.390070331655596","0.336794345863686","0.443346317447506"
"Full-time","1984","lower secondary degree","Couple + C. LE 16 ","663","0.520005769694959","0.492879006708718","0.5471325326812"
"Full-time","1984","lower secondary degree","Couple + C. GT 16 ","479","0.4809563144267","0.449848748139536","0.512063880713864"
"Full-time","1984","lower secondary degree","Couple + C. LE and GT 16","381","0.510498921395807","0.475750204911737","0.545247637879876"
"Full-time","1984","secondary school degree","1-pers.-HH","112","0.398707652385223","0.336890400597552","0.460524904172893"
"Full-time","1984","secondary school degree","(Married) couple without C. ","234","0.500733135641222","0.453308534064143","0.548157737218302"
"Full-time","1984","secondary school degree","Single parent ","39","0.399244977694777","0.301784023330076","0.496705932059478"
"Full-time","1984","secondary school degree","Couple + C. LE 16 ","232","0.51590445002926","0.470383871000809","0.561425029057712"
"Full-time","1984","secondary school degree","Couple + C. GT 16 ","139","0.388804334283472","0.339200320678166","0.438408347888779"
"Full-time","1984","secondary school degree","Couple + C. LE and GT 16","82","0.329676758607515","0.272645344275973","0.386708172939056"
"Full-time","1984","college entrance qualification","1-pers.-HH","101","0.449764503737137","0.382641133549058","0.516887873925217"
"Full-time","1984","college entrance qualification","(Married) couple without C. ","159","0.459272102535582","0.404925643706898","0.513618561364265"
"Full-time","1984","college entrance qualification","Single parent ","13","","",""
"Full-time","1984","college entrance qualification","Couple + C. LE 16 ","184","0.636050928536623","0.581053715904225","0.691048141169022"
"Full-time","1984","college entrance qualification","Couple + C. GT 16 ","88","0.414507181729215","0.34834876471413","0.480665598744301"
"Full-time","1984","college entrance qualification","Couple + C. LE and GT 16","48","0.466173051157976","0.371206867105848","0.561139235210104"
"Full-time","1984","Other degree","1-pers.-HH","96","0.792680478061943","0.717936183054852","0.867424773069034"
"Full-time","1984","Other degree","(Married) couple without C. ","151","0.647670147344092","0.580963880111363","0.71437641457682"
"Full-time","1984","Other degree","Single parent ","29","","",""
"Full-time","1984","Other degree","Couple + C. LE 16 ","420","0.667002833349317","0.629846062681967","0.704159604016668"
"Full-time","1984","Other degree","Couple + C. GT 16 ","119","0.681048079523191","0.610571479045806","0.751524680000577"
"Full-time","1984","Other degree","Couple + C. LE and GT 16","143","0.629335557995528","0.566916706812917","0.691754409178138"
"Full-time","1984","no degree/no degree yet","1-pers.-HH","58","0.546307419300999","0.438551644801453","0.654063193800546"
"Full-time","1984","no degree/no degree yet","(Married) couple without C. ","84","0.487406000711936","0.406048746158424","0.568763255265449"
"Full-time","1984","no degree/no degree yet","Single parent ","25","","",""
"Full-time","1984","no degree/no degree yet","Couple + C. LE 16 ","207","0.509246774361282","0.457748873059045","0.560744675663519"
"Full-time","1984","no degree/no degree yet","Couple + C. GT 16 ","86","0.128593737948448","0.08606525794513","0.171122217951765"
"Full-time","1984","no degree/no degree yet","Couple + C. LE and GT 16","116","0.169086367501691","0.127561508971546","0.210611226031835"
"Part-time","1984","lower secondary degree","1-pers.-HH","14","","",""
"Part-time","1984","lower secondary degree","(Married) couple without C. ","66","0.0400823127603927","0.0304770285795372","0.0496875969412482"
"Part-time","1984","lower secondary degree","Single parent ","23","","",""
"Part-time","1984","lower secondary degree","Couple + C. LE 16 ","115","0.0882723931039035","0.0728688408508139","0.103675945356993"
"Part-time","1984","lower secondary degree","Couple + C. GT 16 ","76","0.0755527971317433","0.0590985659858257","0.0920070282776608"
"Part-time","1984","lower secondary degree","Couple + C. LE and GT 16","47","0.0606606028676027","0.0440674407404111","0.0772537649947942"
"Part-time","1984","secondary school degree","1-pers.-HH","3","","",""
"Part-time","1984","secondary school degree","(Married) couple without C. ","27","","",""
"Part-time","1984","secondary school degree","Single parent ","6","","",""
"Part-time","1984","secondary school degree","Couple + C. LE 16 ","56","0.109503768386764","0.0810599320579021","0.137947604715627"
"Part-time","1984","secondary school degree","Couple + C. GT 16 ","29","","",""
"Part-time","1984","secondary school degree","Couple + C. LE and GT 16","15","","",""
"Part-time","1984","college entrance qualification","1-pers.-HH","10","","",""
"Part-time","1984","college entrance qualification","(Married) couple without C. ","25","","",""
"Part-time","1984","college entrance qualification","Single parent ","4","","",""
"Part-time","1984","college entrance qualification","Couple + C. LE 16 ","27","","",""
"Part-time","1984","college entrance qualification","Couple + C. GT 16 ","4","","",""
"Part-time","1984","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Part-time","1984","Other degree","1-pers.-HH","","","",""
"Part-time","1984","Other degree","(Married) couple without C. ","4","","",""
