"erwst","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1985","Rural Area","1033","0.396276839595062","0.376217422671725","0.4163362565184","1"
"Full-time","1985","Urban Area","4223","0.42328969864255","0.412968492687502","0.433610904597599","1"
"Non-working","1985","Rural Area","991","0.490821368866293","0.470319339229068","0.511323398503517","5"
"Non-working","1985","Urban Area","3567","0.461504906316237","0.451091045314429","0.471918767318046","5"
"Other","1985","Urban Area","411","0.0464391769758505","0.0420432628778531","0.0508350910738479","6"
"Other","1985","Rural Area","107","0.0464636034508209","0.0378313313251203","0.0550958755765215","6"
"Part-time","1985","Urban Area","602","0.0687662180653619","0.0634799440481896","0.0740524920825343","2"
"Part-time","1985","Rural Area","153","0.066438188087824","0.0562245498744055","0.0766518263012425","2"
"Full-time","1986","Rural Area","985","0.40175325179899","0.381197079746461","0.422309423851519","1"
"Full-time","1986","Urban Area","4045","0.422591028290977","0.412063748861213","0.433118307720741","1"
"Non-working","1986","Rural Area","916","0.474115174497431","0.453178407598936","0.495051941395926","5"
"Non-working","1986","Urban Area","3422","0.463361765472632","0.452734656005822","0.473988874939441","5"
"Other","1986","Urban Area","480","0.0536282581606126","0.0488271446016294","0.0584293717195958","6"
"Other","1986","Rural Area","153","0.0663112040512268","0.0558780192284883","0.0767443888739654","6"
"Part-time","1986","Urban Area","511","0.0604189480757787","0.0553412373531727","0.0654966587983847","2"
"Part-time","1986","Rural Area","131","0.0578203696523526","0.0480338187881596","0.0676069205165456","2"
"Full-time","1987","Rural Area","982","0.410354853005919","0.389601058031707","0.43110864798013","1"
"Full-time","1987","Urban Area","3975","0.425954418952268","0.415349493956078","0.436559343948457","1"
"Non-working","1987","Urban Area","3357","0.456079139750169","0.44539742908397","0.466760850416367","5"
"Non-working","1987","Rural Area","856","0.452524882653758","0.431524568300099","0.473525197007416","5"
"Other","1987","Rural Area","153","0.0592415157879058","0.0492811675255839","0.0692018640502277","6"
"Other","1987","Urban Area","498","0.0544800679648581","0.0496125561679465","0.0593475797617696","6"
"Part-time","1987","Urban Area","522","0.0634863733327054","0.0582569938576261","0.0687157528077848","2"
"Part-time","1987","Rural Area","167","0.0778787485524176","0.0665723089163941","0.0891851881884412","2"
"Full-time","1988","Rural Area","913","0.402079430181563","0.380713203841587","0.42344565652154","1"
"Full-time","1988","Urban Area","3756","0.427521021581434","0.416678181510935","0.438363861651932","1"
"Non-working","1988","Rural Area","823","0.466397898535119","0.444659016406444","0.488136780663794","5"
"Non-working","1988","Urban Area","3210","0.453433956173921","0.442522998112361","0.464344914235481","5"
"Other","1988","Rural Area","147","0.0635363703369418","0.0529070178881753","0.0741657227857084","6"
"Other","1988","Urban Area","491","0.0515149552073325","0.0466702601067146","0.0563596503079505","6"
"Part-time","1988","Urban Area","540","0.0675300670373132","0.0620302207472787","0.0730299133273478","2"
"Part-time","1988","Rural Area","140","0.0679863009463764","0.0570171754877503","0.0789554264050025","2"
"Full-time","1989","Rural Area","896","0.413552938379562","0.391542007415161","0.435563869343964","1"
"Full-time","1989","Urban Area","3736","0.434079489468629","0.423070353354156","0.445088625583102","1"
"Non-working","1989","Rural Area","764","0.46179599127114","0.439513846463266","0.484078136079013","5"
"Non-working","1989","Urban Area","3065","0.445521991373052","0.434482028130492","0.456561954615611","5"
"Other","1989","Rural Area","115","0.0483807844006885","0.0387906100440962","0.0579709587572808","6"
"Other","1989","Urban Area","459","0.0528582974528228","0.0478883138477559","0.0578282810578898","6"
"Part-time","1989","Rural Area","148","0.0762702859486095","0.0644069018086492","0.0881336700885697","2"
"Part-time","1989","Urban Area","526","0.0675402217054964","0.0619659621619962","0.0731144812489966","2"
"Full-time","1990","Urban Area","4644","0.456168226866306","0.445959982891357","0.466376470841255","1"
"Full-time","1990","Rural Area","2703","0.488947452565392","0.474712360795623","0.503182544335162","1"
"Non-working","1990","Rural Area","1404","0.383250193054911","0.369405220444581","0.397095165665241","5"
"Non-working","1990","Urban Area","3341","0.421389928163163","0.411269676642778","0.431510179683549","5"
"Other","1990","Rural Area","208","0.043325933645992","0.0375282786982845","0.0491235885936995","6"
"Other","1990","Urban Area","455","0.0463567041276636","0.0420474164096995","0.0506659918456277","6"
"Part-time","1990","Rural Area","422","0.0844764207337049","0.0765568996758707","0.0923959417915392","2"
"Part-time","1990","Urban Area","705","0.076085140842867","0.0706511095321582","0.0815191721535758","2"
"Full-time","1991","Urban Area","4474","0.450584060764851","0.440262773554968","0.460905347974734","1"
