"erwst","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Female","1597","0.210167567526431","0.200052129374633","0.220283005678228","1"
"Full-time","1984","Male","4125","0.635255435678442","0.623074594820203","0.647436276536681","1"
"Non-working","1984","Female","3559","0.620600171432021","0.608552894893224","0.632647447970818","5"
"Non-working","1984","Male","1509","0.305201009867747","0.293548184649667","0.316853835085827","5"
"Other","1984","Male","324","0.0517318688669209","0.046127156601504","0.0573365811323378","6"
"Other","1984","Female","456","0.0725258896423351","0.0660866913555014","0.0789650879291687","6"
"Part-time","1984","Female","620","0.0967063713992136","0.0893683937231469","0.10404434907528","2"
"Part-time","1984","Male","41","0.00781168558689045","0.00558387588227836","0.0100394952915025","2"
"Full-time","1985","Female","1526","0.230605967479515","0.219605112349896","0.241606822609135","1"
"Full-time","1985","Male","3730","0.626563623595848","0.613727271757022","0.639399975434674","1"
"Non-working","1985","Female","3118","0.599123855086559","0.586324733030618","0.611922977142501","5"
"Non-working","1985","Male","1440","0.32133375944789","0.308941314044529","0.33372620485125","5"
"Other","1985","Male","228","0.040663139320752","0.0354218669187148","0.0459044117227892","6"
"Other","1985","Female","290","0.051584029780861","0.0458074093703794","0.0573606501913426","6"
"Part-time","1985","Male","57","0.0114394776355108","0.00861748782089143","0.0142614674501302","2"
"Part-time","1985","Female","698","0.118686147653065","0.11023954464116","0.127132750664969","2"
"Full-time","1986","Female","1474","0.234982388652535","0.223649739427657","0.246315037877412","1"
"Full-time","1986","Male","3556","0.621699127961912","0.608600781794074","0.63479747412975","1"
"Non-working","1986","Male","1394","0.319223437942822","0.306632521362909","0.331814354522735","5"
"Non-working","1986","Female","2944","0.597261389723375","0.584152318393759","0.610370461052992","5"
"Other","1986","Female","382","0.0658247928865103","0.0591967243286312","0.0724528614443894","6"
"Other","1986","Male","251","0.0462709687818766","0.040597163056681","0.0519447745070722","6"
"Part-time","1986","Male","65","0.0128064653133894","0.00976961452741244","0.0158433160993663","2"
"Part-time","1986","Female","577","0.10193142873758","0.0938444392670859","0.110018418208073","2"
"Full-time","1987","Female","1457","0.237928011481645","0.226468473191528","0.249387549771762","1"
"Full-time","1987","Male","3500","0.62795887285275","0.614829103848519","0.64108864185698","1"
"Non-working","1987","Female","2847","0.58493473569416","0.571674286546202","0.598195184842118","5"
"Non-working","1987","Male","1366","0.310727607446174","0.298156273254194","0.323298941638155","5"
"Other","1987","Female","354","0.0591072226086522","0.0527606876433648","0.0654537575739396","6"
"Other","1987","Male","297","0.0516345018158091","0.0456234028575338","0.0576456007740843","6"
"Part-time","1987","Male","43","0.00967901788526703","0.00701952002261568","0.0123385157479184","2"
