"erwst","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","in school","West Germany","1","","",""
"Full-time","1984","in school","East Germany","","","",""
"Full-time","1984","inadequately","West Germany","544","0.437532688124469","0.407073740401676","0.467991635847262"
"Full-time","1984","inadequately","East Germany","","","",""
"Full-time","1984","general elemantary","West Germany","1061","0.207466828674402","0.193971247085691","0.220962410263112"
"Full-time","1984","general elemantary","East Germany","","","",""
"Full-time","1984","middle vocational","West Germany","2972","0.475849513764149","0.46291282419254","0.488786203335758"
"Full-time","1984","middle vocational","East Germany","","","",""
"Full-time","1984","vocational + Abi","West Germany","189","0.541262507524376","0.485971196874672","0.596553818174079"
"Full-time","1984","vocational + Abi","East Germany","","","",""
"Full-time","1984","higher vocational","West Germany","386","0.553588605264805","0.515662579988654","0.591514630540956"
"Full-time","1984","higher vocational","East Germany","","","",""
"Full-time","1984","higher education","West Germany","537","0.647601485895023","0.614352190228027","0.680850781562019"
"Full-time","1984","higher education","East Germany","","","",""
"Part-time","1984","in school","West Germany","1","","",""
"Part-time","1984","in school","East Germany","","","",""
"Part-time","1984","inadequately","West Germany","28","","",""
"Part-time","1984","inadequately","East Germany","","","",""
"Part-time","1984","general elemantary","West Germany","180","0.0528408660153954","0.0453951754090085","0.0602865566217823"
"Part-time","1984","general elemantary","East Germany","","","",""
"Part-time","1984","middle vocational","West Germany","331","0.0562233933871113","0.0502564285758708","0.0621903581983518"
"Part-time","1984","middle vocational","East Germany","","","",""
"Part-time","1984","vocational + Abi","West Germany","15","","",""
"Part-time","1984","vocational + Abi","East Germany","","","",""
"Part-time","1984","higher vocational","West Germany","44","0.0610163843924332","0.0427552242492311","0.0792775445356352"
"Part-time","1984","higher vocational","East Germany","","","",""
"Part-time","1984","higher education","West Germany","58","0.0741566477830211","0.0559195679852222","0.09239372758082"
"Part-time","1984","higher education","East Germany","","","",""
"Non-working","1984","in school","West Germany","184","0.982945434617734","0.96438824006594","1.00150262916953"
"Non-working","1984","in school","East Germany","","","",""
"Non-working","1984","inadequately","West Germany","421","0.491216308785487","0.460521567405359","0.521911050165615"
"Non-working","1984","inadequately","East Germany","","","",""
"Non-working","1984","general elemantary","West Germany","1824","0.625037322683282","0.608925096759769","0.641149548606795"
"Non-working","1984","general elemantary","East Germany","","","",""
"Non-working","1984","middle vocational","West Germany","2136","0.422550950029425","0.409755465904239","0.435346434154611"
"Non-working","1984","middle vocational","East Germany","","","",""
"Non-working","1984","vocational + Abi","West Germany","99","0.378781855247547","0.324956433231995","0.4326072772631"
"Non-working","1984","vocational + Abi","East Germany","","","",""
"Non-working","1984","higher vocational","West Germany","205","0.352113085537858","0.315674055338864","0.388552115736851"
"Non-working","1984","higher vocational","East Germany","","","",""
