"erwst","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Full Time","in school","1","","","","1"
"Full-time","1984","Full Time","inadequately","482","0.900323462582547","0.874500945404792","0.926145979760302","1"
"Full-time","1984","Full Time","general elemantary","912","0.720497751930893","0.694673481314233","0.746322022547553","1"
"Full-time","1984","Full Time","middle vocational","2697","0.914181687269661","0.904082751898891","0.924280622640431","1"
"Full-time","1984","Full Time","vocational + Abi","163","0.886107054932336","0.839697933467354","0.932516176397317","1"
"Full-time","1984","Full Time","higher vocational","347","0.947775548736905","0.924982771751332","0.970568325722479","1"
"Full-time","1984","Full Time","higher education","434","0.923026881081996","0.898877729297423","0.947176032866569","1"
"Full-time","1984","Part Time","in school","","","","","1"
"Full-time","1984","Part Time","inadequately","56","0.431381099007421","0.343497187570362","0.51926501044448","1"
"Full-time","1984","Part Time","general elemantary","125","0.180011604416796","0.147873813326713","0.21214939550688","1"
"Full-time","1984","Part Time","middle vocational","234","0.257492088445931","0.228602640524063","0.286381536367799","1"
"Full-time","1984","Part Time","vocational + Abi","17","","","","1"
"Full-time","1984","Part Time","higher vocational","33","0.306798486763024","0.219823860561338","0.39377311296471","1"
"Full-time","1984","Part Time","higher education","92","0.529882399399391","0.453727276824327","0.606037521974454","1"
"Full-time","1984","Not Working","in school","","","","","1"
"Full-time","1984","Not Working","inadequately","6","","","","1"
"Full-time","1984","Not Working","general elemantary","24","","","","1"
"Full-time","1984","Not Working","middle vocational","41","0.0165221988800982","0.0107753021579379","0.0222690956022586","1"
"Full-time","1984","Not Working","vocational + Abi","9","","","","1"
"Full-time","1984","Not Working","higher vocational","6","","","","1"
"Full-time","1984","Not Working","higher education","11","","","","1"
"Non-working","1984","Full Time","general elemantary","43","0.0438083460881376","0.0320303881385703","0.0555863040377048","5"
"Non-working","1984","Full Time","vocational + Abi","11","","","","5"
"Non-working","1984","Full Time","middle vocational","122","0.042637930684896","0.0353533339237539","0.0499225274460382","5"
"Non-working","1984","Part Time","vocational + Abi","17","","","","5"
"Non-working","1984","Full Time","inadequately","21","","","","5"
"Non-working","1984","Part Time","higher vocational","20","","","","5"
"Non-working","1984","Part Time","higher education","21","","","","5"
"Non-working","1984","Full Time","higher vocational","10","","","","5"
"Non-working","1984","Full Time","in school","","","","","5"
"Non-working","1984","Full Time","higher education","5","","","","5"
"Non-working","1984","Part Time","middle vocational","199","0.228074352250486","0.200351831613136","0.255796872887837","5"
"Non-working","1984","Part Time","in school","7","","","","5"
"Non-working","1984","Part Time","inadequately","28","","","","5"
"Non-working","1984","Part Time","general elemantary","83","0.141059011131013","0.111942187205136","0.17017583505689","5"
"Non-working","1984","Not Working","in school","177","0.996369180115318","0.987533284325319","1.00520507590532","5"
"Non-working","1984","Not Working","inadequately","372","0.972721382553271","0.956343351065214","0.989099414041328","5"
"Non-working","1984","Not Working","general elemantary","1698","0.976888592928087","0.969866753661542","0.983910432194632","5"
"Non-working","1984","Not Working","middle vocational","1815","0.969774401239236","0.962055775144271","0.977493027334201","5"
"Non-working","1984","Not Working","vocational + Abi","71","0.879849161275871","0.809042666226862","0.95065565632488","5"
"Non-working","1984","Not Working","higher vocational","175","0.957198129678813","0.928109456446967","0.98628680291066","5"
"Non-working","1984","Not Working","higher education","144","0.914360405955075","0.871000921922785","0.957719889987365","5"
"Other","1984","Not Working","higher education","3","","","","6"
"Other","1984","Part Time","vocational + Abi","5","","","","6"
"Other","1984","Full Time","general elemantary","179","0.204008230206139","0.180818418130682","0.227198042281595","6"
"Other","1984","Part Time","middle vocational","179","0.206238610130164","0.179506285487663","0.232970934772665","6"
"Other","1984","Part Time","higher vocational","19","","","","6"
"Other","1984","Not Working","higher vocational","3","","","","6"
"Other","1984","Full Time","inadequately","7","","","","6"
"Other","1984","Full Time","middle vocational","81","0.0235111209588776","0.0180480144561756","0.0289742274615797","6"
"Other","1984","Full Time","in school","","","","","6"
"Other","1984","Full Time","vocational + Abi","4","","","","6"
"Other","1984","Full Time","higher vocational","3","","","","6"
"Other","1984","Full Time","higher education","7","","","","6"
"Other","1984","Part Time","in school","1","","","","6"
"Other","1984","Part Time","inadequately","17","","","","6"
"Other","1984","Part Time","general elemantary","190","0.382309379555831","0.341659908509177","0.422958850602484","6"
"Other","1984","Part Time","higher education","18","","","","6"
"Other","1984","Not Working","in school","","","","","6"
"Other","1984","Not Working","inadequately","2","","","","6"
"Other","1984","Not Working","general elemantary","34","0.0128563731686513","0.00759178286971735","0.0181209634675853","6"
"Other","1984","Not Working","middle vocational","26","","","","6"
"Other","1984","Not Working","vocational + Abi","","","","","6"
"Part-time","1984","Full Time","middle vocational","55","0.0196692610865654","0.0146625828542099","0.0246759393189209","2"
"Part-time","1984","Full Time","general elemantary","26","","","","2"
"Part-time","1984","Full Time","higher education","22","","","","2"
"Part-time","1984","Full Time","vocational + Abi","2","","","","2"
"Part-time","1984","Full Time","inadequately","7","","","","2"
"Part-time","1984","Full Time","higher vocational","6","","","","2"
"Part-time","1984","Full Time","in school","","","","","2"
"Part-time","1984","Part Time","in school","","","","","2"
"Part-time","1984","Part Time","inadequately","21","","","","2"
"Part-time","1984","Part Time","general elemantary","151","0.29662000489636","0.258411755152779","0.334828254639941","2"
"Part-time","1984","Part Time","middle vocational","268","0.308194949173419","0.277687114958378","0.338702783388459","2"
"Part-time","1984","Part Time","vocational + Abi","12","","","","2"
"Part-time","1984","Part Time","higher vocational","36","0.316694750501842","0.228961539595843","0.404427961407841","2"
"Part-time","1984","Part Time","higher education","34","0.215296372927483","0.152580523954479","0.278012221900487","2"
"Part-time","1984","Not Working","in school","1","","","","2"
"Part-time","1984","Not Working","inadequately","","","","","2"
"Part-time","1984","Not Working","general elemantary","3","","","","2"
"Part-time","1984","Not Working","middle vocational","8","","","","2"
"Part-time","1984","Not Working","vocational + Abi","1","","","","2"
"Part-time","1984","Not Working","higher vocational","2","","","","2"
"Part-time","1984","Not Working","higher education","2","","","","2"
"Full-time","1985","Full Time","in school","","","","","1"
"Full-time","1985","Full Time","inadequately","386","0.892756707710161","0.862658772414312","0.92285464300601","1"
"Full-time","1985","Full Time","general elemantary","827","0.779094421280068","0.753407466607377","0.804781375952759","1"
"Full-time","1985","Full Time","middle vocational","2382","0.929007243357129","0.919082273898194","0.938932212816064","1"
"Full-time","1985","Full Time","vocational + Abi","139","0.915902714557857","0.871636204970015","0.9601692241457","1"
"Full-time","1985","Full Time","higher vocational","323","0.933856949169006","0.907707313498507","0.960006584839506","1"
"Full-time","1985","Full Time","higher education","440","0.953762870715837","0.934634709101516","0.972891032330158","1"
"Full-time","1985","Part Time","in school","","","","","1"
"Full-time","1985","Part Time","inadequately","41","0.373780296176748","0.279426588586112","0.468134003767385","1"
