"erwst","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Full Time","(0) in school","1","","",""
"Full-time","1984","Full Time","(1a) inadequately completed","551","0.899328134377292","0.875130772640833","0.92352549611375"
"Full-time","1984","Full Time","(1b) general elementary school","863","0.786742501088807","0.761776080443336","0.811708921734277"
"Full-time","1984","Full Time","(1c) basic vocational qualification","2148","0.932016061185607","0.921746661700601","0.942285460670613"
"Full-time","1984","Full Time","(2b) intermediate general qualification","54","0.409053545913565","0.325179948284947","0.492927143542182"
"Full-time","1984","Full Time","(2a) intermediate vocational","693","0.903883276068598","0.883050815114261","0.924715737022936"
"Full-time","1984","Full Time","(2c_gen) general maturity certificate","53","0.475897579940946","0.365769168164067","0.586025991717825"
"Full-time","1984","Full Time","(2c_voc) vocational maturity certificate","228","0.905048145206949","0.868636861955152","0.941459428458745"
"Full-time","1984","Full Time","(3a) lower tertiary education","158","0.938453003256611","0.902002833720913","0.974903172792309"
"Full-time","1984","Full Time","(3b) higher tertiary education","276","0.913278873819039","0.881486057309688","0.945071690328389"
"Full-time","1984","Part Time","(0) in school","","","",""
"Full-time","1984","Part Time","(1a) inadequately completed","56","0.465828184307655","0.377672788260847","0.553983580354463"
"Full-time","1984","Part Time","(1b) general elementary school","114","0.197008476478897","0.160341355599278","0.233675597358516"
"Full-time","1984","Part Time","(1c) basic vocational qualification","184","0.285324278361245","0.249635275726348","0.321013280996143"
"Full-time","1984","Part Time","(2b) intermediate general qualification","13","","",""
"Full-time","1984","Part Time","(2a) intermediate vocational","58","0.267139572016662","0.210326289890111","0.323952854143213"
"Full-time","1984","Part Time","(2c_gen) general maturity certificate","14","","",""
"Full-time","1984","Part Time","(2c_voc) vocational maturity certificate","26","","",""
"Full-time","1984","Part Time","(3a) lower tertiary education","20","","",""
"Full-time","1984","Part Time","(3b) higher tertiary education","72","0.539274874364745","0.452584221769649","0.625965526959841"
"Full-time","1984","Not Working","(0) in school","","","",""
"Full-time","1984","Not Working","(1a) inadequately completed","8","","",""
"Full-time","1984","Not Working","(1b) general elementary school","23","","",""
"Full-time","1984","Not Working","(1c) basic vocational qualification","33","0.018853240218184","0.0115874049275964","0.0261190755087716"
"Full-time","1984","Not Working","(2b) intermediate general qualification","1","","",""
"Full-time","1984","Not Working","(2a) intermediate vocational","7","","",""
"Full-time","1984","Not Working","(2c_gen) general maturity certificate","4","","",""
"Full-time","1984","Not Working","(2c_voc) vocational maturity certificate","10","","",""
"Full-time","1984","Not Working","(3a) lower tertiary education","3","","",""
"Full-time","1984","Not Working","(3b) higher tertiary education","8","","",""
"Part-time","1984","Full Time","(0) in school","","","",""
"Part-time","1984","Full Time","(1a) inadequately completed","7","","",""
"Part-time","1984","Full Time","(1b) general elementary school","22","","",""
"Part-time","1984","Full Time","(1c) basic vocational qualification","35","0.0163489957734706","0.0111753552529944","0.0215226362939469"
"Part-time","1984","Full Time","(2b) intermediate general qualification","4","","",""
"Part-time","1984","Full Time","(2a) intermediate vocational","23","","",""
"Part-time","1984","Full Time","(2c_gen) general maturity certificate","1","","",""
"Part-time","1984","Full Time","(2c_voc) vocational maturity certificate","4","","",""
"Part-time","1984","Full Time","(3a) lower tertiary education","7","","",""
"Part-time","1984","Full Time","(3b) higher tertiary education","15","","",""
"Part-time","1984","Part Time","(0) in school","1","","",""
"Part-time","1984","Part Time","(1a) inadequately completed","21","","",""
"Part-time","1984","Part Time","(1b) general elementary school","139","0.340372726251162","0.296690420703841","0.384055031798482"
"Part-time","1984","Part Time","(1c) basic vocational qualification","191","0.316030006454968","0.279285432369334","0.352774580540601"
"Part-time","1984","Part Time","(2b) intermediate general qualification","13","","",""
"Part-time","1984","Part Time","(2a) intermediate vocational","91","0.375521764781693","0.31334239149272","0.437701138070665"
"Part-time","1984","Part Time","(2c_gen) general maturity certificate","11","","",""
"Part-time","1984","Part Time","(2c_voc) vocational maturity certificate","20","","",""
"Part-time","1984","Part Time","(3a) lower tertiary education","5","","",""
"Part-time","1984","Part Time","(3b) higher tertiary education","29","","",""
"Part-time","1984","Not Working","(0) in school","1","","",""
"Part-time","1984","Not Working","(1a) inadequately completed","","","",""
"Part-time","1984","Not Working","(1b) general elementary school","3","","",""
"Part-time","1984","Not Working","(1c) basic vocational qualification","7","","",""
"Part-time","1984","Not Working","(2b) intermediate general qualification","","","",""
"Part-time","1984","Not Working","(2a) intermediate vocational","3","","",""
"Part-time","1984","Not Working","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1984","Not Working","(3a) lower tertiary education","","","",""
"Part-time","1984","Not Working","(3b) higher tertiary education","2","","",""
"Non-working","1984","Full Time","(0) in school","","","",""
"Non-working","1984","Full Time","(1a) inadequately completed","28","","",""
"Non-working","1984","Full Time","(1b) general elementary school","35","0.0379355518909339","0.0262912593424949","0.0495798444393729"
"Non-working","1984","Full Time","(1c) basic vocational qualification","86","0.0388706718140631","0.0309851193237448","0.0467562243043813"
"Non-working","1984","Full Time","(2b) intermediate general qualification","8","","",""
"Non-working","1984","Full Time","(2a) intermediate vocational","30","0.041697031430047","0.027568764019212","0.055825298840882"
"Non-working","1984","Full Time","(2c_gen) general maturity certificate","7","","",""
"Non-working","1984","Full Time","(2c_voc) vocational maturity certificate","13","","",""
"Non-working","1984","Full Time","(3a) lower tertiary education","2","","",""
"Non-working","1984","Full Time","(3b) higher tertiary education","3","","",""
"Non-working","1984","Part Time","(0) in school","7","","",""
"Non-working","1984","Part Time","(1a) inadequately completed","30","0.245673252053113","0.169596103476861","0.321750400629365"
"Non-working","1984","Part Time","(1b) general elementary school","74","0.155551944708171","0.122139899060695","0.188963990355647"
"Non-working","1984","Part Time","(1c) basic vocational qualification","142","0.23895660920668","0.20525312762259","0.27266009079077"
"Non-working","1984","Part Time","(2b) intermediate general qualification","11","","",""
"Non-working","1984","Part Time","(2a) intermediate vocational","37","0.15767350333672","0.110879551868475","0.204467454804966"
"Non-working","1984","Part Time","(2c_gen) general maturity certificate","32","0.331393370457044","0.240926687112673","0.421860053801415"
"Non-working","1984","Part Time","(2c_voc) vocational maturity certificate","21","","",""
"Non-working","1984","Part Time","(3a) lower tertiary education","6","","",""
"Non-working","1984","Part Time","(3b) higher tertiary education","15","","",""
"Non-working","1984","Not Working","(0) in school","177","0.996369180115318","0.987533284325319","1.00520507590532"
"Non-working","1984","Not Working","(1a) inadequately completed","388","0.971085654592408","0.954623297928585","0.987548011256231"
