"erwst","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Not Employed","1-pers.-HH","10","","",""
"Full-time","1984","Not Employed","(Married) couple without C. ","15","","",""
"Full-time","1984","Not Employed","Single parent ","6","","",""
"Full-time","1984","Not Employed","Couple + C. LE 16 ","22","","",""
"Full-time","1984","Not Employed","Couple + C. GT 16 ","18","","",""
"Full-time","1984","Not Employed","Couple + C. LE and GT 16","18","","",""
"Full-time","1984","Employed","1-pers.-HH","548","0.77418214872158","0.742709452063468","0.805654845379692"
"Full-time","1984","Employed","(Married) couple without C. ","1178","0.756418374548958","0.734652501620231","0.778184247477685"
"Full-time","1984","Employed","Single parent ","234","0.638692368839831","0.588365663548119","0.689019074131544"
"Full-time","1984","Employed","Couple + C. LE 16 ","1704","0.748872421825426","0.730714003156744","0.767030840494108"
"Full-time","1984","Employed","Couple + C. GT 16 ","899","0.672187270398461","0.646679794108762","0.69769474668816"
"Full-time","1984","Employed","Couple + C. LE and GT 16","758","0.66280407619452","0.635055263805422","0.690552888583618"
"Part-time","1984","Not Employed","1-pers.-HH","2","","",""
"Part-time","1984","Not Employed","(Married) couple without C. ","1","","",""
"Part-time","1984","Not Employed","Single parent ","2","","",""
"Part-time","1984","Not Employed","Couple + C. LE 16 ","5","","",""
"Part-time","1984","Not Employed","Couple + C. GT 16 ","2","","",""
"Part-time","1984","Not Employed","Couple + C. LE and GT 16","4","","",""
"Part-time","1984","Employed","1-pers.-HH","26","","",""
"Part-time","1984","Employed","(Married) couple without C. ","125","0.0971698327768237","0.0821508143183299","0.112188851235318"
"Part-time","1984","Employed","Single parent ","32","0.112453834436114","0.0793562210120412","0.145551447860186"
"Part-time","1984","Employed","Couple + C. LE 16 ","229","0.119959906579526","0.106354980360136","0.133564832798916"
"Part-time","1984","Employed","Couple + C. GT 16 ","114","0.0967912096053188","0.0807247021748055","0.112857717035832"
"Part-time","1984","Employed","Couple + C. LE and GT 16","82","0.0768774214771247","0.0612409143105943","0.0925139286436552"
"Non-working","1984","Not Employed","1-pers.-HH","642","0.984809500491049","0.975457004116094","0.994161996866003"
"Non-working","1984","Not Employed","(Married) couple without C. ","1193","0.987454154098203","0.981185353374157","0.993722954822248"
"Non-working","1984","Not Employed","Single parent ","219","0.956347837623192","0.929884710017747","0.982810965228637"
"Non-working","1984","Not Employed","Couple + C. LE 16 ","853","0.959189470686061","0.946198321976029","0.972180619396094"
"Non-working","1984","Not Employed","Couple + C. GT 16 ","651","0.944650690557188","0.927613939778078","0.961687441336298"
"Non-working","1984","Not Employed","Couple + C. LE and GT 16","563","0.940748847867187","0.921935952024401","0.959561743709974"
"Non-working","1984","Employed","1-pers.-HH","64","0.103774507205106","0.0808189821613812","0.126730032248831"
"Non-working","1984","Employed","(Married) couple without C. ","133","0.101270675559153","0.0859728712166047","0.116568479901701"
"Non-working","1984","Employed","Single parent ","34","0.109696179097147","0.0769561592929869","0.142436198901307"
"Non-working","1984","Employed","Couple + C. LE 16 ","145","0.0684481495376345","0.0578748320147496","0.0790214670605193"
"Non-working","1984","Employed","Couple + C. GT 16 ","93","0.0745967774902318","0.0603198425689231","0.0888737124115405"
"Non-working","1984","Employed","Couple + C. LE and GT 16","77","0.0590352116448504","0.0452010480959141","0.0728693751937868"
"Other","1984","Not Employed","1-pers.-HH","3","","",""
"Other","1984","Not Employed","(Married) couple without C. ","2","","",""
"Other","1984","Not Employed","Single parent ","2","","",""
"Other","1984","Not Employed","Couple + C. LE 16 ","11","","",""
"Other","1984","Not Employed","Couple + C. GT 16 ","21","","",""
"Other","1984","Not Employed","Couple + C. LE and GT 16","20","","",""
