"erwst","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","Schleswig-Holstein","Urban Area","71","0.400932791244459","0.327044044299312","0.474821538189606"
"Full-time","1985","Schleswig-Holstein","Rural Area","89","0.426653192766154","0.355382919170181","0.497923466362127"
"Full-time","1985","Hamburg","Urban Area","127","0.397499751208341","0.339659683859104","0.455339818557578"
"Full-time","1985","Hamburg","Rural Area","2","","",""
"Full-time","1985","Lower Saxony","Urban Area","249","0.402216442673116","0.362345002970556","0.442087882375677"
"Full-time","1985","Lower Saxony","Rural Area","202","0.336671654366093","0.296324738933296","0.377018569798889"
"Full-time","1985","Bremen","Urban Area","31","0.199693787913525","0.126944379192081","0.272443196634969"
"Full-time","1985","Bremen","Rural Area","","","",""
"Full-time","1985","North Rhine-Westphalia","Urban Area","1331","0.412521753359305","0.394607712966866","0.430435793751743"
"Full-time","1985","North Rhine-Westphalia","Rural Area","35","0.429455385227649","0.3159045082458","0.543006262209497"
"Full-time","1985","Hesse","Urban Area","490","0.427098316423718","0.396191482335777","0.458005150511658"
"Full-time","1985","Hesse","Rural Area","64","0.353334430004061","0.278082942250795","0.428585917757328"
"Full-time","1985","Rhineland-Palatinate,Saarland","Urban Area","296","0.421556231921063","0.383148420679189","0.459964043162936"
"Full-time","1985","Rhineland-Palatinate,Saarland","Rural Area","51","0.342831157291945","0.264205788064328","0.421456526519562"
"Full-time","1985","Baden-Württemberg","Urban Area","937","0.467524816531056","0.444208110814236","0.490841522247875"
"Full-time","1985","Baden-Württemberg","Rural Area","149","0.420574425555653","0.364526412751372","0.476622438359934"
"Full-time","1985","Bavaria","Urban Area","510","0.436874261959349","0.406360483529534","0.467388040389165"
"Full-time","1985","Bavaria","Rural Area","441","0.433843534586838","0.401464668413773","0.466222400759902"
"Full-time","1985","Berlin","Urban Area","181","0.447704261561302","0.396899356757748","0.498509166364857"
"Full-time","1985","Berlin","Rural Area","","","",""
"Full-time","1985","Brandenburg","Urban Area","","","",""
"Full-time","1985","Brandenburg","Rural Area","","","",""
"Full-time","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Full-time","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Full-time","1985","Saxony","Urban Area","","","",""
"Full-time","1985","Saxony","Rural Area","","","",""
