"erwst","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1985","16-34 y.","Urban Area","1662","0.512014945631343","0.49509337521234","0.528936516050347","1"
"Full-time","1985","16-34 y.","Rural Area","422","0.497320734980869","0.463326024388361","0.531315445573377","1"
"Full-time","1985","35-65 y.","Urban Area","2549","0.505861190071522","0.491435072773331","0.520287307369712","1"
"Full-time","1985","35-65 y.","Rural Area","605","0.480769023855495","0.452164625270819","0.509373422440172","1"
"Full-time","1985","66 and older","Urban Area","12","","","","1"
"Full-time","1985","66 and older","Rural Area","6","","","","1"
"Non-working","1985","16-34 y.","Urban Area","1201","0.335102817778896","0.319123347727805","0.351082287829987","5"
"Non-working","1985","16-34 y.","Rural Area","292","0.350638163273019","0.318195197291304","0.383081129254734","5"
"Non-working","1985","35-65 y.","Urban Area","1568","0.374633606353746","0.360667352487796","0.388599860219695","5"
"Non-working","1985","35-65 y.","Rural Area","427","0.390387039025272","0.362457801699586","0.418316276350957","5"
"Non-working","1985","66 and older","Urban Area","798","0.961810469212281","0.948826655573738","0.974794282850825","5"
"Non-working","1985","66 and older","Rural Area","272","0.975309477289021","0.957165550059172","0.993453404518869","5"
"Other","1985","16-34 y.","Urban Area","317","0.10040127880879","0.0902273165331784","0.110575241084402","6"
"Other","1985","16-34 y.","Rural Area","72","0.0946815456144769","0.0747756860766503","0.114587405152303","6"
"Other","1985","35-65 y.","Urban Area","82","0.0203930246783421","0.0163147539449616","0.0244712954117227","6"
"Other","1985","66 and older","Urban Area","12","","","","6"
"Other","1985","35-65 y.","Rural Area","33","0.030717038741776","0.02083835124482","0.040595726238732","6"
"Other","1985","66 and older","Rural Area","2","","","","6"
"Part-time","1985","16-34 y.","Rural Area","45","0.0573595561316353","0.0415498606559178","0.0731692516073527","2"
"Part-time","1985","35-65 y.","Urban Area","415","0.0991121788963905","0.0904901759732051","0.107734181819576","2"
"Part-time","1985","35-65 y.","Rural Area","107","0.0981268983774569","0.0810954713464516","0.115158325408462","2"
"Part-time","1985","16-34 y.","Urban Area","172","0.05248095778097","0.0449319315303594","0.0600299840315807","2"
"Part-time","1985","66 and older","Urban Area","15","","","","2"
"Part-time","1985","66 and older","Rural Area","1","","","","2"
"Full-time","1986","16-34 y.","Urban Area","1615","0.509106353432321","0.492005782365836","0.526206924498807","1"
"Full-time","1986","16-34 y.","Rural Area","398","0.498625412985237","0.464298270729689","0.532952555240785","1"
"Full-time","1986","35-65 y.","Urban Area","2423","0.509661759003533","0.494872234632599","0.524451283374468","1"
"Full-time","1986","35-65 y.","Rural Area","584","0.493029158865553","0.463604589799139","0.522453727931968","1"
"Full-time","1986","66 and older","Urban Area","7","","","","1"
"Full-time","1986","66 and older","Rural Area","3","","","","1"
"Non-working","1986","16-34 y.","Urban Area","1167","0.33232863012968","0.316215574545117","0.348441685714243","5"
"Non-working","1986","16-34 y.","Rural Area","254","0.293953334133508","0.262676327288357","0.325230340978659","5"
"Non-working","1986","35-65 y.","Urban Area","1494","0.374419902217256","0.360101774725051","0.38873802970946","5"
"Non-working","1986","35-65 y.","Rural Area","406","0.394731458656856","0.365963619707104","0.423499297606607","5"
"Non-working","1986","66 and older","Urban Area","761","0.971505004671909","0.959873292843629","0.98313671650019","5"
"Non-working","1986","66 and older","Rural Area","256","0.983823585973716","0.96851878877097","0.999128383176462","5"
"Other","1986","16-34 y.","Urban Area","345","0.108105009444919","0.0974833488089696","0.118726670080868","6"
"Other","1986","16-34 y.","Rural Area","115","0.144233967502017","0.120113785318663","0.16835414968537","6"
"Other","1986","35-65 y.","Urban Area","126","0.0311356089154745","0.0259972376588795","0.0362739801720695","6"
"Other","1986","66 and older","Urban Area","9","","","","6"
"Other","1986","35-65 y.","Rural Area","36","0.0349483630339533","0.0241397240085862","0.0457570020593204","6"
"Other","1986","66 and older","Rural Area","2","","","","6"
"Part-time","1986","16-34 y.","Rural Area","48","0.0631872853792379","0.0464836683655863","0.0798909023928895","2"
"Part-time","1986","16-34 y.","Urban Area","156","0.05046000699308","0.0429724018583761","0.0579476121277839","2"
"Part-time","1986","35-65 y.","Rural Area","83","0.0772910194436377","0.0615736735992706","0.0930083652880049","2"
"Part-time","1986","35-65 y.","Urban Area","346","0.0847827298637365","0.0765417073245482","0.0930237524029249","2"
"Part-time","1986","66 and older","Urban Area","9","","","","2"
"Part-time","1986","66 and older","Rural Area","","","","","2"
"Full-time","1987","16-34 y.","Urban Area","1563","0.510712713040817","0.493470842942327","0.527954583139307","1"
"Full-time","1987","16-34 y.","Rural Area","398","0.509704227974326","0.475383421943964","0.544025034004688","1"
"Full-time","1987","35-65 y.","Urban Area","2402","0.522835141785684","0.507909620811422","0.537760662759947","1"
"Full-time","1987","35-65 y.","Rural Area","580","0.507569991674643","0.477739693599261","0.537400289750025","1"
"Full-time","1987","66 and older","Urban Area","10","","","","1"
"Full-time","1987","66 and older","Rural Area","4","","","","1"
"Non-working","1987","16-34 y.","Urban Area","1115","0.314076564880726","0.298067363958543","0.330085765802908","5"
"Non-working","1987","16-34 y.","Rural Area","245","0.279995414510658","0.24916975498194","0.310821074039375","5"
"Non-working","1987","35-65 y.","Rural Area","354","0.352494957222336","0.323989015010085","0.381000899434586","5"
"Non-working","1987","35-65 y.","Urban Area","1450","0.362062924642837","0.347701621910431","0.376424227375242","5"
"Non-working","1987","66 and older","Urban Area","792","0.970604438356073","0.959050274289724","0.982158602422422","5"
"Non-working","1987","66 and older","Rural Area","257","0.982917857891958","0.967287248667191","0.998548467116725","5"
"Other","1987","16-34 y.","Urban Area","404","0.125337467761097","0.113917239400949","0.136757696121245","6"
"Other","1987","16-34 y.","Rural Area","122","0.139271482156119","0.115501246814794","0.163041717497443","6"
"Other","1987","35-65 y.","Urban Area","86","0.0234198138042202","0.0189006450261214","0.0279389825823189","6"
"Other","1987","66 and older","Urban Area","8","","","","6"
"Other","1987","35-65 y.","Rural Area","28","","","","6"
"Other","1987","66 and older","Rural Area","3","","","","6"
"Part-time","1987","16-34 y.","Urban Area","147","0.0498732543173598","0.0423650048482168","0.0573815037865028","2"
"Part-time","1987","35-65 y.","Rural Area","117","0.114769288045021","0.0957506922298239","0.133787883860218","2"
"Part-time","1987","16-34 y.","Rural Area","50","0.0710288753588977","0.0533933718657941","0.0886643788520012","2"
"Part-time","1987","35-65 y.","Urban Area","364","0.0916821197672591","0.0830588069119164","0.100305432622602","2"
"Part-time","1987","66 and older","Urban Area","11","","","","2"
"Part-time","1987","66 and older","Rural Area","","","","","2"
"Full-time","1988","16-34 y.","Urban Area","1477","0.508151096965015","0.490552439783992","0.525749754146038","1"
"Full-time","1988","16-34 y.","Rural Area","368","0.493935892072447","0.45822598961292","0.529645794531974","1"
"Full-time","1988","35-65 y.","Urban Area","2268","0.530622123161281","0.515327442223389","0.545916804099174","1"
"Full-time","1988","35-65 y.","Rural Area","541","0.496794990820009","0.466156218729463","0.527433762910556","1"
"Full-time","1988","66 and older","Urban Area","11","","","","1"
"Full-time","1988","66 and older","Rural Area","4","","","","1"
"Non-working","1988","16-34 y.","Urban Area","1065","0.320737548079321","0.304306663278728","0.337168432879915","5"
"Non-working","1988","16-34 y.","Rural Area","229","0.298839096792457","0.266144336591559","0.331533856993355","5"
"Non-working","1988","35-65 y.","Rural Area","355","0.375568218169486","0.345892776550786","0.405243659788185","5"
"Non-working","1988","35-65 y.","Urban Area","1365","0.347884739433669","0.333287648690804","0.362481830176535","5"
"Non-working","1988","66 and older","Urban Area","780","0.971533670809865","0.960059904884228","0.983007436735501","5"
"Non-working","1988","66 and older","Rural Area","239","0.974153912500453","0.954365506643998","0.993942318356908","5"
"Other","1988","16-34 y.","Urban Area","410","0.121377726706949","0.10988196248021","0.132873490933688","6"
"Other","1988","16-34 y.","Rural Area","118","0.14877923629161","0.123361148824134","0.174197323759085","6"
"Other","1988","35-65 y.","Urban Area","74","0.0204430812932748","0.0161062307767467","0.024779931809803","6"
"Other","1988","35-65 y.","Rural Area","27","","","","6"
"Other","1988","66 and older","Urban Area","7","","","","6"
"Other","1988","66 and older","Rural Area","2","","","","6"
"Part-time","1988","16-34 y.","Rural Area","38","0.0584457748434859","0.0416905665357126","0.0752009831512592","2"
"Part-time","1988","35-65 y.","Urban Area","383","0.101050056111774","0.0918132363067527","0.110286875916796","2"
"Part-time","1988","16-34 y.","Urban Area","148","0.0497336282487148","0.0420809228254728","0.0573863336719569","2"
"Part-time","1988","35-65 y.","Rural Area","100","0.0991896453155125","0.0808724014393431","0.117506889191682","2"
"Part-time","1988","66 and older","Urban Area","9","","","","2"
"Part-time","1988","66 and older","Rural Area","2","","","","2"
"Full-time","1989","16-34 y.","Urban Area","1544","0.524073156090581","0.506357764895674","0.541788547285489","1"
"Full-time","1989","16-34 y.","Rural Area","376","0.529012077890328","0.492551838002364","0.565472317778292","1"
"Full-time","1989","35-65 y.","Urban Area","2184","0.529586682778644","0.51401545493124","0.545157910626048","1"
"Full-time","1989","35-65 y.","Rural Area","514","0.497721721399007","0.466093266945441","0.529350175852573","1"
"Full-time","1989","66 and older","Urban Area","8","","","","1"
"Full-time","1989","66 and older","Rural Area","6","","","","1"
"Non-working","1989","16-34 y.","Rural Area","215","0.298456816710886","0.265033480422692","0.331880152999079","5"
"Non-working","1989","16-34 y.","Urban Area","976","0.29478169462104","0.278608465733265","0.310954923508815","5"
"Non-working","1989","35-65 y.","Rural Area","318","0.366348127670944","0.335870242821745","0.396826012520143","5"
"Non-working","1989","35-65 y.","Urban Area","1327","0.353184289399387","0.33827333314125","0.368095245657524","5"
"Non-working","1989","66 and older","Urban Area","762","0.975942671414137","0.965230619429255","0.986654723399019","5"
"Non-working","1989","66 and older","Rural Area","231","0.956989625092872","0.931481109708052","0.982498140477693","5"
"Other","1989","16-34 y.","Urban Area","368","0.120946158939045","0.109380018347488","0.132512299530602","6"
"Other","1989","16-34 y.","Rural Area","89","0.112998244040251","0.0898733404948328","0.136123147585669","6"
"Other","1989","35-65 y.","Urban Area","83","0.0225954780876359","0.0179592748363122","0.0272316813389597","6"
"Other","1989","66 and older","Urban Area","8","","","","6"
"Other","1989","35-65 y.","Rural Area","25","","","","6"
"Other","1989","66 and older","Rural Area","1","","","","6"
"Part-time","1989","16-34 y.","Urban Area","165","0.0601989903493338","0.0517618116765126","0.0686361690221549","2"
"Part-time","1989","16-34 y.","Rural Area","40","0.0595328613585355","0.0422493478341793","0.0768163748828918","2"
"Part-time","1989","35-65 y.","Rural Area","103","0.112364200960888","0.0923865756689211","0.132341826252855","2"
"Part-time","1989","35-65 y.","Urban Area","353","0.0946335497343332","0.0855018990112068","0.10376520045746","2"
"Part-time","1989","66 and older","Urban Area","8","","","","2"
"Part-time","1989","66 and older","Rural Area","5","","","","2"
"Full-time","1990","16-34 y.","Urban Area","1881","0.53509600613815","0.518595699083622","0.551596313192678","1"
"Full-time","1990","16-34 y.","Rural Area","1105","0.590635182994206","0.567982287705447","0.613288078282965","1"
"Full-time","1990","35-65 y.","Urban Area","2753","0.5608642625675","0.546636650598083","0.575091874536917","1"
