"erwst","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","16-34 y.","(0) in school","1","","",""
"Full-time","1984","16-34 y.","(1a) inadequately completed","153","0.402768854794966","0.349932450079465","0.455605259510467"
"Full-time","1984","16-34 y.","(1b) general elementary school","358","0.316228964173258","0.286471025476429","0.345986902870087"
"Full-time","1984","16-34 y.","(1c) basic vocational qualification","862","0.677631011654099","0.652165393800129","0.703096629508069"
"Full-time","1984","16-34 y.","(2b) intermediate general qualification","46","0.128437907364439","0.0940668275602545","0.162808987168624"
"Full-time","1984","16-34 y.","(2a) intermediate vocational","416","0.665971198566894","0.62954407837503","0.702398318758758"
"Full-time","1984","16-34 y.","(2c_gen) general maturity certificate","38","0.0607130000566172","0.0359066370566363","0.0855193630565981"
"Full-time","1984","16-34 y.","(2c_voc) vocational maturity certificate","122","0.548462222697012","0.482249929547415","0.61467451584661"
"Full-time","1984","16-34 y.","(3a) lower tertiary education","54","0.769509697027544","0.670851664832923","0.868167729222166"
"Full-time","1984","16-34 y.","(3b) higher tertiary education","117","0.671103314793972","0.602085289384387","0.740121340203557"
"Full-time","1984","35-65 y.","(0) in school","","","",""
"Full-time","1984","35-65 y.","(1a) inadequately completed","462","0.568837208146951","0.533766192588241","0.603908223705661"
"Full-time","1984","35-65 y.","(1b) general elementary school","640","0.30139880287061","0.278837116039739","0.323960489701482"
"Full-time","1984","35-65 y.","(1c) basic vocational qualification","1498","0.570572046318048","0.551137497034887","0.590006595601209"
"Full-time","1984","35-65 y.","(2b) intermediate general qualification","22","","",""
"Full-time","1984","35-65 y.","(2a) intermediate vocational","339","0.54231488791516","0.50313064615821","0.581499129672111"
"Full-time","1984","35-65 y.","(2c_gen) general maturity certificate","33","0.433961227085629","0.299252735255873","0.568669718915384"
"Full-time","1984","35-65 y.","(2c_voc) vocational maturity certificate","140","0.652275872979634","0.585939982104754","0.718611763854513"
"Full-time","1984","35-65 y.","(3a) lower tertiary education","125","0.713215822783592","0.645823082255118","0.780608563312065"
"Full-time","1984","35-65 y.","(3b) higher tertiary education","236","0.753357610375271","0.705295448596251","0.801419772154291"
"Full-time","1984","66 and older","(0) in school","","","",""
"Full-time","1984","66 and older","(1a) inadequately completed","","","",""
"Full-time","1984","66 and older","(1b) general elementary school","2","","",""
"Full-time","1984","66 and older","(1c) basic vocational qualification","5","","",""
"Full-time","1984","66 and older","(2b) intermediate general qualification","","","",""
"Full-time","1984","66 and older","(2a) intermediate vocational","3","","",""
"Full-time","1984","66 and older","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"Full-time","1984","66 and older","(3a) lower tertiary education","2","","",""
"Full-time","1984","66 and older","(3b) higher tertiary education","3","","",""
"Part-time","1984","16-34 y.","(0) in school","2","","",""
"Part-time","1984","16-34 y.","(1a) inadequately completed","4","","",""
"Part-time","1984","16-34 y.","(1b) general elementary school","36","0.0381407353222078","0.0258833745508298","0.0503980960935858"
