"erwst","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Not Employed","in school","","","","","1"
"Full-time","1984","Not Employed","inadequately","6","","","","1"
"Full-time","1984","Not Employed","general elemantary","24","","","","1"
"Full-time","1984","Not Employed","middle vocational","41","0.0165221988800982","0.0107753021579379","0.0222690956022586","1"
"Full-time","1984","Not Employed","vocational + Abi","9","","","","1"
"Full-time","1984","Not Employed","higher vocational","6","","","","1"
"Full-time","1984","Not Employed","higher education","11","","","","1"
"Full-time","1984","Employed","in school","1","","","","1"
"Full-time","1984","Employed","inadequately","538","0.779905025536774","0.747781471766762","0.812028579306787","1"
"Full-time","1984","Employed","general elemantary","1037","0.514162269718455","0.490466393022367","0.537858146414542","1"
"Full-time","1984","Employed","middle vocational","2931","0.757634740019844","0.744072527931946","0.771196952107743","1"
"Full-time","1984","Employed","vocational + Abi","180","0.736963506038332","0.680186420481413","0.793740591595252","1"
"Full-time","1984","Employed","higher vocational","380","0.802042822683126","0.766171835826158","0.837913809540094","1"
"Full-time","1984","Employed","higher education","526","0.821354273168843","0.791513655199696","0.85119489113799","1"
"Non-working","1984","Not Employed","in school","177","0.996369180115318","0.987533284325319","1.00520507590532","5"
"Non-working","1984","Not Employed","inadequately","372","0.972721382553271","0.956343351065214","0.989099414041328","5"
"Non-working","1984","Not Employed","general elemantary","1698","0.976888592928087","0.969866753661542","0.983910432194632","5"
"Non-working","1984","Not Employed","middle vocational","1815","0.969774401239236","0.962055775144271","0.977493027334201","5"
"Non-working","1984","Not Employed","vocational + Abi","71","0.879849161275871","0.809042666226862","0.95065565632488","5"
"Non-working","1984","Not Employed","higher vocational","175","0.957198129678813","0.928109456446967","0.98628680291066","5"
"Non-working","1984","Not Employed","higher education","144","0.914360405955075","0.871000921922785","0.957719889987365","5"
"Non-working","1984","Employed","in school","7","","","","5"
"Non-working","1984","Employed","inadequately","49","0.100328811415011","0.0770343645781865","0.123623258251836","5"
"Non-working","1984","Employed","general elemantary","126","0.0809346683063748","0.0680041019476128","0.0938652346651367","5"
"Non-working","1984","Employed","middle vocational","321","0.0868437560200639","0.0779310977989653","0.0957564142411624","5"
"Non-working","1984","Employed","vocational + Abi","28","","","","5"
"Non-working","1984","Employed","higher vocational","30","0.0706404631756343","0.0475741826646147","0.0937067436866539","5"
"Non-working","1984","Employed","higher education","26","","","","5"
"Other","1984","Not Employed","general elemantary","34","0.0128563731686513","0.00759178286971735","0.0181209634675853","6"
"Other","1984","Not Employed","inadequately","2","","","","6"
"Other","1984","Not Employed","middle vocational","26","","","","6"
"Other","1984","Not Employed","vocational + Abi","","","","","6"
"Other","1984","Employed","vocational + Abi","9","","","","6"
"Other","1984","Employed","higher vocational","22","","","","6"
"Other","1984","Employed","higher education","25","","","","6"
"Other","1984","Not Employed","higher vocational","3","","","","6"
"Other","1984","Not Employed","in school","","","","","6"
"Other","1984","Employed","middle vocational","260","0.0670711692063711","0.0591542246645256","0.0749881137482167","6"
"Other","1984","Not Employed","higher education","3","","","","6"
"Other","1984","Employed","in school","1","","","","6"
"Other","1984","Employed","inadequately","24","","","","6"
"Other","1984","Employed","general elemantary","369","0.272076308915115","0.250977139934967","0.293175477895262","6"
"Part-time","1984","Not Employed","inadequately","","","","","2"
"Part-time","1984","Not Employed","general elemantary","3","","","","2"
"Part-time","1984","Employed","vocational + Abi","14","","","","2"
"Part-time","1984","Not Employed","vocational + Abi","1","","","","2"
"Part-time","1984","Not Employed","middle vocational","8","","","","2"
"Part-time","1984","Not Employed","in school","1","","","","2"
"Part-time","1984","Employed","higher vocational","42","0.0843971692108683","0.0593720345225907","0.109422303899146","2"
"Part-time","1984","Employed","higher education","56","0.0934072541715766","0.0707377167315974","0.116076791611556","2"
"Part-time","1984","Employed","middle vocational","323","0.0884503347537208","0.0794635298153263","0.0974371396921153","2"
"Part-time","1984","Not Employed","higher vocational","2","","","","2"
"Part-time","1984","Not Employed","higher education","2","","","","2"
"Part-time","1984","Employed","in school","","","","","2"
"Part-time","1984","Employed","inadequately","28","","","","2"
"Part-time","1984","Employed","general elemantary","177","0.132826753060056","0.116736133250449","0.148917372869663","2"
"Full-time","1985","Not Employed","in school","","","","","1"
"Full-time","1985","Not Employed","inadequately","2","","","","1"
"Full-time","1985","Not Employed","general elemantary","30","0.0105116664229072","0.00541470850889833","0.0156086243369161","1"
