"erwst","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Full Time","Male","3723","0.919572438652923","0.911175037880696","0.927969839425151"
"Full-time","1984","Full Time","Female","1342","0.797213503043115","0.777807119842227","0.816619886244002"
"Full-time","1984","Part Time","Male","341","0.502873972992057","0.464406950399803","0.541340995584312"
"Full-time","1984","Part Time","Female","218","0.145700411942115","0.126071433928065","0.165329389956165"
"Full-time","1984","Not Working","Male","61","0.0366085781357649","0.0264813754882719","0.0467357807832578"
"Full-time","1984","Not Working","Female","37","0.00807678615593869","0.0050421740393261","0.0111113982725513"
"Part-time","1984","Full Time","Male","19","","",""
"Part-time","1984","Full Time","Female","100","0.0691491112730396","0.056903763509232","0.0813944590368473"
"Part-time","1984","Part Time","Male","18","","",""
"Part-time","1984","Part Time","Female","507","0.420711543557751","0.393245136528176","0.448177950587326"
"Part-time","1984","Not Working","Male","4","","",""
"Part-time","1984","Not Working","Female","13","","",""
"Non-working","1984","Full Time","Male","119","0.0320186696037521","0.026582605251978","0.0374547339555263"
"Non-working","1984","Full Time","Female","94","0.0574880010967105","0.046253085575363","0.0687229166180581"
"Non-working","1984","Part Time","Male","164","0.27551957531032","0.241146744490673","0.309892406129967"
"Non-working","1984","Part Time","Female","212","0.165073958100685","0.144418944452718","0.185728971748652"
"Non-working","1984","Not Working","Male","1226","0.943674639055341","0.931242100469727","0.956107177640956"
"Non-working","1984","Not Working","Female","3253","0.979964516582251","0.97521390026224","0.984715132902263"
"Other","1984","Full Time","Male","168","0.0426443869529406","0.0364053574542017","0.0488834164516795"
"Other","1984","Full Time","Female","113","0.0761493845871351","0.0633475609953016","0.0889512081789687"
"Other","1984","Part Time","Male","126","0.188398462432891","0.158314443714487","0.218482481151295"
"Other","1984","Part Time","Female","304","0.268514086399449","0.243856604620438","0.29317156817846"
"Other","1984","Not Working","Male","30","0.0174529137359868","0.0103912450254469","0.0245145824465267"
"Other","1984","Not Working","Female","39","0.00845166261636057","0.00534801154567545","0.0115553136870457"
"Full-time","1985","Full Time","Male","3307","0.931419756794668","0.923095272065339","0.939744241523997"
"Full-time","1985","Full Time","Female","1231","0.843259788996902","0.824514804882296","0.862004773111507"
"Full-time","1985","Part Time","Male","382","0.5255985888051","0.487956403837196","0.563240773773005"
"Full-time","1985","Part Time","Female","257","0.197779695172841","0.175167244110196","0.220392146235486"
"Full-time","1985","Not Working","Male","41","0.0170896246379455","0.00987006031189985","0.0243091889639912"
"Full-time","1985","Not Working","Female","38","0.00898148697041522","0.00560266986990452","0.0123603040709259"
"Part-time","1985","Full Time","Male","11","","",""
"Part-time","1985","Full Time","Female","91","0.0673256964820567","0.0544054856462662","0.0802459073178472"
"Part-time","1985","Part Time","Male","37","0.070304069587074","0.0510316855775275","0.0895764535966204"
