"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Schleswig-Holstein","(0) in school","","","",""
"Full-time","1984","Schleswig-Holstein","(1a) inadequately completed","4","","",""
"Full-time","1984","Schleswig-Holstein","(1b) general elementary school","18","","",""
"Full-time","1984","Schleswig-Holstein","(1c) basic vocational qualification","83","0.524649567060673","0.445519053939137","0.603780080182209"
"Full-time","1984","Schleswig-Holstein","(2b) intermediate general qualification","2","","",""
"Full-time","1984","Schleswig-Holstein","(2a) intermediate vocational","37","0.467940137914763","0.356490637366435","0.579389638463092"
"Full-time","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","4","","",""
"Full-time","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","6","","",""
"Full-time","1984","Schleswig-Holstein","(3a) lower tertiary education","5","","",""
"Full-time","1984","Schleswig-Holstein","(3b) higher tertiary education","10","","",""
"Full-time","1984","Hamburg","(0) in school","","","",""
"Full-time","1984","Hamburg","(1a) inadequately completed","15","","",""
"Full-time","1984","Hamburg","(1b) general elementary school","18","","",""
"Full-time","1984","Hamburg","(1c) basic vocational qualification","49","0.392919357738562","0.299943527830419","0.485895187646706"
"Full-time","1984","Hamburg","(2b) intermediate general qualification","2","","",""
"Full-time","1984","Hamburg","(2a) intermediate vocational","27","","",""
"Full-time","1984","Hamburg","(2c_gen) general maturity certificate","5","","",""
"Full-time","1984","Hamburg","(2c_voc) vocational maturity certificate","18","","",""
"Full-time","1984","Hamburg","(3a) lower tertiary education","6","","",""
"Full-time","1984","Hamburg","(3b) higher tertiary education","4","","",""
"Full-time","1984","Lower Saxony","(0) in school","","","",""
"Full-time","1984","Lower Saxony","(1a) inadequately completed","30","0.259428465903798","0.15524808144332","0.363608850364275"
"Full-time","1984","Lower Saxony","(1b) general elementary school","76","0.185040835709581","0.141601755803664","0.228479915615497"
"Full-time","1984","Lower Saxony","(1c) basic vocational qualification","235","0.498152015204444","0.451539343689936","0.544764686718953"
"Full-time","1984","Lower Saxony","(2b) intermediate general qualification","4","","",""
"Full-time","1984","Lower Saxony","(2a) intermediate vocational","84","0.498875078296065","0.422351534812109","0.575398621780022"
"Full-time","1984","Lower Saxony","(2c_gen) general maturity certificate","8","","",""
"Full-time","1984","Lower Saxony","(2c_voc) vocational maturity certificate","17","","",""
"Full-time","1984","Lower Saxony","(3a) lower tertiary education","10","","",""
"Full-time","1984","Lower Saxony","(3b) higher tertiary education","44","0.695638022254293","0.580167792989072","0.811108251519515"
"Full-time","1984","Bremen","(0) in school","","","",""
"Full-time","1984","Bremen","(1a) inadequately completed","1","","",""
"Full-time","1984","Bremen","(1b) general elementary school","7","","",""
"Full-time","1984","Bremen","(1c) basic vocational qualification","21","","",""
"Full-time","1984","Bremen","(2b) intermediate general qualification","3","","",""
"Full-time","1984","Bremen","(2a) intermediate vocational","6","","",""
"Full-time","1984","Bremen","(2c_gen) general maturity certificate","","","",""
"Full-time","1984","Bremen","(2c_voc) vocational maturity certificate","2","","",""
"Full-time","1984","Bremen","(3a) lower tertiary education","","","",""
"Full-time","1984","Bremen","(3b) higher tertiary education","","","",""
"Full-time","1984","North Rhine-Westphalia","(0) in school","","","",""
"Full-time","1984","North Rhine-Westphalia","(1a) inadequately completed","172","0.463176356406717","0.410559178381615","0.51579353443182"
"Full-time","1984","North Rhine-Westphalia","(1b) general elementary school","268","0.243824385995847","0.212970382337126","0.274678389654568"
"Full-time","1984","North Rhine-Westphalia","(1c) basic vocational qualification","587","0.461925409193265","0.432972420741131","0.4908783976454"
"Full-time","1984","North Rhine-Westphalia","(2b) intermediate general qualification","18","","",""
"Full-time","1984","North Rhine-Westphalia","(2a) intermediate vocational","179","0.521466422510637","0.467973654609888","0.574959190411387"
"Full-time","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","18","","",""
"Full-time","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","77","0.57297648193861","0.487617833236315","0.658335130640904"
"Full-time","1984","North Rhine-Westphalia","(3a) lower tertiary education","55","0.718241734647736","0.61643157692728","0.820051892368193"
"Full-time","1984","North Rhine-Westphalia","(3b) higher tertiary education","105","0.672931860809769","0.598103835765302","0.747759885854237"
"Full-time","1984","Hesse","(0) in school","","","",""
"Full-time","1984","Hesse","(1a) inadequately completed","77","0.434411350239678","0.349203945137052","0.519618755342303"
"Full-time","1984","Hesse","(1b) general elementary school","105","0.191768833387583","0.148430194277907","0.235107472497259"
"Full-time","1984","Hesse","(1c) basic vocational qualification","220","0.498773398105415","0.449276981890626","0.548269814320203"
"Full-time","1984","Hesse","(2b) intermediate general qualification","6","","",""
"Full-time","1984","Hesse","(2a) intermediate vocational","80","0.54542896907596","0.464660539051245","0.626197399100675"
"Full-time","1984","Hesse","(2c_gen) general maturity certificate","10","","",""
"Full-time","1984","Hesse","(2c_voc) vocational maturity certificate","31","0.611028080543608","0.471651799645476","0.750404361441741"
"Full-time","1984","Hesse","(3a) lower tertiary education","22","","",""
"Full-time","1984","Hesse","(3b) higher tertiary education","38","0.543494947906912","0.420496858292991","0.666493037520834"
"Full-time","1984","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","43","0.554694271416302","0.436567151329881","0.672821391502724"
"Full-time","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","60","0.163824011404478","0.119594761398129","0.208053261410828"
"Full-time","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","182","0.525638979497494","0.471350873581243","0.579927085413746"
"Full-time","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","2","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","44","0.543971743100982","0.434142347781207","0.653801138420756"
"Full-time","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","1","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","9","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","11","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","14","","",""
"Full-time","1984","Baden-Württemberg","(0) in school","","","",""
"Full-time","1984","Baden-Württemberg","(1a) inadequately completed","185","0.583847991513543","0.5288882420776","0.638807740949486"
"Full-time","1984","Baden-Württemberg","(1b) general elementary school","256","0.275467702649626","0.2403588111932","0.310576594106051"
"Full-time","1984","Baden-Württemberg","(1c) basic vocational qualification","463","0.585653690813309","0.550113308952109","0.621194072674509"
"Full-time","1984","Baden-Württemberg","(2b) intermediate general qualification","8","","",""
"Full-time","1984","Baden-Württemberg","(2a) intermediate vocational","106","0.481481931171721","0.413250194526312","0.549713667817129"
"Full-time","1984","Baden-Württemberg","(2c_gen) general maturity certificate","14","","",""
"Full-time","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","47","0.493802500316901","0.382849914083147","0.604755086550655"
"Full-time","1984","Baden-Württemberg","(3a) lower tertiary education","31","0.657473932881581","0.517254619478235","0.797693246284928"
"Full-time","1984","Baden-Württemberg","(3b) higher tertiary education","60","0.689106042105196","0.588923895143336","0.789288189067057"
"Full-time","1984","Bavaria","(0) in school","","","",""
"Full-time","1984","Bavaria","(1a) inadequately completed","68","0.46454003641753","0.372173606783547","0.556906466051514"
"Full-time","1984","Bavaria","(1b) general elementary school","155","0.215376324893441","0.179379937813563","0.251372711973318"
"Full-time","1984","Bavaria","(1c) basic vocational qualification","451","0.529397531157862","0.494701277586332","0.564093784729393"
"Full-time","1984","Bavaria","(2b) intermediate general qualification","21","","",""
"Full-time","1984","Bavaria","(2a) intermediate vocational","155","0.53532543339234","0.476484854080588","0.594166012704091"
"Full-time","1984","Bavaria","(2c_gen) general maturity certificate","6","","",""
"Full-time","1984","Bavaria","(2c_voc) vocational maturity certificate","46","0.511537826052599","0.402679932239352","0.620395719865847"
