"erwst","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Not Employed","Male","61","0.0366085781357649","0.0264813754882719","0.0467357807832578","1"
"Full-time","1984","Not Employed","Female","37","0.00807678615593869","0.0050421740393261","0.0111113982725513","1"
"Full-time","1984","Employed","Male","4064","0.857250694226165","0.847226282232241","0.867275106220088","1"
"Full-time","1984","Employed","Female","1560","0.499158883790902","0.480929643928457","0.517388123653347","1"
"Non-working","1984","Not Employed","Female","3253","0.979964516582251","0.97521390026224","0.984715132902263","5"
"Non-working","1984","Not Employed","Male","1226","0.943674639055341","0.931242100469727","0.956107177640956","5"
"Non-working","1984","Employed","Male","283","0.0684368531674028","0.061201343171924","0.0756723631628816","5"
"Non-working","1984","Employed","Female","306","0.106706492466569","0.0954502955862269","0.117962689346912","5"
"Other","1984","Not Employed","Male","30","0.0174529137359868","0.0103912450254469","0.0245145824465267","6"
"Other","1984","Not Employed","Female","39","0.00845166261636057","0.00534801154567545","0.0115553136870457","6"
"Other","1984","Employed","Male","294","0.0644434790777788","0.0574072092321124","0.0714797489234453","6"
"Other","1984","Employed","Female","417","0.164152509527178","0.150647762468707","0.177657256585648","6"
"Part-time","1984","Not Employed","Male","4","","","","2"
"Part-time","1984","Not Employed","Female","13","","","","2"
"Part-time","1984","Employed","Male","37","0.00986897352865377","0.00703627531193717","0.0127016717453704","2"
"Part-time","1984","Employed","Female","607","0.229982114215351","0.214639597426833","0.245324631003869","2"
"Full-time","1985","Not Employed","Male","41","0.0170896246379455","0.00987006031189985","0.0243091889639912","1"
"Full-time","1985","Not Employed","Female","38","0.00898148697041522","0.00560266986990452","0.0123603040709259","1"
"Full-time","1985","Employed","Male","3689","0.863971386518719","0.853624466167873","0.874318306869565","1"
"Full-time","1985","Employed","Female","1488","0.536720871817881","0.517688687473052","0.55575305616271","1"
"Non-working","1985","Not Employed","Female","2891","0.972914302714514","0.967100544290024","0.978728061139004","5"
"Non-working","1985","Employed","Female","227","0.0828323928104494","0.0723123505704324","0.0933524350504663","5"
"Non-working","1985","Not Employed","Male","1159","0.959146158153843","0.948119431314004","0.970172884993683","5"
"Non-working","1985","Employed","Male","281","0.0728873696098383","0.0650415435064723","0.0807331957132043","5"
"Other","1985","Not Employed","Male","29","","","","6"
"Other","1985","Not Employed","Female","43","0.0119196210463512","0.00803295667283048","0.0158062854198719","6"
"Other","1985","Employed","Male","199","0.0495252924012207","0.0429769693424547","0.0560736154599868","6"
"Other","1985","Employed","Female","247","0.106369794681521","0.0946023786906501","0.118137210672391","6"
"Part-time","1985","Not Employed","Male","9","","","","2"
"Part-time","1985","Not Employed","Female","23","","","","2"
"Part-time","1985","Employed","Male","48","0.013615951470222","0.0101181648824486","0.0171137380579953","2"
"Part-time","1985","Employed","Female","675","0.274076940690149","0.257052432637798","0.2911014487425","2"
"Full-time","1986","Not Employed","Male","40","0.0241959606581521","0.0154436045318324","0.0329483167844719","1"
"Full-time","1986","Not Employed","Female","33","0.00919680482790422","0.00563617298061909","0.0127574366751893","1"
"Full-time","1986","Employed","Male","3516","0.850264553096547","0.839318666625026","0.861210439568068","1"
"Full-time","1986","Employed","Female","1441","0.532755891010202","0.51363688680231","0.551874895218094","1"
"Non-working","1986","Not Employed","Male","1117","0.958659424839086","0.947319957087565","0.969998892590607","5"
"Non-working","1986","Not Employed","Female","2678","0.974649064250643","0.968785846546278","0.980512281955008","5"
"Non-working","1986","Employed","Male","277","0.0746172731741119","0.0665562165426868","0.082678329805537","5"
"Non-working","1986","Employed","Female","266","0.0995500315089231","0.0880769595967139","0.111023103421132","5"
"Other","1986","Not Employed","Female","37","0.0115329172675564","0.00755032742600821","0.0155155071091047","6"
"Other","1986","Not Employed","Male","22","","","","6"
"Other","1986","Employed","Male","229","0.0590656414475692","0.0518336364627928","0.0662976464323457","6"
"Other","1986","Employed","Female","345","0.137426715731946","0.124233131121397","0.150620300342494","6"
"Part-time","1986","Not Employed","Male","5","","","","2"
"Part-time","1986","Not Employed","Female","13","","","","2"
"Part-time","1986","Employed","Male","60","0.0160525322817717","0.0121971333473975","0.0199079312161459","2"
"Part-time","1986","Employed","Female","564","0.230267361748929","0.214134353170762","0.246400370327097","2"
"Full-time","1987","Employed","Female","1432","0.521831682803353","0.502787816243307","0.540875549363398","1"
"Full-time","1987","Not Employed","Male","19","","","","1"
"Full-time","1987","Not Employed","Female","25","","","","1"
"Full-time","1987","Employed","Male","3481","0.8511648783393","0.84023008832983","0.862099668348769","1"
"Non-working","1987","Not Employed","Male","1103","0.974831487075763","0.965722869311956","0.98394010483957","5"
"Non-working","1987","Not Employed","Female","2587","0.981179329594356","0.976016148075279","0.986342511113433","5"
"Non-working","1987","Employed","Male","263","0.0691904717377659","0.0613938863006725","0.0769870571748593","5"
"Non-working","1987","Employed","Female","260","0.0983524272427046","0.086999431902945","0.109705422582464","5"
"Other","1987","Not Employed","Male","11","","","","6"
"Other","1987","Not Employed","Female","32","0.00731480207904765","0.00407713106905666","0.0105524730890386","6"
"Other","1987","Employed","Male","286","0.0677885781020915","0.0600655723455962","0.0755115838585869","6"
"Other","1987","Employed","Female","322","0.12270752386079","0.11019896409137","0.13521608363021","6"
"Part-time","1987","Not Employed","Male","3","","","","2"
"Part-time","1987","Not Employed","Female","17","","","","2"
"Part-time","1987","Employed","Male","40","0.0118560718208431","0.008530767471731","0.0151813761699551","2"
"Part-time","1987","Employed","Female","629","0.257108366093153","0.240446626312936","0.273770105873369","2"
"Full-time","1988","Employed","Female","1355","0.514743459373767","0.495462208467552","0.534024710279981","1"
"Full-time","1988","Not Employed","Male","29","","","","1"
"Full-time","1988","Not Employed","Female","21","","","","1"
"Full-time","1988","Employed","Male","3264","0.848663841878842","0.837371398335415","0.859956285422269","1"
"Non-working","1988","Not Employed","Male","1035","0.964841970927933","0.953877850327082","0.975806091528783","5"
"Non-working","1988","Not Employed","Female","2422","0.980213115481141","0.974738589855154","0.985687641107129","5"
"Non-working","1988","Employed","Male","289","0.0768299055475438","0.0684381129945045","0.085221698100583","5"
"Non-working","1988","Employed","Female","287","0.111363619699907","0.0992272778044266","0.123499961595388","5"
"Other","1988","Not Employed","Male","18","","","","6"
"Other","1988","Not Employed","Female","24","","","","6"
"Other","1988","Employed","Male","273","0.0622777767541403","0.0546630840706562","0.0698924694376244","6"
"Other","1988","Employed","Female","323","0.120792661684076","0.108220208809011","0.133365114559141","6"
"Part-time","1988","Not Employed","Male","2","","","","2"
"Part-time","1988","Not Employed","Female","19","","","","2"
