"erwst","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","in school","Male","1","","",""
"Full-time","1984","in school","Female","","","",""
"Full-time","1984","inadequately","Male","336","0.642354545425853","0.596839283406176","0.68786980744553"
"Full-time","1984","inadequately","Female","208","0.274725352478715","0.238798318699856","0.310652386257575"
"Full-time","1984","general elemantary","Male","648","0.448786033713359","0.420089796108904","0.477482271317813"
"Full-time","1984","general elemantary","Female","413","0.122637233820007","0.109272288489028","0.136002179150986"
"Full-time","1984","middle vocational","Male","2261","0.667077044795178","0.650682306128238","0.683471783462119"
"Full-time","1984","middle vocational","Female","711","0.25303807011002","0.236167295283475","0.269908844936566"
"Full-time","1984","vocational + Abi","Male","133","0.578076462380202","0.508759375064232","0.647393549696172"
"Full-time","1984","vocational + Abi","Female","56","0.485280366764073","0.394720267934605","0.575840465593542"
"Full-time","1984","higher vocational","Male","292","0.726988104352241","0.682428952440457","0.771547256264025"
"Full-time","1984","higher vocational","Female","94","0.313746962074782","0.259004357752743","0.368489566396821"
"Full-time","1984","higher education","Male","431","0.782336823520377","0.747434823394529","0.817238823646226"
"Full-time","1984","higher education","Female","106","0.371866190437959","0.312662668815843","0.431069712060074"
"Part-time","1984","in school","Male","","","",""
"Part-time","1984","in school","Female","1","","",""
"Part-time","1984","inadequately","Male","1","","",""
"Part-time","1984","inadequately","Female","27","","",""
"Part-time","1984","general elemantary","Male","5","","",""
"Part-time","1984","general elemantary","Female","175","0.0693504449172866","0.0589994015875579","0.0797014882470153"
"Part-time","1984","middle vocational","Male","7","","",""
"Part-time","1984","middle vocational","Female","324","0.118683279029216","0.106132992675197","0.131233565383235"
"Part-time","1984","vocational + Abi","Male","3","","",""
"Part-time","1984","vocational + Abi","Female","12","","",""
"Part-time","1984","higher vocational","Male","5","","",""
"Part-time","1984","higher vocational","Female","39","0.127707823588311","0.0883316699885511","0.167083977188071"
"Part-time","1984","higher education","Male","19","","",""
"Part-time","1984","higher education","Female","39","0.15108148322017","0.107211574419927","0.194951392020414"
"Non-working","1984","in school","Male","93","0.973213338747987","0.940745782058092","1.00568089543788"
"Non-working","1984","in school","Female","91","0.993029442712267","0.97602865711425","1.01003022831028"
"Non-working","1984","inadequately","Male","79","0.280524401712695","0.237862849946981","0.323185953478409"
"Non-working","1984","inadequately","Female","342","0.658689587685456","0.620527167216704","0.696852008154208"
"Non-working","1984","general elemantary","Male","316","0.359240066515143","0.331558845397528","0.386921287632758"
"Non-working","1984","general elemantary","Female","1508","0.718471550392233","0.700147041421643","0.736796059362823"
"Non-working","1984","middle vocational","Male","797","0.301796937055462","0.285827378228001","0.317766495882922"
"Non-working","1984","middle vocational","Female","1339","0.563249184288343","0.544002318858505","0.58249604971818"
"Non-working","1984","vocational + Abi","Male","56","0.385599331643066","0.317282964897961","0.453915698388171"
"Non-working","1984","vocational + Abi","Female","43","0.368414674522232","0.281008998560389","0.455820350484075"
"Non-working","1984","higher vocational","Male","78","0.238773689549319","0.196132176222042","0.281415202876595"
"Non-working","1984","higher vocational","Female","127","0.508881168001283","0.449902490032904","0.567859845969662"
"Non-working","1984","higher education","Male","80","0.167607795869047","0.136016164168937","0.199199427569157"
"Non-working","1984","higher education","Female","90","0.401131732101115","0.341092204196731","0.461171260005499"
"Other","1984","in school","Male","1","","",""
"Other","1984","in school","Female","","","",""
"Other","1984","inadequately","Male","10","","",""
"Other","1984","inadequately","Female","16","","",""
"Other","1984","general elemantary","Male","185","0.186098700195637","0.163644234393138","0.208553165998136"
"Other","1984","general elemantary","Female","218","0.0895407708704738","0.0779073596606476","0.1011741820803"
"Other","1984","middle vocational","Male","109","0.028508712151373","0.0227190544965689","0.0342983698061772"
"Other","1984","middle vocational","Female","177","0.065029466572421","0.0554608991927366","0.0745980339521054"
"Other","1984","vocational + Abi","Male","3","","",""
"Other","1984","vocational + Abi","Female","6","","",""
"Other","1984","higher vocational","Male","9","","",""
"Other","1984","higher vocational","Female","16","","",""
"Other","1984","higher education","Male","7","","",""
"Other","1984","higher education","Female","21","","",""
"Full-time","1985","in school","Male","","","",""
"Full-time","1985","in school","Female","","","",""
"Full-time","1985","inadequately","Male","260","0.528239521675495","0.476528537820107","0.579950505530883"
"Full-time","1985","inadequately","Female","169","0.26326865408601","0.224313807735532","0.302223500436489"
"Full-time","1985","general elemantary","Male","613","0.485027353330043","0.454594448358846","0.515460258301241"
"Full-time","1985","general elemantary","Female","415","0.148285107875067","0.13287485388108","0.163695361869054"
"Full-time","1985","middle vocational","Male","2028","0.657152126930278","0.639734824459493","0.674569429401063"
"Full-time","1985","middle vocational","Female","684","0.26975101516536","0.251787402079351","0.287714628251368"
"Full-time","1985","vocational + Abi","Male","111","0.530542068055557","0.4561745490587","0.604909587052413"
"Full-time","1985","vocational + Abi","Female","50","0.46352533999912","0.369039321392394","0.558011358605846"
"Full-time","1985","higher vocational","Male","276","0.730707004024821","0.684947779683787","0.776466228365854"
"Full-time","1985","higher vocational","Female","79","0.289264391897215","0.234150263698931","0.344378520095498"
"Full-time","1985","higher education","Male","408","0.772202614452116","0.735838112616678","0.808567116287555"
"Full-time","1985","higher education","Female","113","0.437134566640925","0.37527462888773","0.49899450439412"
"Part-time","1985","in school","Male","","","",""
"Part-time","1985","in school","Female","1","","",""
"Part-time","1985","inadequately","Male","3","","",""
"Part-time","1985","inadequately","Female","24","","",""
"Part-time","1985","general elemantary","Male","10","","",""
"Part-time","1985","general elemantary","Female","197","0.0884161003575532","0.0761055375324887","0.100726663182618"
"Part-time","1985","middle vocational","Male","24","","",""
"Part-time","1985","middle vocational","Female","367","0.143753539002657","0.129553637404536","0.157953440600779"
"Part-time","1985","vocational + Abi","Male","4","","",""
"Part-time","1985","vocational + Abi","Female","15","","",""
"Part-time","1985","higher vocational","Male","5","","",""
"Part-time","1985","higher vocational","Female","50","0.166694796761706","0.12139205509395","0.211997538429462"
"Part-time","1985","higher education","Male","11","","",""
"Part-time","1985","higher education","Female","39","0.144579838575519","0.100722404107906","0.188437273043132"
"Non-working","1985","in school","Male","108","0.957951944630467","0.920782685979196","0.995121203281737"
"Non-working","1985","in school","Female","73","0.979366759892361","0.947195071375364","1.01153844840936"
"Non-working","1985","inadequately","Male","88","0.390113381048073","0.339586027298069","0.440640734798078"
"Non-working","1985","inadequately","Female","287","0.657789837160372","0.615823856505271","0.699755817815474"
"Non-working","1985","general elemantary","Male","286","0.356296883145983","0.327134901591736","0.38545886470023"
"Non-working","1985","general elemantary","Female","1301","0.704172132120236","0.684380898457358","0.723963365783114"
"Non-working","1985","middle vocational","Male","735","0.315421151520966","0.298369975019661","0.33247232802227"
"Non-working","1985","middle vocational","Female","1182","0.539903301320842","0.519730824850814","0.560075777790871"
"Non-working","1985","vocational + Abi","Male","53","0.423030236957324","0.349411684852118","0.496648789062529"
"Non-working","1985","vocational + Abi","Female","37","0.366317119057696","0.275027625654518","0.457606612460873"
"Non-working","1985","higher vocational","Male","73","0.233685209172337","0.190032248250624","0.277338170094049"
"Non-working","1985","higher vocational","Female","119","0.502030726338091","0.441255324444801","0.562806128231382"
"Non-working","1985","higher education","Male","83","0.188742123582052","0.154814649869406","0.222669597294698"
"Non-working","1985","higher education","Female","81","0.362929475969695","0.302963557352691","0.422895394586698"
"Other","1985","in school","Male","4","","",""
"Other","1985","in school","Female","1","","",""
"Other","1985","inadequately","Male","7","","",""
"Other","1985","inadequately","Female","11","","",""
"Other","1985","general elemantary","Male","127","0.148547993793434","0.126891821633137","0.17020416595373"
"Other","1985","general elemantary","Female","130","0.0591266596471437","0.0488991202446496","0.0693541990496378"
"Other","1985","middle vocational","Male","66","0.018846130561729","0.0138564026605922","0.0238358584628658"
"Other","1985","middle vocational","Female","112","0.0465921445111405","0.038061685891152","0.055122603131129"
"Other","1985","vocational + Abi","Male","5","","",""
"Other","1985","vocational + Abi","Female","5","","",""
"Other","1985","higher vocational","Male","7","","",""
"Other","1985","higher vocational","Female","12","","",""
"Other","1985","higher education","Male","9","","",""
"Other","1985","higher education","Female","14","","",""
"Full-time","1986","in school","Male","1","","",""
"Full-time","1986","in school","Female","","","",""
"Full-time","1986","inadequately","Male","242","0.603159975382751","0.550533650735496","0.655786300030007"
"Full-time","1986","inadequately","Female","152","0.264889601893334","0.224476322784213","0.305302881002455"
"Full-time","1986","general elemantary","Male","580","0.457542675697919","0.426878753379101","0.488206598016736"
"Full-time","1986","general elemantary","Female","387","0.152148409432948","0.136041024582834","0.168255794283061"
"Full-time","1986","middle vocational","Male","1948","0.654682163343918","0.636904917147539","0.672459409540297"
"Full-time","1986","middle vocational","Female","690","0.274469342984276","0.256099851402449","0.292838834566103"
"Full-time","1986","vocational + Abi","Male","110","0.548835673775387","0.473137990280751","0.624533357270022"
"Full-time","1986","vocational + Abi","Female","55","0.491088269325745","0.398503384501251","0.583673154150239"
"Full-time","1986","higher vocational","Male","253","0.721051325018192","0.672881927397073","0.769220722639311"
"Full-time","1986","higher vocational","Female","80","0.298905195584358","0.242159464835548","0.355650926333168"
"Full-time","1986","higher education","Male","391","0.754237004968888","0.716723728632741","0.791750281305036"
"Full-time","1986","higher education","Female","94","0.380033690460363","0.31925376779791","0.440813613122816"
"Part-time","1986","in school","Male","","","",""
"Part-time","1986","in school","Female","","","",""
"Part-time","1986","inadequately","Male","1","","",""
"Part-time","1986","inadequately","Female","21","","",""
"Part-time","1986","general elemantary","Male","7","","",""
"Part-time","1986","general elemantary","Female","171","0.0799864864683142","0.0678207943697206","0.0921521785669077"
"Part-time","1986","middle vocational","Male","19","","",""
"Part-time","1986","middle vocational","Female","287","0.116056314840316","0.102871652321487","0.129240977359145"
"Part-time","1986","vocational + Abi","Male","1","","",""
"Part-time","1986","vocational + Abi","Female","12","","",""
"Part-time","1986","higher vocational","Male","3","","",""
"Part-time","1986","higher vocational","Female","39","0.135464554430177","0.0930434154327835","0.17788569342757"
"Part-time","1986","higher education","Male","32","0.0549299034843109","0.0350776751633997","0.074782131805222"
"Part-time","1986","higher education","Female","45","0.171643777630736","0.124427945252723","0.21885961000875"
"Non-working","1986","in school","Male","112","0.977596552792525","0.950548473826696","1.00464463175835"
"Non-working","1986","in school","Female","71","0.948975272854687","0.89849700374525","0.999453541964125"
"Non-working","1986","inadequately","Male","82","0.328472298479783","0.277952641833598","0.378991955125968"
"Non-working","1986","inadequately","Female","269","0.643123344093654","0.599247896561712","0.686998791625596"
"Non-working","1986","general elemantary","Male","285","0.369184909149372","0.33948178565298","0.398888032645763"
"Non-working","1986","general elemantary","Female","1193","0.69543520324753","0.674795683158581","0.716074723336479"
"Non-working","1986","middle vocational","Male","706","0.313918024859396","0.296566571459087","0.331269478259704"
"Non-working","1986","middle vocational","Female","1140","0.548797640761541","0.528313670827452","0.56928161069563"
"Non-working","1986","vocational + Abi","Male","52","0.425044459376553","0.349842638149104","0.500246280604003"
"Non-working","1986","vocational + Abi","Female","35","0.325662702776137","0.238874302844797","0.412451102707477"
"Non-working","1986","higher vocational","Male","72","0.257686822987726","0.210711944562002","0.30466170141345"
"Non-working","1986","higher vocational","Female","116","0.518805433294464","0.45686978297655","0.580741083612378"
"Non-working","1986","higher education","Male","75","0.174815557073172","0.141722385747841","0.207908728398503"
"Non-working","1986","higher education","Female","89","0.397233097180376","0.335961040125175","0.458505154235577"
"Other","1986","in school","Male","2","","",""
"Other","1986","in school","Female","2","","",""
"Other","1986","inadequately","Male","7","","",""
"Other","1986","inadequately","Female","16","","",""
"Other","1986","general elemantary","Male","142","0.165100396478537","0.14224860255136","0.187952190405714"
"Other","1986","general elemantary","Female","159","0.0724299008512079","0.0608056834708492","0.0840541182315666"
"Other","1986","middle vocational","Male","75","0.0243786647860997","0.0186125228410002","0.0301448067311993"
"Other","1986","middle vocational","Female","150","0.0606767014138661","0.0508492510323572","0.070504151795375"
"Other","1986","vocational + Abi","Male","3","","",""
"Other","1986","vocational + Abi","Female","10","","",""
"Other","1986","higher vocational","Male","5","","",""
"Other","1986","higher vocational","Female","15","","",""
"Other","1986","higher education","Male","8","","",""
"Other","1986","higher education","Female","17","","",""
"Full-time","1987","in school","Male","","","",""
"Full-time","1987","in school","Female","","","",""
"Full-time","1987","inadequately","Male","223","0.62857359976546","0.575214650731812","0.681932548799109"
"Full-time","1987","inadequately","Female","140","0.249971158959226","0.209786101336212","0.29015621658224"
"Full-time","1987","general elemantary","Male","540","0.464090427134978","0.433273015227707","0.494907839042248"
"Full-time","1987","general elemantary","Female","376","0.151175488921355","0.134856451866442","0.167494525976267"
"Full-time","1987","middle vocational","Male","1952","0.654113635246118","0.63631653037337","0.671910740118867"
"Full-time","1987","middle vocational","Female","687","0.277913312739541","0.259370328400175","0.296456297078907"
"Full-time","1987","vocational + Abi","Male","105","0.528328762916513","0.451219424468501","0.605438101364526"
"Full-time","1987","vocational + Abi","Female","56","0.449047976679217","0.358920248673826","0.539175704684608"
"Full-time","1987","higher vocational","Male","241","0.713092104323376","0.66353371697275","0.762650491674002"
"Full-time","1987","higher vocational","Female","77","0.291303593340192","0.234868213325503","0.347738973354882"
"Full-time","1987","higher education","Male","407","0.778527063648929","0.741984043126488","0.81507008417137"
"Full-time","1987","higher education","Female","106","0.411609215114133","0.350360395078303","0.472858035149962"
"Part-time","1987","in school","Male","2","","",""
"Part-time","1987","in school","Female","1","","",""
"Part-time","1987","inadequately","Male","","","",""
"Part-time","1987","inadequately","Female","33","0.0571935911261524","0.0356426813935382","0.0787445008587667"
"Part-time","1987","general elemantary","Male","9","","",""
"Part-time","1987","general elemantary","Female","184","0.0959795428665988","0.082560444101084","0.109398641632114"
"Part-time","1987","middle vocational","Male","16","","",""
"Part-time","1987","middle vocational","Female","324","0.133011602947503","0.118954957419866","0.14706824847514"
"Part-time","1987","vocational + Abi","Male","4","","",""
"Part-time","1987","vocational + Abi","Female","11","","",""
"Part-time","1987","higher vocational","Male","3","","",""
"Part-time","1987","higher vocational","Female","46","0.157724098440126","0.112452624760741","0.202995572119512"
"Part-time","1987","higher education","Male","5","","",""
"Part-time","1987","higher education","Female","44","0.160653924528719","0.114951582912263","0.206356266145174"
"Non-working","1987","in school","Male","97","0.925408909570389","0.87417025465783","0.976647564482948"
"Non-working","1987","in school","Female","85","0.944351798693918","0.896990968354985","0.991712629032852"
"Non-working","1987","inadequately","Male","85","0.336675736053555","0.284488816173841","0.38886265593327"
"Non-working","1987","inadequately","Female","255","0.610332433131407","0.565072801381035","0.655592064881779"
"Non-working","1987","general elemantary","Male","283","0.334418776273161","0.305264990495162","0.363572562051159"
"Non-working","1987","general elemantary","Female","1135","0.684098200067116","0.662920433560265","0.705275966573967"
"Non-working","1987","middle vocational","Male","690","0.313029234781422","0.295678510237821","0.330379959325023"
"Non-working","1987","middle vocational","Female","1102","0.538582307280185","0.517947355909106","0.559217258651263"
"Non-working","1987","vocational + Abi","Male","49","0.400629667989776","0.324936910365939","0.476322425613614"
"Non-working","1987","vocational + Abi","Female","38","0.339329929498813","0.253535604823781","0.425124254173845"
"Non-working","1987","higher vocational","Male","72","0.261531761013009","0.213381213300378","0.30968230872564"
"Non-working","1987","higher vocational","Female","118","0.51485778671458","0.452781376730829","0.576934196698331"
"Non-working","1987","higher education","Male","76","0.192739570572022","0.158025980663189","0.227453160480856"
"Non-working","1987","higher education","Female","85","0.38611816270861","0.325524841393582","0.446711484023638"
"Other","1987","in school","Male","2","","",""
"Other","1987","in school","Female","4","","",""
"Other","1987","inadequately","Male","7","","",""
"Other","1987","inadequately","Female","18","","",""
"Other","1987","general elemantary","Male","174","0.191410214708158","0.167099608909023","0.215720820507294"
"Other","1987","general elemantary","Female","156","0.0687467681449305","0.0572200699717651","0.0802734663180958"
"Other","1987","middle vocational","Male","86","0.0263741448700321","0.0203784257365777","0.0323698640034864"
"Other","1987","middle vocational","Female","129","0.0504927770327714","0.041429316420154","0.0595562376453889"
"Other","1987","vocational + Abi","Male","3","","",""
"Other","1987","vocational + Abi","Female","12","","",""
"Other","1987","higher vocational","Male","4","","",""
"Other","1987","higher vocational","Female","8","","",""
"Other","1987","higher education","Male","8","","",""
"Other","1987","higher education","Female","13","","",""
"Full-time","1988","in school","Male","","","",""
"Full-time","1988","in school","Female","","","",""
"Full-time","1988","inadequately","Male","202","0.615934204430984","0.558863140860635","0.673005268001333"
"Full-time","1988","inadequately","Female","119","0.208222701976773","0.169528716089675","0.246916687863871"
"Full-time","1988","general elemantary","Male","529","0.45983086246413","0.428595783697169","0.491065941231091"
"Full-time","1988","general elemantary","Female","347","0.147569329303072","0.130999450094222","0.164139208511922"
"Full-time","1988","middle vocational","Male","1809","0.646761171418129","0.628371007624013","0.665151335212245"
"Full-time","1988","middle vocational","Female","654","0.270287622889698","0.251567479027006","0.289007766752389"
"Full-time","1988","vocational + Abi","Male","95","0.505746872546758","0.426782889508274","0.584710855585242"
"Full-time","1988","vocational + Abi","Female","56","0.496188609187716","0.405591874210701","0.586785344164731"
"Full-time","1988","higher vocational","Male","240","0.72696568936616","0.677451067549945","0.776480311182374"
"Full-time","1988","higher vocational","Female","76","0.334474114139602","0.273499662231181","0.395448566048023"
"Full-time","1988","higher education","Male","382","0.785310624393636","0.748267884281585","0.822353364505687"
"Full-time","1988","higher education","Female","105","0.452063416036837","0.387742976551976","0.516383855521698"
"Part-time","1988","in school","Male","2","","",""
"Part-time","1988","in school","Female","1","","",""
"Part-time","1988","inadequately","Male","2","","",""
"Part-time","1988","inadequately","Female","33","0.0620181652745533","0.0390336908044669","0.0850026397446397"
"Part-time","1988","general elemantary","Male","8","","",""
"Part-time","1988","general elemantary","Female","186","0.0973673556088151","0.0835172220067003","0.11121748921093"
"Part-time","1988","middle vocational","Male","18","","",""
"Part-time","1988","middle vocational","Female","322","0.139430442555691","0.124829125259268","0.154031759852113"
"Part-time","1988","vocational + Abi","Male","2","","",""
"Part-time","1988","vocational + Abi","Female","11","","",""
"Part-time","1988","higher vocational","Male","4","","",""
"Part-time","1988","higher vocational","Female","37","0.136020279844689","0.0917168061396796","0.180323753549699"
"Part-time","1988","higher education","Male","8","","",""
"Part-time","1988","higher education","Female","40","0.153744455913847","0.107128492051138","0.200360419776557"
"Non-working","1988","in school","Male","86","0.958226320756856","0.916891862676068","0.999560778837644"
"Non-working","1988","in school","Female","70","0.964947028311885","0.922757874143521","1.00713618248025"
"Non-working","1988","inadequately","Male","68","0.344748449769259","0.288978381141494","0.400518518397024"
"Non-working","1988","inadequately","Female","261","0.688644895122344","0.644517979841479","0.73277181040321"
"Non-working","1988","general elemantary","Male","264","0.338651167398679","0.308991228789081","0.368311106008276"
"Non-working","1988","general elemantary","Female","1071","0.68621972831797","0.664540881621522","0.707898575014417"
"Non-working","1988","middle vocational","Male","695","0.322404275626666","0.304421151799916","0.340387399453417"
"Non-working","1988","middle vocational","Female","1061","0.539642204462385","0.518632451255792","0.560651957668978"
"Non-working","1988","vocational + Abi","Male","50","0.441152087709768","0.362731748514351","0.519572426905184"
"Non-working","1988","vocational + Abi","Female","38","0.30167723793655","0.218509568654264","0.384844907218836"
"Non-working","1988","higher vocational","Male","64","0.249434720098202","0.201346291649983","0.297523148546422"
"Non-working","1988","higher vocational","Female","105","0.488349273560762","0.423748719391782","0.552949827729742"
"Non-working","1988","higher education","Male","77","0.189012291915394","0.153691596004527","0.22433298782626"
"Non-working","1988","higher education","Female","70","0.337445959638101","0.276338118257757","0.398553801018446"
"Other","1988","in school","Male","2","","",""
"Other","1988","in school","Female","2","","",""
"Other","1988","inadequately","Male","7","","",""
"Other","1988","inadequately","Female","10","","",""
"Other","1988","general elemantary","Male","177","0.192044962827034","0.167357655682163","0.216732269971905"
"Other","1988","general elemantary","Female","156","0.0688435867701432","0.0570149465893526","0.0806722269509339"
"Other","1988","middle vocational","Male","73","0.0234109483356288","0.0175933351867049","0.0292285614845526"
"Other","1988","middle vocational","Female","125","0.0506397300922266","0.0413974002479846","0.0598820599364686"
"Other","1988","vocational + Abi","Male","7","","",""
"Other","1988","vocational + Abi","Female","12","","",""
"Other","1988","higher vocational","Male","3","","",""
"Other","1988","higher vocational","Female","12","","",""
"Other","1988","higher education","Male","5","","",""
"Other","1988","higher education","Female","15","","",""
"Full-time","1989","in school","Male","1","","",""
"Full-time","1989","in school","Female","1","","",""
"Full-time","1989","inadequately","Male","186","0.613713730469698","0.55464394508179","0.672783515857607"
"Full-time","1989","inadequately","Female","111","0.229204865565829","0.187962549921423","0.270447181210235"
"Full-time","1989","general elemantary","Male","530","0.482773944197448","0.450307142857537","0.515240745537359"
"Full-time","1989","general elemantary","Female","339","0.143327402481434","0.12656660047957","0.160088204483298"
"Full-time","1989","middle vocational","Male","1781","0.65641919207031","0.637906710480171","0.674931673660449"
"Full-time","1989","middle vocational","Female","680","0.29068898935207","0.271314087771031","0.310063890933109"
"Full-time","1989","vocational + Abi","Male","95","0.507895840182332","0.429694515314412","0.586097165050253"
"Full-time","1989","vocational + Abi","Female","67","0.519735909153667","0.434826916143986","0.604644902163347"
"Full-time","1989","higher vocational","Male","226","0.728287097016352","0.677438278681309","0.779135915351396"
"Full-time","1989","higher vocational","Female","78","0.333189454117174","0.271185632641457","0.395193275592891"
"Full-time","1989","higher education","Male","377","0.760880876736833","0.722400210634714","0.799361542838951"
"Full-time","1989","higher education","Female","104","0.446511923856847","0.38184148210516","0.511182365608535"
"Part-time","1989","in school","Male","3","","",""
"Part-time","1989","in school","Female","1","","",""
"Part-time","1989","inadequately","Male","","","",""
"Part-time","1989","inadequately","Female","31","0.0614971580664718","0.0379245865273171","0.0850697296056266"
"Part-time","1989","general elemantary","Male","5","","",""
"Part-time","1989","general elemantary","Female","179","0.0990295963321391","0.0847419559752009","0.113317236689077"
"Part-time","1989","middle vocational","Male","19","","",""
"Part-time","1989","middle vocational","Female","321","0.14188661287181","0.126998148270814","0.156775077472806"
"Part-time","1989","vocational + Abi","Male","6","","",""
"Part-time","1989","vocational + Abi","Female","12","","",""
"Part-time","1989","higher vocational","Male","","","",""
"Part-time","1989","higher vocational","Female","40","0.160992695592685","0.112647028102755","0.209338363082615"
"Part-time","1989","higher education","Male","9","","",""
"Part-time","1989","higher education","Female","42","0.154650616642374","0.107614754314912","0.201686478969835"
"Non-working","1989","in school","Male","83","0.934670143536946","0.883618247830096","0.985722039243796"
"Non-working","1989","in school","Female","80","0.971788602364286","0.936589075180278","1.00698812954829"
"Non-working","1989","inadequately","Male","64","0.288274647434915","0.233322169532125","0.343227125337706"
"Non-working","1989","inadequately","Female","250","0.686720604772024","0.641209476922662","0.732231732621385"
"Non-working","1989","general elemantary","Male","223","0.330739629902521","0.300171556501266","0.361307703303775"
"Non-working","1989","general elemantary","Female","1011","0.682977574149297","0.660720352168782","0.705234796129812"
"Non-working","1989","middle vocational","Male","667","0.314218759181232","0.296123349859193","0.332314168503272"
"Non-working","1989","middle vocational","Female","993","0.52084654843936","0.49953087446259","0.542162222416129"
"Non-working","1989","vocational + Abi","Male","50","0.399649068812376","0.323029401518827","0.476268736105925"
"Non-working","1989","vocational + Abi","Female","51","0.367458967198773","0.285523667378007","0.449394267019538"
"Non-working","1989","higher vocational","Male","64","0.257648707048821","0.207657555121773","0.30763985897587"
"Non-working","1989","higher vocational","Female","95","0.475355014286051","0.409662874743319","0.541047153828784"
"Non-working","1989","higher education","Male","75","0.192646529909593","0.157067873357255","0.228225186461932"
"Non-working","1989","higher education","Female","69","0.35098652925593","0.288898590466074","0.413074468045786"
"Other","1989","in school","Male","3","","",""
"Other","1989","in school","Female","3","","",""
"Other","1989","inadequately","Male","11","","",""
"Other","1989","inadequately","Female","7","","",""
"Other","1989","general elemantary","Male","152","0.177120121520031","0.152315673498812","0.20192456954125"
"Other","1989","general elemantary","Female","150","0.0746654270371303","0.0620926297319896","0.087238224342271"
"Other","1989","middle vocational","Male","61","0.0212897984964055","0.0156628571362898","0.0269167398565213"
"Other","1989","middle vocational","Female","116","0.0465778493367603","0.0375862033864396","0.0555694952870811"
"Other","1989","vocational + Abi","Male","6","","",""
"Other","1989","vocational + Abi","Female","3","","",""
"Other","1989","higher vocational","Male","4","","",""
"Other","1989","higher vocational","Female","9","","",""
