"erwst","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","16-34 y.","West Germany","2175","0.471802163173931","0.457388640725733","0.486215685622128"
"Full-time","1984","16-34 y.","East Germany","","","",""
"Full-time","1984","35-65 y.","West Germany","3530","0.510407833407596","0.498105807675273","0.522709859139919"
"Full-time","1984","35-65 y.","East Germany","","","",""
"Full-time","1984","66 and older","West Germany","17","","",""
"Full-time","1984","66 and older","East Germany","","","",""
"Part-time","1984","16-34 y.","West Germany","188","0.0422465420132472","0.0364387065603367","0.0480543774661577"
"Part-time","1984","16-34 y.","East Germany","","","",""
"Part-time","1984","35-65 y.","West Germany","461","0.0799855487909483","0.0733097409954161","0.0866613565864805"
"Part-time","1984","35-65 y.","East Germany","","","",""
"Part-time","1984","66 and older","West Germany","12","","",""
"Part-time","1984","66 and older","East Germany","","","",""
"Non-working","1984","16-34 y.","West Germany","1673","0.354293525107543","0.340483609194393","0.368103441020692"
"Non-working","1984","16-34 y.","East Germany","","","",""
"Non-working","1984","35-65 y.","West Germany","2165","0.376245853733398","0.364324012897962","0.388167694568834"
"Non-working","1984","35-65 y.","East Germany","","","",""
"Non-working","1984","66 and older","West Germany","1230","0.965774880802731","0.955815013698619","0.975734747906842"
"Non-working","1984","66 and older","East Germany","","","",""
"Other","1984","16-34 y.","West Germany","572","0.13165776970528","0.121895280558491","0.141420258852068"
"Other","1984","16-34 y.","East Germany","","","",""
"Other","1984","35-65 y.","West Germany","187","0.0333607640680576","0.0289414899645075","0.0377800381716076"
"Other","1984","35-65 y.","East Germany","","","",""
"Other","1984","66 and older","West Germany","21","","",""
"Other","1984","66 and older","East Germany","","","",""
"Full-time","1985","16-34 y.","West Germany","2084","0.508671701690302","0.493521834113745","0.523821569266859"
"Full-time","1985","16-34 y.","East Germany","","","",""
"Full-time","1985","35-65 y.","West Germany","3154","0.500036506983712","0.48715315478321","0.512919859184215"
"Full-time","1985","35-65 y.","East Germany","","","",""
"Full-time","1985","66 and older","West Germany","18","","",""
"Full-time","1985","66 and older","East Germany","","","",""
"Part-time","1985","16-34 y.","West Germany","217","0.0535909421662905","0.0467661520662662","0.0604157322663148"
"Part-time","1985","16-34 y.","East Germany","","","",""
"Part-time","1985","35-65 y.","West Germany","522","0.0988834642160408","0.0911919615951817","0.1065749668369"
"Part-time","1985","35-65 y.","East Germany","","","",""
"Part-time","1985","66 and older","West Germany","16","","",""
"Part-time","1985","66 and older","East Germany","","","",""
"Non-working","1985","16-34 y.","West Germany","1493","0.33863743770035","0.324296041067907","0.352978834332793"
"Non-working","1985","16-34 y.","East Germany","","","",""
"Non-working","1985","35-65 y.","West Germany","1995","0.378290474878639","0.365794638208002","0.390786311549276"
"Non-working","1985","35-65 y.","East Germany","","","",""
"Non-working","1985","66 and older","West Germany","1070","0.965303727621944","0.954576176566529","0.97603127867736"
"Non-working","1985","66 and older","East Germany","","","",""
"Other","1985","16-34 y.","West Germany","389","0.0990999184430572","0.0900451130595828","0.108154723826532"
"Other","1985","16-34 y.","East Germany","","","",""
"Other","1985","35-65 y.","West Germany","115","0.0227895539216077","0.0189443370517274","0.026634770791488"
"Other","1985","35-65 y.","East Germany","","","",""
"Other","1985","66 and older","West Germany","14","","",""
"Other","1985","66 and older","East Germany","","","",""
"Full-time","1986","16-34 y.","West Germany","2013","0.506692387533801","0.49138527720628","0.521999497861322"
"Full-time","1986","16-34 y.","East Germany","","","",""
"Full-time","1986","35-65 y.","West Germany","3007","0.50586835936934","0.492652791986799","0.519083926751881"
"Full-time","1986","35-65 y.","East Germany","","","",""
"Full-time","1986","66 and older","West Germany","10","","",""
"Full-time","1986","66 and older","East Germany","","","",""
"Part-time","1986","16-34 y.","West Germany","204","0.0533913485229999","0.0465082688959773","0.0602744281500224"
"Part-time","1986","16-34 y.","East Germany","","","",""
"Part-time","1986","35-65 y.","West Germany","429","0.0830740943328316","0.0757787523951263","0.090369436270537"
"Part-time","1986","35-65 y.","East Germany","","","",""
"Part-time","1986","66 and older","West Germany","9","","",""
"Part-time","1986","66 and older","East Germany","","","",""
"Non-working","1986","16-34 y.","West Germany","1421","0.323490047719249","0.309167190223154","0.337812905215344"
"Non-working","1986","16-34 y.","East Germany","","","",""
"Non-working","1986","35-65 y.","West Germany","1900","0.379052361972717","0.366228382428912","0.391876341516522"
"Non-working","1986","35-65 y.","East Germany","","","",""
"Non-working","1986","66 and older","West Germany","1017","0.974609330507958","0.965080774111542","0.984137886904374"
"Non-working","1986","66 and older","East Germany","","","",""
"Other","1986","16-34 y.","West Germany","460","0.116426216223949","0.106606274364587","0.126246158083311"
"Other","1986","16-34 y.","East Germany","","","",""
"Other","1986","35-65 y.","West Germany","162","0.0320051843251112","0.0273526197961733","0.0366577488540491"
"Other","1986","35-65 y.","East Germany","","","",""
"Other","1986","66 and older","West Germany","11","","",""
"Other","1986","66 and older","East Germany","","","",""
"Full-time","1987","16-34 y.","West Germany","1961","0.510483278085192","0.495076314938275","0.525890241232108"
"Full-time","1987","16-34 y.","East Germany","","","",""
