"erwst","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","Full Time","Rural Area","888","0.893625288328164","0.874312113663448","0.91293846299288"
"Full-time","1985","Full Time","Urban Area","3650","0.909114718961582","0.900214626024803","0.918014811898361"
"Full-time","1985","Not Working","Rural Area","17","","",""
"Full-time","1985","Not Working","Urban Area","62","0.0107542570127131","0.00724364260571764","0.0142648714197086"
"Full-time","1985","Part Time","Rural Area","128","0.309567790014514","0.263566434035684","0.355569145993344"
"Full-time","1985","Part Time","Urban Area","511","0.312430829310763","0.288817763806742","0.336043894814784"
"Non-working","1985","Full Time","Rural Area","31","0.0338007474244659","0.0224805696903515","0.0451209251585803"
"Non-working","1985","Full Time","Urban Area","127","0.030814981146641","0.0254641318539168","0.0361658304393651"
"Non-working","1985","Not Working","Rural Area","876","0.965067683408438","0.953183865095945","0.976951501720931"
"Non-working","1985","Not Working","Urban Area","3174","0.969988955974858","0.964181782805877","0.975796129143839"
"Non-working","1985","Part Time","Rural Area","84","0.216941051283999","0.175930054325198","0.2579520482428"
"Non-working","1985","Part Time","Urban Area","266","0.180107674344779","0.160529970562076","0.199685378127482"
"Other","1985","Full Time","Rural Area","40","0.0473820214341906","0.0340737109529983","0.0606903319153829"
"Other","1985","Full Time","Urban Area","148","0.039857700192747","0.0338006337244212","0.0459147666610727"
"Other","1985","Not Working","Rural Area","16","","",""
"Other","1985","Not Working","Urban Area","56","0.0134422531597498","0.00952268590480833","0.0173618204146914"
"Other","1985","Part Time","Rural Area","51","0.136338829164247","0.102194883579503","0.170482774748991"
"Other","1985","Part Time","Urban Area","207","0.15055604329363","0.13233665904945","0.168775427537809"
"Part-time","1985","Full Time","Rural Area","20","","",""
"Part-time","1985","Full Time","Urban Area","82","0.0202125996990301","0.0158553200624434","0.0245698793356168"
"Part-time","1985","Not Working","Rural Area","8","","",""
"Part-time","1985","Not Working","Urban Area","24","","",""
"Part-time","1985","Part Time","Rural Area","125","0.33715232953724","0.290113968868168","0.384190690206312"
"Part-time","1985","Part Time","Urban Area","496","0.356905453050828","0.332497506782699","0.381313399318958"
"Full-time","1986","Full Time","Rural Area","876","0.895822242696929","0.876666489548457","0.914977995845402"
"Full-time","1986","Full Time","Urban Area","3542","0.909746741131656","0.900739813706492","0.918753668556819"
"Full-time","1986","Not Working","Rural Area","14","","",""
"Full-time","1986","Not Working","Urban Area","59","0.014599198383655","0.0103979581309264","0.0188004386363837"
"Full-time","1986","Part Time","Rural Area","95","0.234763277988867","0.192911591447012","0.276614964530721"
"Full-time","1986","Part Time","Urban Area","444","0.274271827318355","0.251220534615742","0.297323120020968"
"Non-working","1986","Full Time","Rural Area","34","0.0329712862403327","0.0217746275728206","0.0441679449078448"
"Non-working","1986","Full Time","Urban Area","105","0.0250821672303909","0.0201668505934597","0.0299974838673221"
