"erwst","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Part-time","1984","(2c_voc) vocational maturity certificate","Female","","","",""
"Part-time","1984","(3a) lower tertiary education","Male","","","",""
"Part-time","1984","(3a) lower tertiary education","Female","","","",""
"Part-time","1984","(3b) higher tertiary education","Male","","","",""
"Part-time","1984","(3b) higher tertiary education","Female","30","0.158287278032925","0.105257800521985","0.211316755543864"
"Non-working","1984","(0) in school","Male","93","0.973213338747987","0.940745782058092","1.00568089543788"
"Non-working","1984","(0) in school","Female","91","0.991142247372459","0.972099202769026","1.01018529197589"
"Non-working","1984","(1a) inadequately completed","Male","91","0.280816412114788","0.241227221881225","0.320405602348351"
"Non-working","1984","(1a) inadequately completed","Female","355","0.645179929501652","0.607518503537843","0.68284135546546"
"Non-working","1984","(1b) general elementary school","Male","232","0.325679430898852","0.296458234874855","0.354900626922849"
"Non-working","1984","(1b) general elementary school","Female","1358","0.744561232895376","0.725576047985847","0.763546417804906"
"Non-working","1984","(1c) basic vocational qualification","Male","578","0.28164938521405","0.264132651264067","0.299166119164032"
"Non-working","1984","(1c) basic vocational qualification","Female","946","0.592499800215512","0.569385473495417","0.615614126935607"
"Non-working","1984","(2b) intermediate general qualification","Male","90","0.499366611252873","0.426323124812258","0.572410097693489"
"Non-working","1984","(2b) intermediate general qualification","Female","157","0.557140961461272","0.500649193388904","0.61363272953364"
"Non-working","1984","(2a) intermediate vocational","Male","112","0.212371319694839","0.179862216039128","0.244880423350549"
"Non-working","1984","(2a) intermediate vocational","Female","351","0.476573685980988","0.442028850880718","0.511118521081259"
"Non-working","1984","(2c_gen) general maturity certificate","Male","139","0.683671118534862","0.624589463553468","0.742752773516257"
"Non-working","1984","(2c_gen) general maturity certificate","Female","115","0.65980683723966","0.590010496514975","0.729603177964345"
"Non-working","1984","(2c_voc) vocational maturity certificate","Male","83","0.380117256899837","0.323361685885995","0.436872827913679"
"Non-working","1984","(2c_voc) vocational maturity certificate","Female","68","0.405637177389199","0.332888724644259","0.478385630134139"
"Non-working","1984","(3a) lower tertiary education","Male","36","0.212269798465658","0.154429526178245","0.270110070753072"
"Non-working","1984","(3a) lower tertiary education","Female","","","",""
"Non-working","1984","(3b) higher tertiary education","Male","44","0.138820687897337","0.102335848933461","0.175305526861214"
"Non-working","1984","(3b) higher tertiary education","Female","61","0.398392329846367","0.327266955764001","0.469517703928732"
"Other","1984","(0) in school","Male","","","",""
"Other","1984","(0) in school","Female","","","",""
"Other","1984","(1a) inadequately completed","Male","","","",""
"Other","1984","(1a) inadequately completed","Female","","","",""
"Other","1984","(1b) general elementary school","Male","123","0.144095773516253","0.122197603386496","0.16599394364601"
"Other","1984","(1b) general elementary school","Female","138","0.0622433726999877","0.0517258648147011","0.0727608805852743"
"Other","1984","(1c) basic vocational qualification","Male","46","0.0127755363790552","0.00840204754588261","0.0171490252122278"
"Other","1984","(1c) basic vocational qualification","Female","101","0.0537973309474424","0.0431841472868361","0.0644105146080488"
"Other","1984","(2b) intermediate general qualification","Male","64","0.348008827778581","0.278421873805256","0.417595781751906"
"Other","1984","(2b) intermediate general qualification","Female","81","0.259117907239694","0.209287650010124","0.308948164469264"
"Other","1984","(2a) intermediate vocational","Male","","","",""
"Other","1984","(2a) intermediate vocational","Female","50","0.0570499137892643","0.0410077787841163","0.0730920487944123"
"Other","1984","(2c_gen) general maturity certificate","Male","44","0.201089601872794","0.150167835916794","0.252011367828793"
"Other","1984","(2c_gen) general maturity certificate","Female","34","0.2271619677972","0.165435203504276","0.288888732090124"
"Other","1984","(2c_voc) vocational maturity certificate","Male","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","Female","","","",""
"Other","1984","(3a) lower tertiary education","Male","","","",""
"Other","1984","(3a) lower tertiary education","Female","","","",""
"Other","1984","(3b) higher tertiary education","Male","","","",""
"Other","1984","(3b) higher tertiary education","Female","","","",""
"Full-time","1985","(0) in school","Male","","","",""
"Full-time","1985","(0) in school","Female","","","",""
"Full-time","1985","(1a) inadequately completed","Male","301","0.57080294939536","0.522418418679267","0.619187480111453"
"Full-time","1985","(1a) inadequately completed","Female","181","0.289862510024121","0.250678243553819","0.329046776494424"
"Full-time","1985","(1b) general elementary school","Male","579","0.552096568843595","0.5191662635774","0.585026874109791"
"Full-time","1985","(1b) general elementary school","Female","354","0.137868827112453","0.121748200273324","0.153989453951581"
"Full-time","1985","(1c) basic vocational qualification","Male","1697","0.68643304338862","0.667347725478212","0.705518361299029"
"Full-time","1985","(1c) basic vocational qualification","Female","407","0.228423843063963","0.207637709713375","0.249209976414551"
"Full-time","1985","(2b) intermediate general qualification","Male","40","0.221567255420902","0.160727856785719","0.282406654056085"
"Full-time","1985","(2b) intermediate general qualification","Female","62","0.202595222378436","0.156806739732395","0.248383705024476"
"Full-time","1985","(2a) intermediate vocational","Male","448","0.744560445325137","0.708976488471849","0.780144402178424"
"Full-time","1985","(2a) intermediate vocational","Female","289","0.364926780603122","0.330857326370865","0.39899623483538"
"Full-time","1985","(2c_gen) general maturity certificate","Male","50","0.144542478781876","0.0975394509997817","0.19154550656397"
"Full-time","1985","(2c_gen) general maturity certificate","Female","","","",""
"Full-time","1985","(2c_voc) vocational maturity certificate","Male","164","0.569594712937249","0.508340917508473","0.630848508366025"
"Full-time","1985","(2c_voc) vocational maturity certificate","Female","72","0.432901737934765","0.357070178022965","0.508733297846565"
"Full-time","1985","(3a) lower tertiary education","Male","138","0.73972192019389","0.675079962738557","0.804363877649223"
"Full-time","1985","(3a) lower tertiary education","Female","33","0.439271424330395","0.323829983832862","0.554712864827928"
"Full-time","1985","(3b) higher tertiary education","Male","270","0.792010949574718","0.748483754021247","0.835538145128188"
"Full-time","1985","(3b) higher tertiary education","Female","80","0.436233960535023","0.362968219147724","0.509499701922323"
"Part-time","1985","(0) in school","Male","","","",""
"Part-time","1985","(0) in school","Female","","","",""
"Part-time","1985","(1a) inadequately completed","Male","","","",""
"Part-time","1985","(1a) inadequately completed","Female","","","",""
"Part-time","1985","(1b) general elementary school","Male","","","",""
"Part-time","1985","(1b) general elementary school","Female","178","0.0933009078575423","0.0797009759001587","0.106900839814926"
"Part-time","1985","(1c) basic vocational qualification","Male","","","",""
"Part-time","1985","(1c) basic vocational qualification","Female","263","0.15526887682849","0.137337441827082","0.173200311829897"
"Part-time","1985","(2b) intermediate general qualification","Male","","","",""
"Part-time","1985","(2b) intermediate general qualification","Female","","","",""
"Part-time","1985","(2a) intermediate vocational","Male","","","",""
"Part-time","1985","(2a) intermediate vocational","Female","127","0.142036023230926","0.117331061358646","0.166740985103206"
"Part-time","1985","(2c_gen) general maturity certificate","Male","","","",""
"Part-time","1985","(2c_gen) general maturity certificate","Female","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","Male","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","Female","","","",""
"Part-time","1985","(3a) lower tertiary education","Male","","","",""
