"erwst","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Not Employed","West Germany","98","0.0163378832270934","0.0126992670158126","0.0199764994383742","1"
"Full-time","1984","Not Employed","East Germany","","","","","1"
"Full-time","1984","Employed","West Germany","5624","0.718000555380315","0.707862747752583","0.728138363008047","1"
"Full-time","1984","Employed","East Germany","","","","","1"
"Non-working","1984","Not Employed","East Germany","","","","","5"
"Non-working","1984","Not Employed","West Germany","4479","0.969457142872177","0.964518194106358","0.974396091637996","5"
"Non-working","1984","Employed","West Germany","589","0.0833186584215136","0.0770922463509275","0.0895450704920997","5"
"Non-working","1984","Employed","East Germany","","","","","5"
"Other","1984","Not Employed","West Germany","69","0.0110578855032248","0.00805639575979306","0.0140593752466565","6"
"Other","1984","Not Employed","East Germany","","","","","6"
"Other","1984","Employed","West Germany","711","0.103217044765827","0.096362526908465","0.11007156262319","6"
"Other","1984","Employed","East Germany","","","","","6"
"Part-time","1984","Not Employed","West Germany","17","","","","2"
"Part-time","1984","Not Employed","East Germany","","","","","2"
"Part-time","1984","Employed","West Germany","644","0.0954637414323442","0.0888432573586869","0.102084225506002","2"
"Part-time","1984","Employed","East Germany","","","","","2"
"Full-time","1985","Not Employed","West Germany","79","0.0114178882841553","0.0082173485346402","0.0146184280336704","1"
"Full-time","1985","Not Employed","East Germany","","","","","1"
"Full-time","1985","Employed","West Germany","5177","0.734275282851044","0.72381793697985","0.744732628722239","1"
"Full-time","1985","Employed","East Germany","","","","","1"
"Non-working","1985","Not Employed","East Germany","","","","","5"
"Non-working","1985","Employed","East Germany","","","","","5"
"Non-working","1985","Not Employed","West Germany","4050","0.968777134986132","0.963537846979105","0.97401642299316","5"
"Non-working","1985","Employed","West Germany","508","0.0768287866651576","0.0705238728394996","0.0831337004908155","5"
"Other","1985","Not Employed","West Germany","72","0.0137203186356711","0.0102159797437803","0.0172246575275619","6"
"Other","1985","Not Employed","East Germany","","","","","6"
"Other","1985","Employed","West Germany","446","0.0720539367562124","0.0659323182001245","0.0781755553123002","6"
"Other","1985","Employed","East Germany","","","","","6"
"Part-time","1985","Not Employed","West Germany","32","0.00608465809404121","0.00374195773689165","0.00842735845119077","2"
"Part-time","1985","Not Employed","East Germany","","","","","2"
"Part-time","1985","Employed","West Germany","723","0.116841993727586","0.109237072400588","0.124446915054583","2"
"Part-time","1985","Employed","East Germany","","","","","2"
"Full-time","1986","Not Employed","West Germany","73","0.0137501014874115","0.0101162177795546","0.0173839851952683","1"
"Full-time","1986","Not Employed","East Germany","","","","","1"
"Full-time","1986","Employed","West Germany","4957","0.723403192250085","0.712690729824348","0.734115654675823","1"
"Full-time","1986","Employed","East Germany","","","","","1"
"Non-working","1986","Not Employed","West Germany","3795","0.969795086297261","0.964454322433252","0.97513585016127","5"
"Non-working","1986","Not Employed","East Germany","","","","","5"
"Non-working","1986","Employed","West Germany","543","0.0845792176175361","0.0779154823549613","0.0912429528801109","5"
"Non-working","1986","Employed","East Germany","","","","","5"
"Other","1986","Not Employed","East Germany","","","","","6"
"Other","1986","Not Employed","West Germany","59","0.0119248026239134","0.00853756873423079","0.015312036513596","6"
"Other","1986","Employed","West Germany","574","0.0903749999254909","0.0835085719589863","0.0972414278919955","6"
"Other","1986","Employed","East Germany","","","","","6"
"Part-time","1986","Not Employed","West Germany","18","","","","2"
"Part-time","1986","Not Employed","East Germany","","","","","2"
"Part-time","1986","Employed","West Germany","624","0.101642590206888","0.0944059337087956","0.10887924670498","2"
