"erwst","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Not Employed","no migration background","63","0.0155314677701202","0.0114949894354988","0.0195679461047417"
"Full-time","1984","Not Employed","direct migration background","35","0.0274042224725761","0.0172855620094555","0.0375228829356966"
"Full-time","1984","Not Employed","indirect migration background","","","",""
"Full-time","1984","Employed","no migration background","3613","0.711733804962953","0.699279223192995","0.72418838673291"
"Full-time","1984","Employed","direct migration background","1976","0.775466249729673","0.75883089633025","0.792101603129096"
"Full-time","1984","Employed","indirect migration background","35","0.510255298267309","0.393149686924367","0.627360909610251"
"Part-time","1984","Not Employed","no migration background","16","","",""
"Part-time","1984","Not Employed","direct migration background","1","","",""
"Part-time","1984","Not Employed","indirect migration background","","","",""
"Part-time","1984","Employed","no migration background","512","0.0966594871847472","0.088534522521741","0.104784451847753"
"Part-time","1984","Employed","direct migration background","126","0.0838306344220282","0.0727822436813709","0.0948790251626855"
"Part-time","1984","Employed","indirect migration background","6","","",""
"Non-working","1984","Not Employed","no migration background","3481","0.970542213677028","0.965022675708456","0.9760617516456"
"Non-working","1984","Not Employed","direct migration background","948","0.959297590495506","0.94705044640266","0.971544734588353"
"Non-working","1984","Not Employed","indirect migration background","50","0.90623770066538","0.831219044285207","0.981256357045554"
"Non-working","1984","Employed","no migration background","400","0.0824282800115452","0.0748663679533011","0.0899901920697893"
"Non-working","1984","Employed","direct migration background","179","0.0864103101553726","0.0752090175380288","0.0976116027727163"
"Non-working","1984","Employed","indirect migration background","10","","",""
"Other","1984","Not Employed","no migration background","45","0.0105458226067928","0.00721130104090066","0.0138803441726849"
"Other","1984","Not Employed","direct migration background","16","","",""
"Other","1984","Not Employed","indirect migration background","8","","",""
"Other","1984","Employed","no migration background","556","0.109178427840755","0.100603365730804","0.117753489950706"
"Other","1984","Employed","direct migration background","136","0.0542928056929264","0.0452592390064321","0.0633263723794206"
"Other","1984","Employed","indirect migration background","19","","",""
"Full-time","1985","Not Employed","no migration background","42","0.00991685135405043","0.00652062247273204","0.0133130802353688"
"Full-time","1985","Not Employed","direct migration background","36","0.030156275195172","0.0189270712908383","0.0413854790995057"
"Full-time","1985","Not Employed","indirect migration background","1","","",""
"Full-time","1985","Employed","no migration background","3438","0.729166181541122","0.716499173025068","0.741833190057176"
"Full-time","1985","Employed","direct migration background","1700","0.781095422677757","0.763212959510633","0.798977885844881"
"Full-time","1985","Employed","indirect migration background","39","0.619074642437275","0.506905527662174","0.731243757212375"
"Part-time","1985","Not Employed","no migration background","25","","",""
"Part-time","1985","Not Employed","direct migration background","7","","",""
"Part-time","1985","Not Employed","indirect migration background","","","",""
"Part-time","1985","Employed","no migration background","593","0.120828448596473","0.111538126527302","0.130118770665644"
"Part-time","1985","Employed","direct migration background","123","0.0839111525579248","0.0719209502037623","0.0959013549120874"
"Part-time","1985","Employed","indirect migration background","7","","",""
"Non-working","1985","Not Employed","no migration background","3148","0.970613689206489","0.964825137000256","0.976402241412722"
"Non-working","1985","Not Employed","direct migration background","833","0.949136252902572","0.934709197633735","0.963563308171409"
"Non-working","1985","Not Employed","indirect migration background","69","0.93685934398071","0.88068039835357","0.993038289607851"
"Non-working","1985","Employed","no migration background","348","0.0752078402351208","0.0676905211456517","0.08272515932459"
"Non-working","1985","Employed","direct migration background","152","0.0883590199384919","0.0760850448889665","0.100632994988017"
"Non-working","1985","Employed","indirect migration background","8","","",""
"Other","1985","Not Employed","no migration background","55","0.0136160640285739","0.00964393815410247","0.0175881899030453"
"Other","1985","Not Employed","direct migration background","15","","",""
"Other","1985","Not Employed","indirect migration background","2","","",""
"Other","1985","Employed","no migration background","349","0.0747975296272839","0.0672990817640824","0.0822959774904853"
"Other","1985","Employed","direct migration background","79","0.0466344048258264","0.0375157489126886","0.0557530607389641"
"Other","1985","Employed","indirect migration background","18","","",""
"Full-time","1986","Not Employed","no migration background","44","0.0128043475492178","0.00879850409742653","0.0168101910010091"
"Full-time","1986","Not Employed","direct migration background","27","","",""
"Full-time","1986","Not Employed","indirect migration background","2","","",""
"Full-time","1986","Employed","no migration background","3293","0.718987273569962","0.70600481726253","0.731969729877393"
"Full-time","1986","Employed","direct migration background","1616","0.766567873210235","0.74803340340468","0.785102343015789"
"Full-time","1986","Employed","indirect migration background","48","0.558086435967114","0.45660804394628","0.659564827987948"
"Part-time","1986","Not Employed","no migration background","15","","",""
"Part-time","1986","Not Employed","direct migration background","2","","",""
"Part-time","1986","Not Employed","indirect migration background","1","","",""
"Part-time","1986","Employed","no migration background","497","0.102994089284049","0.0942152504318445","0.111772928136253"
"Part-time","1986","Employed","direct migration background","116","0.0823016633141323","0.070260212246976","0.0943431143812886"
"Part-time","1986","Employed","indirect migration background","11","","",""
"Non-working","1986","Not Employed","no migration background","2923","0.971038802893138","0.965063771708939","0.977013834077337"
"Non-working","1986","Not Employed","direct migration background","812","0.960588917303158","0.947546953141415","0.973630881464902"
"Non-working","1986","Not Employed","indirect migration background","60","0.909116687710556","0.838694422217741","0.979538953203371"
"Non-working","1986","Employed","no migration background","378","0.0839374598518103","0.0759285436980224","0.0919463760055982"
"Non-working","1986","Employed","direct migration background","160","0.0911156583831249","0.0785068116344463","0.103724505131803"
"Non-working","1986","Employed","indirect migration background","5","","",""
"Other","1986","Not Employed","no migration background","44","0.0117434652343813","0.00790509723622504","0.0155818332325375"
"Other","1986","Not Employed","direct migration background","14","","",""
"Other","1986","Not Employed","indirect migration background","1","","",""
"Other","1986","Employed","no migration background","437","0.0940811772941793","0.0856492027436671","0.102513151844691"
"Other","1986","Employed","direct migration background","109","0.0600148050925079","0.0496080758991577","0.0704215342858581"
"Other","1986","Employed","indirect migration background","28","","",""
"Full-time","1987","Not Employed","no migration background","24","","",""
"Full-time","1987","Not Employed","direct migration background","20","","",""
"Full-time","1987","Not Employed","indirect migration background","","","",""
"Full-time","1987","Employed","no migration background","3262","0.711376496173322","0.6983203818393","0.724432610507344"
"Full-time","1987","Employed","direct migration background","1596","0.774449899512751","0.756063952176712","0.79283584684879"
"Full-time","1987","Employed","indirect migration background","55","0.567664915175976","0.471050112513738","0.664279717838214"
"Part-time","1987","Not Employed","no migration background","16","","",""
"Part-time","1987","Not Employed","direct migration background","3","","",""
"Part-time","1987","Not Employed","indirect migration background","1","","",""
"Part-time","1987","Employed","no migration background","536","0.113716308547506","0.104568941692147","0.122863675402865"
"Part-time","1987","Employed","direct migration background","126","0.0925356457642182","0.0797877896524116","0.105283501876025"
"Part-time","1987","Employed","indirect migration background","7","","",""
"Non-working","1987","Not Employed","no migration background","2795","0.980462865473865","0.975394037031819","0.985531693915911"
"Non-working","1987","Not Employed","direct migration background","820","0.966030094104846","0.953901787151834","0.978158401057857"
"Non-working","1987","Not Employed","indirect migration background","75","0.995916623325903","0.98157948394267","1.01025376270914"
"Non-working","1987","Employed","no migration background","364","0.0813537661226484","0.0734767574790073","0.0892307747662896"
"Non-working","1987","Employed","direct migration background","149","0.0740984753606283","0.062575759011555","0.0856211917097015"
"Non-working","1987","Employed","indirect migration background","10","","",""
"Other","1987","Not Employed","no migration background","29","","",""
"Other","1987","Not Employed","direct migration background","14","","",""
"Other","1987","Not Employed","indirect migration background","","","",""
"Other","1987","Employed","no migration background","465","0.0935534291565236","0.0851627077443486","0.101944150568699"
"Other","1987","Employed","direct migration background","114","0.0589159793624025","0.0485574384475097","0.0692745202772954"
"Other","1987","Employed","indirect migration background","29","","",""
"Full-time","1988","Not Employed","no migration background","32","0.0093278986482517","0.0056747768816108","0.0129810204148926"
"Full-time","1988","Not Employed","direct migration background","15","","",""
"Full-time","1988","Not Employed","indirect migration background","3","","",""
"Full-time","1988","Employed","no migration background","3086","0.707263575063692","0.693890122098492","0.720637028028892"
"Full-time","1988","Employed","direct migration background","1467","0.759359511003387","0.740026105225329","0.778692916781445"
"Full-time","1988","Employed","indirect migration background","66","0.521161112753454","0.433587393956852","0.608734831550057"
"Part-time","1988","Not Employed","no migration background","17","","",""
"Part-time","1988","Not Employed","direct migration background","3","","",""
"Part-time","1988","Not Employed","indirect migration background","1","","",""
"Part-time","1988","Employed","no migration background","519","0.113529374878457","0.10420540581109","0.122853343945824"
"Part-time","1988","Employed","direct migration background","131","0.0890436975972009","0.0761626654974429","0.101924729696959"
"Part-time","1988","Employed","indirect migration background","9","","",""
"Non-working","1988","Not Employed","no migration background","2584","0.976171324288132","0.970375432758008","0.981967215818256"
"Non-working","1988","Not Employed","direct migration background","780","0.969183347716707","0.957289198988797","0.981077496444617"
"Non-working","1988","Not Employed","indirect migration background","93","0.95921802404901","0.920257634444392","0.998178413653628"
"Non-working","1988","Employed","no migration background","404","0.0906244035532926","0.0821870012982606","0.0990618058083247"
"Non-working","1988","Employed","direct migration background","162","0.0931953258725558","0.0800474911004135","0.106343160644698"
"Non-working","1988","Employed","indirect migration background","10","","",""
"Other","1988","Not Employed","no migration background","27","","",""
"Other","1988","Not Employed","direct migration background","13","","",""
"Other","1988","Not Employed","indirect migration background","2","","",""
"Other","1988","Employed","no migration background","438","0.0885826465045579","0.0802314731568627","0.0969338198522531"
"Other","1988","Employed","direct migration background","118","0.0584014655268564","0.0477956258769097","0.0690073051768031"
"Other","1988","Employed","indirect migration background","40","0.22913931072963","0.155462497109301","0.302816124349959"
"Full-time","1989","Not Employed","no migration background","31","0.0114630009508502","0.00730847784680535","0.015617524054895"
"Full-time","1989","Not Employed","direct migration background","20","","",""
"Full-time","1989","Not Employed","indirect migration background","2","","",""
"Full-time","1989","Employed","no migration background","3055","0.718178857586365","0.704764834442839","0.73159288072989"
"Full-time","1989","Employed","direct migration background","1444","0.771983679095625","0.752590890029638","0.791376468161613"
"Full-time","1989","Employed","indirect migration background","80","0.466980442237764","0.387404729760908","0.54655615471462"
"Part-time","1989","Not Employed","no migration background","12","","",""
"Part-time","1989","Not Employed","direct migration background","10","","",""
"Part-time","1989","Not Employed","indirect migration background","1","","",""
"Part-time","1989","Employed","no migration background","517","0.118393609839407","0.108760700923919","0.128026518754896"
"Part-time","1989","Employed","direct migration background","119","0.0809663864109902","0.0683576570276108","0.0935751157943697"
"Part-time","1989","Employed","indirect migration background","15","","",""
"Non-working","1989","Not Employed","no migration background","2443","0.973758689248141","0.967519990931459","0.979997387564824"
"Non-working","1989","Not Employed","direct migration background","766","0.954119946855155","0.939693617119191","0.968546276591119"
