"erwst","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","(0) in school","West Germany","","","",""
"Full-time","1984","(0) in school","East Germany","","","",""
"Full-time","1984","(1a) inadequately completed","West Germany","615","0.465395717097779","0.43611794233883","0.494673491856728"
"Full-time","1984","(1a) inadequately completed","East Germany","","","",""
"Full-time","1984","(1b) general elementary school","West Germany","1000","0.220492631026792","0.205694339278584","0.235290922775"
"Full-time","1984","(1b) general elementary school","East Germany","","","",""
"Full-time","1984","(1c) basic vocational qualification","West Germany","2365","0.504179604120601","0.489181379829818","0.519177828411384"
"Full-time","1984","(1c) basic vocational qualification","East Germany","","","",""
"Full-time","1984","(2b) intermediate general qualification","West Germany","68","0.139553736616552","0.108456520442687","0.170650952790417"
"Full-time","1984","(2b) intermediate general qualification","East Germany","","","",""
"Full-time","1984","(2a) intermediate vocational","West Germany","758","0.516277551243775","0.490202550693907","0.542352551793643"
"Full-time","1984","(2a) intermediate vocational","East Germany","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","West Germany","71","0.0862041483589402","0.0592011048256676","0.113207191892213"
"Full-time","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Full-time","1984","(2c_voc) vocational maturity certificate","West Germany","264","0.520745189234355","0.474892845077201","0.56659753339151"
"Full-time","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Full-time","1984","(3a) lower tertiary education","West Germany","181","0.654309450051007","0.597155977461616","0.711462922640398"
"Full-time","1984","(3a) lower tertiary education","East Germany","","","",""
"Full-time","1984","(3b) higher tertiary education","West Germany","356","0.643803596947565","0.602918573837158","0.684688620057971"
"Full-time","1984","(3b) higher tertiary education","East Germany","","","",""
"Part-time","1984","(0) in school","West Germany","","","",""
"Part-time","1984","(0) in school","East Germany","","","",""
"Part-time","1984","(1a) inadequately completed","West Germany","","","",""
"Part-time","1984","(1a) inadequately completed","East Germany","","","",""
"Part-time","1984","(1b) general elementary school","West Germany","164","0.0562585324616092","0.048033736149137","0.0644833287740814"
"Part-time","1984","(1b) general elementary school","East Germany","","","",""
"Part-time","1984","(1c) basic vocational qualification","West Germany","233","0.0535647304080703","0.0468105923522413","0.0603188684638994"
"Part-time","1984","(1c) basic vocational qualification","East Germany","","","",""
"Part-time","1984","(2b) intermediate general qualification","West Germany","","","",""
"Part-time","1984","(2b) intermediate general qualification","East Germany","","","",""
"Part-time","1984","(2a) intermediate vocational","West Germany","117","0.0724233371048741","0.0588995365569276","0.0859471376528206"
"Part-time","1984","(2a) intermediate vocational","East Germany","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","West Germany","","","",""
"Part-time","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Part-time","1984","(3a) lower tertiary education","West Germany","","","",""
"Part-time","1984","(3a) lower tertiary education","East Germany","","","",""
"Part-time","1984","(3b) higher tertiary education","West Germany","46","0.0884015337650938","0.0641647785641706","0.112638288966017"
"Part-time","1984","(3b) higher tertiary education","East Germany","","","",""
"Non-working","1984","(0) in school","West Germany","184","0.982027117977007","0.96303647065532","1.00101776529869"
"Non-working","1984","(0) in school","East Germany","","","",""
"Non-working","1984","(1a) inadequately completed","West Germany","446","0.476670572682029","0.447354390884604","0.505986754479453"
"Non-working","1984","(1a) inadequately completed","East Germany","","","",""
"Non-working","1984","(1b) general elementary school","West Germany","1590","0.640712752619041","0.623586710090967","0.657838795147116"
"Non-working","1984","(1b) general elementary school","East Germany","","","",""
"Non-working","1984","(1c) basic vocational qualification","West Germany","1524","0.412245797305521","0.397479860560129","0.427011734050913"
"Non-working","1984","(1c) basic vocational qualification","East Germany","","","",""
"Non-working","1984","(2b) intermediate general qualification","West Germany","247","0.537424114251542","0.49267968520408","0.582168543299004"
"Non-working","1984","(2b) intermediate general qualification","East Germany","","","",""
"Non-working","1984","(2a) intermediate vocational","West Germany","463","0.364687306476911","0.339571988899738","0.389802624054084"
"Non-working","1984","(2a) intermediate vocational","East Germany","","","",""
"Non-working","1984","(2c_gen) general maturity certificate","West Germany","254","0.673514168223732","0.628398272898329","0.718630063549136"
"Non-working","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Non-working","1984","(2c_voc) vocational maturity certificate","West Germany","151","0.390236645510874","0.345464247597662","0.435009043424086"
"Non-working","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Non-working","1984","(3a) lower tertiary education","West Germany","65","0.265326520773668","0.212269264822561","0.318383776724776"
"Non-working","1984","(3a) lower tertiary education","East Germany","","","",""
"Non-working","1984","(3b) higher tertiary education","West Germany","105","0.232334347524154","0.196277683119524","0.268391011928784"
"Non-working","1984","(3b) higher tertiary education","East Germany","","","",""
"Other","1984","(0) in school","West Germany","","","",""
"Other","1984","(0) in school","East Germany","","","",""
"Other","1984","(1a) inadequately completed","West Germany","","","",""
"Other","1984","(1a) inadequately completed","East Germany","","","",""
"Other","1984","(1b) general elementary school","West Germany","261","0.0825360838925573","0.0727136105580979","0.0923585572270167"
"Other","1984","(1b) general elementary school","East Germany","","","",""
"Other","1984","(1c) basic vocational qualification","West Germany","147","0.0300098681658073","0.0248918630530317","0.035127873278583"
"Other","1984","(1c) basic vocational qualification","East Germany","","","",""
"Other","1984","(2b) intermediate general qualification","West Germany","145","0.289454011276788","0.248755850441722","0.330152172111854"
"Other","1984","(2b) intermediate general qualification","East Germany","","","",""
"Other","1984","(2a) intermediate vocational","West Germany","73","0.0466118051744401","0.0356124448184328","0.0576111655304475"
"Other","1984","(2a) intermediate vocational","East Germany","","","",""
"Other","1984","(2c_gen) general maturity certificate","West Germany","78","0.212186341888217","0.172849951232245","0.251522732544189"
"Other","1984","(2c_gen) general maturity certificate","East Germany","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Other","1984","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Other","1984","(3a) lower tertiary education","West Germany","","","",""
"Other","1984","(3a) lower tertiary education","East Germany","","","",""
"Other","1984","(3b) higher tertiary education","West Germany","","","",""
"Other","1984","(3b) higher tertiary education","East Germany","","","",""
"Full-time","1985","(0) in school","West Germany","","","",""
"Full-time","1985","(0) in school","East Germany","","","",""
"Full-time","1985","(1a) inadequately completed","West Germany","482","0.422619913954302","0.390647950913015","0.45459187699559"
"Full-time","1985","(1a) inadequately completed","East Germany","","","",""
"Full-time","1985","(1b) general elementary school","West Germany","933","0.241019763281872","0.224683067457502","0.257356459106242"
"Full-time","1985","(1b) general elementary school","East Germany","","","",""
"Full-time","1985","(1c) basic vocational qualification","West Germany","2104","0.492782465962579","0.476963541807069","0.508601390118089"
"Full-time","1985","(1c) basic vocational qualification","East Germany","","","",""
"Full-time","1985","(2b) intermediate general qualification","West Germany","102","0.20900273342586","0.172437802227002","0.245567664624719"
"Full-time","1985","(2b) intermediate general qualification","East Germany","","","",""
