"erwst","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","West Germany","Male","4125","0.635255435678442","0.623074594820203","0.647436276536681","1"
"Full-time","1984","West Germany","Female","1597","0.210167567526431","0.200052129374633","0.220283005678228","1"
"Full-time","1984","East Germany","Male","","","","","1"
"Full-time","1984","East Germany","Female","","","","","1"
"Non-working","1984","West Germany","Female","3559","0.620600171432021","0.608552894893224","0.632647447970818","5"
"Non-working","1984","West Germany","Male","1509","0.305201009867747","0.293548184649667","0.316853835085827","5"
"Non-working","1984","East Germany","Male","","","","","5"
"Non-working","1984","East Germany","Female","","","","","5"
"Other","1984","West Germany","Male","324","0.0517318688669209","0.046127156601504","0.0573365811323378","6"
"Other","1984","West Germany","Female","456","0.0725258896423351","0.0660866913555014","0.0789650879291687","6"
"Other","1984","East Germany","Male","","","","","6"
"Other","1984","East Germany","Female","","","","","6"
"Part-time","1984","West Germany","Male","41","0.00781168558689045","0.00558387588227836","0.0100394952915025","2"
"Part-time","1984","West Germany","Female","620","0.0967063713992136","0.0893683937231469","0.10404434907528","2"
"Part-time","1984","East Germany","Male","","","","","2"
"Part-time","1984","East Germany","Female","","","","","2"
"Full-time","1985","West Germany","Male","3730","0.626563623595848","0.613727271757022","0.639399975434674","1"
"Full-time","1985","West Germany","Female","1526","0.230605967479515","0.219605112349896","0.241606822609135","1"
"Full-time","1985","East Germany","Male","","","","","1"
"Full-time","1985","East Germany","Female","","","","","1"
"Non-working","1985","West Germany","Female","3118","0.599123855086559","0.586324733030618","0.611922977142501","5"
"Non-working","1985","East Germany","Female","","","","","5"
"Non-working","1985","West Germany","Male","1440","0.32133375944789","0.308941314044529","0.33372620485125","5"
"Non-working","1985","East Germany","Male","","","","","5"
"Other","1985","West Germany","Male","228","0.040663139320752","0.0354218669187148","0.0459044117227892","6"
"Other","1985","West Germany","Female","290","0.051584029780861","0.0458074093703794","0.0573606501913426","6"
"Other","1985","East Germany","Male","","","","","6"
"Other","1985","East Germany","Female","","","","","6"
"Part-time","1985","West Germany","Male","57","0.0114394776355108","0.00861748782089143","0.0142614674501302","2"
"Part-time","1985","West Germany","Female","698","0.118686147653065","0.11023954464116","0.127132750664969","2"
"Part-time","1985","East Germany","Male","","","","","2"
"Part-time","1985","East Germany","Female","","","","","2"
"Full-time","1986","West Germany","Male","3556","0.621699127961912","0.608600781794074","0.63479747412975","1"
"Full-time","1986","West Germany","Female","1474","0.234982388652535","0.223649739427657","0.246315037877412","1"
"Full-time","1986","East Germany","Male","","","","","1"
"Full-time","1986","East Germany","Female","","","","","1"
"Non-working","1986","West Germany","Male","1394","0.319223437942822","0.306632521362909","0.331814354522735","5"
"Non-working","1986","West Germany","Female","2944","0.597261389723375","0.584152318393759","0.610370461052992","5"
"Non-working","1986","East Germany","Male","","","","","5"
"Non-working","1986","East Germany","Female","","","","","5"
"Other","1986","West Germany","Female","382","0.0658247928865103","0.0591967243286312","0.0724528614443894","6"
"Other","1986","West Germany","Male","251","0.0462709687818766","0.040597163056681","0.0519447745070722","6"
"Other","1986","East Germany","Male","","","","","6"
"Other","1986","East Germany","Female","","","","","6"
"Part-time","1986","West Germany","Male","65","0.0128064653133894","0.00976961452741244","0.0158433160993663","2"
"Part-time","1986","West Germany","Female","577","0.10193142873758","0.0938444392670859","0.110018418208073","2"
"Part-time","1986","East Germany","Male","","","","","2"
"Part-time","1986","East Germany","Female","","","","","2"
"Full-time","1987","East Germany","Female","","","","","1"
"Full-time","1987","West Germany","Male","3500","0.62795887285275","0.614829103848519","0.64108864185698","1"
"Full-time","1987","West Germany","Female","1457","0.237928011481645","0.226468473191528","0.249387549771762","1"
"Full-time","1987","East Germany","Male","","","","","1"
"Non-working","1987","West Germany","Male","1366","0.310727607446174","0.298156273254194","0.323298941638155","5"
"Non-working","1987","West Germany","Female","2847","0.58493473569416","0.571674286546202","0.598195184842118","5"
"Non-working","1987","East Germany","Male","","","","","5"
"Non-working","1987","East Germany","Female","","","","","5"
"Other","1987","West Germany","Male","297","0.0516345018158091","0.0456234028575338","0.0576456007740843","6"
"Other","1987","West Germany","Female","354","0.0591072226086522","0.0527606876433648","0.0654537575739396","6"
"Other","1987","East Germany","Male","","","","","6"
"Other","1987","East Germany","Female","","","","","6"
"Part-time","1987","West Germany","Male","43","0.00967901788526703","0.00701952002261568","0.0123385157479184","2"
"Part-time","1987","West Germany","Female","646","0.118030030215543","0.10934703640366","0.126713024027426","2"
"Part-time","1987","East Germany","Male","","","","","2"
"Part-time","1987","East Germany","Female","","","","","2"
"Full-time","1988","East Germany","Female","","","","","1"
"Full-time","1988","West Germany","Male","3293","0.623795851095236","0.610304763615454","0.637286938575018","1"
"Full-time","1988","West Germany","Female","1376","0.238927028858342","0.227185668172866","0.250668389543817","1"
"Full-time","1988","East Germany","Male","","","","","1"
"Non-working","1988","West Germany","Male","1324","0.317988568589214","0.305019299298192","0.330957837880236","5"
"Non-working","1988","West Germany","Female","2709","0.581597519781931","0.568014978398383","0.595180061165479","5"
"Non-working","1988","East Germany","Male","","","","","5"
"Non-working","1988","East Germany","Female","","","","","5"
"Other","1988","West Germany","Male","291","0.048979256000946","0.0429686949331896","0.0549898170687024","6"
"Other","1988","West Germany","Female","347","0.0589959162904606","0.0525083864522928","0.0654834461286284","6"
"Other","1988","East Germany","Male","","","","","6"
"Other","1988","East Germany","Female","","","","","6"
"Part-time","1988","West Germany","Male","45","0.00923632431460419","0.00657223640363789","0.0119004122255705","2"
"Part-time","1988","West Germany","Female","635","0.120479535069267","0.111516558627407","0.129442511511127","2"
"Part-time","1988","East Germany","Male","","","","","2"
"Part-time","1988","East Germany","Female","","","","","2"
"Full-time","1989","East Germany","Female","","","","","1"
"Full-time","1989","West Germany","Male","3228","0.628470263079372","0.614773186753692","0.642167339405053","1"
"Full-time","1989","West Germany","Female","1404","0.249204442587006","0.237127653584934","0.261281231589077","1"
"Full-time","1989","East Germany","Male","","","","","1"
"Non-working","1989","West Germany","Male","1244","0.312336437215956","0.299199683689569","0.325473190742342","5"
"Non-working","1989","West Germany","Female","2585","0.573124504179444","0.559314689747645","0.586934318611242","5"
"Non-working","1989","East Germany","Male","","","","","5"
"Non-working","1989","East Germany","Female","","","","","5"
"Other","1989","West Germany","Male","265","0.0486238115807312","0.0425271883329381","0.0547204348285242","6"
"Other","1989","West Germany","Female","309","0.0547987849027894","0.0484445927866053","0.0611529770189734","6"
"Other","1989","East Germany","Male","","","","","6"
"Other","1989","East Germany","Female","","","","","6"
"Part-time","1989","West Germany","Male","44","0.0105694881239408","0.00767075424613674","0.0134682220017449","2"
"Part-time","1989","West Germany","Female","630","0.122872268330761","0.113706453055253","0.13203808360627","2"
"Part-time","1989","East Germany","Male","","","","","2"
"Part-time","1989","East Germany","Female","","","","","2"
"Full-time","1990","East Germany","Female","1180","0.450363831283632","0.430196648153397","0.470531014413868","1"
"Full-time","1990","West Germany","Male","3140","0.632566480139993","0.618768861290975","0.646364098989012","1"
"Full-time","1990","West Germany","Female","1383","0.252462333211044","0.240207023875061","0.264717642547027","1"
"Full-time","1990","East Germany","Male","1706","0.76782721100117","0.7498288479346","0.785825574067739","1"
"Non-working","1990","West Germany","Female","2496","0.560304300699056","0.546302060336484","0.574306541061628","5"
"Non-working","1990","East Germany","Male","307","0.187211484097809","0.17058307801238","0.203839890183238","5"
"Non-working","1990","West Germany","Male","1252","0.30638456039573","0.293191228627223","0.319577892164238","5"
"Non-working","1990","East Germany","Female","708","0.379180607458322","0.359513905608529","0.398847309308115","5"
"Other","1990","West Germany","Female","284","0.0509340303839403","0.0447316033514655","0.0571364574164151","6"
"Other","1990","West Germany","Male","239","0.0479767978047643","0.0418603247761724","0.0540932708333562","6"
"Other","1990","East Germany","Female","63","0.0233910674070553","0.0172645848130788","0.0295175500010318","6"
"Other","1990","East Germany","Male","80","0.0340168751397132","0.0262895786280131","0.0417441716514133","6"
"Part-time","1990","West Germany","Male","59","0.013072161659512","0.00982145280419345","0.0163228705148305","2"
"Part-time","1990","West Germany","Female","664","0.13629933570596","0.126620169709581","0.145978501702339","2"
"Part-time","1990","East Germany","Male","21","","","","2"
"Part-time","1990","East Germany","Female","387","0.147064493850991","0.132708348368805","0.161420639333176","2"
"Full-time","1991","East Germany","Female","1034","0.411531206247335","0.390878195858926","0.432184216635744","1"
"Full-time","1991","West Germany","Male","3157","0.634974899829411","0.621181706990392","0.648768092668429","1"
"Full-time","1991","West Germany","Female","1372","0.247829588181524","0.235647152348315","0.260012024014733","1"
"Full-time","1991","East Germany","Male","1424","0.673413530049662","0.652767513119166","0.694059546980158","1"
"Non-working","1991","West Germany","Female","2417","0.55011783777131","0.536080760754779","0.564154914787841","5"
"Non-working","1991","East Germany","Male","462","0.284931010707071","0.265059078479241","0.3048029429349","5"
"Non-working","1991","West Germany","Male","1196","0.299732190410324","0.286606446108885","0.312857934711764","5"
"Non-working","1991","East Germany","Female","866","0.476627998849594","0.455666840619717","0.497589157079471","5"
"Other","1991","West Germany","Female","344","0.0635876649266745","0.0567024193695168","0.0704729104838321","6"
"Other","1991","West Germany","Male","269","0.0511389752664462","0.0448279127954554","0.0574500377374371","6"
"Other","1991","East Germany","Female","70","0.0275576809396897","0.0206874154933867","0.0344279463859927","6"
"Other","1991","East Germany","Male","75","0.0304850554188068","0.0229164299588916","0.038053680878722","6"
"Part-time","1991","West Germany","Male","58","0.0141539344938187","0.0107696387411974","0.0175382302464401","2"
"Part-time","1991","West Germany","Female","692","0.138464909120492","0.128719371994412","0.148210446246571","2"
"Part-time","1991","East Germany","Male","21","","","","2"
"Part-time","1991","East Germany","Female","211","0.0842831139633818","0.0726238494282717","0.0959423784984919","2"
"Full-time","1992","West Germany","Male","3069","0.626715478737212","0.612729019079452","0.640701938394972","1"
"Full-time","1992","West Germany","Female","1348","0.247331768333708","0.235130967552501","0.259532569114915","1"
"Full-time","1992","East Germany","Male","1236","0.597930429717714","0.575860301542581","0.620000557892846","1"
"Full-time","1992","East Germany","Female","872","0.360000470650332","0.339456223201143","0.38054471809952","1"
"Non-working","1992","West Germany","Male","1225","0.311241673623746","0.297853081919652","0.32463026532784","5"
"Non-working","1992","East Germany","Female","993","0.549454682779371","0.528159368423423","0.570749997135319","5"
"Non-working","1992","West Germany","Female","2466","0.561004502571087","0.546971202942286","0.575037802199887","5"
"Non-working","1992","East Germany","Male","562","0.356731043284175","0.335168714037883","0.378293372530467","5"
"Other","1992","West Germany","Female","266","0.0480068346966302","0.0419615738792023","0.0540520955140582","6"
"Other","1992","West Germany","Male","240","0.0467690590047089","0.0406634220550519","0.0528746959543659","6"
"Other","1992","East Germany","Female","84","0.0315739671692719","0.0240897448452442","0.0390581894932996","6"
"Other","1992","East Germany","Male","87","0.0390138712329543","0.0302982769143879","0.0477294655515206","6"
"Part-time","1992","West Germany","Male","60","0.0152737886343326","0.0117274211792007","0.0188201560894644","2"
"Part-time","1992","East Germany","Male","11","","","","2"
"Part-time","1992","West Germany","Female","724","0.143656894398575","0.133738674538018","0.153575114259133","2"
"Part-time","1992","East Germany","Female","148","0.0589708794010252","0.0488883566781871","0.0690534021238634","2"
"Full-time","1993","West Germany","Male","3023","0.62401680333946","0.609976472534476","0.638057134144444","1"
"Full-time","1993","West Germany","Female","1332","0.245984453814666","0.233757590635048","0.258211316994283","1"
"Full-time","1993","East Germany","Male","1124","0.555120485383134","0.532295634477942","0.577945336288326","1"
"Full-time","1993","East Germany","Female","799","0.342036739992181","0.32134404136503","0.362729438619332","1"
"Non-working","1993","West Germany","Male","1276","0.318772440710871","0.305264738782653","0.332280142639088","5"
"Non-working","1993","East Germany","Female","981","0.559460566731253","0.537805622660317","0.581115510802188","5"
"Non-working","1993","West Germany","Female","2417","0.553309839127417","0.539195567803648","0.567424110451187","5"
"Non-working","1993","East Germany","Male","586","0.386720254758576","0.364352577461635","0.409087932055517","5"
"Other","1993","West Germany","Female","303","0.0568748932471736","0.0502995864344041","0.063450200059943","6"
"Other","1993","West Germany","Male","221","0.0442861348114118","0.0383227503087813","0.0502495193140423","6"
"Other","1993","East Germany","Male","102","0.0534771821782416","0.043143789821591","0.0638105745348922","6"
"Other","1993","East Germany","Female","94","0.0362077399773498","0.0280593396496434","0.0443561403050561","6"
"Part-time","1993","West Germany","Male","52","0.0129246211382575","0.00965061830834045","0.0161986239681746","2"
"Part-time","1993","East Germany","Male","9","","","","2"
"Part-time","1993","West Germany","Female","714","0.143830813810743","0.133868118750262","0.153793508871225","2"
"Part-time","1993","East Germany","Female","145","0.0622949532992166","0.0517525532913113","0.0728373533071219","2"
"Full-time","1994","West Germany","Male","2884","0.609620230703013","0.595272571862371","0.623967889543655","1"
"Full-time","1994","West Germany","Female","1275","0.239562760067569","0.227379918822294","0.251745601312845","1"
"Full-time","1994","East Germany","Male","1100","0.554984719258042","0.532020034714673","0.577949403801411","1"
"Full-time","1994","East Germany","Female","741","0.317612657005312","0.297153153925488","0.338072160085135","1"
"Non-working","1994","West Germany","Male","1318","0.335839154101006","0.321948906008752","0.34972940219326","5"
"Non-working","1994","East Germany","Female","977","0.574593538714468","0.55286587107327","0.596321206355666","5"
"Non-working","1994","East Germany","Male","593","0.391253571663646","0.368701840798291","0.413805302529002","5"
"Non-working","1994","West Germany","Female","2474","0.570177587412586","0.556047109769637","0.584308065055536","5"
"Other","1994","West Germany","Female","301","0.054419207541149","0.0479443134366886","0.0608941016456093","6"
"Other","1994","West Germany","Male","193","0.0421189940388","0.0362115110424843","0.0480264770351157","6"
"Other","1994","East Germany","Male","93","0.045583145932998","0.0359447734329166","0.0552215184330795","6"
"Other","1994","East Germany","Female","109","0.0383621842911169","0.029921296446198","0.0468030721360357","6"
"Part-time","1994","West Germany","Male","46","0.0124216211571809","0.00916413460916496","0.0156791077051969","2"
"Part-time","1994","East Germany","Male","13","","","","2"
"Part-time","1994","West Germany","Female","665","0.135840444978695","0.126060897524284","0.145619992433107","2"
"Part-time","1994","East Germany","Female","162","0.069431619989103","0.0582608401025411","0.080602399875665","2"
"Full-time","1995","East Germany","Male","1083","0.56861834085872","0.545440415142928","0.591796266574512","1"
"Full-time","1995","West Germany","Male","3021","0.598711357289957","0.584677271357786","0.612745443222128","1"
"Full-time","1995","West Germany","Female","1332","0.232859281602684","0.221118285633008","0.244600277572361","1"
"Full-time","1995","East Germany","Female","721","0.309778045320148","0.289259850057199","0.330296240583098","1"
"Non-working","1995","West Germany","Male","1383","0.339949532988213","0.326386939505099","0.353512126471326","5"
"Non-working","1995","East Germany","Female","933","0.570046595877872","0.548078858372436","0.592014333383308","5"
"Non-working","1995","West Germany","Female","2609","0.575705307410587","0.561975812477274","0.589434802343899","5"
"Non-working","1995","East Germany","Male","559","0.371812483097055","0.34919522621024","0.39442973998387","5"
"Other","1995","West Germany","Female","333","0.0587997611168389","0.0522647032115299","0.065334819022148","6"
"Other","1995","West Germany","Male","221","0.0429931830399961","0.0371854818381555","0.0488008842418367","6"
"Other","1995","East Germany","Male","98","0.0520101872696173","0.0416186609855894","0.0624017135536451","6"
"Other","1995","East Germany","Female","98","0.0344181701120369","0.0263289270136333","0.0425074132104405","6"
"Part-time","1995","West Germany","Male","61","0.0183459266818345","0.0145035847336469","0.0221882686300221","2"
"Part-time","1995","East Germany","Male","14","","","","2"
"Part-time","1995","West Germany","Female","704","0.13263564986989","0.123213466245597","0.142057833494183","2"
"Part-time","1995","East Germany","Female","199","0.0857571886899424","0.0733325004242975","0.0981818769555872","2"
"Full-time","1996","East Germany","Male","1038","0.547860161504207","0.52459479472074","0.571125528287673","1"
"Full-time","1996","West Germany","Male","2914","0.594755468757102","0.580501481042632","0.609009456471572","1"
"Full-time","1996","West Germany","Female","1268","0.225822129844102","0.214080114265467","0.237564145422736","1"
"Full-time","1996","East Germany","Female","696","0.297305423940801","0.276955821853282","0.317655026028321","1"
"Non-working","1996","West Germany","Male","1351","0.341657199782306","0.327887327552577","0.355427072012035","5"
"Non-working","1996","East Germany","Female","943","0.576403760448229","0.554404369609111","0.598403151287347","5"
"Non-working","1996","West Germany","Female","2539","0.572067990047728","0.558173256056415","0.585962724039042","5"
"Non-working","1996","East Germany","Male","610","0.399187017338264","0.376294343848878","0.42207969082765","5"
"Other","1996","West Germany","Male","206","0.0408952497784218","0.0351451149213007","0.0466453846355428","6"
"Other","1996","West Germany","Female","308","0.0556170165429103","0.0491810030348325","0.0620530300509882","6"
"Other","1996","East Germany","Male","93","0.0432880565767176","0.0337751485532208","0.0528009646002145","6"
"Other","1996","East Germany","Female","103","0.0374057921647558","0.0289576297415808","0.0458539545879308","6"
