"erwst","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","16-34 y.","1-pers.-HH","234","0.657632102220683","0.608272467725422","0.706991736715943","1"
"Full-time","1984","16-34 y.","(Married) couple without C. ","496","0.768836433471315","0.736352200120314","0.801320666822315","1"
"Full-time","1984","16-34 y.","Single parent ","110","0.361152423976653","0.305581062706546","0.416723785246759","1"
"Full-time","1984","16-34 y.","Couple + C. LE 16 ","710","0.456773440288755","0.431657075720722","0.481889804856788","1"
"Full-time","1984","16-34 y.","Couple + C. GT 16 ","300","0.379131867970842","0.345406293467213","0.412857442474472","1"
"Full-time","1984","16-34 y.","Couple + C. LE and GT 16","204","0.279639665932685","0.246556073129148","0.312723258736222","1"
"Full-time","1984","35-65 y.","1-pers.-HH","320","0.538779763539247","0.495768415427307","0.581791111651187","1"
"Full-time","1984","35-65 y.","(Married) couple without C. ","686","0.40693802957552","0.381918177437279","0.431957881713761","1"
"Full-time","1984","35-65 y.","Single parent ","130","0.450929457765953","0.390906899289153","0.510952016242752","1"
"Full-time","1984","35-65 y.","Couple + C. LE 16 ","1016","0.620660318037786","0.596643460080466","0.644677175995107","1"
"Full-time","1984","35-65 y.","Couple + C. GT 16 ","616","0.499252229137735","0.470354169067768","0.528150289207703","1"
"Full-time","1984","35-65 y.","Couple + C. LE and GT 16","572","0.555451958732281","0.524851638587616","0.586052278876945","1"
"Full-time","1984","66 and older","1-pers.-HH","4","","","","1"
"Full-time","1984","66 and older","(Married) couple without C. ","11","","","","1"
"Full-time","1984","66 and older","Single parent ","","","","","1"
"Full-time","1984","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1984","66 and older","Couple + C. GT 16 ","1","","","","1"
"Full-time","1984","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1984","16-34 y.","1-pers.-HH","89","0.248759377557123","0.2037903830334","0.293728372080847","5"
"Non-working","1984","35-65 y.","Couple + C. LE 16 ","388","0.255929469481946","0.23433004088625","0.277528898077641","5"
"Non-working","1984","66 and older","Single parent ","28","","","","5"
"Non-working","1984","35-65 y.","Single parent ","102","0.409944975128832","0.350617595358944","0.46927235489872","5"
"Non-working","1984","66 and older","(Married) couple without C. ","548","0.957559649516555","0.94111091148709","0.974008387546021","5"
"Non-working","1984","16-34 y.","Couple + C. LE and GT 16","319","0.448079088535603","0.411422322567812","0.484735854503395","5"
"Non-working","1984","35-65 y.","Couple + C. GT 16 ","385","0.355518167055986","0.327852865415371","0.383183468696601","5"
"Non-working","1984","35-65 y.","Couple + C. LE and GT 16","321","0.304065469353639","0.275737782510975","0.332393156196302","5"
"Non-working","1984","16-34 y.","(Married) couple without C. ","102","0.146217668233546","0.118992569763689","0.173442766703404","5"
"Non-working","1984","16-34 y.","Single parent ","123","0.451410057057193","0.393837346238175","0.50898276787621","5"
"Non-working","1984","16-34 y.","Couple + C. LE 16 ","608","0.395234359601366","0.370583233704472","0.41988548549826","5"
"Non-working","1984","16-34 y.","Couple + C. GT 16 ","314","0.396166375779075","0.36216770176904","0.43016504978911","5"
"Non-working","1984","35-65 y.","1-pers.-HH","167","0.394721507638341","0.35254736556001","0.436895649716672","5"
"Non-working","1984","35-65 y.","(Married) couple without C. ","676","0.507511067275701","0.482049123304987","0.532973011246415","5"
"Non-working","1984","66 and older","1-pers.-HH","450","0.970766317020056","0.955438220841744","0.986094413198367","5"
"Non-working","1984","66 and older","Couple + C. LE 16 ","2","","","","5"
"Non-working","1984","66 and older","Couple + C. GT 16 ","45","0.941482651688695","0.875081447975572","1.00788385540182","5"
"Non-working","1984","66 and older","Couple + C. LE and GT 16","","","","","5"
"Other","1984","16-34 y.","Couple + C. LE and GT 16","176","0.265624060522549","0.233068040300579","0.29818008074452","6"
"Other","1984","35-65 y.","Couple + C. LE 16 ","48","0.0374227027902328","0.0280284888957371","0.0468169166847285","6"
"Other","1984","16-34 y.","1-pers.-HH","26","","","","6"
"Other","1984","16-34 y.","(Married) couple without C. ","24","","","","6"
"Other","1984","16-34 y.","Single parent ","46","0.155165918130203","0.113277783257308","0.197054053003097","6"
"Other","1984","35-65 y.","(Married) couple without C. ","27","","","","6"
"Other","1984","16-34 y.","Couple + C. LE 16 ","75","0.0585543310341127","0.046715931262431","0.0703927308057943","6"
"Other","1984","35-65 y.","Single parent ","6","","","","6"
"Other","1984","16-34 y.","Couple + C. GT 16 ","171","0.212714689432124","0.184268156515219","0.241161222349028","6"
"Other","1984","35-65 y.","1-pers.-HH","10","","","","6"
"Other","1984","35-65 y.","Couple + C. GT 16 ","43","0.0435577022736748","0.0317609885873914","0.0553544159599582","6"
"Other","1984","35-65 y.","Couple + C. LE and GT 16","42","0.0545029486518061","0.0405237120004516","0.0684821853031607","6"
"Other","1984","66 and older","1-pers.-HH","7","","","","6"
"Other","1984","66 and older","(Married) couple without C. ","9","","","","6"
"Other","1984","66 and older","Single parent ","","","","","6"
"Other","1984","66 and older","Couple + C. LE 16 ","1","","","","6"
"Other","1984","66 and older","Couple + C. GT 16 ","2","","","","6"
"Other","1984","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1984","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1984","16-34 y.","Couple + C. LE 16 ","118","0.0894378690757667","0.0750488438887287","0.103826894262805","2"
"Part-time","1984","16-34 y.","1-pers.-HH","6","","","","2"
"Part-time","1984","16-34 y.","(Married) couple without C. ","25","","","","2"
"Part-time","1984","16-34 y.","Couple + C. GT 16 ","10","","","","2"
"Part-time","1984","35-65 y.","Single parent ","26","","","","2"
"Part-time","1984","35-65 y.","(Married) couple without C. ","92","0.0657568589128482","0.0531336127728935","0.0783801050528028","2"
"Part-time","1984","16-34 y.","Single parent ","8","","","","2"
"Part-time","1984","16-34 y.","Couple + C. LE and GT 16","8","","","","2"
"Part-time","1984","35-65 y.","1-pers.-HH","19","","","","2"
"Part-time","1984","35-65 y.","Couple + C. LE and GT 16","78","0.0859796232622744","0.0687165117398434","0.103242734784705","2"
"Part-time","1984","66 and older","1-pers.-HH","3","","","","2"
"Part-time","1984","66 and older","(Married) couple without C. ","9","","","","2"
"Part-time","1984","66 and older","Single parent ","","","","","2"
"Part-time","1984","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1984","66 and older","Couple + C. GT 16 ","","","","","2"
"Part-time","1984","35-65 y.","Couple + C. LE 16 ","116","0.0859875096900354","0.0721113652192842","0.0998636541607866","2"
"Part-time","1984","35-65 y.","Couple + C. GT 16 ","106","0.101671901532604","0.084204949166136","0.119138853899071","2"
"Full-time","1985","16-34 y.","1-pers.-HH","233","0.710904077515662","0.661767975539579","0.760040179491745","1"
"Full-time","1985","16-34 y.","(Married) couple without C. ","461","0.783193123183426","0.749999229622118","0.816387016744734","1"
"Full-time","1985","16-34 y.","Single parent ","120","0.412701154323279","0.355035597393096","0.470366711253461","1"
"Full-time","1985","16-34 y.","Couple + C. LE 16 ","595","0.467314245451665","0.439644387905041","0.49498410299829","1"
"Full-time","1985","16-34 y.","Couple + C. GT 16 ","340","0.387390856849208","0.354387981251189","0.420393732447226","1"
"Full-time","1985","16-34 y.","Couple + C. LE and GT 16","208","0.339256596228886","0.302197494442842","0.376315698014929","1"
"Full-time","1985","35-65 y.","1-pers.-HH","275","0.540153530215581","0.494105943763899","0.586201116667263","1"
"Full-time","1985","35-65 y.","(Married) couple without C. ","610","0.405133635988991","0.378897745696135","0.431369526281846","1"
"Full-time","1985","35-65 y.","Single parent ","121","0.470131536793213","0.406722181011314","0.533540892575111","1"
"Full-time","1985","35-65 y.","Couple + C. LE 16 ","881","0.576664716854352","0.551065174739272","0.602264258969433","1"
"Full-time","1985","35-65 y.","Couple + C. GT 16 ","623","0.518434636574591","0.489480560931139","0.547388712218043","1"
"Full-time","1985","35-65 y.","Couple + C. LE and GT 16","489","0.539836601952041","0.506641321334895","0.573031882569187","1"
"Full-time","1985","66 and older","1-pers.-HH","2","","","","1"
"Full-time","1985","66 and older","(Married) couple without C. ","8","","","","1"
"Full-time","1985","66 and older","Single parent ","1","","","","1"
"Full-time","1985","66 and older","Couple + C. LE 16 ","1","","","","1"
"Full-time","1985","66 and older","Couple + C. GT 16 ","2","","","","1"
"Full-time","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1985","16-34 y.","1-pers.-HH","58","0.173036725693243","0.132036478948626","0.214036972437861","5"
"Non-working","1985","35-65 y.","Single parent ","86","0.381344221422875","0.319636041898803","0.443052400946946","5"
"Non-working","1985","35-65 y.","Couple + C. LE 16 ","373","0.27638699195617","0.253216233151332","0.299557750761009","5"
"Non-working","1985","35-65 y.","Couple + C. GT 16 ","363","0.327403290733554","0.300210488262884","0.354596093204225","5"
"Non-working","1985","35-65 y.","Couple + C. LE and GT 16","279","0.322701022085069","0.291563824281678","0.353838219888459","5"
"Non-working","1985","66 and older","Single parent ","27","","","","5"
"Non-working","1985","66 and older","(Married) couple without C. ","474","0.962988176807446","0.946407046337476","0.979569307277415","5"
"Non-working","1985","16-34 y.","Couple + C. LE and GT 16","300","0.45217831557974","0.413221020407933","0.491135610751546","5"
"Non-working","1985","16-34 y.","(Married) couple without C. ","82","0.133078974813225","0.105717989756834","0.160439959869616","5"
"Non-working","1985","16-34 y.","Single parent ","117","0.420382112283321","0.362564243480667","0.478199981085976","5"
"Non-working","1985","16-34 y.","Couple + C. LE 16 ","482","0.374327646068997","0.347488647557318","0.401166644580677","5"
"Non-working","1985","16-34 y.","Couple + C. GT 16 ","347","0.43363242855297","0.400059020579004","0.467205836526936","5"
"Non-working","1985","35-65 y.","1-pers.-HH","152","0.40123761198834","0.35595099193425","0.446524232042431","5"
"Non-working","1985","35-65 y.","(Married) couple without C. ","620","0.502892290688103","0.476171476501161","0.529613104875044","5"
"Non-working","1985","66 and older","1-pers.-HH","393","0.974284851974856","0.958850269068421","0.989719434881292","5"
"Non-working","1985","66 and older","Couple + C. LE 16 ","1","","","","5"
"Non-working","1985","66 and older","Couple + C. GT 16 ","42","0.879303115449509","0.78714261840101","0.971463612498008","5"
"Non-working","1985","66 and older","Couple + C. LE and GT 16","","","","","5"
"Other","1985","16-34 y.","Couple + C. LE and GT 16","110","0.194801780604672","0.163801745569944","0.225801815639399","6"
"Other","1985","35-65 y.","(Married) couple without C. ","9","","","","6"
"Other","1985","35-65 y.","Single parent ","6","","","","6"
"Other","1985","35-65 y.","Couple + C. LE 16 ","39","0.0354639344084671","0.0258813872040732","0.045046481612861","6"
"Other","1985","16-34 y.","1-pers.-HH","20","","","","6"
"Other","1985","16-34 y.","(Married) couple without C. ","19","","","","6"
"Other","1985","16-34 y.","Single parent ","31","0.125384717993214","0.0865964926676716","0.164172943318757","6"
"Other","1985","16-34 y.","Couple + C. LE 16 ","48","0.043123155737452","0.0318576637813242","0.0543886476935798","6"
"Other","1985","16-34 y.","Couple + C. GT 16 ","138","0.164059764955539","0.138971304083489","0.189148225827588","6"
"Other","1985","35-65 y.","1-pers.-HH","7","","","","6"
"Other","1985","35-65 y.","Couple + C. GT 16 ","19","","","","6"
"Other","1985","35-65 y.","Couple + C. LE and GT 16","23","","","","6"
"Other","1985","66 and older","1-pers.-HH","8","","","","6"
"Other","1985","66 and older","(Married) couple without C. ","3","","","","6"
"Other","1985","66 and older","Single parent ","","","","","6"
"Other","1985","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1985","66 and older","Couple + C. GT 16 ","2","","","","6"
"Other","1985","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1985","16-34 y.","1-pers.-HH","16","","","","2"
"Part-time","1985","16-34 y.","Couple + C. LE 16 ","124","0.115234952741885","0.0975268120184215","0.132943093465349","2"
"Part-time","1985","16-34 y.","Single parent ","12","","","","2"
"Part-time","1985","16-34 y.","Couple + C. GT 16 ","12","","","","2"
"Part-time","1985","35-65 y.","(Married) couple without C. ","106","0.0845404010921929","0.069672875586708","0.0994079265976777","2"
"Part-time","1985","35-65 y.","Single parent ","25","","","","2"
"Part-time","1985","16-34 y.","(Married) couple without C. ","30","0.0484908630486472","0.0311877726760321","0.0657939534212623","2"
"Part-time","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1985","16-34 y.","Couple + C. LE and GT 16","9","","","","2"
"Part-time","1985","35-65 y.","1-pers.-HH","16","","","","2"
"Part-time","1985","35-65 y.","Couple + C. LE and GT 16","75","0.103374687118996","0.0830977783691183","0.123651595868874","2"
"Part-time","1985","66 and older","1-pers.-HH","1","","","","2"
"Part-time","1985","66 and older","(Married) couple without C. ","13","","","","2"
"Part-time","1985","66 and older","Single parent ","","","","","2"
"Part-time","1985","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1985","66 and older","Couple + C. GT 16 ","2","","","","2"
"Part-time","1985","35-65 y.","Couple + C. LE 16 ","138","0.11148435678101","0.0951775930183488","0.127791120543672","2"
"Part-time","1985","35-65 y.","Couple + C. GT 16 ","139","0.134412165228506","0.114646568087007","0.154177762370004","2"
"Full-time","1986","16-34 y.","1-pers.-HH","221","0.700699586750707","0.650834661214933","0.750564512286482","1"
"Full-time","1986","16-34 y.","(Married) couple without C. ","495","0.789697128311764","0.758173698908549","0.821220557714978","1"
"Full-time","1986","16-34 y.","Single parent ","98","0.381285210152984","0.32201882123725","0.440551599068718","1"
"Full-time","1986","16-34 y.","Couple + C. LE 16 ","557","0.478861298828404","0.449963904806122","0.507758692850686","1"
"Full-time","1986","16-34 y.","Couple + C. GT 16 ","345","0.380359348334535","0.348173914086459","0.41254478258261","1"
"Full-time","1986","16-34 y.","Couple + C. LE and GT 16","180","0.30202683277518","0.264915926891151","0.339137738659209","1"
"Full-time","1986","35-65 y.","1-pers.-HH","270","0.565365969062198","0.518403285875011","0.612328652249385","1"
"Full-time","1986","35-65 y.","(Married) couple without C. ","585","0.406220546020641","0.379230845777325","0.433210246263957","1"
"Full-time","1986","35-65 y.","Single parent ","126","0.502732449731982","0.437974383897238","0.567490515566726","1"
"Full-time","1986","35-65 y.","Couple + C. LE 16 ","777","0.592022133548932","0.564907378423858","0.619136888674005","1"
"Full-time","1986","35-65 y.","Couple + C. GT 16 ","639","0.511730437322688","0.483258128165047","0.540202746480329","1"
"Full-time","1986","35-65 y.","Couple + C. LE and GT 16","448","0.531274194661166","0.497014137799564","0.565534251522768","1"
"Full-time","1986","66 and older","1-pers.-HH","2","","","","1"
"Full-time","1986","66 and older","(Married) couple without C. ","7","","","","1"
"Full-time","1986","66 and older","Single parent ","","","","","1"
"Full-time","1986","66 and older","Couple + C. LE 16 ","","","","","1"
"Full-time","1986","66 and older","Couple + C. GT 16 ","","","","","1"
"Full-time","1986","66 and older","Couple + C. LE and GT 16","","","","","1"
"Non-working","1986","35-65 y.","Couple + C. LE and GT 16","281","0.336044082570726","0.303614822790941","0.368473342350512","5"
"Non-working","1986","66 and older","Couple + C. GT 16 ","47","0.964625140888548","0.91290297548629","1.01634730629081","5"
"Non-working","1986","35-65 y.","Single parent ","74","0.341813372026615","0.280380700552632","0.403246043500598","5"
"Non-working","1986","35-65 y.","Couple + C. LE 16 ","335","0.277884352349818","0.253169738020391","0.302598966679244","5"
"Non-working","1986","16-34 y.","1-pers.-HH","55","0.162287058396382","0.122138944966918","0.202435171825846","5"
"Non-working","1986","16-34 y.","(Married) couple without C. ","87","0.119588288696223","0.0944886304598712","0.144687946932574","5"
"Non-working","1986","16-34 y.","Single parent ","109","0.425673141179082","0.365340001581757","0.486006280776408","5"
"Non-working","1986","16-34 y.","Couple + C. LE and GT 16","267","0.42426062366271","0.384313201655658","0.464208045669763","5"
"Non-working","1986","35-65 y.","(Married) couple without C. ","566","0.49285629201813","0.465381765999684","0.520330818036575","5"
"Non-working","1986","66 and older","1-pers.-HH","363","0.980987453997437","0.967071945062644","0.99490296293223","5"
"Non-working","1986","66 and older","(Married) couple without C. ","456","0.968009257002043","0.952167226729663","0.983851287274424","5"
"Non-working","1986","66 and older","Single parent ","23","","","","5"
"Non-working","1986","66 and older","Couple + C. LE 16 ","1","","","","5"
"Non-working","1986","35-65 y.","Couple + C. GT 16 ","376","0.332197712254684","0.305369328510107","0.35902609599926","5"
"Non-working","1986","16-34 y.","Couple + C. LE 16 ","437","0.367181351591875","0.339297222192076","0.395065480991673","5"
"Non-working","1986","35-65 y.","1-pers.-HH","146","0.407157564310342","0.360612128415007","0.453703000205678","5"
"Non-working","1986","16-34 y.","Couple + C. GT 16 ","357","0.414864114786717","0.382199790643486","0.447528438929948","5"
"Non-working","1986","66 and older","Couple + C. LE and GT 16","","","","","5"
"Other","1986","35-65 y.","Couple + C. LE 16 ","45","0.0408912299038186","0.0299650730398176","0.0518173867678196","6"
"Other","1986","16-34 y.","Couple + C. LE and GT 16","128","0.250159253515165","0.215152468109625","0.285166038920705","6"
"Other","1986","35-65 y.","Single parent ","7","","","","6"
"Other","1986","35-65 y.","(Married) couple without C. ","34","0.0270430970347793","0.0181289549849757","0.035957239084583","6"
"Other","1986","16-34 y.","1-pers.-HH","29","","","","6"
"Other","1986","16-34 y.","(Married) couple without C. ","28","","","","6"
"Other","1986","16-34 y.","Single parent ","39","0.154561755490403","0.110452451620585","0.198671059360221","6"
"Other","1986","16-34 y.","Couple + C. LE 16 ","47","0.0443900707324532","0.0324759940139659","0.0563041474509405","6"
"Other","1986","16-34 y.","Couple + C. GT 16 ","162","0.192271630720769","0.166145045664006","0.218398215777532","6"
"Other","1986","35-65 y.","1-pers.-HH","4","","","","6"
"Other","1986","35-65 y.","Couple + C. GT 16 ","39","0.0355252207748719","0.0249816899922087","0.046068751557535","6"
"Other","1986","35-65 y.","Couple + C. LE and GT 16","24","","","","6"
"Other","1986","66 and older","1-pers.-HH","3","","","","6"
"Other","1986","66 and older","(Married) couple without C. ","5","","","","6"
"Other","1986","66 and older","Single parent ","1","","","","6"
"Other","1986","66 and older","Couple + C. LE 16 ","","","","","6"
"Other","1986","66 and older","Couple + C. GT 16 ","1","","","","6"
"Other","1986","66 and older","Couple + C. LE and GT 16","","","","","6"
"Part-time","1986","16-34 y.","1-pers.-HH","19","","","","2"
"Part-time","1986","35-65 y.","Single parent ","22","","","","2"
"Part-time","1986","35-65 y.","(Married) couple without C. ","87","0.0738800649264499","0.0595052657558123","0.0882548640970874","2"
"Part-time","1986","16-34 y.","Couple + C. GT 16 ","10","","","","2"
"Part-time","1986","66 and older","Couple + C. GT 16 ","1","","","","2"
"Part-time","1986","66 and older","Couple + C. LE and GT 16","","","","","2"
"Part-time","1986","35-65 y.","1-pers.-HH","8","","","","2"
"Part-time","1986","35-65 y.","Couple + C. LE and GT 16","62","0.0894371269358001","0.0698449282783898","0.10902932559321","2"
"Part-time","1986","16-34 y.","Couple + C. LE 16 ","107","0.109567278847268","0.0914989435870086","0.127635614107528","2"
"Part-time","1986","66 and older","Single parent ","","","","","2"
"Part-time","1986","66 and older","Couple + C. LE 16 ","","","","","2"
"Part-time","1986","16-34 y.","(Married) couple without C. ","32","0.0506876065568749","0.03371939600203","0.0676558171117199","2"
"Part-time","1986","16-34 y.","Single parent ","12","","","","2"
"Part-time","1986","16-34 y.","Couple + C. LE and GT 16","13","","","","2"
"Part-time","1986","35-65 y.","Couple + C. LE 16 ","105","0.0892022841974321","0.0734763169186844","0.10492825147618","2"
"Part-time","1986","35-65 y.","Couple + C. GT 16 ","130","0.120546629647757","0.102000376437501","0.139092882858013","2"
"Part-time","1986","66 and older","1-pers.-HH","2","","","","2"
"Part-time","1986","66 and older","(Married) couple without C. ","6","","","","2"
"Full-time","1987","16-34 y.","1-pers.-HH","205","0.68112546202436","0.629078400909461","0.733172523139259","1"
"Full-time","1987","16-34 y.","(Married) couple without C. ","480","0.819631090878194","0.788891300164039","0.850370881592349","1"
"Full-time","1987","16-34 y.","Single parent ","89","0.335585696025298","0.278840581069759","0.392330810980837","1"
"Full-time","1987","16-34 y.","Couple + C. LE 16 ","574","0.485267545296488","0.456469513233026","0.514065577359951","1"
"Full-time","1987","16-34 y.","Couple + C. GT 16 ","328","0.382271063152551","0.350327607557733","0.414214518747368","1"
"Full-time","1987","16-34 y.","Couple + C. LE and GT 16","155","0.291839753767547","0.253245514651984","0.330433992883111","1"
"Full-time","1987","35-65 y.","1-pers.-HH","270","0.564623080357227","0.517814931026265","0.61143122968819","1"
"Full-time","1987","35-65 y.","(Married) couple without C. ","610","0.441415345055966","0.4138550997983","0.468975590313633","1"
"Full-time","1987","35-65 y.","Single parent ","122","0.50863803827953","0.444308670555408","0.572967406003651","1"
