"erwst","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Employed","5624","0.718000555380315","0.707862747752583","0.728138363008047","1"
"Full-time","1984","Not Employed","98","0.0163378832270934","0.0126992670158126","0.0199764994383742","1"
"Non-working","1984","Employed","589","0.0833186584215136","0.0770922463509275","0.0895450704920997","5"
"Non-working","1984","Not Employed","4479","0.969457142872177","0.964518194106358","0.974396091637996","5"
"Other","1984","Not Employed","69","0.0110578855032248","0.00805639575979306","0.0140593752466565","6"
"Other","1984","Employed","711","0.103217044765827","0.096362526908465","0.11007156262319","6"
"Part-time","1984","Employed","644","0.0954637414323442","0.0888432573586869","0.102084225506002","2"
"Part-time","1984","Not Employed","17","","","","2"
"Full-time","1985","Employed","5177","0.734275282851044","0.72381793697985","0.744732628722239","1"
"Full-time","1985","Not Employed","79","0.0114178882841553","0.0082173485346402","0.0146184280336704","1"
"Non-working","1985","Employed","508","0.0768287866651576","0.0705238728394996","0.0831337004908155","5"
"Non-working","1985","Not Employed","4050","0.968777134986132","0.963537846979105","0.97401642299316","5"
"Other","1985","Not Employed","72","0.0137203186356711","0.0102159797437803","0.0172246575275619","6"
"Other","1985","Employed","446","0.0720539367562124","0.0659323182001245","0.0781755553123002","6"
"Part-time","1985","Not Employed","32","0.00608465809404121","0.00374195773689165","0.00842735845119077","2"
"Part-time","1985","Employed","723","0.116841993727586","0.109237072400588","0.124446915054583","2"
"Full-time","1986","Employed","4957","0.723403192250085","0.712690729824348","0.734115654675823","1"
"Full-time","1986","Not Employed","73","0.0137501014874115","0.0101162177795546","0.0173839851952683","1"
"Non-working","1986","Not Employed","3795","0.969795086297261","0.964454322433252","0.97513585016127","5"
"Non-working","1986","Employed","543","0.0845792176175361","0.0779154823549613","0.0912429528801109","5"
"Other","1986","Employed","574","0.0903749999254909","0.0835085719589863","0.0972414278919955","6"
"Other","1986","Not Employed","59","0.0119248026239134","0.00853756873423079","0.015312036513596","6"
"Part-time","1986","Not Employed","18","","","","2"
"Part-time","1986","Employed","624","0.101642590206888","0.0944059337087956","0.10887924670498","2"
"Full-time","1987","Employed","4913","0.717602389906389","0.706833716293989","0.728371063518789","1"
"Full-time","1987","Not Employed","44","0.00901053392042627","0.00600488968053755","0.012016178160315","1"
"Non-working","1987","Employed","523","0.081017227733228","0.0744899492575263","0.0875445062089297","5"
"Non-working","1987","Not Employed","3690","0.97925775935651","0.974724567108656","0.983790951604364","5"
"Other","1987","Employed","608","0.0900611918472893","0.0832131767945715","0.096909206900007","6"
"Other","1987","Not Employed","43","0.00728581208037232","0.00458073970311088","0.00999088445763377","6"
"Part-time","1987","Not Employed","20","","","","2"
"Part-time","1987","Employed","669","0.111319190513094","0.103795209547372","0.118843171478816","2"
"Full-time","1988","Employed","4619","0.711632106784532","0.700576834258104","0.722687379310961","1"
"Full-time","1988","Not Employed","50","0.00996506291850727","0.00670685146642575","0.0132232743705888","1"
"Non-working","1988","Employed","576","0.0910015914268188","0.0839826068391446","0.0980205760144929","5"
"Non-working","1988","Not Employed","3457","0.975412981361246","0.970333010937649","0.980492951784842","5"
"Other","1988","Employed","596","0.0862906751302108","0.0794380938470081","0.0931432564134135","6"
"Other","1988","Not Employed","42","0.00870268796673852","0.00565589704164187","0.0117494788918352","6"
"Part-time","1988","Not Employed","21","","","","2"
