"erwst","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","Rural Area","Female","283","0.201139270928275","0.178081572586046","0.224196969270505"
"Full-time","1985","Rural Area","Male","750","0.61194598849669","0.583444939310325","0.640447037683056"
"Full-time","1985","Urban Area","Female","1243","0.239573051171944","0.227062009005011","0.252084093338877"
"Full-time","1985","Urban Area","Male","2980","0.63111668151545","0.61674845371555","0.64548490931535"
"Non-working","1985","Rural Area","Female","664","0.622213676211741","0.594325194360635","0.650102158062847"
"Non-working","1985","Rural Area","Male","327","0.345604498065765","0.317790202921488","0.373418793210041"
"Non-working","1985","Urban Area","Female","2454","0.592097334210265","0.577692091474332","0.606502576946198"
"Non-working","1985","Urban Area","Male","1113","0.313773981280689","0.299955957955037","0.327592004606341"
"Other","1985","Rural Area","Female","67","0.0551599779463972","0.0420282110889009","0.0682917448038935"
"Other","1985","Rural Area","Male","40","0.0368522318487005","0.0258333742233538","0.0478710894740471"
"Other","1985","Urban Area","Female","223","0.0504958241034994","0.044077495801089","0.0569141524059098"
"Other","1985","Urban Area","Male","188","0.0418501495538572","0.0358870907476495","0.0478132083600648"
"Part-time","1985","Rural Area","Female","147","0.121487074913586","0.102695157435916","0.140278992391257"
"Part-time","1985","Rural Area","Male","6","","",""
"Part-time","1985","Urban Area","Female","551","0.117833790514292","0.108383266509688","0.127284314518895"
"Part-time","1985","Urban Area","Male","51","0.0132591876500041","0.00985303685242207","0.0166653384475861"
"Full-time","1986","Rural Area","Female","279","0.214576684712161","0.1904801929669","0.238673176457421"
"Full-time","1986","Rural Area","Male","706","0.610456916309909","0.581238177892881","0.639675654726938"
"Full-time","1986","Urban Area","Female","1195","0.241179763627388","0.228336326825771","0.254023200429004"
"Full-time","1986","Urban Area","Male","2850","0.625117720753074","0.610470382452001","0.639765059054146"
"Non-working","1986","Rural Area","Female","621","0.604601182090758","0.575902441636057","0.633299922545458"
"Non-working","1986","Rural Area","Male","295","0.328622026631897","0.300477880221863","0.356766173041931"
"Non-working","1986","Urban Area","Female","2323","0.595032236263581","0.580294803302911","0.609769669224251"
"Non-working","1986","Urban Area","Male","1099","0.316365464037497","0.302294077851381","0.330436850223613"
"Other","1986","Rural Area","Female","94","0.0794563590235245","0.0635819641694618","0.0953307538775873"
"Other","1986","Rural Area","Male","59","0.0516542303927143","0.0383927347956163","0.0649157259898123"
"Other","1986","Urban Area","Female","288","0.0616847775705753","0.0544619915159688","0.0689075636251817"
"Other","1986","Urban Area","Male","192","0.0446339973473043","0.038385895010466","0.0508820996841426"
"Part-time","1986","Rural Area","Female","121","0.101365774173557","0.0836505029514793","0.119081045395635"
"Part-time","1986","Rural Area","Male","10","","",""
"Part-time","1986","Urban Area","Female","456","0.102103222538456","0.0930130045193211","0.111193440557592"
"Part-time","1986","Urban Area","Male","55","0.0138828178621252","0.0103425719724961","0.0174230637517543"
"Full-time","1987","Rural Area","Female","281","0.218312531147552","0.193988580238702","0.242636482056402"
"Full-time","1987","Rural Area","Male","701","0.624232685049594","0.594938177981967","0.653527192117221"
"Full-time","1987","Urban Area","Female","1176","0.243771665831399","0.230780490728259","0.256762840934539"
"Full-time","1987","Urban Area","Male","2799","0.629070138172679","0.614384062713106","0.643756213632251"
"Non-working","1987","Rural Area","Female","582","0.575654090218767","0.546552346056758","0.604755834380776"
"Non-working","1987","Rural Area","Male","274","0.315395693002104","0.287289557597267","0.343501828406942"
"Non-working","1987","Urban Area","Female","2265","0.587699535912003","0.572805412880691","0.602593658943316"
"Non-working","1987","Urban Area","Male","1092","0.309335438864555","0.295282772140509","0.3233881055886"
"Other","1987","Rural Area","Female","88","0.0667929484006958","0.0520924342636808","0.0814934625377109"
"Other","1987","Rural Area","Male","65","0.0508314735617001","0.0375455589830769","0.0641173881403234"
"Other","1987","Urban Area","Female","266","0.0568175654505946","0.0498131884434154","0.0638219424577739"
"Other","1987","Urban Area","Male","232","0.0518739898654878","0.0451315329742368","0.0586164467567388"
"Part-time","1987","Rural Area","Female","157","0.139240430232985","0.118855847828377","0.159625012637593"
"Part-time","1987","Rural Area","Male","10","","",""
"Part-time","1987","Urban Area","Female","489","0.111711232806003","0.102179851177336","0.12124261443467"
"Part-time","1987","Urban Area","Male","33","0.00972043309727872","0.00673757881135889","0.0127032873831985"
"Full-time","1988","Rural Area","Female","265","0.213852329867044","0.188836362524477","0.238868297209611"
"Full-time","1988","Rural Area","Male","648","0.606714591245112","0.576301721591264","0.637127460898961"
"Full-time","1988","Urban Area","Female","1111","0.246195086935685","0.232902928956008","0.259487244915362"
"Full-time","1988","Urban Area","Male","2645","0.628852421315931","0.613809279838989","0.643895562792873"
"Non-working","1988","Rural Area","Female","544","0.584483132843224","0.554416239108724","0.614550026577725"
"Non-working","1988","Rural Area","Male","279","0.338018983376311","0.308567676082048","0.367470290670573"
"Non-working","1988","Urban Area","Female","2165","0.580761106817393","0.565536157117315","0.59598605651747"
"Non-working","1988","Urban Area","Male","1045","0.312058959192172","0.297631668153514","0.32648625023083"
"Other","1988","Rural Area","Female","87","0.0739916221531595","0.0580215464568806","0.0899616978494384"
"Other","1988","Rural Area","Male","60","0.0521697173109076","0.038324945709738","0.0660144889120772"
"Other","1988","Urban Area","Female","260","0.0546493173080089","0.0476361344424082","0.0616625001736095"
"Other","1988","Urban Area","Male","231","0.0480347828302438","0.0413762382553825","0.0546933274051051"
"Part-time","1988","Rural Area","Female","136","0.127672915136572","0.107311999322025","0.14803383095112"
"Part-time","1988","Rural Area","Male","4","","",""
"Part-time","1988","Urban Area","Female","499","0.118394488938913","0.108426002709402","0.128362975168425"
"Part-time","1988","Urban Area","Male","41","0.0110538366616531","0.0077982167062822","0.0143094566170239"
"Full-time","1989","Rural Area","Female","261","0.222771529684428","0.196599182670008","0.248943876698849"
"Full-time","1989","Rural Area","Male","635","0.617329563736155","0.586455015584193","0.648204111888116"
"Full-time","1989","Urban Area","Female","1143","0.25660964916478","0.243001156699363","0.270218141630197"
