"erwst","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","no migration background","Urban Area","2669","0.412239514086737","0.399865602145694","0.42461342602778"
"Full-time","1985","no migration background","Rural Area","811","0.391345289279651","0.36950913506942","0.413181443489882"
"Full-time","1985","direct migration background","Urban Area","1522","0.521846333096428","0.502634571903768","0.541058094289089"
"Full-time","1985","direct migration background","Rural Area","214","0.474778520757487","0.422312848761907","0.527244192753067"
"Full-time","1985","indirect migration background","Urban Area","32","0.305976631240147","0.225831451550527","0.386121810929767"
"Full-time","1985","indirect migration background","Rural Area","8","","",""
"Part-time","1985","no migration background","Urban Area","478","0.0703731780192337","0.0639434896516517","0.0768028663868156"
"Part-time","1985","no migration background","Rural Area","140","0.0661915984792315","0.055068112116665","0.077315084841798"
"Part-time","1985","direct migration background","Urban Area","117","0.0546792144000261","0.0459351599582034","0.0634232688418489"
"Part-time","1985","direct migration background","Rural Area","13","","",""
"Part-time","1985","indirect migration background","Urban Area","7","","",""
"Part-time","1985","indirect migration background","Rural Area","","","",""
"Non-working","1985","no migration background","Urban Area","2627","0.47034744631565","0.457800531489813","0.482894361141487"
"Non-working","1985","no migration background","Rural Area","869","0.493949330289409","0.471580215090741","0.516318445488077"
"Non-working","1985","direct migration background","Urban Area","872","0.386252220864895","0.367526326127432","0.404978115602358"
"Non-working","1985","direct migration background","Rural Area","113","0.435045712322803","0.382958325485882","0.487133099159724"
"Non-working","1985","indirect migration background","Urban Area","68","0.490352199710843","0.403409049582301","0.577295349839385"
"Non-working","1985","indirect migration background","Rural Area","9","","",""
"Other","1985","no migration background","Urban Area","305","0.0470398615783794","0.0417175241553376","0.0523621990014212"
"Other","1985","no migration background","Rural Area","99","0.0485137819517085","0.0389011033799841","0.0581264605234329"
"Other","1985","direct migration background","Urban Area","86","0.0372222316386506","0.0299414778207874","0.0445029854565137"
"Other","1985","direct migration background","Rural Area","8","","",""
"Other","1985","indirect migration background","Urban Area","20","","",""
"Other","1985","indirect migration background","Rural Area","","","",""
"Full-time","1986","no migration background","Urban Area","2565","0.412507473839354","0.399862175668976","0.425152772009733"
"Full-time","1986","no migration background","Rural Area","772","0.398754090060788","0.37619053898312","0.421317641138456"
"Full-time","1986","direct migration background","Urban Area","1437","0.508740705848642","0.489140140549497","0.528341271147786"
"Full-time","1986","direct migration background","Rural Area","206","0.445533847467958","0.393976346993726","0.497091347942191"
"Full-time","1986","indirect migration background","Urban Area","43","0.327899767539998","0.249290204060111","0.406509331019885"
"Full-time","1986","indirect migration background","Rural Area","7","","",""
"Part-time","1986","no migration background","Urban Area","398","0.0611123329774796","0.0549593850552022","0.067265280899757"
"Part-time","1986","no migration background","Rural Area","114","0.0554813895532852","0.0449324760293857","0.0660303030771846"
"Part-time","1986","direct migration background","Urban Area","104","0.0505298153355582","0.0419420635327932","0.0591175671383232"
"Part-time","1986","direct migration background","Rural Area","14","","",""
"Part-time","1986","indirect migration background","Urban Area","9","","",""
"Part-time","1986","indirect migration background","Rural Area","3","","",""
"Non-working","1986","no migration background","Urban Area","2511","0.471379720306104","0.458557319509585","0.484202121102624"
"Non-working","1986","no migration background","Rural Area","790","0.478595656645007","0.455575911755309","0.501615401534705"
"Non-working","1986","direct migration background","Urban Area","851","0.399359584249346","0.380157238086323","0.41856193041237"
"Non-working","1986","direct migration background","Rural Area","121","0.421298941794919","0.370079327307352","0.472518556282486"
"Non-working","1986","indirect migration background","Urban Area","60","0.463507199374193","0.380004983819172","0.547009414929214"
"Non-working","1986","indirect migration background","Rural Area","5","","",""
"Other","1986","no migration background","Urban Area","348","0.0550004728770616","0.0491443389836274","0.0608566067704959"
"Other","1986","no migration background","Rural Area","133","0.0671688637409198","0.0556339506891823","0.0787037767926574"
"Other","1986","direct migration background","Urban Area","107","0.0413698945664538","0.03356202226369","0.0491777668692176"
"Other","1986","direct migration background","Rural Area","16","","",""
"Other","1986","indirect migration background","Urban Area","25","","",""
"Other","1986","indirect migration background","Rural Area","4","","",""
"Full-time","1987","no migration background","Urban Area","2517","0.415062040506975","0.402289555363412","0.427834525650538"
"Full-time","1987","no migration background","Rural Area","769","0.408053026474255","0.385182772516681","0.430923280431829"
"Full-time","1987","direct migration background","Urban Area","1413","0.516160981671965","0.496488784997647","0.535833178346283"
"Full-time","1987","direct migration background","Rural Area","203","0.432052989277936","0.381094423696142","0.483011554859731"
"Full-time","1987","indirect migration background","Urban Area","45","0.302219637546993","0.230157605651785","0.374281669442201"
"Full-time","1987","indirect migration background","Rural Area","10","","",""
"Part-time","1987","no migration background","Urban Area","406","0.0653218193281985","0.0589167448625263","0.0717268937938707"
"Part-time","1987","no migration background","Rural Area","146","0.0747704496725883","0.0625310243457467","0.08700987499943"
"Part-time","1987","direct migration background","Urban Area","110","0.048554279116799","0.0400933980258913","0.0570151602077068"
"Part-time","1987","direct migration background","Rural Area","19","","",""
"Part-time","1987","indirect migration background","Urban Area","6","","",""
