"erwst","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","lower secondary degree","Male","1932","0.6559936827586","0.638550131574264","0.673437233942937"
"Full-time","1984","lower secondary degree","Female","621","0.166221386144482","0.153477190149351","0.178965582139614"
"Full-time","1984","secondary school degree","Male","534","0.636421617709316","0.603794677931254","0.669048557487379"
"Full-time","1984","secondary school degree","Female","341","0.290975111038766","0.264433303763773","0.317516918313759"
"Full-time","1984","college entrance qualification","Male","470","0.572182741438568","0.538047117061169","0.606318365815966"
"Full-time","1984","college entrance qualification","Female","151","0.300815730002931","0.260126049879128","0.341505410126735"
"Full-time","1984","Other degree","Male","762","0.84663332047185","0.822730224508921","0.870536416434779"
"Full-time","1984","Other degree","Female","251","0.398903269495161","0.359052191385373","0.438754347604949"
"Full-time","1984","no degree/no degree yet","Male","396","0.391854916616699","0.352498042227624","0.431211791005775"
"Full-time","1984","no degree/no degree yet","Female","221","0.186725815396381","0.158121997673621","0.215329633119141"
"Part-time","1984","lower secondary degree","Male","","","",""
"Part-time","1984","lower secondary degree","Female","357","0.0982939570529808","0.08810242403131","0.108485490074652"
"Part-time","1984","secondary school degree","Male","","","",""
"Part-time","1984","secondary school degree","Female","133","0.102112435230805","0.084418594038298","0.119806276423312"
"Part-time","1984","college entrance qualification","Male","","","",""
"Part-time","1984","college entrance qualification","Female","57","0.112758209266174","0.0846952633072963","0.140821155225053"
"Part-time","1984","Other degree","Male","","","",""
"Part-time","1984","Other degree","Female","40","0.0593360454111114","0.0401090844408384","0.0785630063813843"
"Part-time","1984","no degree/no degree yet","Male","","","",""
"Part-time","1984","no degree/no degree yet","Female","","","",""
"Non-working","1984","lower secondary degree","Male","749","0.299893323286596","0.283067846701371","0.316718799871822"
"Non-working","1984","lower secondary degree","Female","2079","0.676957778899749","0.660949153151235","0.692966404648263"
"Non-working","1984","secondary school degree","Male","209","0.266946013384075","0.236941640578013","0.296950386190136"
"Non-working","1984","secondary school degree","Female","517","0.495430312220339","0.466214114465559","0.524646509975118"
"Non-working","1984","college entrance qualification","Male","264","0.338703001793819","0.306050299994473","0.371355703593164"
"Non-working","1984","college entrance qualification","Female","220","0.47219782250151","0.427904754939007","0.516490890064014"
"Non-working","1984","Other degree","Male","92","0.128868775804271","0.106643016290002","0.15109453531854"
"Non-working","1984","Other degree","Female","269","0.498888006989985","0.458196570224553","0.539579443755417"
"Non-working","1984","no degree/no degree yet","Male","184","0.568391781490246","0.528459594296994","0.608323968683499"
"Non-working","1984","no degree/no degree yet","Female","446","0.773817994545932","0.743109978161104","0.80452601093076"
"Other","1984","lower secondary degree","Male","161","0.0410844851578125","0.0337961058976096","0.0483728644180154"
"Other","1984","lower secondary degree","Female","221","0.0585268779027875","0.0504911493452339","0.0665626064603412"
"Other","1984","secondary school degree","Male","87","0.0914544883557506","0.0719029601366784","0.111006016574823"
"Other","1984","secondary school degree","Female","134","0.111482141510091","0.0930910476124251","0.129873235407756"
"Other","1984","college entrance qualification","Male","49","0.0597498607188726","0.0433967086423474","0.0761030127953978"
"Other","1984","college entrance qualification","Female","60","0.114228238229384","0.086006365124199","0.142450111334568"
"Other","1984","Other degree","Male","","","",""
"Other","1984","Other degree","Female","","","",""
"Other","1984","no degree/no degree yet","Male","","","",""
"Other","1984","no degree/no degree yet","Female","","","",""
"Full-time","1985","lower secondary degree","Male","1768","0.650906008333604","0.632462221580084","0.669349795087125"
"Full-time","1985","lower secondary degree","Female","584","0.17553999871772","0.161753372646288","0.189326624789151"
"Full-time","1985","secondary school degree","Male","522","0.641701298903756","0.608411742627402","0.67499085518011"
"Full-time","1985","secondary school degree","Female","362","0.323617877748371","0.295792216661625","0.351443538835118"
"Full-time","1985","college entrance qualification","Male","455","0.586309942380784","0.551456026381443","0.621163858380126"
"Full-time","1985","college entrance qualification","Female","166","0.355228034830386","0.311775829579768","0.398680240081005"
"Full-time","1985","Other degree","Male","639","0.789403709363603","0.760145104261265","0.818662314465942"
"Full-time","1985","Other degree","Female","213","0.419391299360868","0.375383869684005","0.463398729037732"
"Full-time","1985","no degree/no degree yet","Male","302","0.29219745572524","0.25292041570456","0.331474495745921"
"Full-time","1985","no degree/no degree yet","Female","181","0.187881097851948","0.156281584490854","0.219480611213042"
"Part-time","1985","lower secondary degree","Male","","","",""
"Part-time","1985","lower secondary degree","Female","400","0.123651843002468","0.111722300425","0.135581385579936"
"Part-time","1985","secondary school degree","Male","","","",""
"Part-time","1985","secondary school degree","Female","151","0.120197045977131","0.100856319480062","0.1395377724742"
"Part-time","1985","college entrance qualification","Male","","","",""
"Part-time","1985","college entrance qualification","Female","67","0.129432324658828","0.0989549343330141","0.159909714984642"
"Part-time","1985","Other degree","Male","","","",""
"Part-time","1985","Other degree","Female","48","0.0951582378219083","0.0689894238699409","0.121327051773876"
"Part-time","1985","no degree/no degree yet","Male","","","",""
"Part-time","1985","no degree/no degree yet","Female","","","",""
"Non-working","1985","lower secondary degree","Male","687","0.314984952435155","0.297012194531013","0.332957710339297"
"Non-working","1985","lower secondary degree","Female","1805","0.66070434372776","0.6435459003178","0.677862787137721"
"Non-working","1985","secondary school degree","Male","194","0.2714901047036","0.240614628798991","0.302365580608208"
"Non-working","1985","secondary school degree","Female","494","0.489273678500901","0.459543109222662","0.51900424777914"
"Non-working","1985","college entrance qualification","Male","246","0.329764736173301","0.296493713361854","0.363035758984749"
"Non-working","1985","college entrance qualification","Female","188","0.41874082747328","0.373947564919392","0.463534090027168"
"Non-working","1985","Other degree","Male","93","0.180206381957277","0.152624999688546","0.207787764226007"
"Non-working","1985","Other degree","Female","212","0.453149992039713","0.40875544539184","0.497544538687587"
"Non-working","1985","no degree/no degree yet","Male","203","0.663622681619652","0.622817206486886","0.704428156752418"
"Non-working","1985","no degree/no degree yet","Female","368","0.766865093453708","0.732659890056533","0.801070296850883"
"Other","1985","lower secondary degree","Male","97","0.029033633837621","0.0225372368562895","0.0355300308189524"
"Other","1985","lower secondary degree","Female","136","0.0401038145520516","0.0329934784451212","0.047214150658982"
"Other","1985","secondary school degree","Male","70","0.073508085109296","0.055390208318259","0.091625961900333"
"Other","1985","secondary school degree","Female","79","0.0669113977735966","0.0520505128286988","0.0817722827184945"
"Other","1985","college entrance qualification","Male","42","0.0510006552828258","0.0354312779765264","0.0665700325891252"
"Other","1985","college entrance qualification","Female","45","0.0965988130375056","0.0697774184055665","0.123420207669445"
"Other","1985","Other degree","Male","","","",""
"Other","1985","Other degree","Female","","","",""
"Other","1985","no degree/no degree yet","Male","","","",""
"Other","1985","no degree/no degree yet","Female","","","",""
"Full-time","1986","lower secondary degree","Male","1680","0.649695194859634","0.630785412345372","0.668604977373895"
"Full-time","1986","lower secondary degree","Female","576","0.181885554126486","0.167449738666614","0.196321369586358"
"Full-time","1986","secondary school degree","Male","493","0.614400565297132","0.580286088732755","0.64851504186151"
