"erwst","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Full Time","1-pers.-HH","490","0.887331228120391","0.860712143858803","0.913950312381978"
"Full-time","1984","Full Time","(Married) couple without C. ","1074","0.917719174951211","0.901912657211976","0.933525692690445"
"Full-time","1984","Full Time","Single parent ","205","0.827371556723995","0.78024061854444","0.874502494903551"
"Full-time","1984","Full Time","Couple + C. LE 16 ","1543","0.925442084034724","0.912809715787216","0.938074452282233"
"Full-time","1984","Full Time","Couple + C. GT 16 ","822","0.849678783713934","0.827047829597752","0.872309737830117"
"Full-time","1984","Full Time","Couple + C. LE and GT 16","668","0.81765996366362","0.790986615366433","0.844333311960807"
"Full-time","1984","Part Time","1-pers.-HH","58","0.355208539033659","0.274776334127682","0.435640743939636"
"Full-time","1984","Part Time","(Married) couple without C. ","104","0.269175647001399","0.221537993362024","0.316813300640773"
"Full-time","1984","Part Time","Single parent ","29","","",""
"Full-time","1984","Part Time","Couple + C. LE 16 ","161","0.256048767175908","0.218891502613007","0.293206031738809"
"Full-time","1984","Part Time","Couple + C. GT 16 ","77","0.228862451632071","0.18440401066484","0.273320892599301"
"Full-time","1984","Part Time","Couple + C. LE and GT 16","90","0.280873776674317","0.230844364058149","0.330903189290484"
"Full-time","1984","Not Working","1-pers.-HH","10","","",""
"Full-time","1984","Not Working","(Married) couple without C. ","15","","",""
"Full-time","1984","Not Working","Single parent ","6","","",""
"Full-time","1984","Not Working","Couple + C. LE 16 ","22","","",""
"Full-time","1984","Not Working","Couple + C. GT 16 ","18","","",""
"Full-time","1984","Not Working","Couple + C. LE and GT 16","18","","",""
"Part-time","1984","Full Time","1-pers.-HH","10","","",""
"Part-time","1984","Full Time","(Married) couple without C. ","24","","",""
"Part-time","1984","Full Time","Single parent ","7","","",""
"Part-time","1984","Full Time","Couple + C. LE 16 ","46","0.0310019735134433","0.0226667089018281","0.0393372381250584"
"Part-time","1984","Full Time","Couple + C. GT 16 ","13","","",""
"Part-time","1984","Full Time","Couple + C. LE and GT 16","13","","",""
"Part-time","1984","Part Time","1-pers.-HH","16","","",""
"Part-time","1984","Part Time","(Married) couple without C. ","101","0.315621882595138","0.265703835708472","0.365539929481803"
"Part-time","1984","Part Time","Single parent ","25","","",""
"Part-time","1984","Part Time","Couple + C. LE 16 ","183","0.368250429057431","0.327187089644697","0.409313768470164"
"Part-time","1984","Part Time","Couple + C. GT 16 ","101","0.303848685417285","0.255176422801325","0.352520948033244"
"Part-time","1984","Part Time","Couple + C. LE and GT 16","69","0.227449075073328","0.180786049976006","0.274112100170651"
"Part-time","1984","Not Working","1-pers.-HH","2","","",""
"Part-time","1984","Not Working","(Married) couple without C. ","1","","",""
"Part-time","1984","Not Working","Single parent ","2","","",""
"Part-time","1984","Not Working","Couple + C. LE 16 ","5","","",""
"Part-time","1984","Not Working","Couple + C. GT 16 ","2","","",""
"Part-time","1984","Not Working","Couple + C. LE and GT 16","4","","",""
"Non-working","1984","Full Time","1-pers.-HH","30","0.0616201161866703","0.0413759893914278","0.0818642429819127"
"Non-working","1984","Full Time","(Married) couple without C. ","50","0.0448514321757289","0.0329457138572523","0.0567571504942056"
"Non-working","1984","Full Time","Single parent ","8","","",""
