"erwst","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","(0) in school","in school","","","",""
"Full-time","1984","(0) in school","inadequately","","","",""
"Full-time","1984","(0) in school","general elemantary","","","",""
"Full-time","1984","(0) in school","middle vocational","","","",""
"Full-time","1984","(0) in school","vocational + Abi","","","",""
"Full-time","1984","(0) in school","higher vocational","","","",""
"Full-time","1984","(0) in school","higher education","","","",""
"Full-time","1984","(1a) inadequately completed","in school","","","",""
"Full-time","1984","(1a) inadequately completed","inadequately","537","0.45619290860209","0.425244861515501","0.487140955688679"
"Full-time","1984","(1a) inadequately completed","general elemantary","","","",""
"Full-time","1984","(1a) inadequately completed","middle vocational","76","0.546603656444337","0.456398693359983","0.636808619528691"
"Full-time","1984","(1a) inadequately completed","vocational + Abi","","","",""
"Full-time","1984","(1a) inadequately completed","higher vocational","","","",""
"Full-time","1984","(1a) inadequately completed","higher education","","","",""
"Full-time","1984","(1b) general elementary school","in school","","","",""
"Full-time","1984","(1b) general elementary school","inadequately","","","",""
"Full-time","1984","(1b) general elementary school","general elemantary","993","0.220047083607893","0.205200316838419","0.234893850377368"
"Full-time","1984","(1b) general elementary school","middle vocational","","","",""
"Full-time","1984","(1b) general elementary school","vocational + Abi","","","",""
"Full-time","1984","(1b) general elementary school","higher vocational","","","",""
"Full-time","1984","(1b) general elementary school","higher education","","","",""
"Full-time","1984","(1c) basic vocational qualification","in school","","","",""
"Full-time","1984","(1c) basic vocational qualification","inadequately","","","",""
"Full-time","1984","(1c) basic vocational qualification","general elemantary","","","",""
"Full-time","1984","(1c) basic vocational qualification","middle vocational","2174","0.495395995571394","0.479841385312449","0.510950605830338"
"Full-time","1984","(1c) basic vocational qualification","vocational + Abi","","","",""
"Full-time","1984","(1c) basic vocational qualification","higher vocational","191","0.608469835825508","0.553237984120519","0.663701687530497"
"Full-time","1984","(1c) basic vocational qualification","higher education","","","",""
"Full-time","1984","(2b) intermediate general qualification","in school","","","",""
"Full-time","1984","(2b) intermediate general qualification","inadequately","","","",""
"Full-time","1984","(2b) intermediate general qualification","general elemantary","68","0.139553736616552","0.108456520442687","0.170650952790417"
"Full-time","1984","(2b) intermediate general qualification","middle vocational","","","",""
"Full-time","1984","(2b) intermediate general qualification","vocational + Abi","","","",""
"Full-time","1984","(2b) intermediate general qualification","higher vocational","","","",""
"Full-time","1984","(2b) intermediate general qualification","higher education","","","",""
"Full-time","1984","(2a) intermediate vocational","in school","","","",""
"Full-time","1984","(2a) intermediate vocational","inadequately","","","",""
"Full-time","1984","(2a) intermediate vocational","general elemantary","","","",""
"Full-time","1984","(2a) intermediate vocational","middle vocational","641","0.515467478755138","0.487191374835799","0.543743582674477"
"Full-time","1984","(2a) intermediate vocational","vocational + Abi","","","",""
"Full-time","1984","(2a) intermediate vocational","higher vocational","117","0.520912018407041","0.453506307988963","0.588317728825119"
"Full-time","1984","(2a) intermediate vocational","higher education","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","in school","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","inadequately","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","general elemantary","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","middle vocational","71","0.0862041483589402","0.0592011048256676","0.113207191892213"
"Full-time","1984","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","higher vocational","","","",""
"Full-time","1984","(2c_gen) general maturity certificate","higher education","","","",""
"Full-time","1984","(2c_voc) vocational maturity certificate","in school","","","",""
"Full-time","1984","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Full-time","1984","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Full-time","1984","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Full-time","1984","(2c_voc) vocational maturity certificate","vocational + Abi","189","0.541262507524376","0.485971196874672","0.596553818174079"
"Full-time","1984","(2c_voc) vocational maturity certificate","higher vocational","75","0.489505243648269","0.407858068795747","0.571152418500791"
"Full-time","1984","(2c_voc) vocational maturity certificate","higher education","","","",""
