"erwst","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","no migration background","Male","2673","0.623957038969651","0.609167901023971","0.638746176915331"
"Full-time","1984","no migration background","Female","1003","0.202492204986838","0.190834868749758","0.214149541223919"
"Full-time","1984","direct migration background","Male","1431","0.738651774020663","0.71844393750276","0.758859610538566"
"Full-time","1984","direct migration background","Female","580","0.291800253970341","0.269532667822303","0.314067840118378"
"Full-time","1984","indirect migration background","Male","","","",""
"Full-time","1984","indirect migration background","Female","","","",""
"Part-time","1984","no migration background","Male","33","0.00785865598668142","0.00516273166635974","0.0105545803070031"
"Part-time","1984","no migration background","Female","495","0.0955541814461947","0.0870262475364877","0.104082115355902"
"Part-time","1984","direct migration background","Male","","","",""
"Part-time","1984","direct migration background","Female","119","0.106199342663719","0.0911077986646465","0.121290886662792"
"Part-time","1984","indirect migration background","Male","","","",""
"Part-time","1984","indirect migration background","Female","","","",""
"Non-working","1984","no migration background","Male","1182","0.314498171321068","0.300321960771644","0.328674381870493"
"Non-working","1984","no migration background","Female","2699","0.627405829306396","0.613380276010235","0.641431382602558"
"Non-working","1984","direct migration background","Male","301","0.221948480038184","0.202835850836654","0.241061109239714"
"Non-working","1984","direct migration background","Female","826","0.55271723122479","0.528361845561303","0.577072616888278"
"Non-working","1984","indirect migration background","Male","","","",""
"Non-working","1984","indirect migration background","Female","34","0.559751405429652","0.439988393742282","0.679514417117022"
"Other","1984","no migration background","Male","233","0.0536861337225989","0.0468044382551599","0.0605678291900378"
"Other","1984","no migration background","Female","368","0.0745477842605707","0.0669283615206523","0.082167207000489"
"Other","1984","direct migration background","Male","76","0.0317303481950383","0.0236686646193233","0.0397920317707532"
"Other","1984","direct migration background","Female","76","0.0492831721411493","0.0386802067842943","0.0598861374980044"
"Other","1984","indirect migration background","Male","","","",""
"Other","1984","indirect migration background","Female","","","",""
"Full-time","1985","no migration background","Male","2478","0.616683879024918","0.601261904938524","0.632105853111311"
"Full-time","1985","no migration background","Female","1002","0.224034240371483","0.211394491988934","0.236673988754032"
"Full-time","1985","direct migration background","Male","1228","0.715241504207637","0.692925075411694","0.73755793300358"
"Full-time","1985","direct migration background","Female","508","0.302798039182728","0.278503394383201","0.327092683982255"
"Full-time","1985","indirect migration background","Male","","","",""
"Full-time","1985","indirect migration background","Female","","","",""
"Part-time","1985","no migration background","Male","45","0.012018023341618","0.00856164590339202","0.0154744007798439"
"Part-time","1985","no migration background","Female","573","0.119422249227886","0.109591504309797","0.129252994145974"
"Part-time","1985","direct migration background","Male","","","",""
"Part-time","1985","direct migration background","Female","119","0.111372150693976","0.0947379097559155","0.128006391632037"
"Part-time","1985","indirect migration background","Male","","","",""
"Part-time","1985","indirect migration background","Female","","","",""
"Non-working","1985","no migration background","Male","1132","0.330194832297581","0.315277556749592","0.345112107845569"
"Non-working","1985","no migration background","Female","2364","0.603639345460027","0.588810955852345","0.618467735067708"
"Non-working","1985","direct migration background","Male","279","0.245204948500746","0.223931439280523","0.26647845772097"
"Non-working","1985","direct migration background","Female","706","0.550197552857489","0.523893361285826","0.576501744429151"
"Non-working","1985","indirect migration background","Male","","","",""
"Non-working","1985","indirect migration background","Female","48","0.624483732785412","0.517016582644112","0.731950882926713"
"Other","1985","no migration background","Male","163","0.0411032653358838","0.0348059678329244","0.0474005628388432"
"Other","1985","no migration background","Female","241","0.0529041649406044","0.0461183525974199","0.0596899772837889"
"Other","1985","direct migration background","Male","53","0.0327657453325366","0.0239626408072055","0.0415688498578676"
"Other","1985","direct migration background","Female","41","0.035632257265807","0.0258306402311896","0.0454338743004243"
"Other","1985","indirect migration background","Male","","","",""
"Other","1985","indirect migration background","Female","","","",""
"Full-time","1986","no migration background","Male","2344","0.613505516820157","0.597716877442502","0.629294156197813"
"Full-time","1986","no migration background","Female","993","0.229485541811248","0.216416662232507","0.242554421389988"
"Full-time","1986","direct migration background","Male","1183","0.691521114773175","0.668445981121298","0.714596248425053"
"Full-time","1986","direct migration background","Female","460","0.292578739270344","0.268008146186755","0.317149332353934"
"Full-time","1986","indirect migration background","Male","","","",""
"Full-time","1986","indirect migration background","Female","","","",""
"Part-time","1986","no migration background","Male","50","0.0122489836648874","0.00868252175683737","0.0158154455729375"
"Part-time","1986","no migration background","Female","462","0.101507269817263","0.0921213648472672","0.110893174787259"
"Part-time","1986","direct migration background","Male","","","",""
"Part-time","1986","direct migration background","Female","105","0.0949574228090582","0.079124752493895","0.110790093124221"
"Part-time","1986","indirect migration background","Male","","","",""
"Part-time","1986","indirect migration background","Female","","","",""
"Non-working","1986","no migration background","Male","1081","0.326593190369837","0.311387500307752","0.341798880431922"
"Non-working","1986","no migration background","Female","2220","0.601988408213347","0.586775500866895","0.6172013155598"
"Non-working","1986","direct migration background","Male","290","0.259863550688141","0.237952794747257","0.281774306629025"
"Non-working","1986","direct migration background","Female","682","0.556180174455128","0.52934735523408","0.583012993676176"
"Non-working","1986","indirect migration background","Male","","","",""
"Non-working","1986","indirect migration background","Female","42","0.518117859680024","0.410621503897443","0.625614215462605"
"Other","1986","no migration background","Male","179","0.0476523091451185","0.0407450848104009","0.0545595334798362"
"Other","1986","no migration background","Female","302","0.0670187801581419","0.0592472773937091","0.0747902829225747"
"Other","1986","direct migration background","Male","53","0.0311940270656676","0.0225087653989619","0.0398792887323733"
"Other","1986","direct migration background","Female","70","0.0562836634654692","0.0438365938391655","0.0687307330917728"
"Other","1986","indirect migration background","Male","","","",""
"Other","1986","indirect migration background","Female","","","",""
"Full-time","1987","no migration background","Male","2310","0.618732179494382","0.602868535388252","0.634595823600512"
"Full-time","1987","no migration background","Female","976","0.232584054504401","0.219307705261435","0.245860403747367"
"Full-time","1987","direct migration background","Male","1159","0.705144186106644","0.68223632309853","0.728052049114758"
"Full-time","1987","direct migration background","Female","457","0.288391853009563","0.263953435788805","0.312830270230322"
"Full-time","1987","indirect migration background","Male","31","0.50644532564717","0.398887264978115","0.614003386316225"
"Full-time","1987","indirect migration background","Female","","","",""
"Part-time","1987","no migration background","Male","36","0.00990160752663599","0.00666769281477007","0.0131355222385019"
"Part-time","1987","no migration background","Female","516","0.11838318464657","0.108231029822656","0.128535339470484"
"Part-time","1987","direct migration background","Male","","","",""
"Part-time","1987","direct migration background","Female","123","0.114669321833345","0.0974808406047406","0.131857803061949"
"Part-time","1987","indirect migration background","Male","","","",""
"Part-time","1987","indirect migration background","Female","","","",""
"Non-working","1987","no migration background","Male","1032","0.317381026895214","0.30217848571837","0.332583568072057"
"Non-working","1987","no migration background","Female","2127","0.589349458163649","0.573889940680614","0.604808975646684"
"Non-working","1987","direct migration background","Male","301","0.255467375873082","0.233556973432036","0.277377778314128"
"Non-working","1987","direct migration background","Female","668","0.546148980698576","0.519291000659474","0.573006960737679"
"Non-working","1987","indirect migration background","Male","33","0.390051823796809","0.285117717077229","0.494985930516389"
"Non-working","1987","indirect migration background","Female","52","0.548428069107167","0.447825870790156","0.649030267424178"
"Other","1987","no migration background","Male","223","0.0539851860837683","0.0466040570034913","0.0613663151640452"
"Other","1987","no migration background","Female","271","0.0596833026853799","0.0522387811913503","0.0671278241794096"
"Other","1987","direct migration background","Male","56","0.0311074948128471","0.0223855952403806","0.0398293943853135"
"Other","1987","direct migration background","Female","72","0.0507898444585152","0.0389449620148242","0.0626347269022062"
"Other","1987","indirect migration background","Male","","","",""
"Other","1987","indirect migration background","Female","","","",""
"Full-time","1988","no migration background","Male","2192","0.61802574929755","0.601751478367504","0.634300020227596"
"Full-time","1988","no migration background","Female","926","0.234216032160284","0.220538470660747","0.24789359365982"
"Full-time","1988","direct migration background","Male","1062","0.684450661957856","0.660287388843","0.708613935072712"
"Full-time","1988","direct migration background","Female","420","0.286547124496","0.261660319896228","0.311433929095771"
"Full-time","1988","indirect migration background","Male","39","0.411181054547245","0.318381979213236","0.503980129881255"
"Full-time","1988","indirect migration background","Female","30","0.20745002154571","0.133661438996371","0.281238604095049"
"Part-time","1988","no migration background","Male","33","0.00931561585925871","0.00609784838460333","0.0125333833339141"
"Part-time","1988","no migration background","Female","503","0.121544744450535","0.110991763680876","0.132097725220193"
"Part-time","1988","direct migration background","Male","","","",""
"Part-time","1988","direct migration background","Female","125","0.110842405161323","0.0935629197095168","0.12812189061313"
"Part-time","1988","indirect migration background","Male","","","",""
"Part-time","1988","indirect migration background","Female","","","",""
"Non-working","1988","no migration background","Male","989","0.321430851125619","0.305787779009815","0.337073923241423"
"Non-working","1988","no migration background","Female","1999","0.586046323487473","0.57013929435174","0.601953352623207"
"Non-working","1988","direct migration background","Male","295","0.284539357123554","0.261080054414552","0.307998659832556"
"Non-working","1988","direct migration background","Female","647","0.542759821656613","0.515340007778764","0.570179635534463"
"Non-working","1988","indirect migration background","Male","40","0.402753710654483","0.310255630559331","0.495251790749636"
"Non-working","1988","indirect migration background","Female","63","0.540459255532761","0.449768590312479","0.631149920753042"
"Other","1988","no migration background","Male","210","0.051227783717572","0.0438433877605578","0.0586121796745862"
"Other","1988","no migration background","Female","255","0.058192899901708","0.0506321789156027","0.0657536208878132"
"Other","1988","direct migration background","Male","55","0.024766269934101","0.0166858169079441","0.0328467229602578"
"Other","1988","direct migration background","Female","76","0.0598506486860636","0.0467943126089854","0.0729069847631417"
"Other","1988","indirect migration background","Male","","","",""
"Other","1988","indirect migration background","Female","","","",""
"Full-time","1989","no migration background","Male","2149","0.624131981081324","0.607609272817999","0.640654689344649"
"Full-time","1989","no migration background","Female","937","0.245560566296207","0.231385819300897","0.259735313291518"
"Full-time","1989","direct migration background","Male","1034","0.684973322362726","0.660257864383049","0.709688780342402"
"Full-time","1989","direct migration background","Female","430","0.286173848670002","0.261108250613094","0.31123944672691"
"Full-time","1989","indirect migration background","Male","45","0.326863052084917","0.243967702814054","0.40975840135578"
"Full-time","1989","indirect migration background","Female","37","0.19279267687804","0.126734646439726","0.258850707316354"
"Part-time","1989","no migration background","Male","32","0.0105422752441243","0.00705817111711257","0.014026379371136"
"Part-time","1989","no migration background","Female","497","0.124680294231799","0.113800865923158","0.135559722540441"
"Part-time","1989","direct migration background","Male","","","",""
"Part-time","1989","direct migration background","Female","121","0.101551793241566","0.0848001585625644","0.118303427920568"
"Part-time","1989","indirect migration background","Male","","","",""
"Part-time","1989","indirect migration background","Female","","","",""
"Non-working","1989","no migration background","Male","929","0.314004160412602","0.298171504592202","0.329836816233002"
"Non-working","1989","no migration background","Female","1870","0.574565371876529","0.558283289230582","0.590847454522475"
"Non-working","1989","direct migration background","Male","263","0.283065917299414","0.259097377815363","0.307034456783465"
"Non-working","1989","direct migration background","Female","644","0.566874513219127","0.539394482897294","0.59435454354096"
"Non-working","1989","indirect migration background","Male","52","0.526845013564246","0.438610461973442","0.615079565155051"
"Non-working","1989","indirect migration background","Female","71","0.505095493857855","0.421374329726742","0.588816657988969"
"Other","1989","no migration background","Male","191","0.0513215832619495","0.0437943588879381","0.058848807635961"
"Other","1989","no migration background","Female","238","0.0551937675954646","0.0476733802910695","0.0627141548998598"
"Other","1989","direct migration background","Male","52","0.0234981254759124","0.0154385657666041","0.0315576851852207"
"Other","1989","direct migration background","Female","54","0.0453998448693047","0.0338545559227076","0.0569451338159017"
"Other","1989","indirect migration background","Male","","","",""
"Other","1989","indirect migration background","Female","","","",""
"Full-time","1990","no migration background","Male","3737","0.658426445276357","0.645598290480188","0.671254600072527"
"Full-time","1990","no migration background","Female","2061","0.291576802460081","0.279804936981488","0.303348667938674"
"Full-time","1990","direct migration background","Male","1052","0.687682164310042","0.663475272054912","0.711889056565173"
"Full-time","1990","direct migration background","Female","461","0.301389487282613","0.276320290133632","0.326458684431595"
"Full-time","1990","indirect migration background","Male","57","0.347625013037154","0.270379044514789","0.424870981559519"
"Full-time","1990","indirect migration background","Female","41","0.216627422450464","0.151138597878974","0.282116247021954"
"Part-time","1990","no migration background","Male","60","0.0123995602405341","0.00940617772174854","0.0153929427593197"
"Part-time","1990","no migration background","Female","900","0.139683803155188","0.130704875046544","0.148662731263832"
"Part-time","1990","direct migration background","Male","","","",""
"Part-time","1990","direct migration background","Female","138","0.124598428433398","0.106555012486755","0.142641844380041"
"Part-time","1990","indirect migration background","Male","","","",""
"Part-time","1990","indirect migration background","Female","","","",""
"Non-working","1990","no migration background","Male","1208","0.283595426556967","0.271402801308135","0.295788051805799"
"Non-working","1990","no migration background","Female","2486","0.521879073972525","0.50894080317358","0.534817344771469"
"Non-working","1990","direct migration background","Male","294","0.264714159808059","0.24166986347586","0.287758456140258"
"Non-working","1990","direct migration background","Female","645","0.548237517685399","0.52104820217979","0.575426833191007"
"Non-working","1990","indirect migration background","Male","57","0.472649854930144","0.391667395428206","0.553632314432083"
"Non-working","1990","indirect migration background","Female","73","0.508687934214525","0.429212898780933","0.588162969648116"
"Other","1990","no migration background","Male","245","0.0455785679261418","0.0399367525689951","0.0512203832832884"
"Other","1990","no migration background","Female","279","0.0468603204122067","0.0413863389671208","0.0523343018572926"
"Other","1990","direct migration background","Male","47","0.0345065731069791","0.02497263474415","0.0440405114698081"
"Other","1990","direct migration background","Female","43","0.0257745665985905","0.0171172313646168","0.0344319018325643"
"Other","1990","indirect migration background","Male","","","",""
"Other","1990","indirect migration background","Female","","","",""
"Full-time","1991","no migration background","Male","3485","0.639527561256206","0.626361805171074","0.652693317341337"
"Full-time","1991","no migration background","Female","1905","0.279335621737417","0.267545365332848","0.291125878141986"
"Full-time","1991","direct migration background","Male","1029","0.69171071191396","0.667320106015809","0.71610131781211"
"Full-time","1991","direct migration background","Female","456","0.303956171264366","0.278629182372235","0.329283160156498"
"Full-time","1991","indirect migration background","Male","67","0.396496331431055","0.32422745529156","0.468765207570549"
"Full-time","1991","indirect migration background","Female","45","0.211205973866858","0.150904675598131","0.271507272135585"
"Part-time","1991","no migration background","Male","61","0.01362786647164","0.0104486912007159","0.0168070417425641"
"Part-time","1991","no migration background","Female","744","0.128367095079624","0.119577128453224","0.137157061706023"
"Part-time","1991","direct migration background","Male","","","",""
"Part-time","1991","direct migration background","Female","140","0.115025637987312","0.0974576326962706","0.132593643278352"
"Part-time","1991","indirect migration background","Male","","","",""
"Part-time","1991","indirect migration background","Female","","","",""
