"erwst","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1985","Urban Area","West Germany","4223","0.42328969864255","0.412968492687502","0.433610904597599"
"Full-time","1985","Urban Area","East Germany","","","",""
"Full-time","1985","Rural Area","West Germany","1033","0.396276839595062","0.376217422671725","0.4163362565184"
"Full-time","1985","Rural Area","East Germany","","","",""
"Part-time","1985","Urban Area","West Germany","602","0.0687662180653619","0.0634799440481896","0.0740524920825343"
"Part-time","1985","Urban Area","East Germany","","","",""
"Part-time","1985","Rural Area","West Germany","153","0.066438188087824","0.0562245498744055","0.0766518263012425"
"Part-time","1985","Rural Area","East Germany","","","",""
"Non-working","1985","Urban Area","West Germany","3567","0.461504906316237","0.451091045314429","0.471918767318046"
"Non-working","1985","Urban Area","East Germany","","","",""
"Non-working","1985","Rural Area","West Germany","991","0.490821368866293","0.470319339229068","0.511323398503517"
"Non-working","1985","Rural Area","East Germany","","","",""
"Other","1985","Urban Area","West Germany","411","0.0464391769758505","0.0420432628778531","0.0508350910738479"
"Other","1985","Urban Area","East Germany","","","",""
"Other","1985","Rural Area","West Germany","107","0.0464636034508209","0.0378313313251203","0.0550958755765215"
"Other","1985","Rural Area","East Germany","","","",""
"Full-time","1986","Urban Area","West Germany","4045","0.422591028290977","0.412063748861213","0.433118307720741"
"Full-time","1986","Urban Area","East Germany","","","",""
"Full-time","1986","Rural Area","West Germany","985","0.40175325179899","0.381197079746461","0.422309423851519"
"Full-time","1986","Rural Area","East Germany","","","",""
"Part-time","1986","Urban Area","West Germany","511","0.0604189480757787","0.0553412373531727","0.0654966587983847"
"Part-time","1986","Urban Area","East Germany","","","",""
"Part-time","1986","Rural Area","West Germany","131","0.0578203696523526","0.0480338187881596","0.0676069205165456"
"Part-time","1986","Rural Area","East Germany","","","",""
"Non-working","1986","Urban Area","West Germany","3422","0.463361765472632","0.452734656005822","0.473988874939441"
"Non-working","1986","Urban Area","East Germany","","","",""
"Non-working","1986","Rural Area","West Germany","916","0.474115174497431","0.453178407598936","0.495051941395926"
"Non-working","1986","Rural Area","East Germany","","","",""
"Other","1986","Urban Area","West Germany","480","0.0536282581606126","0.0488271446016294","0.0584293717195958"
"Other","1986","Urban Area","East Germany","","","",""
"Other","1986","Rural Area","West Germany","153","0.0663112040512268","0.0558780192284883","0.0767443888739654"
"Other","1986","Rural Area","East Germany","","","",""
"Full-time","1987","Urban Area","West Germany","3975","0.425954418952268","0.415349493956078","0.436559343948457"
"Full-time","1987","Urban Area","East Germany","","","",""
"Full-time","1987","Rural Area","West Germany","982","0.410354853005919","0.389601058031707","0.43110864798013"
"Full-time","1987","Rural Area","East Germany","","","",""
"Part-time","1987","Urban Area","West Germany","522","0.0634863733327054","0.0582569938576261","0.0687157528077848"
"Part-time","1987","Urban Area","East Germany","","","",""
"Part-time","1987","Rural Area","West Germany","167","0.0778787485524176","0.0665723089163941","0.0891851881884412"
"Part-time","1987","Rural Area","East Germany","","","",""
"Non-working","1987","Urban Area","West Germany","3357","0.456079139750169","0.44539742908397","0.466760850416367"
"Non-working","1987","Urban Area","East Germany","","","",""
"Non-working","1987","Rural Area","West Germany","856","0.452524882653758","0.431524568300099","0.473525197007416"
"Non-working","1987","Rural Area","East Germany","","","",""
"Other","1987","Urban Area","West Germany","498","0.0544800679648581","0.0496125561679465","0.0593475797617696"
"Other","1987","Urban Area","East Germany","","","",""
"Other","1987","Rural Area","West Germany","153","0.0592415157879058","0.0492811675255839","0.0692018640502277"
"Other","1987","Rural Area","East Germany","","","",""
"Full-time","1988","Urban Area","West Germany","3756","0.427521021581434","0.416678181510935","0.438363861651932"
"Full-time","1988","Urban Area","East Germany","","","",""
"Full-time","1988","Rural Area","West Germany","913","0.402079430181563","0.380713203841587","0.42344565652154"
"Full-time","1988","Rural Area","East Germany","","","",""
"Part-time","1988","Urban Area","West Germany","540","0.0675300670373132","0.0620302207472787","0.0730299133273478"
"Part-time","1988","Urban Area","East Germany","","","",""
"Part-time","1988","Rural Area","West Germany","140","0.0679863009463764","0.0570171754877503","0.0789554264050025"
"Part-time","1988","Rural Area","East Germany","","","",""
"Non-working","1988","Urban Area","West Germany","3210","0.453433956173921","0.442522998112361","0.464344914235481"
"Non-working","1988","Urban Area","East Germany","","","",""
"Non-working","1988","Rural Area","West Germany","823","0.466397898535119","0.444659016406444","0.488136780663794"
"Non-working","1988","Rural Area","East Germany","","","",""
"Other","1988","Urban Area","West Germany","491","0.0515149552073325","0.0466702601067146","0.0563596503079505"
"Other","1988","Urban Area","East Germany","","","",""
"Other","1988","Rural Area","West Germany","147","0.0635363703369418","0.0529070178881753","0.0741657227857084"
"Other","1988","Rural Area","East Germany","","","",""
"Full-time","1989","Urban Area","West Germany","3736","0.434079489468629","0.423070353354156","0.445088625583102"
"Full-time","1989","Urban Area","East Germany","","","",""
"Full-time","1989","Rural Area","West Germany","896","0.413552938379562","0.391542007415161","0.435563869343964"
"Full-time","1989","Rural Area","East Germany","","","",""
"Part-time","1989","Urban Area","West Germany","526","0.0675402217054964","0.0619659621619962","0.0731144812489966"
"Part-time","1989","Urban Area","East Germany","","","",""
"Part-time","1989","Rural Area","West Germany","148","0.0762702859486095","0.0644069018086492","0.0881336700885697"
"Part-time","1989","Rural Area","East Germany","","","",""
"Non-working","1989","Urban Area","West Germany","3065","0.445521991373052","0.434482028130492","0.456561954615611"
"Non-working","1989","Urban Area","East Germany","","","",""
"Non-working","1989","Rural Area","West Germany","764","0.46179599127114","0.439513846463266","0.484078136079013"
"Non-working","1989","Rural Area","East Germany","","","",""
"Other","1989","Urban Area","West Germany","459","0.0528582974528228","0.0478883138477559","0.0578282810578898"
"Other","1989","Urban Area","East Germany","","","",""
"Other","1989","Rural Area","West Germany","115","0.0483807844006885","0.0387906100440962","0.0579709587572808"
"Other","1989","Rural Area","East Germany","","","",""
"Full-time","1990","Urban Area","West Germany","3625","0.438943535435239","0.427785763433285","0.450101307437193"
"Full-time","1990","Urban Area","East Germany","1019","0.60623503062615","0.581880352242953","0.630589709009347"
"Full-time","1990","Rural Area","West Germany","898","0.417399192117357","0.395330066182002","0.439468318052712"
"Full-time","1990","Rural Area","East Germany","1805","0.593911051256798","0.575782135044855","0.612039967468741"
"Part-time","1990","Urban Area","West Germany","561","0.0751783195609865","0.0692498147474021","0.081106824374571"
"Part-time","1990","Urban Area","East Germany","144","0.0839856464570204","0.0701596315624477","0.0978116613515932"
"Part-time","1990","Rural Area","West Germany","162","0.0851514448058036","0.0726605254778447","0.0976423641337624"
"Part-time","1990","Rural Area","East Germany","260","0.0834861387147275","0.073274927501099","0.093697349928356"
"Non-working","1990","Urban Area","West Germany","3001","0.437070210294513","0.42591770114745","0.448222719441576"
"Non-working","1990","Urban Area","East Germany","340","0.284778492717642","0.262281875307261","0.307275110128022"
"Non-working","1990","Rural Area","West Germany","747","0.445439472711059","0.423196510893373","0.467682434528745"
"Non-working","1990","Rural Area","East Germany","657","0.292016520120592","0.275231733456243","0.308801306784942"
"Other","1990","Urban Area","West Germany","412","0.0488079347092614","0.0439634321052972","0.0536524373132255"
"Other","1990","Urban Area","East Germany","43","0.0250008301991876","0.0172182664927099","0.0327833939056653"
"Other","1990","Rural Area","West Germany","111","0.0520098903657809","0.0420725843963733","0.0619471963351885"
"Other","1990","Rural Area","East Germany","97","0.0305862899078822","0.0242297828704254","0.036942796945339"
"Full-time","1991","Urban Area","West Germany","3624","0.437833595844842","0.426635365322015","0.449031826367669"
"Full-time","1991","Urban Area","East Germany","850","0.559326019975619","0.533198326275306","0.585453713675933"
"Full-time","1991","Rural Area","West Germany","902","0.410980133200876","0.389209353892013","0.432750912509739"
"Full-time","1991","Rural Area","East Germany","1554","0.522439502399739","0.503560245703269","0.54131875909621"
