"erwst","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Full Time","no migration background","3269","0.883200172679313","0.872849785440092","0.893550559918534","1"
"Full-time","1984","Full Time","direct migration background","1763","0.904794941049745","0.891690686258258","0.917899195841233","1"
"Full-time","1984","Full Time","indirect migration background","33","0.544543085281684","0.4091843795862","0.679901790977168","1"
"Full-time","1984","Part Time","no migration background","344","0.252230387599228","0.229333488022923","0.275127287175533","1"
"Full-time","1984","Part Time","direct migration background","213","0.387449543300516","0.344314666530461","0.430584420070571","1"
"Full-time","1984","Part Time","indirect migration background","2","","","","1"
"Full-time","1984","Not Working","no migration background","63","0.0155314677701202","0.0114949894354988","0.0195679461047417","1"
"Full-time","1984","Not Working","direct migration background","35","0.0274042224725761","0.0172855620094555","0.0375228829356966","1"
"Full-time","1984","Not Working","indirect migration background","","","","","1"
"Non-working","1984","Full Time","direct migration background","74","0.0461067507920502","0.0367432256641465","0.055470275919954","5"
"Non-working","1984","Full Time","indirect migration background","5","","","","5"
"Non-working","1984","Not Working","no migration background","3481","0.970542213677028","0.965022675708456","0.9760617516456","5"
"Non-working","1984","Full Time","no migration background","134","0.0381947994572489","0.0320181692235683","0.0443714296909294","5"
"Non-working","1984","Part Time","direct migration background","105","0.207330534445164","0.171436047585836","0.243225021304492","5"
"Non-working","1984","Part Time","indirect migration background","5","","","","5"
"Non-working","1984","Part Time","no migration background","266","0.200967185030011","0.179840130566005","0.222094239494017","5"
"Non-working","1984","Not Working","direct migration background","948","0.959297590495506","0.94705044640266","0.971544734588353","5"
"Non-working","1984","Not Working","indirect migration background","50","0.90623770066538","0.831219044285207","0.981256357045554","5"
"Other","1984","Full Time","no migration background","210","0.0553730554655346","0.0480027526064477","0.0627433583246214","6"
"Other","1984","Full Time","indirect migration background","11","","","","6"
"Other","1984","Part Time","no migration background","346","0.253368526506865","0.230437497220821","0.276299555792909","6"
"Other","1984","Part Time","direct migration background","76","0.142776347112242","0.111800352710888","0.173752341513596","6"
"Other","1984","Full Time","direct migration background","60","0.0248006203681307","0.0178570120602355","0.031744228676026","6"
"Other","1984","Part Time","indirect migration background","8","","","","6"
"Other","1984","Not Working","no migration background","45","0.0105458226067928","0.00721130104090066","0.0138803441726849","6"
"Other","1984","Not Working","direct migration background","16","","","","6"
"Other","1984","Not Working","indirect migration background","8","","","","6"
"Part-time","1984","Full Time","direct migration background","30","0.0242976877900739","0.0174230728988689","0.0311723026812788","2"
"Part-time","1984","Full Time","no migration background","86","0.0232319723979036","0.0183774703949124","0.0280864744008947","2"
"Part-time","1984","Full Time","indirect migration background","3","","","","2"
"Part-time","1984","Part Time","direct migration background","96","0.262443575142078","0.223488356259875","0.301398794024281","2"
"Part-time","1984","Part Time","indirect migration background","3","","","","2"
"Part-time","1984","Not Working","no migration background","16","","","","2"
"Part-time","1984","Not Working","direct migration background","1","","","","2"
"Part-time","1984","Not Working","indirect migration background","","","","","2"
"Part-time","1984","Part Time","no migration background","426","0.293433900863896","0.269427579741023","0.317440221986768","2"
"Full-time","1985","Full Time","no migration background","3026","0.90320911832369","0.893187765879085","0.913230470768296","1"
"Full-time","1985","Full Time","direct migration background","1479","0.927937621283012","0.915231099381374","0.940644143184649","1"
"Full-time","1985","Full Time","indirect migration background","33","0.824128933429215","0.719643010684814","0.928614856173616","1"
"Full-time","1985","Part Time","no migration background","412","0.302959281482095","0.27874892125559","0.3271696417086","1"
"Full-time","1985","Part Time","direct migration background","221","0.388046298717549","0.343659006621441","0.432433590813658","1"
"Full-time","1985","Part Time","indirect migration background","6","","","","1"
"Full-time","1985","Not Working","no migration background","42","0.00991685135405043","0.00652062247273204","0.0133130802353688","1"
"Full-time","1985","Not Working","direct migration background","36","0.030156275195172","0.0189270712908383","0.0413854790995057","1"
"Full-time","1985","Not Working","indirect migration background","1","","","","1"
"Non-working","1985","Full Time","direct migration background","56","0.0380465873746719","0.0286461540104743","0.0474470207388695","5"
"Non-working","1985","Full Time","indirect migration background","5","","","","5"
"Non-working","1985","Part Time","indirect migration background","3","","","","5"
"Non-working","1985","Not Working","no migration background","3148","0.970613689206489","0.964825137000256","0.976402241412722","5"
"Non-working","1985","Part Time","direct migration background","96","0.223029146995611","0.185111553110187","0.260946740881036","5"
"Non-working","1985","Full Time","no migration background","97","0.0304774471168378","0.0246512763761283","0.0363036178575473","5"
"Non-working","1985","Part Time","no migration background","251","0.184746339997293","0.164300058004359","0.205192621990228","5"
"Non-working","1985","Not Working","direct migration background","833","0.949136252902572","0.934709197633735","0.963563308171409","5"
"Non-working","1985","Not Working","indirect migration background","69","0.93685934398071","0.88068039835357","0.993038289607851","5"
"Other","1985","Full Time","no migration background","145","0.0441604895630735","0.0371970407817757","0.0511239383443712","6"
"Other","1985","Full Time","indirect migration background","11","","","","6"
"Other","1985","Part Time","no migration background","204","0.149823371607096","0.131020490065504","0.168626253148688","6"
"Other","1985","Part Time","direct migration background","47","0.120853270422455","0.0911627724537776","0.150543768391132","6"
"Other","1985","Full Time","direct migration background","32","0.0189064168013569","0.0122141563785587","0.0255986772241552","6"
"Other","1985","Part Time","indirect migration background","7","","","","6"
"Other","1985","Not Working","no migration background","55","0.0136160640285739","0.00964393815410247","0.0175881899030453","6"
"Other","1985","Not Working","direct migration background","15","","","","6"
"Other","1985","Not Working","indirect migration background","2","","","","6"
"Part-time","1985","Full Time","direct migration background","24","","","","2"
"Part-time","1985","Full Time","no migration background","76","0.0221529449963986","0.0171644888659226","0.0271414011268745","2"
"Part-time","1985","Full Time","indirect migration background","2","","","","2"
"Part-time","1985","Part Time","direct migration background","99","0.268071283864384","0.227723736893033","0.308418830835735","2"
"Part-time","1985","Part Time","indirect migration background","5","","","","2"
"Part-time","1985","Not Working","no migration background","25","","","","2"
"Part-time","1985","Not Working","direct migration background","7","","","","2"
"Part-time","1985","Not Working","indirect migration background","","","","","2"
"Part-time","1985","Part Time","no migration background","517","0.362471006913516","0.337145003963531","0.387797009863502","2"
"Full-time","1986","Full Time","no migration background","2962","0.906173145992801","0.896175995302018","0.916170296683583","1"
"Full-time","1986","Full Time","direct migration background","1420","0.911394996558848","0.897206734051655","0.925583259066042","1"
"Full-time","1986","Full Time","indirect migration background","36","0.862656483577777","0.772504122745261","0.952808844410293","1"
"Full-time","1986","Part Time","no migration background","331","0.254468803204203","0.231121723193266","0.27781588321514","1"
"Full-time","1986","Part Time","direct migration background","196","0.361518852999065","0.317614388000782","0.405423317997348","1"
"Full-time","1986","Part Time","indirect migration background","12","","","","1"
"Full-time","1986","Not Working","no migration background","44","0.0128043475492178","0.00879850409742653","0.0168101910010091","1"
"Full-time","1986","Not Working","direct migration background","27","","","","1"
"Full-time","1986","Not Working","indirect migration background","2","","","","1"
"Non-working","1986","Full Time","no migration background","90","0.0262594731811032","0.0207770608656299","0.0317418854965764","5"
"Non-working","1986","Full Time","direct migration background","47","0.0321487409120654","0.0233416381108373","0.0409558437132934","5"
"Non-working","1986","Part Time","indirect migration background","3","","","","5"
"Non-working","1986","Part Time","direct migration background","113","0.256032916934434","0.216149354999671","0.295916478869196","5"
"Non-working","1986","Full Time","indirect migration background","2","","","","5"
"Non-working","1986","Not Working","no migration background","2923","0.971038802893138","0.965063771708939","0.977013834077337","5"
"Non-working","1986","Not Working","direct migration background","812","0.960588917303158","0.947546953141415","0.973630881464902","5"
"Non-working","1986","Not Working","indirect migration background","60","0.909116687710556","0.838694422217741","0.979538953203371","5"
"Non-working","1986","Part Time","no migration background","288","0.227070538194022","0.204614521997404","0.24952655439064","5"
