"erwst","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","16-34 y.","Not Employed","69","0.053654320872322","0.042201305078473","0.0651073366661711"
"Full-time","1984","16-34 y.","Employed","2106","0.659707765258661","0.643085009484156","0.676330521033166"
"Full-time","1984","35-65 y.","Not Employed","28","","",""
"Full-time","1984","35-65 y.","Employed","3502","0.770798905352098","0.758355442831928","0.783242367872267"
"Full-time","1984","66 and older","Not Employed","1","","",""
"Full-time","1984","66 and older","Employed","16","","",""
"Part-time","1984","16-34 y.","Not Employed","8","","",""
"Part-time","1984","16-34 y.","Employed","180","0.0588407708799419","0.0505847280691491","0.0670968136907348"
"Part-time","1984","35-65 y.","Not Employed","8","","",""
"Part-time","1984","35-65 y.","Employed","453","0.119300816257542","0.109704647868212","0.128896984646871"
"Part-time","1984","66 and older","Not Employed","1","","",""
"Part-time","1984","66 and older","Employed","11","","",""
"Non-working","1984","16-34 y.","Not Employed","1352","0.904278645507982","0.88932496277881","0.919232328237154"
"Non-working","1984","16-34 y.","Employed","321","0.107143415190331","0.0962922892925153","0.117994541088146"
"Non-working","1984","35-65 y.","Not Employed","1914","0.980318367036173","0.974168946563241","0.986467787509105"
"Non-working","1984","35-65 y.","Employed","251","0.0621813251334616","0.0550322184078009","0.0693304318591223"
"Non-working","1984","66 and older","Not Employed","1213","0.998366162694993","0.996096137726426","1.00063618766356"
"Non-working","1984","66 and older","Employed","17","","",""
"Other","1984","16-34 y.","Not Employed","58","0.0367477620991008","0.027185116335657","0.0463104078625447"
"Other","1984","16-34 y.","Employed","514","0.174308048671066","0.160998327640091","0.187617769702041"
"Other","1984","35-65 y.","Not Employed","10","","",""
"Other","1984","35-65 y.","Employed","177","0.0477189532568991","0.0414080666003944","0.0540298399134037"
"Other","1984","66 and older","Not Employed","1","","",""
"Other","1984","66 and older","Employed","20","","",""
"Full-time","1985","16-34 y.","Not Employed","54","0.0295811798711654","0.0205632760802264","0.0385990836621044"
"Full-time","1985","16-34 y.","Employed","2030","0.714963626891585","0.698322708053799","0.731604545729372"
"Full-time","1985","35-65 y.","Not Employed","22","","",""
"Full-time","1985","35-65 y.","Employed","3132","0.756345524913127","0.743012006035492","0.769679043790762"
"Full-time","1985","66 and older","Not Employed","3","","",""
"Full-time","1985","66 and older","Employed","15","","",""
"Part-time","1985","16-34 y.","Not Employed","20","","",""
"Part-time","1985","16-34 y.","Employed","197","0.0701154907488405","0.0607029540545124","0.0795280274431686"
"Part-time","1985","35-65 y.","Not Employed","11","","",""
"Part-time","1985","35-65 y.","Employed","511","0.14752256584096","0.136507980867391","0.15853715081453"
"Part-time","1985","66 and older","Not Employed","1","","",""
"Part-time","1985","66 and older","Employed","15","","",""
"Non-working","1985","16-34 y.","Not Employed","1230","0.914288967639175","0.899389239341429","0.929188695936922"
"Non-working","1985","16-34 y.","Employed","263","0.0907672400073657","0.0801774514378328","0.101357028576899"
"Non-working","1985","35-65 y.","Not Employed","1754","0.973218025634134","0.965768027027407","0.980668024240862"
"Non-working","1985","35-65 y.","Employed","241","0.0664842950418211","0.0587464894950862","0.0742221005885561"
"Non-working","1985","66 and older","Not Employed","1066","0.996596931565781","0.993112408495739","1.00008145463582"
"Non-working","1985","66 and older","Employed","4","","",""
"Other","1985","16-34 y.","Not Employed","52","0.0409153741404328","0.0303717485787606","0.051458999702105"
