"erwst","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Schleswig-Holstein","Male","125","0.641357098723827","0.572981953539515","0.709732243908139"
"Full-time","1984","Schleswig-Holstein","Female","45","0.214640123269757","0.157452071014177","0.271828175525337"
"Full-time","1984","Hamburg","Male","95","0.520741039684948","0.441322422567789","0.600159656802107"
"Full-time","1984","Hamburg","Female","50","0.259247203650857","0.191132131815364","0.32736227548635"
"Full-time","1984","Lower Saxony","Male","391","0.618806752947032","0.580041773650016","0.657571732244047"
"Full-time","1984","Lower Saxony","Female","118","0.162898554248604","0.134131599051771","0.191665509445438"
"Full-time","1984","Bremen","Male","","","",""
"Full-time","1984","Bremen","Female","","","",""
"Full-time","1984","North Rhine-Westphalia","Male","1112","0.642419934411357","0.61904459196836","0.665795276854355"
"Full-time","1984","North Rhine-Westphalia","Female","381","0.1951139769652","0.176021579124339","0.214206374806061"
"Full-time","1984","Hesse","Male","432","0.613195659581336","0.575135730586517","0.651255588576155"
"Full-time","1984","Hesse","Female","163","0.203248806133953","0.171649362890209","0.234848249377697"
"Full-time","1984","Rhineland-Palatinate,Saarland","Male","270","0.599197795448994","0.552274205196018","0.646121385701971"
"Full-time","1984","Rhineland-Palatinate,Saarland","Female","99","0.190565630113986","0.153657965045584","0.227473295182387"
"Full-time","1984","Baden-Württemberg","Male","843","0.679253931755962","0.652039102090302","0.706468761421621"
"Full-time","1984","Baden-Württemberg","Female","340","0.240819534975652","0.215998834468936","0.265640235482369"
"Full-time","1984","Bavaria","Male","690","0.651626942192331","0.62211125841956","0.681142625965103"
"Full-time","1984","Bavaria","Female","312","0.233108435615745","0.208201502424402","0.258015368807087"
"Full-time","1984","Berlin","Male","138","0.66875206998262","0.603194227558992","0.734309912406248"
"Full-time","1984","Berlin","Female","78","0.297190415344942","0.235814988350004","0.358565842339879"
"Full-time","1984","Brandenburg","Male","","","",""
"Full-time","1984","Brandenburg","Female","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Full-time","1984","Saxony","Male","","","",""
"Full-time","1984","Saxony","Female","","","",""
"Full-time","1984","Saxony-Anhalt","Male","","","",""
"Full-time","1984","Saxony-Anhalt","Female","","","",""
"Full-time","1984","Thuringia","Male","","","",""
"Full-time","1984","Thuringia","Female","","","",""
"Part-time","1984","Schleswig-Holstein","Male","","","",""
"Part-time","1984","Schleswig-Holstein","Female","31","0.139398658149825","0.0911543811915669","0.187642935108083"
"Part-time","1984","Hamburg","Male","","","",""
"Part-time","1984","Hamburg","Female","","","",""
"Part-time","1984","Lower Saxony","Male","","","",""
"Part-time","1984","Lower Saxony","Female","67","0.100440725813805","0.0770245457043161","0.123856905923294"
"Part-time","1984","Bremen","Male","","","",""
"Part-time","1984","Bremen","Female","","","",""
"Part-time","1984","North Rhine-Westphalia","Male","","","",""
"Part-time","1984","North Rhine-Westphalia","Female","135","0.084196241107817","0.0708180728315461","0.0975744093840878"
"Part-time","1984","Hesse","Male","","","",""
"Part-time","1984","Hesse","Female","69","0.120539988329882","0.0949731109323416","0.146106865727423"
"Part-time","1984","Rhineland-Palatinate,Saarland","Male","","","",""
"Part-time","1984","Rhineland-Palatinate,Saarland","Female","","","",""
"Part-time","1984","Baden-Württemberg","Male","","","",""
"Part-time","1984","Baden-Württemberg","Female","130","0.113752431336894","0.0953212344781342","0.132183628195653"
"Part-time","1984","Bavaria","Male","","","",""
"Part-time","1984","Bavaria","Female","113","0.0947123268633168","0.0774630522165545","0.111961601510079"
"Part-time","1984","Berlin","Male","","","",""
"Part-time","1984","Berlin","Female","","","",""
"Part-time","1984","Brandenburg","Male","","","",""
"Part-time","1984","Brandenburg","Female","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Part-time","1984","Saxony","Male","","","",""
"Part-time","1984","Saxony","Female","","","",""
"Part-time","1984","Saxony-Anhalt","Male","","","",""
"Part-time","1984","Saxony-Anhalt","Female","","","",""
"Part-time","1984","Thuringia","Male","","","",""
"Part-time","1984","Thuringia","Female","","","",""
"Non-working","1984","Schleswig-Holstein","Male","53","0.296396550476475","0.231291041058104","0.361502059894847"
"Non-working","1984","Schleswig-Holstein","Female","107","0.573504339911447","0.504616723430982","0.642391956391911"
"Non-working","1984","Hamburg","Male","48","0.427597792327248","0.348948526263327","0.506247058391169"
"Non-working","1984","Hamburg","Female","84","0.612065974772509","0.536325576597951","0.687806372947067"
"Non-working","1984","Lower Saxony","Male","175","0.320159800045766","0.282922665350396","0.357396934741137"
"Non-working","1984","Lower Saxony","Female","389","0.649729733848009","0.61256643624425","0.686893031451767"
"Non-working","1984","Bremen","Male","30","0.55468736980532","0.431961968368196","0.677412771242444"
"Non-working","1984","Bremen","Female","48","0.799571100723294","0.705114511199907","0.894027690246682"
"Non-working","1984","North Rhine-Westphalia","Male","407","0.298958328847297","0.276630881532234","0.32128577616236"
"Non-working","1984","North Rhine-Westphalia","Female","1032","0.658506896131048","0.635660367331248","0.681353424930848"
"Non-working","1984","Hesse","Male","157","0.321038559280735","0.284552755134495","0.357524363426976"
"Non-working","1984","Hesse","Female","343","0.598989276082526","0.560504267775073","0.63747428438998"
"Non-working","1984","Rhineland-Palatinate,Saarland","Male","129","0.36008881481868","0.314126092246504","0.406051537390857"
"Non-working","1984","Rhineland-Palatinate,Saarland","Female","269","0.653857927979917","0.609151254727132","0.698564601232702"
"Non-working","1984","Baden-Württemberg","Male","221","0.265970161409414","0.240208006641419","0.291732316177409"
"Non-working","1984","Baden-Württemberg","Female","598","0.575954434057803","0.547266716821193","0.604642151294412"
"Non-working","1984","Bavaria","Male","242","0.279245536809612","0.251453662132705","0.307037411486518"
"Non-working","1984","Bavaria","Female","590","0.59123080977347","0.562271254597874","0.620190364949066"
"Non-working","1984","Berlin","Male","47","0.269186552658262","0.207406902989023","0.3309662023275"
"Non-working","1984","Berlin","Female","99","0.557147832669819","0.490440603869903","0.623855061469735"
"Non-working","1984","Brandenburg","Male","","","",""
"Non-working","1984","Brandenburg","Female","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","Male","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","Female","","","",""
"Non-working","1984","Saxony","Male","","","",""
"Non-working","1984","Saxony","Female","","","",""
"Non-working","1984","Saxony-Anhalt","Male","","","",""
"Non-working","1984","Saxony-Anhalt","Female","","","",""
"Non-working","1984","Thuringia","Male","","","",""
"Non-working","1984","Thuringia","Female","","","",""
