"erwst","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Schleswig-Holstein","Full Time","151","0.867601360576004","0.817242564355338","0.91796015679667","1"
"Full-time","1984","Schleswig-Holstein","Part Time","13","","","","1"
"Full-time","1984","Schleswig-Holstein","Not Working","6","","","","1"
"Full-time","1984","Hamburg","Full Time","133","0.872513925693496","0.818781704863936","0.926246146523057","1"
"Full-time","1984","Hamburg","Part Time","11","","","","1"
"Full-time","1984","Hamburg","Not Working","1","","","","1"
"Full-time","1984","Lower Saxony","Full Time","447","0.89109801662905","0.863792919730891","0.918403113527208","1"
"Full-time","1984","Lower Saxony","Part Time","57","0.281970448241051","0.219296298248994","0.344644598233108","1"
"Full-time","1984","Lower Saxony","Not Working","5","","","","1"
"Full-time","1984","Bremen","Full Time","32","0.838867123572234","0.721972386164477","0.955761860979991","1"
"Full-time","1984","Bremen","Part Time","6","","","","1"
"Full-time","1984","Bremen","Not Working","2","","","","1"
"Full-time","1984","North Rhine-Westphalia","Full Time","1318","0.901650132894357","0.886333239239407","0.916967026549308","1"
"Full-time","1984","North Rhine-Westphalia","Part Time","150","0.274050289443916","0.234557441621402","0.313543137266431","1"
"Full-time","1984","North Rhine-Westphalia","Not Working","25","","","","1"
"Full-time","1984","Hesse","Full Time","520","0.869609255218348","0.842529774737401","0.896688735699295","1"
"Full-time","1984","Hesse","Part Time","57","0.256093755400457","0.194988487585737","0.317199023215176","1"
"Full-time","1984","Hesse","Not Working","18","","","","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Full Time","334","0.877755515033605","0.844689730081987","0.910821299985224","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Part Time","32","0.246901100010584","0.167395743687111","0.326406456334058","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Not Working","3","","","","1"
"Full-time","1984","Baden-Württemberg","Full Time","1060","0.892768582493688","0.875054659271608","0.910482505715769","1"
"Full-time","1984","Baden-Württemberg","Part Time","106","0.246232708754257","0.200304315106776","0.292161102401738","1"
"Full-time","1984","Baden-Württemberg","Not Working","17","","","","1"
"Full-time","1984","Bavaria","Full Time","882","0.865539217069356","0.844520847319597","0.886557586819116","1"
"Full-time","1984","Bavaria","Part Time","104","0.282620649932839","0.236043034828863","0.329198265036816","1"
"Full-time","1984","Bavaria","Not Working","16","","","","1"
"Full-time","1984","Berlin","Full Time","188","0.886283467422475","0.843447853873022","0.929119080971927","1"
"Full-time","1984","Berlin","Part Time","23","","","","1"
"Full-time","1984","Berlin","Not Working","5","","","","1"
"Full-time","1984","Brandenburg","Full Time","","","","","1"
"Full-time","1984","Brandenburg","Part Time","","","","","1"
"Full-time","1984","Brandenburg","Not Working","","","","","1"
"Full-time","1984","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Full-time","1984","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Full-time","1984","Mecklenburg-Western Pomerania","Not Working","","","","","1"
