"erwst","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Schleswig-Holstein","Not Employed","6","","",""
"Full-time","1984","Schleswig-Holstein","Employed","164","0.689011704371641","0.630078610700423","0.747944798042859"
"Full-time","1984","Hamburg","Not Employed","1","","",""
"Full-time","1984","Hamburg","Employed","144","0.726915524545368","0.66356331471119","0.790267734379546"
"Full-time","1984","Lower Saxony","Not Employed","5","","",""
"Full-time","1984","Lower Saxony","Employed","504","0.710398385545483","0.676749409582179","0.744047361508786"
"Full-time","1984","Bremen","Not Employed","2","","",""
"Full-time","1984","Bremen","Employed","38","0.59436737732599","0.471148543686523","0.717586210965457"
"Full-time","1984","North Rhine-Westphalia","Not Employed","25","","",""
"Full-time","1984","North Rhine-Westphalia","Employed","1468","0.73200744201286","0.712308513985265","0.751706370040456"
"Full-time","1984","Hesse","Not Employed","18","","",""
"Full-time","1984","Hesse","Employed","577","0.690509592837555","0.658273455324016","0.722745730351093"
"Full-time","1984","Rhineland-Palatinate,Saarland","Not Employed","3","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","Employed","366","0.727051162507889","0.687607869837048","0.766494455178731"
"Full-time","1984","Baden-Württemberg","Not Employed","17","","",""
"Full-time","1984","Baden-Württemberg","Employed","1166","0.734018730278942","0.711732392122884","0.756305068435001"
"Full-time","1984","Bavaria","Not Employed","16","","",""
"Full-time","1984","Bavaria","Employed","986","0.701488417031737","0.677265847594862","0.725710986468612"
"Full-time","1984","Berlin","Not Employed","5","","",""
"Full-time","1984","Berlin","Employed","211","0.764610444754303","0.714829894055886","0.814390995452719"
"Full-time","1984","Brandenburg","Not Employed","","","",""
"Full-time","1984","Brandenburg","Employed","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","Employed","","","",""
"Full-time","1984","Saxony","Not Employed","","","",""
"Full-time","1984","Saxony","Employed","","","",""
