"erwst","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Full Time","West Germany","5065","0.884244891185966","0.875923292643545","0.892566489728387"
"Full-time","1984","Full Time","East Germany","","","",""
"Full-time","1984","Part Time","West Germany","559","0.266926244704304","0.246983420405109","0.286869069003499"
"Full-time","1984","Part Time","East Germany","","","",""
"Full-time","1984","Not Working","West Germany","98","0.0163378832270934","0.0126992670158126","0.0199764994383742"
"Full-time","1984","Not Working","East Germany","","","",""
"Part-time","1984","Full Time","West Germany","119","0.0240649475249555","0.0200788004849504","0.0280510945649607"
"Part-time","1984","Full Time","East Germany","","","",""
"Part-time","1984","Part Time","West Germany","525","0.289191615460634","0.268751360503111","0.309631870418157"
"Part-time","1984","Part Time","East Germany","","","",""
"Part-time","1984","Not Working","West Germany","17","","",""
"Part-time","1984","Not Working","East Germany","","","",""
"Non-working","1984","Full Time","West Germany","213","0.039372190724093","0.0343136789581554","0.0444307024900307"
"Non-working","1984","Full Time","East Germany","","","",""
"Non-working","1984","Part Time","West Germany","376","0.202559548808503","0.184440196039535","0.220678901577472"
"Non-working","1984","Part Time","East Germany","","","",""
"Non-working","1984","Not Working","West Germany","4479","0.969457142872177","0.964518194106358","0.974396091637996"
"Non-working","1984","Not Working","East Germany","","","",""
"Other","1984","Full Time","West Germany","281","0.0523179705649855","0.0465262558140113","0.0581096853159596"
"Other","1984","Full Time","East Germany","","","",""
"Other","1984","Part Time","West Germany","430","0.241322591026558","0.222032034597248","0.260613147455869"
"Other","1984","Part Time","East Germany","","","",""
"Other","1984","Not Working","West Germany","69","0.0110578855032248","0.00805639575979306","0.0140593752466565"
"Other","1984","Not Working","East Germany","","","",""
"Full-time","1985","Full Time","West Germany","4538","0.905632062788375","0.897517594267837","0.913746531308912"
"Full-time","1985","Full Time","East Germany","","","",""
"Full-time","1985","Part Time","West Germany","639","0.311768571332632","0.290762585314675","0.332774557350589"
"Full-time","1985","Part Time","East Germany","","","",""
"Full-time","1985","Not Working","West Germany","79","0.0114178882841553","0.0082173485346402","0.0146184280336704"
"Full-time","1985","Not Working","East Germany","","","",""
