"erwst","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1985","in school","Urban Area","","","","","1"
"Full-time","1985","in school","Rural Area","","","","","1"
"Full-time","1985","inadequately","Urban Area","383","0.424031232020895","0.3884726422824","0.459589821759391","1"
"Full-time","1985","inadequately","Rural Area","46","0.258794959905912","0.175809254283714","0.341780665528111","1"
"Full-time","1985","general elemantary","Urban Area","818","0.239109891262078","0.221897394926899","0.256322387597257","1"
"Full-time","1985","general elemantary","Rural Area","210","0.227437238358346","0.196819048275919","0.258055428440773","1"
"Full-time","1985","middle vocational","Urban Area","2114","0.472197455641132","0.456884607975886","0.487510303306378","1"
"Full-time","1985","middle vocational","Rural Area","598","0.487545398514105","0.458206359350577","0.516884437677633","1"
"Full-time","1985","vocational + Abi","Urban Area","139","0.534598239071576","0.470959749611294","0.598236728531858","1"
"Full-time","1985","vocational + Abi","Rural Area","22","","","","1"
"Full-time","1985","higher vocational","Urban Area","278","0.541245321602028","0.497214897311545","0.585275745892512","1"
"Full-time","1985","higher vocational","Rural Area","77","0.554608896797393","0.468842449490153","0.640375344104633","1"
"Full-time","1985","higher education","Urban Area","447","0.677018122340784","0.64081814482865","0.713218099852918","1"
"Full-time","1985","higher education","Rural Area","74","0.581641785832145","0.492258336543261","0.671025235121029","1"
"Non-working","1985","middle vocational","Urban Area","1519","0.42356816896577","0.408411839536469","0.438724498395072","5"
"Non-working","1985","middle vocational","Rural Area","398","0.410467016479391","0.381593223136945","0.439340809821837","5"
"Non-working","1985","vocational + Abi","Urban Area","74","0.375282246617663","0.313507208299722","0.437057284935605","5"
"Non-working","1985","general elemantary","Urban Area","1180","0.607973527601989","0.588272714420326","0.627674340783652","5"
"Non-working","1985","general elemantary","Rural Area","407","0.62870141431807","0.593410272573717","0.663992556062423","5"
"Non-working","1985","higher education","Rural Area","32","0.337085606041771","0.251430355710267","0.422740856373275","5"
"Non-working","1985","in school","Urban Area","146","0.964457216337341","0.934926307024264","0.993988125650419","5"
"Non-working","1985","in school","Rural Area","35","0.973212358530323","0.920468987096432","1.02595572996421","5"
"Non-working","1985","inadequately","Urban Area","318","0.484483097542589","0.44852415530797","0.520442039777208","5"
"Non-working","1985","inadequately","Rural Area","57","0.701880402834525","0.615207563614647","0.788553242054403","5"
"Non-working","1985","vocational + Abi","Rural Area","16","","","","5"
"Non-working","1985","higher vocational","Urban Area","153","0.347316811575574","0.305246119573257","0.389387503577891","5"
"Non-working","1985","higher vocational","Rural Area","39","0.346249891190588","0.264147851658897","0.428351930722278","5"
"Non-working","1985","higher education","Urban Area","132","0.228129389611812","0.195644458654846","0.260614320568779","5"
"Other","1985","inadequately","Urban Area","16","","","","6"
"Other","1985","higher vocational","Rural Area","4","","","","6"
"Other","1985","higher education","Urban Area","19","","","","6"
"Other","1985","higher education","Rural Area","4","","","","6"
"Other","1985","in school","Rural Area","1","","","","6"
"Other","1985","inadequately","Rural Area","2","","","","6"
"Other","1985","general elemantary","Urban Area","202","0.0846995891926697","0.0734637218974724","0.095935456487867","6"
"Other","1985","higher vocational","Urban Area","15","","","","6"
"Other","1985","general elemantary","Rural Area","55","0.0762816360351513","0.056892358321519","0.0956709137487837","6"
"Other","1985","in school","Urban Area","4","","","","6"
"Other","1985","middle vocational","Urban Area","143","0.0322648819330322","0.0268448519142323","0.037684911951832","6"
"Other","1985","middle vocational","Rural Area","35","0.0304218853631528","0.0203410824960726","0.0405026882302329","6"
"Other","1985","vocational + Abi","Urban Area","6","","","","6"
"Other","1985","vocational + Abi","Rural Area","4","","","","6"
"Part-time","1985","higher education","Urban Area","43","0.0659041548958213","0.0466966393175487","0.0851116704740939","2"
"Part-time","1985","higher vocational","Urban Area","46","0.0817754119181354","0.0575622576588544","0.105988566177416","2"
"Part-time","1985","inadequately","Urban Area","25","","","","2"
"Part-time","1985","higher vocational","Rural Area","9","","","","2"
"Part-time","1985","higher education","Rural Area","7","","","","2"
"Part-time","1985","in school","Rural Area","","","","","2"
"Part-time","1985","inadequately","Rural Area","2","","","","2"
"Part-time","1985","in school","Urban Area","1","","","","2"
"Part-time","1985","general elemantary","Urban Area","159","0.0682169919432632","0.0580430841720948","0.0783908997144315","2"
"Part-time","1985","vocational + Abi","Urban Area","17","","","","2"
"Part-time","1985","vocational + Abi","Rural Area","2","","","","2"
"Part-time","1985","general elemantary","Rural Area","48","0.0675797112884328","0.0492440800370432","0.0859153425398223","2"
"Part-time","1985","middle vocational","Urban Area","307","0.0719694934600658","0.0640424041634683","0.0798965827566632","2"
"Part-time","1985","middle vocational","Rural Area","84","0.0715656996433514","0.0564357073635091","0.0866956919231936","2"
"Full-time","1986","in school","Urban Area","1","","","","1"
"Full-time","1986","in school","Rural Area","","","","","1"
"Full-time","1986","inadequately","Urban Area","347","0.455585704302437","0.41829053270917","0.492880875895704","1"
"Full-time","1986","inadequately","Rural Area","47","0.298989519262164","0.211421872383557","0.386557166140771","1"
"Full-time","1986","general elemantary","Urban Area","768","0.23452843548307","0.2169742640922","0.25208260687394","1"
"Full-time","1986","general elemantary","Rural Area","199","0.231828018248362","0.200249028964914","0.26340700753181","1"
"Full-time","1986","middle vocational","Urban Area","2079","0.47308419171995","0.457510221093718","0.488658162346181","1"
"Full-time","1986","middle vocational","Rural Area","559","0.485091324805482","0.455103653650684","0.515078995960281","1"
"Full-time","1986","vocational + Abi","Urban Area","143","0.567785786626145","0.504040822774886","0.631530750477404","1"
"Full-time","1986","vocational + Abi","Rural Area","22","","","","1"
"Full-time","1986","higher vocational","Urban Area","256","0.528462429878239","0.482943471806555","0.573981387949923","1"
"Full-time","1986","higher vocational","Rural Area","77","0.561591391956994","0.473180623904887","0.650002160009101","1"
"Full-time","1986","higher education","Urban Area","409","0.641968953547793","0.604562135421935","0.679375771673652","1"
"Full-time","1986","higher education","Rural Area","76","0.579143602678198","0.49081170386565","0.667475501490747","1"
"Non-working","1986","middle vocational","Urban Area","1461","0.427862479550251","0.412429071614972","0.443295887485529","5"
"Non-working","1986","middle vocational","Rural Area","385","0.41277966618752","0.38323864039343","0.44232069198161","5"
"Non-working","1986","vocational + Abi","Urban Area","68","0.345729310290244","0.284529379504135","0.406929241076353","5"
"Non-working","1986","general elemantary","Urban Area","1110","0.611862588260942","0.59167252162005","0.632052654901834","5"
"Non-working","1986","general elemantary","Rural Area","368","0.598371382486957","0.561686784362712","0.635055980611202","5"
"Non-working","1986","in school","Urban Area","161","0.972412731088208","0.947421606989333","0.997403855187083","5"
"Non-working","1986","in school","Rural Area","22","","","","5"
"Non-working","1986","inadequately","Urban Area","300","0.471408043334221","0.434026125838177","0.508789960830264","5"
"Non-working","1986","inadequately","Rural Area","51","0.591872187393618","0.49786403797262","0.685880336814616","5"
"Non-working","1986","vocational + Abi","Rural Area","19","","","","5"
"Non-working","1986","higher vocational","Urban Area","153","0.374175153316994","0.330049517458596","0.418300789175391","5"
"Non-working","1986","higher vocational","Rural Area","35","0.365796623550392","0.279976422620075","0.45161682448071","5"
"Non-working","1986","higher education","Urban Area","135","0.235502567532165","0.202395611644739","0.268609523419591","5"
"Non-working","1986","higher education","Rural Area","29","","","","5"
"Other","1986","inadequately","Urban Area","17","","","","6"
"Other","1986","higher vocational","Rural Area","3","","","","6"
"Other","1986","higher education","Urban Area","20","","","","6"
"Other","1986","general elemantary","Urban Area","224","0.093161634967289","0.08111955398713","0.105203715947448","6"
"Other","1986","general elemantary","Rural Area","77","0.10810059395958","0.0848647735780103","0.131336414341149","6"
"Other","1986","higher education","Rural Area","5","","","","6"
"Other","1986","inadequately","Rural Area","6","","","","6"
"Other","1986","in school","Rural Area","1","","","","6"
"Other","1986","higher vocational","Urban Area","17","","","","6"
"Other","1986","in school","Urban Area","3","","","","6"
"Other","1986","middle vocational","Urban Area","170","0.040298557167611","0.0341641536328216","0.0464329607024005","6"
"Other","1986","middle vocational","Rural Area","55","0.0453202113267091","0.0328394606192198","0.0578009620341984","6"
"Other","1986","vocational + Abi","Urban Area","12","","","","6"
"Other","1986","vocational + Abi","Rural Area","1","","","","6"
"Part-time","1986","higher vocational","Rural Area","6","","","","2"
"Part-time","1986","inadequately","Urban Area","21","","","","2"
"Part-time","1986","in school","Rural Area","","","","","2"
"Part-time","1986","higher education","Urban Area","67","0.0964099793949895","0.0733807121643383","0.119439246625641","2"
"Part-time","1986","inadequately","Rural Area","1","","","","2"
"Part-time","1986","general elemantary","Urban Area","136","0.0604473412886987","0.050573930313297","0.0703207522641005","2"
"Part-time","1986","general elemantary","Rural Area","42","0.061700005305101","0.0436947414193135","0.0797052691908884","2"
"Part-time","1986","higher vocational","Urban Area","36","0.0666616259969421","0.0439166954176942","0.0894065565761901","2"
"Part-time","1986","higher education","Rural Area","10","","","","2"
"Part-time","1986","in school","Urban Area","","","","","2"
"Part-time","1986","vocational + Abi","Urban Area","9","","","","2"
"Part-time","1986","vocational + Abi","Rural Area","4","","","","2"
"Part-time","1986","middle vocational","Urban Area","238","0.0587547715621888","0.0514192249029498","0.0660903182214277","2"
"Part-time","1986","middle vocational","Rural Area","68","0.0568087976802885","0.0429197153969077","0.0706978799636693","2"
"Full-time","1987","in school","Urban Area","","","","","1"
"Full-time","1987","in school","Rural Area","","","","","1"
