"erwst","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","1-pers.-HH","in school","","","","","1"
"Full-time","1984","1-pers.-HH","inadequately","48","0.517022214265056","0.399959860899582","0.634084567630531","1"
"Full-time","1984","1-pers.-HH","general elemantary","92","0.132230299933262","0.0987399605776361","0.165720639288888","1"
"Full-time","1984","1-pers.-HH","middle vocational","276","0.359936112748811","0.322245912828294","0.397626312669327","1"
"Full-time","1984","1-pers.-HH","vocational + Abi","27","","","","1"
"Full-time","1984","1-pers.-HH","higher vocational","39","0.408409661462129","0.302019931912591","0.514799391011666","1"
"Full-time","1984","1-pers.-HH","higher education","74","0.580064481108937","0.49063419882753","0.669494763390344","1"
"Full-time","1984","(Married) couple without C. ","in school","1","","","","1"
"Full-time","1984","(Married) couple without C. ","inadequately","75","0.509268848457458","0.422664743857969","0.595872953056948","1"
"Full-time","1984","(Married) couple without C. ","general elemantary","198","0.192298921611615","0.163082753225646","0.221515089997584","1"
"Full-time","1984","(Married) couple without C. ","middle vocational","671","0.412521173618928","0.386889179337115","0.438153167900742","1"
"Full-time","1984","(Married) couple without C. ","vocational + Abi","43","0.469475309314063","0.363379603351155","0.575571015276971","1"
"Full-time","1984","(Married) couple without C. ","higher vocational","78","0.436981959320825","0.360364444265017","0.513599474376633","1"
"Full-time","1984","(Married) couple without C. ","higher education","123","0.550492809170458","0.48223110060902","0.618754517731897","1"
"Full-time","1984","Single parent ","in school","","","","","1"
"Full-time","1984","Single parent ","inadequately","25","","","","1"
"Full-time","1984","Single parent ","general elemantary","56","0.215700460258765","0.15869721133652","0.27270370918101","1"
"Full-time","1984","Single parent ","middle vocational","128","0.479379163290207","0.418654968256305","0.540103358324109","1"
"Full-time","1984","Single parent ","vocational + Abi","4","","","","1"
"Full-time","1984","Single parent ","higher vocational","17","","","","1"
"Full-time","1984","Single parent ","higher education","9","","","","1"
"Full-time","1984","Couple + C. LE 16 ","in school","","","","","1"
"Full-time","1984","Couple + C. LE 16 ","inadequately","178","0.469006533740599","0.414243590087285","0.523769477393913","1"
"Full-time","1984","Couple + C. LE 16 ","general elemantary","296","0.350421991515268","0.314187488427376","0.386656494603161","1"
"Full-time","1984","Couple + C. LE 16 ","middle vocational","857","0.554221404485587","0.529151027158287","0.579291781812888","1"
"Full-time","1984","Couple + C. LE 16 ","vocational + Abi","59","0.618017943545865","0.514727378861988","0.721308508229742","1"
"Full-time","1984","Couple + C. LE 16 ","higher vocational","130","0.630522368144824","0.564770629224589","0.69627410706506","1"
"Full-time","1984","Couple + C. LE 16 ","higher education","193","0.727726495686434","0.674233852617886","0.781219138754982","1"
"Full-time","1984","Couple + C. GT 16 ","in school","","","","","1"
"Full-time","1984","Couple + C. GT 16 ","inadequately","75","0.354889997195682","0.277541266556741","0.432238727834624","1"
"Full-time","1984","Couple + C. GT 16 ","general elemantary","153","0.201546438040823","0.169177050655943","0.233915825425702","1"
"Full-time","1984","Couple + C. GT 16 ","middle vocational","516","0.536794086359493","0.504849219995952","0.568738952723035","1"
"Full-time","1984","Couple + C. GT 16 ","vocational + Abi","25","","","","1"
"Full-time","1984","Couple + C. GT 16 ","higher vocational","66","0.692008541683992","0.599658405939376","0.784358677428607","1"
"Full-time","1984","Couple + C. GT 16 ","higher education","77","0.77368702595288","0.690414908726242","0.856959143179518","1"
"Full-time","1984","Couple + C. LE and GT 16","in school","","","","","1"
"Full-time","1984","Couple + C. LE and GT 16","inadequately","105","0.46087686440616","0.395158250870456","0.526595477941864","1"
"Full-time","1984","Couple + C. LE and GT 16","general elemantary","176","0.231943440289806","0.198086432452859","0.265800448126753","1"
"Full-time","1984","Couple + C. LE and GT 16","middle vocational","390","0.57351739315516","0.53642697770295","0.610607808607371","1"
"Full-time","1984","Couple + C. LE and GT 16","vocational + Abi","16","","","","1"
"Full-time","1984","Couple + C. LE and GT 16","higher vocational","39","0.815594663454625","0.704722354410865","0.926466972498385","1"
"Full-time","1984","Couple + C. LE and GT 16","higher education","44","0.793752355519445","0.690509716449008","0.896994994589882","1"
"Non-working","1984","1-pers.-HH","vocational + Abi","16","","","","5"
