"erwst","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Not Employed","(0) in school","","","",""
"Full-time","1984","Not Employed","(1a) inadequately completed","8","","",""
"Full-time","1984","Not Employed","(1b) general elementary school","23","","",""
"Full-time","1984","Not Employed","(1c) basic vocational qualification","33","0.018853240218184","0.0115874049275964","0.0261190755087716"
"Full-time","1984","Not Employed","(2b) intermediate general qualification","1","","",""
"Full-time","1984","Not Employed","(2a) intermediate vocational","7","","",""
"Full-time","1984","Not Employed","(2c_gen) general maturity certificate","4","","",""
"Full-time","1984","Not Employed","(2c_voc) vocational maturity certificate","10","","",""
"Full-time","1984","Not Employed","(3a) lower tertiary education","3","","",""
"Full-time","1984","Not Employed","(3b) higher tertiary education","8","","",""
"Full-time","1984","Employed","(0) in school","1","","",""
"Full-time","1984","Employed","(1a) inadequately completed","607","0.809821951570023","0.781096723943672","0.838547179196374"
"Full-time","1984","Employed","(1b) general elementary school","977","0.56710242265668","0.541910459337302","0.592294385976059"
"Full-time","1984","Employed","(1c) basic vocational qualification","2332","0.789296252631598","0.774512324808839","0.804080180454356"
"Full-time","1984","Employed","(2b) intermediate general qualification","67","0.286877028292175","0.229170866437096","0.344583190147255"
"Full-time","1984","Employed","(2a) intermediate vocational","751","0.76177936796515","0.735402785807335","0.788155950122964"
"Full-time","1984","Employed","(2c_gen) general maturity certificate","67","0.20302485958472","0.144744859596671","0.261304859572769"
"Full-time","1984","Employed","(2c_voc) vocational maturity certificate","254","0.755426564816703","0.708695338410145","0.802157791223262"
"Full-time","1984","Employed","(3a) lower tertiary education","178","0.859562240594525","0.812001153668475","0.907123327520575"
"Full-time","1984","Employed","(3b) higher tertiary education","348","0.800761765443241","0.762920625298963","0.838602905587519"
"Part-time","1984","Not Employed","(0) in school","1","","",""
"Part-time","1984","Not Employed","(1a) inadequately completed","","","",""
"Part-time","1984","Not Employed","(1b) general elementary school","3","","",""
"Part-time","1984","Not Employed","(1c) basic vocational qualification","7","","",""
"Part-time","1984","Not Employed","(2b) intermediate general qualification","","","",""
"Part-time","1984","Not Employed","(2a) intermediate vocational","3","","",""
"Part-time","1984","Not Employed","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1984","Not Employed","(3a) lower tertiary education","","","",""
"Part-time","1984","Not Employed","(3b) higher tertiary education","2","","",""
"Part-time","1984","Employed","(0) in school","1","","",""
"Part-time","1984","Employed","(1a) inadequately completed","28","","",""
"Part-time","1984","Employed","(1b) general elementary school","161","0.146704417129435","0.128715292518422","0.164693541740447"
"Part-time","1984","Employed","(1c) basic vocational qualification","226","0.0824862463272658","0.0725131332019844","0.0924593594525473"
"Part-time","1984","Employed","(2b) intermediate general qualification","17","","",""
"Part-time","1984","Employed","(2a) intermediate vocational","114","0.104306665343534","0.0853810533482283","0.123232277338839"
"Part-time","1984","Employed","(2c_gen) general maturity certificate","12","","",""
"Part-time","1984","Employed","(2c_voc) vocational maturity certificate","24","","",""
"Part-time","1984","Employed","(3a) lower tertiary education","12","","",""
"Part-time","1984","Employed","(3b) higher tertiary education","44","0.108437523151877","0.0789802940716869","0.137894752232067"
"Non-working","1984","Not Employed","(0) in school","177","0.996369180115318","0.987533284325319","1.00520507590532"
"Non-working","1984","Not Employed","(1a) inadequately completed","388","0.971085654592408","0.954623297928585","0.987548011256231"
"Non-working","1984","Not Employed","(1b) general elementary school","1481","0.980489558840899","0.973556907170598","0.987422210511201"
"Non-working","1984","Not Employed","(1c) basic vocational qualification","1296","0.972641141698151","0.963926473347733","0.981355810048569"
"Non-working","1984","Not Employed","(2b) intermediate general qualification","228","0.954634969850755","0.928361414768331","0.980908524933179"
"Non-working","1984","Not Employed","(2a) intermediate vocational","396","0.974650873750472","0.959417627156956","0.989884120343988"
"Non-working","1984","Not Employed","(2c_gen) general maturity certificate","215","0.929976952656569","0.897140162704642","0.962813742608496"
"Non-working","1984","Not Employed","(2c_voc) vocational maturity certificate","117","0.905045007824809","0.854844693905444","0.955245321744175"
"Non-working","1984","Not Employed","(3a) lower tertiary education","57","0.938416229585674","0.878088904942559","0.998743554228788"
"Non-working","1984","Not Employed","(3b) higher tertiary education","87","0.898341704881372","0.83881351378381","0.957869895978935"
"Non-working","1984","Employed","(0) in school","7","","",""
"Non-working","1984","Employed","(1a) inadequately completed","58","0.0966329252854679","0.0750065763770757","0.11825927419386"
"Non-working","1984","Employed","(1b) general elementary school","109","0.0817405091517425","0.0678108635104329","0.0956701547930522"
"Non-working","1984","Employed","(1c) basic vocational qualification","228","0.0830280701875314","0.0730252105230903","0.0930309298519724"
"Non-working","1984","Employed","(2b) intermediate general qualification","19","","",""
"Non-working","1984","Employed","(2a) intermediate vocational","67","0.0675798313715503","0.052037054529535","0.0831226082135656"
"Non-working","1984","Employed","(2c_gen) general maturity certificate","39","0.265878172082424","0.201868152955039","0.329888191209809"
"Non-working","1984","Employed","(2c_voc) vocational maturity certificate","34","0.12190852225213","0.0863377474528277","0.157479297051431"
"Non-working","1984","Employed","(3a) lower tertiary education","8","","",""
"Non-working","1984","Employed","(3b) higher tertiary education","18","","",""
"Other","1984","Not Employed","(0) in school","","","",""
"Other","1984","Not Employed","(1a) inadequately completed","2","","",""
"Other","1984","Not Employed","(1b) general elementary school","22","","",""
"Other","1984","Not Employed","(1c) basic vocational qualification","10","","",""
"Other","1984","Not Employed","(2b) intermediate general qualification","12","","",""
"Other","1984","Not Employed","(2a) intermediate vocational","3","","",""
"Other","1984","Not Employed","(2c_gen) general maturity certificate","13","","",""
"Other","1984","Not Employed","(2c_voc) vocational maturity certificate","3","","",""
"Other","1984","Not Employed","(3a) lower tertiary education","1","","",""
"Other","1984","Not Employed","(3b) higher tertiary education","2","","",""
"Other","1984","Employed","(0) in school","1","","",""
"Other","1984","Employed","(1a) inadequately completed","24","","",""
"Other","1984","Employed","(1b) general elementary school","239","0.204452651062142","0.183947259072282","0.224958043052003"
"Other","1984","Employed","(1c) basic vocational qualification","137","0.0451894308536052","0.0376591577368447","0.0527197039703656"
"Other","1984","Employed","(2b) intermediate general qualification","133","0.560197199137237","0.496869814636089","0.623524583638385"
"Other","1984","Employed","(2a) intermediate vocational","70","0.0663341353197662","0.0509249915585813","0.081743279080951"
"Other","1984","Employed","(2c_gen) general maturity certificate","65","0.458345352184889","0.386154827369896","0.530535876999883"
"Other","1984","Employed","(2c_voc) vocational maturity certificate","13","","",""
"Other","1984","Employed","(3a) lower tertiary education","7","","",""
"Other","1984","Employed","(3b) higher tertiary education","18","","",""
"Full-time","1985","Not Employed","(0) in school","","","",""
"Full-time","1985","Not Employed","(1a) inadequately completed","4","","",""
"Full-time","1985","Not Employed","(1b) general elementary school","25","","",""
"Full-time","1985","Not Employed","(1c) basic vocational qualification","26","","",""
"Full-time","1985","Not Employed","(2b) intermediate general qualification","5","","",""
"Full-time","1985","Not Employed","(2a) intermediate vocational","9","","",""
"Full-time","1985","Not Employed","(2c_gen) general maturity certificate","3","","",""
"Full-time","1985","Not Employed","(2c_voc) vocational maturity certificate","1","","",""
"Full-time","1985","Not Employed","(3a) lower tertiary education","2","","",""
"Full-time","1985","Not Employed","(3b) higher tertiary education","4","","",""
"Full-time","1985","Employed","(0) in school","","","",""
"Full-time","1985","Employed","(1a) inadequately completed","478","0.820593057241937","0.788728782698454","0.85245733178542"
"Full-time","1985","Employed","(1b) general elementary school","908","0.608497041357501","0.582176583371485","0.634817499343517"
"Full-time","1985","Employed","(1c) basic vocational qualification","2078","0.784849948684307","0.769103114102851","0.800596783265763"
