"erwst","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Schleswig-Holstein","no migration background","144","0.40999909871462","0.357873287530791","0.462124909898448"
"Full-time","1984","Schleswig-Holstein","direct migration background","25","","",""
"Full-time","1984","Schleswig-Holstein","indirect migration background","1","","",""
"Full-time","1984","Hamburg","no migration background","90","0.363933670215796","0.30035681052211","0.427510529909481"
"Full-time","1984","Hamburg","direct migration background","55","0.556841668373965","0.454212181234386","0.659471155513544"
"Full-time","1984","Hamburg","indirect migration background","","","",""
"Full-time","1984","Lower Saxony","no migration background","404","0.369319818394219","0.339803052697145","0.398836584091292"
"Full-time","1984","Lower Saxony","direct migration background","103","0.447062787551005","0.378499035366314","0.515626539735696"
"Full-time","1984","Lower Saxony","indirect migration background","2","","",""
"Full-time","1984","Bremen","no migration background","23","","",""
"Full-time","1984","Bremen","direct migration background","17","","",""
"Full-time","1984","Bremen","indirect migration background","","","",""
"Full-time","1984","North Rhine-Westphalia","no migration background","958","0.398009683732773","0.377882384677959","0.418136982787586"
"Full-time","1984","North Rhine-Westphalia","direct migration background","525","0.486587416021423","0.454937028801778","0.518237803241067"
"Full-time","1984","North Rhine-Westphalia","indirect migration background","10","","",""
"Full-time","1984","Hesse","no migration background","316","0.391902766006906","0.357354513320076","0.426451018693736"
"Full-time","1984","Hesse","direct migration background","278","0.520767691374308","0.4757469562997","0.565788426448917"
"Full-time","1984","Hesse","indirect migration background","1","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","no migration background","271","0.372625640125829","0.336705069963057","0.4085462102886"
"Full-time","1984","Rhineland-Palatinate,Saarland","direct migration background","97","0.577155656818249","0.49887776577668","0.655433547859818"
"Full-time","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"Full-time","1984","Baden-Württemberg","no migration background","603","0.422344157645746","0.395996073770978","0.448692241520514"
"Full-time","1984","Baden-Württemberg","direct migration background","567","0.589526778631594","0.557226711685152","0.621826845578037"
"Full-time","1984","Baden-Württemberg","indirect migration background","13","","",""
"Full-time","1984","Bavaria","no migration background","725","0.42229108887649","0.398253928676269","0.446328249076711"
"Full-time","1984","Bavaria","direct migration background","270","0.47841440321363","0.432715406414498","0.524113400012763"
"Full-time","1984","Bavaria","indirect migration background","7","","",""
"Full-time","1984","Berlin","no migration background","142","0.448690676430939","0.391644327174355","0.505737025687523"
"Full-time","1984","Berlin","direct migration background","74","0.630609759896769","0.543156055061417","0.718063464732122"
"Full-time","1984","Berlin","indirect migration background","","","",""
"Full-time","1984","Brandenburg","no migration background","","","",""
"Full-time","1984","Brandenburg","direct migration background","","","",""
"Full-time","1984","Brandenburg","indirect migration background","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Full-time","1984","Saxony","no migration background","","","",""
"Full-time","1984","Saxony","direct migration background","","","",""
"Full-time","1984","Saxony","indirect migration background","","","",""
"Full-time","1984","Saxony-Anhalt","no migration background","","","",""
"Full-time","1984","Saxony-Anhalt","direct migration background","","","",""
"Full-time","1984","Saxony-Anhalt","indirect migration background","","","",""
"Full-time","1984","Thuringia","no migration background","","","",""
"Full-time","1984","Thuringia","direct migration background","","","",""
"Full-time","1984","Thuringia","indirect migration background","","","",""
"Part-time","1984","Schleswig-Holstein","no migration background","30","0.0782994511580931","0.0498280185686082","0.106770883747578"
"Part-time","1984","Schleswig-Holstein","direct migration background","2","","",""
"Part-time","1984","Schleswig-Holstein","indirect migration background","","","",""
"Part-time","1984","Hamburg","no migration background","11","","",""
