"erwst","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","lower secondary degree","in school","","","",""
"Full-time","1984","lower secondary degree","inadequately","","","",""
"Full-time","1984","lower secondary degree","general elemantary","514","0.196220244177255","0.179861486563665","0.212579001790845"
"Full-time","1984","lower secondary degree","middle vocational","1829","0.488522430610605","0.472041931148598","0.505002930072612"
"Full-time","1984","lower secondary degree","vocational + Abi","5","","",""
"Full-time","1984","lower secondary degree","higher vocational","188","0.605829396991192","0.550253413898764","0.661405380083619"
"Full-time","1984","lower secondary degree","higher education","17","","",""
"Full-time","1984","secondary school degree","in school","","","",""
"Full-time","1984","secondary school degree","inadequately","","","",""
"Full-time","1984","secondary school degree","general elemantary","68","0.139553736616552","0.108456520442687","0.170650952790417"
"Full-time","1984","secondary school degree","middle vocational","641","0.515341208037903","0.487088418097095","0.543593997978711"
"Full-time","1984","secondary school degree","vocational + Abi","1","","",""
"Full-time","1984","secondary school degree","higher vocational","117","0.520912018407041","0.453506307988963","0.588317728825119"
"Full-time","1984","secondary school degree","higher education","48","0.671798877476089","0.560193967204774","0.783403787747404"
"Full-time","1984","college entrance qualification","in school","","","",""
"Full-time","1984","college entrance qualification","inadequately","","","",""
"Full-time","1984","college entrance qualification","general elemantary","","","",""
"Full-time","1984","college entrance qualification","middle vocational","19","","",""
"Full-time","1984","college entrance qualification","vocational + Abi","103","0.513356325316192","0.44425839128883","0.582454259343554"
"Full-time","1984","college entrance qualification","higher vocational","72","0.487161629062132","0.404365341125379","0.569957916998885"
"Full-time","1984","college entrance qualification","higher education","427","0.645183562391276","0.608086358701699","0.682280766080854"
"Full-time","1984","Other degree","in school","","","",""
"Full-time","1984","Other degree","inadequately","7","","",""
"Full-time","1984","Other degree","general elemantary","479","0.672884505056117","0.638780788695846","0.706988221416388"
"Full-time","1984","Other degree","middle vocational","397","0.733323177982254","0.695780536341923","0.770865819622585"
"Full-time","1984","Other degree","vocational + Abi","80","0.789908432754046","0.711236075301786","0.868580790206307"
"Full-time","1984","Other degree","higher vocational","6","","",""
"Full-time","1984","Other degree","higher education","44","0.750621864370718","0.640223693624452","0.861020035116984"
"Full-time","1984","no degree/no degree yet","in school","1","","",""
"Full-time","1984","no degree/no degree yet","inadequately","537","0.45619290860209","0.425244861515501","0.487140955688679"
"Full-time","1984","no degree/no degree yet","general elemantary","","","",""
"Full-time","1984","no degree/no degree yet","middle vocational","76","0.543537268246703","0.453665266796112","0.633409269697294"
"Full-time","1984","no degree/no degree yet","vocational + Abi","","","",""
"Full-time","1984","no degree/no degree yet","higher vocational","2","","",""
"Full-time","1984","no degree/no degree yet","higher education","1","","",""
"Part-time","1984","lower secondary degree","in school","","","",""
"Part-time","1984","lower secondary degree","inadequately","","","",""
"Part-time","1984","lower secondary degree","general elemantary","138","0.0579075950620625","0.0482865024437966","0.0675286876803285"
"Part-time","1984","lower secondary degree","middle vocational","210","0.0551167883010129","0.0475928394193354","0.0626407371826903"
"Part-time","1984","lower secondary degree","vocational + Abi","","","",""
"Part-time","1984","lower secondary degree","higher vocational","16","","",""
"Part-time","1984","lower secondary degree","higher education","","","",""
"Part-time","1984","secondary school degree","in school","","","",""
"Part-time","1984","secondary school degree","inadequately","","","",""
"Part-time","1984","secondary school degree","general elemantary","17","","",""
"Part-time","1984","secondary school degree","middle vocational","100","0.0708699604544119","0.0563633749186344","0.0853765459901894"
"Part-time","1984","secondary school degree","vocational + Abi","1","","",""
"Part-time","1984","secondary school degree","higher vocational","18","","",""
"Part-time","1984","secondary school degree","higher education","2","","",""
"Part-time","1984","college entrance qualification","in school","","","",""
"Part-time","1984","college entrance qualification","inadequately","","","",""
"Part-time","1984","college entrance qualification","general elemantary","","","",""
"Part-time","1984","college entrance qualification","middle vocational","8","","",""
"Part-time","1984","college entrance qualification","vocational + Abi","10","","",""
"Part-time","1984","college entrance qualification","higher vocational","10","","",""
"Part-time","1984","college entrance qualification","higher education","53","0.0829433122609215","0.0615594356215334","0.10432718890031"
"Part-time","1984","Other degree","in school","","","",""
"Part-time","1984","Other degree","inadequately","1","","",""
"Part-time","1984","Other degree","general elemantary","25","","",""
"Part-time","1984","Other degree","middle vocational","10","","",""
"Part-time","1984","Other degree","vocational + Abi","4","","",""
"Part-time","1984","Other degree","higher vocational","","","",""
"Part-time","1984","Other degree","higher education","3","","",""
"Part-time","1984","no degree/no degree yet","in school","1","","",""
"Part-time","1984","no degree/no degree yet","inadequately","27","","",""
"Part-time","1984","no degree/no degree yet","general elemantary","","","",""
"Part-time","1984","no degree/no degree yet","middle vocational","2","","",""
"Part-time","1984","no degree/no degree yet","vocational + Abi","","","",""
"Part-time","1984","no degree/no degree yet","higher vocational","","","",""
"Part-time","1984","no degree/no degree yet","higher education","","","",""
"Non-working","1984","lower secondary degree","in school","","","",""
"Non-working","1984","lower secondary degree","inadequately","","","",""
"Non-working","1984","lower secondary degree","general elemantary","1370","0.660339580187404","0.640831433369134","0.679847727005674"
"Non-working","1984","lower secondary degree","middle vocational","1363","0.425559792239499","0.40925866911057","0.441860915368428"
"Non-working","1984","lower secondary degree","vocational + Abi","1","","",""
"Non-working","1984","lower secondary degree","higher vocational","85","0.322630929605641","0.269464738594311","0.375797120616971"
"Non-working","1984","lower secondary degree","higher education","9","","",""
"Non-working","1984","secondary school degree","in school","","","",""
"Non-working","1984","secondary school degree","inadequately","","","",""
"Non-working","1984","secondary school degree","general elemantary","247","0.537424114251542","0.49267968520408","0.582168543299004"
