"erwst","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","16-34 y.","no migration background","1443","0.470537910631232","0.452995767875032","0.488080053387432","1"
"Full-time","1984","16-34 y.","direct migration background","706","0.494061802375988","0.467835035513008","0.520288569238967","1"
"Full-time","1984","16-34 y.","indirect migration background","26","","","","1"
"Full-time","1984","35-65 y.","no migration background","2217","0.502552771657934","0.487670548987764","0.517434994328105","1"
"Full-time","1984","35-65 y.","direct migration background","1305","0.573594925424505","0.55184427234794","0.595345578501071","1"
"Full-time","1984","35-65 y.","indirect migration background","8","","","","1"
"Full-time","1984","66 and older","no migration background","16","","","","1"
"Full-time","1984","66 and older","direct migration background","","","","","1"
"Full-time","1984","66 and older","indirect migration background","1","","","","1"
"Non-working","1984","16-34 y.","direct migration background","528","0.395736201928001","0.370084182475189","0.421388221380814","5"
"Non-working","1984","16-34 y.","indirect migration background","49","0.45422409765285","0.357598928161225","0.550849267144475","5"
"Non-working","1984","66 and older","no migration background","1192","0.964961041039646","0.954726514996231","0.975195567083061","5"
"Non-working","1984","16-34 y.","no migration background","1096","0.348450052209675","0.331704016204748","0.365196088214603","5"
"Non-working","1984","35-65 y.","direct migration background","565","0.333499463884051","0.31276435641966","0.354234571348441","5"
"Non-working","1984","35-65 y.","indirect migration background","7","","","","5"
"Non-working","1984","35-65 y.","no migration background","1593","0.381860211569002","0.367399188855247","0.396321234282757","5"
"Non-working","1984","66 and older","direct migration background","34","0.998926960068532","0.98808047861461","1.00977344152245","5"
"Non-working","1984","66 and older","indirect migration background","4","","","","5"
"Other","1984","16-34 y.","no migration background","424","0.137796073595172","0.125681969085445","0.149910178104899","6"
"Other","1984","16-34 y.","indirect migration background","26","","","","6"
"Other","1984","35-65 y.","no migration background","156","0.0350517546487874","0.0295776846550507","0.040525824642524","6"
"Other","1984","35-65 y.","direct migration background","30","0.020596895268438","0.0143503471829982","0.0268434433538778","6"
"Other","1984","16-34 y.","direct migration background","122","0.0755442188773578","0.061681479109859","0.0894069586448567","6"
"Other","1984","35-65 y.","indirect migration background","1","","","","6"
"Other","1984","66 and older","no migration background","21","","","","6"
"Other","1984","66 and older","direct migration background","","","","","6"
"Other","1984","66 and older","indirect migration background","","","","","6"
"Part-time","1984","16-34 y.","direct migration background","40","0.0346577768186532","0.025062745793209","0.0442528078440974","2"
"Part-time","1984","16-34 y.","no migration background","147","0.043215963563921","0.0360694049965581","0.0503625221312838","2"
"Part-time","1984","16-34 y.","indirect migration background","1","","","","2"
"Part-time","1984","35-65 y.","direct migration background","86","0.0723087154230063","0.060917881227116","0.0836995496188966","2"
"Part-time","1984","35-65 y.","indirect migration background","5","","","","2"
"Part-time","1984","66 and older","no migration background","11","","","","2"
"Part-time","1984","66 and older","direct migration background","1","","","","2"
"Part-time","1984","66 and older","indirect migration background","","","","","2"
"Part-time","1984","35-65 y.","no migration background","370","0.0805352621242765","0.0724356535449005","0.0886348707036525","2"
"Full-time","1985","16-34 y.","no migration background","1443","0.506875159458557","0.488707240893945","0.525043078023168","1"
"Full-time","1985","16-34 y.","direct migration background","607","0.53381784370457","0.50502345892211","0.56261222848703","1"
"Full-time","1985","16-34 y.","indirect migration background","34","0.421026282538202","0.333055301681508","0.508997263394896","1"
"Full-time","1985","35-65 y.","no migration background","2020","0.494303495970667","0.478834742152515","0.509772249788819","1"
"Full-time","1985","35-65 y.","direct migration background","1129","0.54852694509024","0.525244722795983","0.571809167384497","1"
"Full-time","1985","35-65 y.","indirect migration background","5","","","","1"
"Full-time","1985","66 and older","no migration background","17","","","","1"
"Full-time","1985","66 and older","direct migration background","","","","","1"
"Full-time","1985","66 and older","indirect migration background","1","","","","1"
"Non-working","1985","16-34 y.","direct migration background","424","0.348742452663528","0.321234249017094","0.376250656309962","5"
"Non-working","1985","16-34 y.","indirect migration background","64","0.39902866440468","0.311774867999571","0.486282460809789","5"
"Non-working","1985","35-65 y.","indirect migration background","9","","","","5"
"Non-working","1985","66 and older","no migration background","1030","0.964217086671424","0.953118511823439","0.97531566151941","5"
"Non-working","1985","35-65 y.","direct migration background","525","0.367168471093505","0.34461640813012","0.38972053405689","5"
"Non-working","1985","16-34 y.","no migration background","1005","0.336807132798633","0.31963252636018","0.353981739237087","5"
"Non-working","1985","35-65 y.","no migration background","1461","0.379491191398943","0.364477470558239","0.394504912239647","5"
"Non-working","1985","66 and older","direct migration background","36","0.998927322114995","0.988379839009025","1.00947480522097","5"
"Non-working","1985","66 and older","indirect migration background","4","","","","5"
"Other","1985","16-34 y.","no migration background","289","0.101295635250052","0.0903313576673638","0.11225991283274","6"
"Other","1985","16-34 y.","indirect migration background","19","","","","6"
"Other","1985","35-65 y.","no migration background","101","0.023972103579829","0.019239526465327","0.028704680694331","6"
"Other","1985","35-65 y.","direct migration background","13","","","","6"
"Other","1985","16-34 y.","direct migration background","81","0.0781106426937894","0.0626214799239881","0.0935998054635907","6"
"Other","1985","35-65 y.","indirect migration background","1","","","","6"
"Other","1985","66 and older","no migration background","14","","","","6"
"Other","1985","66 and older","direct migration background","","","","","6"
"Other","1985","66 and older","indirect migration background","","","","","6"
"Part-time","1985","16-34 y.","direct migration background","41","0.0393290609381129","0.0281094563233576","0.0505486655528683","2"
"Part-time","1985","16-34 y.","no migration background","172","0.0550220724927585","0.0467358701348403","0.0633082748506768","2"
"Part-time","1985","16-34 y.","indirect migration background","4","","","","2"
"Part-time","1985","35-65 y.","direct migration background","88","0.0730047615709818","0.0608338284563557","0.085175694685608","2"
"Part-time","1985","35-65 y.","indirect migration background","3","","","","2"
"Part-time","1985","66 and older","no migration background","15","","","","2"
"Part-time","1985","66 and older","direct migration background","1","","","","2"
"Part-time","1985","66 and older","indirect migration background","","","","","2"
"Part-time","1985","35-65 y.","no migration background","431","0.102233209050561","0.0928599358378936","0.111606482263228","2"
"Full-time","1986","16-34 y.","no migration background","1412","0.50796035103438","0.489638049262698","0.526282652806061","1"
"Full-time","1986","16-34 y.","direct migration background","559","0.503479803126422","0.474039810483456","0.532919795769387","1"
"Full-time","1986","16-34 y.","indirect migration background","42","0.430772447186611","0.345650150992379","0.515894743380842","1"
"Full-time","1986","35-65 y.","no migration background","1915","0.499643672327566","0.483700049631786","0.515587295023345","1"
"Full-time","1986","35-65 y.","direct migration background","1084","0.55579191763039","0.532158387890995","0.579425447369785","1"
"Full-time","1986","35-65 y.","indirect migration background","8","","","","1"
"Full-time","1986","66 and older","no migration background","10","","","","1"
"Full-time","1986","66 and older","direct migration background","","","","","1"
"Full-time","1986","66 and older","indirect migration background","","","","","1"
"Non-working","1986","16-34 y.","no migration background","954","0.318810817923942","0.301731698693594","0.33588993715429","5"
"Non-working","1986","16-34 y.","direct migration background","414","0.361082147095561","0.332800563039616","0.389363731151507","5"
"Non-working","1986","35-65 y.","indirect migration background","8","","","","5"
"Non-working","1986","35-65 y.","direct migration background","508","0.355483658732058","0.332716646792731","0.378250670671384","5"
"Non-working","1986","16-34 y.","indirect migration background","53","0.36458429238316","0.281846416909965","0.447322167856355","5"
"Non-working","1986","66 and older","no migration background","963","0.973436599967985","0.96343500798059","0.98343819195538","5"
"Non-working","1986","66 and older","direct migration background","50","1","1","1","5"
"Non-working","1986","66 and older","indirect migration background","4","","","","5"
"Non-working","1986","35-65 y.","no migration background","1384","0.382640837460597","0.3671426209941","0.398139053927094","5"
"Other","1986","16-34 y.","no migration background","336","0.119326593393417","0.107445917819204","0.131207268967629","6"
"Other","1986","35-65 y.","direct migration background","28","","","","6"
"Other","1986","16-34 y.","indirect migration background","29","","","","6"
"Other","1986","35-65 y.","no migration background","134","0.0334682091780831","0.0277331035217915","0.0392033148343748","6"
"Other","1986","16-34 y.","direct migration background","95","0.0898803830523376","0.0730396921103293","0.106721073994346","6"
"Other","1986","35-65 y.","indirect migration background","","","","","6"
"Other","1986","66 and older","no migration background","11","","","","6"
"Other","1986","66 and older","direct migration background","","","","","6"
"Other","1986","66 and older","indirect migration background","","","","","6"
"Part-time","1986","16-34 y.","direct migration background","40","0.0455576667256795","0.0332794924252746","0.0578358410260844","2"
"Part-time","1986","35-65 y.","indirect migration background","6","","","","2"
"Part-time","1986","66 and older","direct migration background","","","","","2"
"Part-time","1986","16-34 y.","no migration background","158","0.0539022376482619","0.0456259327939545","0.0621785425025693","2"
"Part-time","1986","35-65 y.","direct migration background","78","0.0663894709191423","0.0545478345053203","0.0782311073329644","2"
"Part-time","1986","16-34 y.","indirect migration background","6","","","","2"
"Part-time","1986","66 and older","indirect migration background","","","","","2"
"Part-time","1986","35-65 y.","no migration background","345","0.0842472810337544","0.0753903315147664","0.0931042305527423","2"
"Part-time","1986","66 and older","no migration background","9","","","","2"
"Full-time","1987","16-34 y.","no migration background","1367","0.510330031800867","0.491870020381996","0.528790043219738","1"
"Full-time","1987","16-34 y.","direct migration background","548","0.526180840821269","0.496401845779268","0.55595983586327","1"
"Full-time","1987","16-34 y.","indirect migration background","46","0.388102602301487","0.309325136808755","0.466880067794219","1"
"Full-time","1987","35-65 y.","no migration background","1905","0.514881144921266","0.498665331798704","0.531096958043828","1"
"Full-time","1987","35-65 y.","direct migration background","1068","0.552263989489325","0.528667741427901","0.57586023755075","1"
"Full-time","1987","35-65 y.","indirect migration background","9","","","","1"
"Full-time","1987","66 and older","no migration background","14","","","","1"
"Full-time","1987","66 and older","direct migration background","","","","","1"
"Full-time","1987","66 and older","indirect migration background","","","","","1"
"Non-working","1987","16-34 y.","direct migration background","387","0.338995053870275","0.310763469691308","0.367226638049243","5"
"Non-working","1987","16-34 y.","no migration background","903","0.300736902867815","0.283802560584232","0.317671245151399","5"
"Non-working","1987","35-65 y.","direct migration background","528","0.356180545074775","0.33345701901382","0.37890407113573","5"
"Non-working","1987","35-65 y.","indirect migration background","11","","","","5"
"Non-working","1987","16-34 y.","indirect migration background","70","0.452290647837758","0.371831893260162","0.532749402415355","5"
"Non-working","1987","35-65 y.","no migration background","1265","0.360653001085651","0.345072757257692","0.37623324491361","5"
"Non-working","1987","66 and older","no migration background","991","0.973267243380922","0.963392539432425","0.983141947329418","5"
"Non-working","1987","66 and older","direct migration background","54","0.978924279537901","0.941304188479212","1.01654437059659","5"
"Non-working","1987","66 and older","indirect migration background","4","","","","5"
"Other","1987","16-34 y.","no migration background","391","0.132048084531535","0.119546399490515","0.144549769572555","6"
"Other","1987","16-34 y.","indirect migration background","28","","","","6"
"Other","1987","35-65 y.","no migration background","93","0.0248089980813385","0.0197622617575724","0.0298557344051047","6"
"Other","1987","35-65 y.","direct migration background","20","","","","6"
"Other","1987","16-34 y.","direct migration background","107","0.095529408157846","0.0779985981852594","0.113060218130433","6"
"Other","1987","35-65 y.","indirect migration background","1","","","","6"
"Other","1987","66 and older","no migration background","10","","","","6"
"Other","1987","66 and older","direct migration background","1","","","","6"
"Other","1987","66 and older","indirect migration background","","","","","6"
"Part-time","1987","16-34 y.","no migration background","156","0.0568849807997826","0.0483316394177447","0.0654383221818204","2"
"Part-time","1987","16-34 y.","direct migration background","38","0.0392946971506098","0.0277069694761924","0.0508824248250271","2"
"Part-time","1987","35-65 y.","direct migration background","90","0.0750700207325107","0.0625660982213938","0.0875739432436276","2"
"Part-time","1987","35-65 y.","indirect migration background","5","","","","2"
"Part-time","1987","66 and older","direct migration background","1","","","","2"
"Part-time","1987","66 and older","indirect migration background","","","","","2"
"Part-time","1987","16-34 y.","indirect migration background","3","","","","2"
"Part-time","1987","35-65 y.","no migration background","386","0.0996568559117443","0.08993791859775","0.109375793225739","2"
"Part-time","1987","66 and older","no migration background","10","","","","2"
"Full-time","1988","16-34 y.","no migration background","1266","0.504844992059821","0.485751304140427","0.523938679979215","1"
"Full-time","1988","16-34 y.","direct migration background","519","0.53711504881313","0.506575100069737","0.567654997556522","1"
"Full-time","1988","16-34 y.","indirect migration background","60","0.311391983924926","0.246398392404387","0.376385575445466","1"
"Full-time","1988","35-65 y.","no migration background","1837","0.522146475591964","0.505564816891191","0.538728134292737","1"
"Full-time","1988","35-65 y.","direct migration background","963","0.532597292835745","0.508165129438936","0.557029456232554","1"
"Full-time","1988","35-65 y.","indirect migration background","9","","","","1"
"Full-time","1988","66 and older","no migration background","15","","","","1"
"Full-time","1988","66 and older","direct migration background","","","","","1"
"Full-time","1988","66 and older","indirect migration background","","","","","1"
"Non-working","1988","16-34 y.","direct migration background","354","0.333768210656946","0.304885810974961","0.36265061033893","5"
"Non-working","1988","35-65 y.","indirect migration background","9","","","","5"
"Non-working","1988","35-65 y.","direct migration background","526","0.372379092228504","0.348705826067948","0.39605235838906","5"
"Non-working","1988","16-34 y.","no migration background","850","0.311163980772478","0.293483552150943","0.328844409394013","5"
"Non-working","1988","16-34 y.","indirect migration background","90","0.470229833574053","0.400176368164855","0.54028329898325","5"
"Non-working","1988","35-65 y.","no migration background","1185","0.351860876409954","0.336008148396895","0.367713604423013","5"
"Non-working","1988","66 and older","no migration background","953","0.971467584890973","0.961080996087669","0.981854173694277","5"
"Non-working","1988","66 and older","direct migration background","62","0.983854480564348","0.952732354248387","1.01497660688031","5"
"Non-working","1988","66 and older","indirect migration background","4","","","","5"
"Other","1988","16-34 y.","no migration background","380","0.131413444115132","0.118511158368394","0.144315729861871","6"
"Other","1988","16-34 y.","indirect migration background","40","0.159930834735203","0.108484503517519","0.211377165952888","6"
"Other","1988","35-65 y.","no migration background","76","0.0214746275193249","0.0166625427967819","0.0262867122418679","6"
"Other","1988","35-65 y.","direct migration background","23","","","","6"
"Other","1988","16-34 y.","direct migration background","108","0.0866765034643785","0.0694434942676604","0.103909512661096","6"
"Other","1988","35-65 y.","indirect migration background","2","","","","6"
"Other","1988","66 and older","no migration background","9","","","","6"
"Other","1988","66 and older","direct migration background","","","","","6"
"Other","1988","66 and older","indirect migration background","","","","","6"
"Part-time","1988","16-34 y.","direct migration background","43","0.0424402370655465","0.0300929951407466","0.0547874789903463","2"
