"erwst","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","1-pers.-HH","no migration background","383","0.293554424093373","0.26653230612948","0.320576542057267"
"Full-time","1984","1-pers.-HH","direct migration background","174","0.594701994535472","0.532329007440614","0.657074981630331"
"Full-time","1984","1-pers.-HH","indirect migration background","1","","",""
"Full-time","1984","(Married) couple without C. ","no migration background","891","0.35924417364991","0.339335631704908","0.379152715594911"
"Full-time","1984","(Married) couple without C. ","direct migration background","298","0.50530710625704","0.459815147204428","0.550799065309653"
"Full-time","1984","(Married) couple without C. ","indirect migration background","4","","",""
"Full-time","1984","Single parent ","no migration background","158","0.358852469749455","0.314185840018623","0.403519099480287"
"Full-time","1984","Single parent ","direct migration background","76","0.531836446185468","0.445393222457844","0.618279669913092"
"Full-time","1984","Single parent ","indirect migration background","6","","",""
"Full-time","1984","Couple + C. LE 16 ","no migration background","991","0.541501593838826","0.518911802201648","0.564091385476003"
"Full-time","1984","Couple + C. LE 16 ","direct migration background","728","0.550449514615826","0.522221791345339","0.578677237886313"
"Full-time","1984","Couple + C. LE 16 ","indirect migration background","7","","",""
"Full-time","1984","Couple + C. GT 16 ","no migration background","633","0.431649540510035","0.406320954691867","0.456978126328203"
"Full-time","1984","Couple + C. GT 16 ","direct migration background","272","0.47822754805249","0.433446731279116","0.523008364825864"
"Full-time","1984","Couple + C. GT 16 ","indirect migration background","12","","",""
"Full-time","1984","Couple + C. LE and GT 16","no migration background","433","0.434883164011464","0.404249106661574","0.465517221361354"
"Full-time","1984","Couple + C. LE and GT 16","direct migration background","338","0.489524348469981","0.451952003620977","0.527096693318985"
"Full-time","1984","Couple + C. LE and GT 16","indirect migration background","5","","",""
"Part-time","1984","1-pers.-HH","no migration background","24","","",""
"Part-time","1984","1-pers.-HH","direct migration background","3","","",""
"Part-time","1984","1-pers.-HH","indirect migration background","1","","",""
"Part-time","1984","(Married) couple without C. ","no migration background","109","0.0461272914554964","0.0374232190607894","0.0548313638502035"
"Part-time","1984","(Married) couple without C. ","direct migration background","17","","",""
"Part-time","1984","(Married) couple without C. ","indirect migration background","","","",""
"Part-time","1984","Single parent ","no migration background","31","0.0704087044292141","0.0465852119446234","0.0942321969138048"
"Part-time","1984","Single parent ","direct migration background","3","","",""
"Part-time","1984","Single parent ","indirect migration background","","","",""
"Part-time","1984","Couple + C. LE 16 ","no migration background","178","0.090242106181295","0.077252051834437","0.103232160528153"
"Part-time","1984","Couple + C. LE 16 ","direct migration background","53","0.0688657550537771","0.0544964529503218","0.0832350571572323"
"Part-time","1984","Couple + C. LE 16 ","indirect migration background","3","","",""
"Part-time","1984","Couple + C. GT 16 ","no migration background","98","0.0626722396175664","0.0502779813895654","0.0750664978455675"
"Part-time","1984","Couple + C. GT 16 ","direct migration background","17","","",""
"Part-time","1984","Couple + C. GT 16 ","indirect migration background","1","","",""
