"erwst","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1985","1-pers.-HH","Urban Area","442","0.344851750693012","0.315421074517284","0.374282426868739","1"
"Full-time","1985","1-pers.-HH","Rural Area","68","0.266977161895971","0.202170838392921","0.331783485399022","1"
"Full-time","1985","(Married) couple without C. ","Urban Area","884","0.392466183992353","0.370715057000772","0.414217310983933","1"
"Full-time","1985","(Married) couple without C. ","Rural Area","195","0.321973430528613","0.280978402093095","0.362968458964132","1"
"Full-time","1985","Single parent ","Urban Area","193","0.419396361870164","0.372809692575798","0.465983031164529","1"
"Full-time","1985","Single parent ","Rural Area","49","0.378725035293756","0.290070061678662","0.467380008908851","1"
"Full-time","1985","Couple + C. LE 16 ","Urban Area","1188","0.536623399312499","0.515471420441081","0.557775378183917","1"
"Full-time","1985","Couple + C. LE 16 ","Rural Area","289","0.495237722328473","0.453338618665169","0.537136825991778","1"
"Full-time","1985","Couple + C. GT 16 ","Urban Area","773","0.442355271228021","0.418339656189917","0.466370886266125","1"
"Full-time","1985","Couple + C. GT 16 ","Rural Area","192","0.474588694878235","0.424773384609199","0.52440400514727","1"
"Full-time","1985","Couple + C. LE and GT 16","Urban Area","539","0.443181216003594","0.414594339363986","0.471768092643202","1"
"Full-time","1985","Couple + C. LE and GT 16","Rural Area","158","0.473197188280207","0.419571720438306","0.526822656122109","1"
"Non-working","1985","Couple + C. LE 16 ","Rural Area","167","0.3091320371264","0.270404135834055","0.347859938418746","5"
"Non-working","1985","1-pers.-HH","Urban Area","499","0.59565976883413","0.565272837666862","0.626046700001399","5"
"Non-working","1985","1-pers.-HH","Rural Area","104","0.701532537114852","0.634498715136335","0.768566359093368","5"
"Non-working","1985","(Married) couple without C. ","Rural Area","274","0.617605436841682","0.574966219162242","0.660244654521122","5"
"Non-working","1985","Couple + C. LE 16 ","Urban Area","689","0.324891288699265","0.30502553527278","0.34475704212575","5"
"Non-working","1985","(Married) couple without C. ","Urban Area","902","0.531611054776813","0.509383292957236","0.55383881659639","5"
"Non-working","1985","Single parent ","Urban Area","185","0.449794948858403","0.402829440285825","0.496760457430981","5"
"Non-working","1985","Single parent ","Rural Area","45","0.427507008157167","0.33708880391647","0.517925212397864","5"
"Non-working","1985","Couple + C. GT 16 ","Rural Area","149","0.404094200906267","0.355140610072707","0.453047791739828","5"
"Non-working","1985","Couple + C. LE and GT 16","Urban Area","451","0.380060325283942","0.352127164588327","0.407993485979556","5"
"Non-working","1985","Couple + C. LE and GT 16","Rural Area","128","0.377510940864334","0.325444653985846","0.429577227742821","5"
"Non-working","1985","Couple + C. GT 16 ","Urban Area","603","0.384211271572511","0.360691655525969","0.407730887619052","5"
"Other","1985","1-pers.-HH","Urban Area","31","0.0326126063643197","0.0216147714491033","0.043610441279536","6"
"Other","1985","1-pers.-HH","Rural Area","4","","","","6"
"Other","1985","(Married) couple without C. ","Urban Area","23","","","","6"
"Other","1985","(Married) couple without C. ","Rural Area","8","","","","6"
"Other","1985","Single parent ","Urban Area","28","","","","6"
"Other","1985","Single parent ","Rural Area","9","","","","6"
"Other","1985","Couple + C. LE 16 ","Urban Area","65","0.0368397068136045","0.0288495276226756","0.0448298860045333","6"
"Other","1985","Couple + C. LE 16 ","Rural Area","22","","","","6"
"Other","1985","Couple + C. GT 16 ","Urban Area","137","0.0862522897262301","0.0726776667373338","0.0998269127151264","6"
"Other","1985","Couple + C. GT 16 ","Rural Area","22","","","","6"
"Other","1985","Couple + C. LE and GT 16","Urban Area","102","0.104907623820071","0.0872733918027768","0.122541855837365","6"
"Other","1985","Couple + C. LE and GT 16","Rural Area","31","0.103005142484203","0.0703576068568146","0.135652678111592","6"
"Part-time","1985","1-pers.-HH","Rural Area","3","","","","2"
"Part-time","1985","(Married) couple without C. ","Urban Area","127","0.0648099915430935","0.0538435348979779","0.075776448188209","2"
"Part-time","1985","1-pers.-HH","Urban Area","30","0.0268758741085384","0.0168625182812075","0.0368892299358694","2"
"Part-time","1985","(Married) couple without C. ","Rural Area","22","","","","2"
"Part-time","1985","Couple + C. LE 16 ","Rural Area","69","0.150038543254754","0.120112075248783","0.179965011260724","2"
"Part-time","1985","Single parent ","Urban Area","25","","","","2"
"Part-time","1985","Single parent ","Rural Area","12","","","","2"
"Part-time","1985","Couple + C. LE 16 ","Urban Area","193","0.101645605174632","0.0888276926726459","0.114463517676618","2"
"Part-time","1985","Couple + C. GT 16 ","Urban Area","130","0.0871811674732385","0.0735405840711826","0.100821750875294","2"
"Part-time","1985","Couple + C. GT 16 ","Rural Area","23","","","","2"
"Part-time","1985","Couple + C. LE and GT 16","Urban Area","68","0.0718508348923939","0.0569899765278254","0.0867116932569624","2"
