"erwst","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","Schleswig-Holstein","1-pers.-HH","28","","","","1"
"Full-time","1984","Schleswig-Holstein","(Married) couple without C. ","33","0.340257301441156","0.241265830437524","0.439248772444787","1"
"Full-time","1984","Schleswig-Holstein","Single parent ","9","","","","1"
"Full-time","1984","Schleswig-Holstein","Couple + C. LE 16 ","49","0.489481324778879","0.391011225925212","0.587951423632545","1"
"Full-time","1984","Schleswig-Holstein","Couple + C. GT 16 ","25","","","","1"
"Full-time","1984","Schleswig-Holstein","Couple + C. LE and GT 16","18","","","","1"
"Full-time","1984","Hamburg","1-pers.-HH","21","","","","1"
"Full-time","1984","Hamburg","(Married) couple without C. ","40","0.332312531180709","0.236059558915874","0.428565503445544","1"
"Full-time","1984","Hamburg","Single parent ","6","","","","1"
"Full-time","1984","Hamburg","Couple + C. LE 16 ","39","0.617518219559607","0.498452053902226","0.736584385216989","1"
"Full-time","1984","Hamburg","Couple + C. GT 16 ","10","","","","1"
"Full-time","1984","Hamburg","Couple + C. LE and GT 16","23","","","","1"
"Full-time","1984","Lower Saxony","1-pers.-HH","46","0.262194339444646","0.183170658119556","0.341218020769737","1"
"Full-time","1984","Lower Saxony","(Married) couple without C. ","107","0.323724253747378","0.269017057659641","0.378431449835115","1"
"Full-time","1984","Lower Saxony","Single parent ","13","","","","1"
"Full-time","1984","Lower Saxony","Couple + C. LE 16 ","152","0.539147342539663","0.481377676493736","0.596917008585589","1"
"Full-time","1984","Lower Saxony","Couple + C. GT 16 ","102","0.464828098153377","0.399070674064782","0.530585522241972","1"
"Full-time","1984","Lower Saxony","Couple + C. LE and GT 16","55","0.380138838560587","0.301668096739184","0.45860958038199","1"
"Full-time","1984","Bremen","1-pers.-HH","4","","","","1"
"Full-time","1984","Bremen","(Married) couple without C. ","8","","","","1"
"Full-time","1984","Bremen","Single parent ","1","","","","1"
"Full-time","1984","Bremen","Couple + C. LE 16 ","15","","","","1"
"Full-time","1984","Bremen","Couple + C. GT 16 ","5","","","","1"
"Full-time","1984","Bremen","Couple + C. LE and GT 16","5","","","","1"
"Full-time","1984","North Rhine-Westphalia","1-pers.-HH","158","0.322442634322327","0.275323049318797","0.369562219325858","1"
"Full-time","1984","North Rhine-Westphalia","(Married) couple without C. ","348","0.420524328602558","0.3843156936987","0.456732963506415","1"
"Full-time","1984","North Rhine-Westphalia","Single parent ","56","0.342937624213777","0.266718171846513","0.41915707658104","1"
"Full-time","1984","North Rhine-Westphalia","Couple + C. LE 16 ","461","0.525283946397215","0.49189017017787","0.55867772261656","1"
"Full-time","1984","North Rhine-Westphalia","Couple + C. GT 16 ","216","0.39239404873549","0.350016559868591","0.434771537602389","1"
"Full-time","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","197","0.388002388404286","0.344944016677023","0.431060760131548","1"
"Full-time","1984","Hesse","1-pers.-HH","55","0.333663837352578","0.251332706576367","0.41599496812879","1"
"Full-time","1984","Hesse","(Married) couple without C. ","131","0.371966040286831","0.315950531601842","0.427981548971821","1"
"Full-time","1984","Hesse","Single parent ","17","","","","1"
"Full-time","1984","Hesse","Couple + C. LE 16 ","161","0.5272490914313","0.470277127701216","0.584221055161385","1"
"Full-time","1984","Hesse","Couple + C. GT 16 ","111","0.431891024331727","0.367875237525628","0.495906811137826","1"
"Full-time","1984","Hesse","Couple + C. LE and GT 16","75","0.460873715269464","0.385045598529126","0.536701832009802","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","23","","","","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","77","0.338851443917237","0.273900240140504","0.40380264769397","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Single parent ","24","","","","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","88","0.48626468126164","0.411351867241019","0.56117749528226","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","66","0.404118465547405","0.32686525213764","0.48137167895717","1"
"Full-time","1984","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","60","0.448202649429686","0.358851195143315","0.537554103716058","1"
"Full-time","1984","Baden-Württemberg","1-pers.-HH","104","0.320494869161385","0.258968843117405","0.382020895205365","1"
"Full-time","1984","Baden-Württemberg","(Married) couple without C. ","195","0.387866733310149","0.340528162325225","0.435205304295072","1"
"Full-time","1984","Baden-Württemberg","Single parent ","54","0.432652238064757","0.342101223397545","0.52320325273197","1"
"Full-time","1984","Baden-Württemberg","Couple + C. LE 16 ","383","0.533903335912331","0.495612609300323","0.572194062524339","1"
"Full-time","1984","Baden-Württemberg","Couple + C. GT 16 ","213","0.497038588399975","0.447731208005523","0.546345968794427","1"
"Full-time","1984","Baden-Württemberg","Couple + C. LE and GT 16","165","0.476589046468107","0.423343514214166","0.529834578722047","1"
"Full-time","1984","Bavaria","1-pers.-HH","86","0.324074301930076","0.259849202760447","0.388299401099704","1"
"Full-time","1984","Bavaria","(Married) couple without C. ","203","0.341280006638991","0.2990392920951","0.383520721182882","1"
"Full-time","1984","Bavaria","Single parent ","46","0.446864435451663","0.34688976626033","0.546839104642996","1"
"Full-time","1984","Bavaria","Couple + C. LE 16 ","314","0.576857642676537","0.535187135422767","0.618528149930307","1"
"Full-time","1984","Bavaria","Couple + C. GT 16 ","150","0.453777415606852","0.399898675187191","0.507656156026513","1"
"Full-time","1984","Bavaria","Couple + C. LE and GT 16","158","0.48090117097616","0.426747592945857","0.535054749006462","1"
"Full-time","1984","Berlin","1-pers.-HH","33","0.371894462027151","0.261024773394025","0.482764150660276","1"
"Full-time","1984","Berlin","(Married) couple without C. ","51","0.456966517257041","0.361227951864006","0.552705082650075","1"
"Full-time","1984","Berlin","Single parent ","14","","","","1"
"Full-time","1984","Berlin","Couple + C. LE 16 ","64","0.688203254577522","0.593547215510137","0.782859293644908","1"
"Full-time","1984","Berlin","Couple + C. GT 16 ","19","","","","1"
"Full-time","1984","Berlin","Couple + C. LE and GT 16","20","","","","1"
