"erwst","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Not Employed","lower secondary degree","48","0.014034748753696","0.00953642012006345","0.0185330773873285"
"Full-time","1984","Not Employed","secondary school degree","8","","",""
"Full-time","1984","Not Employed","college entrance qualification","21","","",""
"Full-time","1984","Not Employed","Other degree","12","","",""
"Full-time","1984","Not Employed","no degree/no degree yet","8","","",""
"Full-time","1984","Employed","lower secondary degree","2505","0.722247779449773","0.707409417985862","0.737086140913685"
"Full-time","1984","Employed","secondary school degree","867","0.683044395578226","0.65770262874861","0.708386162407842"
"Full-time","1984","Employed","college entrance qualification","600","0.699701740378461","0.669065762299864","0.730337718457059"
"Full-time","1984","Employed","Other degree","1001","0.879229346549501","0.8602467038489","0.898211989250102"
"Full-time","1984","Employed","no degree/no degree yet","609","0.766705050389152","0.735983068273594","0.79742703250471"
"Part-time","1984","Not Employed","lower secondary degree","10","","",""
"Part-time","1984","Not Employed","secondary school degree","3","","",""
"Part-time","1984","Not Employed","college entrance qualification","3","","",""
"Part-time","1984","Not Employed","Other degree","","","",""
"Part-time","1984","Not Employed","no degree/no degree yet","1","","",""
"Part-time","1984","Employed","lower secondary degree","354","0.103248324261207","0.0931676014499095","0.113329047072505"
"Part-time","1984","Employed","secondary school degree","135","0.0958918691079916","0.0798551956441768","0.111928542571806"
"Part-time","1984","Employed","college entrance qualification","78","0.0912226937747566","0.0719794160208197","0.110465971528694"
"Part-time","1984","Employed","Other degree","43","0.0316687871329455","0.0214675566841278","0.0418700175817633"
"Part-time","1984","Employed","no degree/no degree yet","29","","",""
"Non-working","1984","Not Employed","lower secondary degree","2539","0.976799554392792","0.971042916073862","0.982556192711721"
"Non-working","1984","Not Employed","secondary school degree","639","0.968681623624504","0.955443469945946","0.981919777303062"
"Non-working","1984","Not Employed","college entrance qualification","394","0.914103187441387","0.887770838686394","0.940435536196379"
"Non-working","1984","Not Employed","Other degree","305","0.95499114608223","0.932311084752099","0.977671207412361"
"Non-working","1984","Not Employed","no degree/no degree yet","565","0.985846793250903","0.976200310572708","0.995493275929098"
"Non-working","1984","Employed","lower secondary degree","289","0.0836896271908709","0.0745153641709581","0.0928638902107836"
"Non-working","1984","Employed","secondary school degree","87","0.0674679523991755","0.0538065949549469","0.081129309843404"
"Non-working","1984","Employed","college entrance qualification","90","0.105041206438724","0.0845494004332804","0.125533012444168"
"Non-working","1984","Employed","Other degree","56","0.0530418874845649","0.0399861999617316","0.0660975750073981"
"Non-working","1984","Employed","no degree/no degree yet","65","0.137182875067079","0.112191409230609","0.162174340903549"
"Other","1984","Not Employed","lower secondary degree","30","0.00634549111671149","0.00330902542399548","0.0093819568094275"
"Other","1984","Not Employed","secondary school degree","15","","",""
"Other","1984","Not Employed","college entrance qualification","17","","",""
"Other","1984","Not Employed","Other degree","4","","",""
"Other","1984","Not Employed","no degree/no degree yet","2","","",""
"Other","1984","Employed","lower secondary degree","352","0.0908142690981485","0.0812946971541676","0.100333841042129"
"Other","1984","Employed","secondary school degree","206","0.153595782914607","0.133958031325153","0.173233534504061"
"Other","1984","Employed","college entrance qualification","92","0.104034359408058","0.0836295312490345","0.124439187567081"
"Other","1984","Employed","Other degree","32","0.0360599788329886","0.0251991588033277","0.0469207988626495"
"Other","1984","Employed","no degree/no degree yet","25","","",""
"Full-time","1985","Not Employed","lower secondary degree","40","0.00996475013028161","0.00592914714330666","0.0140003531172566"
"Full-time","1985","Not Employed","secondary school degree","14","","",""
"Full-time","1985","Not Employed","college entrance qualification","9","","",""
"Full-time","1985","Not Employed","Other degree","12","","",""
"Full-time","1985","Not Employed","no degree/no degree yet","4","","",""
"Full-time","1985","Employed","lower secondary degree","2312","0.731366972180381","0.715922352113969","0.746811592246793"
"Full-time","1985","Employed","secondary school degree","870","0.717147445557022","0.692089441178649","0.742205449935395"
"Full-time","1985","Employed","college entrance qualification","612","0.736944794991962","0.70715222020194","0.766737369781984"
"Full-time","1985","Employed","Other degree","840","0.85592020757937","0.833717569780209","0.878122845378531"
"Full-time","1985","Employed","no degree/no degree yet","479","0.764678644291451","0.729731634066655","0.799625654516246"
"Part-time","1985","Not Employed","lower secondary degree","16","","",""
"Part-time","1985","Not Employed","secondary school degree","6","","",""
"Part-time","1985","Not Employed","college entrance qualification","5","","",""
"Part-time","1985","Not Employed","Other degree","1","","",""
"Part-time","1985","Not Employed","no degree/no degree yet","3","","",""
"Part-time","1985","Employed","lower secondary degree","398","0.129557084858748","0.11785587994896","0.141258289768537"
"Part-time","1985","Employed","secondary school degree","156","0.118431464634086","0.100454192572822","0.13640873669535"
"Part-time","1985","Employed","college entrance qualification","86","0.0997290272495674","0.0794538562436509","0.120004198255484"
"Part-time","1985","Employed","Other degree","52","0.0501263150767024","0.0363303459086537","0.0639222842447511"
"Part-time","1985","Employed","no degree/no degree yet","25","","",""
"Non-working","1985","Not Employed","lower secondary degree","2245","0.976284604278881","0.970102258270915","0.982466950286846"
"Non-working","1985","Not Employed","secondary school degree","611","0.965354302351957","0.951207815485389","0.979500789218524"
"Non-working","1985","Not Employed","college entrance qualification","360","0.925936896111527","0.900079092691621","0.951794699531434"
"Non-working","1985","Not Employed","Other degree","248","0.940892091708316","0.912658027466102","0.96912615595053"
"Non-working","1985","Not Employed","no degree/no degree yet","525","0.981192506218422","0.969692230015714","0.99269278242113"
"Non-working","1985","Employed","lower secondary degree","247","0.0799643531811093","0.0705132959044055","0.0894154104578131"
"Non-working","1985","Employed","secondary school degree","77","0.0602803399827016","0.0470384735406565","0.0735222064247466"
"Non-working","1985","Employed","college entrance qualification","74","0.0840511922124201","0.0652764211285565","0.102825963296284"
"Non-working","1985","Employed","Other degree","57","0.0654404884869069","0.0498049391461609","0.0810760378276529"
"Non-working","1985","Employed","no degree/no degree yet","46","0.12647417808809","0.099091325903628","0.153857030272553"
"Other","1985","Not Employed","lower secondary degree","26","","",""
"Other","1985","Not Employed","secondary school degree","11","","",""
"Other","1985","Not Employed","college entrance qualification","20","","",""
"Other","1985","Not Employed","Other degree","7","","",""
"Other","1985","Not Employed","no degree/no degree yet","4","","",""
"Other","1985","Employed","lower secondary degree","207","0.0591115897797616","0.050894174544456","0.0673290050150671"
"Other","1985","Employed","secondary school degree","138","0.10414074982619","0.0871468739586652","0.121134625693716"
"Other","1985","Employed","college entrance qualification","67","0.0792749855460507","0.0609939763330184","0.097555994759083"
"Other","1985","Employed","Other degree","12","","",""
"Other","1985","Employed","no degree/no degree yet","16","","",""
"Full-time","1986","Not Employed","lower secondary degree","28","","",""
"Full-time","1986","Not Employed","secondary school degree","10","","",""
"Full-time","1986","Not Employed","college entrance qualification","15","","",""
"Full-time","1986","Not Employed","Other degree","9","","",""
"Full-time","1986","Not Employed","no degree/no degree yet","9","","",""
"Full-time","1986","Employed","lower secondary degree","2228","0.735970362269406","0.72034659168836","0.751594132850451"
"Full-time","1986","Employed","secondary school degree","842","0.694769890504103","0.669107481528213","0.720432299479993"
"Full-time","1986","Employed","college entrance qualification","596","0.695777560301334","0.665188295837554","0.726366824765114"
"Full-time","1986","Employed","Other degree","798","0.846095009377808","0.822789736412709","0.869400282342906"
"Full-time","1986","Employed","no degree/no degree yet","434","0.79233433698201","0.757503347313754","0.827165326650265"
"Part-time","1986","Not Employed","lower secondary degree","13","","",""
"Part-time","1986","Not Employed","secondary school degree","1","","",""
"Part-time","1986","Not Employed","college entrance qualification","3","","",""
"Part-time","1986","Not Employed","Other degree","1","","",""
"Part-time","1986","Not Employed","no degree/no degree yet","","","",""
"Part-time","1986","Employed","lower secondary degree","324","0.110674805903796","0.0995553373010474","0.121794274506545"
"Part-time","1986","Employed","secondary school degree","131","0.101241291310076","0.0844314491741635","0.118051133445988"
"Part-time","1986","Employed","college entrance qualification","93","0.0972263898020953","0.0775284996869751","0.116924279917216"
"Part-time","1986","Employed","Other degree","43","0.0328835157353078","0.0213663188597151","0.0444007126109006"
"Part-time","1986","Employed","no degree/no degree yet","27","","",""
"Non-working","1986","Not Employed","lower secondary degree","2060","0.97478506615646","0.968127099139352","0.981443033173568"
"Non-working","1986","Not Employed","secondary school degree","582","0.969218399302663","0.955454964536768","0.982981834068559"
"Non-working","1986","Not Employed","college entrance qualification","363","0.939292063182169","0.915562138848056","0.963021987516281"
"Non-working","1986","Not Employed","Other degree","238","0.955109754997179","0.929442423777931","0.980777086216428"
"Non-working","1986","Not Employed","no degree/no degree yet","500","0.972569555068285","0.958476667036193","0.986662443100378"
"Non-working","1986","Employed","lower secondary degree","254","0.0823082612487345","0.0725673524941512","0.0920491700033178"
"Non-working","1986","Employed","secondary school degree","94","0.0772780896070552","0.062397270188081","0.0921589090260293"
"Non-working","1986","Employed","college entrance qualification","88","0.103525847642833","0.0832708831375388","0.123780812148128"
"Non-working","1986","Employed","Other degree","56","0.0578610667333286","0.0427821907445172","0.07293994272214"
"Non-working","1986","Employed","no degree/no degree yet","46","0.120200188546635","0.0922764388698752","0.148123938223394"
"Other","1986","Not Employed","lower secondary degree","29","","",""
"Other","1986","Not Employed","secondary school degree","12","","",""
"Other","1986","Not Employed","college entrance qualification","8","","",""
"Other","1986","Not Employed","Other degree","2","","",""
"Other","1986","Not Employed","no degree/no degree yet","7","","",""
"Other","1986","Employed","lower secondary degree","252","0.0710465705780632","0.0619411946419437","0.0801519465141827"
