"erwst","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","16-34 y.","Female","802","0.345634326717203","0.326357101286169","0.364911552148237"
"Full-time","1984","16-34 y.","Male","1373","0.596716637399874","0.576536487464835","0.616896787334913"
"Full-time","1984","35-65 y.","Female","790","0.212696260819451","0.198344235776865","0.227048285862036"
"Full-time","1984","35-65 y.","Male","2740","0.823498243208","0.810330055461391","0.836666430954609"
"Full-time","1984","66 and older","Female","","","",""
"Full-time","1984","66 and older","Male","","","",""
"Non-working","1984","16-34 y.","Female","1090","0.444560786830061","0.424418457969679","0.464703115690442"
"Non-working","1984","16-34 y.","Male","583","0.26492298619249","0.246769442932173","0.283076529452807"
"Non-working","1984","35-65 y.","Female","1717","0.576931214106352","0.559603965392951","0.594258462819752"
"Non-working","1984","35-65 y.","Male","448","0.165193723062507","0.152367175416993","0.178020270708021"
"Non-working","1984","66 and older","Female","752","0.976672270556259","0.96601780755499","0.987326733557529"
"Non-working","1984","66 and older","Male","478","0.946346121024267","0.926770535292967","0.965921706755567"
"Other","1984","16-34 y.","Female","279","0.134819667743305","0.120975852871813","0.148663482614796"
"Other","1984","16-34 y.","Male","293","0.128527282236618","0.114759635230803","0.142294929242433"
"Other","1984","35-65 y.","Female","168","0.0589575108786864","0.0506964412016945","0.0672185805556783"
"Other","1984","35-65 y.","Male","","","",""
"Other","1984","66 and older","Female","","","",""
"Other","1984","66 and older","Male","","","",""
"Part-time","1984","16-34 y.","Female","167","0.074985218709432","0.0643097241102083","0.0856607133086557"
"Part-time","1984","16-34 y.","Male","","","",""
"Part-time","1984","35-65 y.","Female","448","0.151415014195511","0.138843307463029","0.163986720927993"
"Part-time","1984","35-65 y.","Male","","","",""
"Part-time","1984","66 and older","Female","","","",""
"Part-time","1984","66 and older","Male","","","",""
"Full-time","1985","16-34 y.","Female","798","0.412938215422381","0.391789101726993","0.434087329117768"
"Full-time","1985","16-34 y.","Male","1286","0.601369965277555","0.580434098766986","0.622305831788124"
"Full-time","1985","35-65 y.","Female","724","0.212818874530085","0.197867894348402","0.227769854711767"
"Full-time","1985","35-65 y.","Male","2430","0.805193181258853","0.790795992572126","0.819590369945579"
"Full-time","1985","66 and older","Female","","","",""
"Full-time","1985","66 and older","Male","","","",""
"Non-working","1985","16-34 y.","Female","915","0.395009115067282","0.374010739317703","0.416007490816861"
"Non-working","1985","16-34 y.","Male","578","0.284053019947182","0.264769993316735","0.30333604657763"
"Non-working","1985","35-65 y.","Female","1551","0.563509473058965","0.545393349227926","0.581625596890004"
"Non-working","1985","35-65 y.","Male","444","0.181503066618086","0.167491842271858","0.195514290964314"
"Non-working","1985","66 and older","Female","652","0.976359229531195","0.964863872561276","0.987854586501114"
"Non-working","1985","66 and older","Male","418","0.945627225502165","0.924606627811255","0.966647823193075"
"Other","1985","16-34 y.","Female","183","0.100405939009718","0.0874964004435577","0.113315477575878"
"Other","1985","16-34 y.","Male","206","0.0978353051561258","0.0851317352868968","0.110538875025355"
"Other","1985","35-65 y.","Female","98","0.0367848890079848","0.0299090828092994","0.0436606952066703"
"Other","1985","35-65 y.","Male","","","",""
"Other","1985","66 and older","Female","","","",""
"Other","1985","66 and older","Male","","","",""
"Part-time","1985","16-34 y.","Female","186","0.0916467305006198","0.0792532408528375","0.104040220148402"
"Part-time","1985","16-34 y.","Male","31","0.0167417096191369","0.0112555457489881","0.0222278734892858"
"Part-time","1985","35-65 y.","Female","506","0.186886763402965","0.172647351748496","0.201126175057435"
"Part-time","1985","35-65 y.","Male","","","",""
"Part-time","1985","66 and older","Female","","","",""
"Part-time","1985","66 and older","Male","","","",""
"Full-time","1986","16-34 y.","Female","750","0.40443195800842","0.382997782440531","0.42586613357631"
"Full-time","1986","16-34 y.","Male","1263","0.604407566134612","0.583413905708069","0.625401226561156"
"Full-time","1986","35-65 y.","Female","721","0.228914837349788","0.213186539753504","0.244643134946071"
"Full-time","1986","35-65 y.","Male","2286","0.798179047782749","0.783197282281301","0.813160813284197"
"Full-time","1986","66 and older","Female","","","",""
"Full-time","1986","66 and older","Male","","","",""
"Non-working","1986","16-34 y.","Female","862","0.38264813968574","0.361421339018491","0.403874940352989"
"Non-working","1986","16-34 y.","Male","559","0.266961402680123","0.247968694617492","0.285954110742755"
"Non-working","1986","35-65 y.","Female","1473","0.56519098721203","0.546632590422723","0.583749384001338"
"Non-working","1986","35-65 y.","Male","427","0.182592287057375","0.168171456039927","0.197013118074822"
"Non-working","1986","66 and older","Female","609","0.978878881807338","0.967578949763579","0.990178813851096"
"Non-working","1986","66 and older","Male","408","0.967042800678154","0.950070073775184","0.984015527581125"
"Other","1986","16-34 y.","Female","227","0.119008669113288","0.104867234343664","0.133150103882911"
"Other","1986","16-34 y.","Male","233","0.113958547679224","0.10031586723213","0.127601228126319"
"Other","1986","35-65 y.","Female","150","0.056191955473006","0.0475706609171539","0.0648132500288581"
"Other","1986","35-65 y.","Male","","","",""
"Other","1986","66 and older","Female","","","",""
"Other","1986","66 and older","Male","","","",""
"Part-time","1986","16-34 y.","Female","175","0.0939112331925523","0.0811714363408296","0.106651030044275"
"Part-time","1986","16-34 y.","Male","","","",""
"Part-time","1986","35-65 y.","Female","397","0.149702219965176","0.136345703121111","0.16305873680924"
"Part-time","1986","35-65 y.","Male","32","0.0127514166168547","0.00856326702609348","0.0169395662076159"
"Part-time","1986","66 and older","Female","","","",""
"Part-time","1986","66 and older","Male","","","",""
"Full-time","1987","16-34 y.","Female","722","0.402285340697717","0.380615287958636","0.423955393436798"
"Full-time","1987","16-34 y.","Male","1239","0.613907962387934","0.592970362394345","0.634845562381523"
"Full-time","1987","35-65 y.","Female","730","0.241934220731547","0.225723520266826","0.258144921196268"
"Full-time","1987","35-65 y.","Male","2252","0.806897240718667","0.792008102420784","0.82178637901655"
"Full-time","1987","66 and older","Female","","","",""
"Full-time","1987","66 and older","Male","","","",""
"Non-working","1987","16-34 y.","Female","824","0.372341759806004","0.350977964805089","0.393705554806918"
"Non-working","1987","16-34 y.","Male","536","0.243216616999429","0.224765942034073","0.261667291964785"
"Non-working","1987","35-65 y.","Female","1382","0.533981396258313","0.515098684032568","0.552864108484058"
"Non-working","1987","35-65 y.","Male","422","0.179533377505569","0.165056687705829","0.194010067305308"
"Non-working","1987","66 and older","Female","641","0.980708574360799","0.970182939037597","0.991234209684001"
"Non-working","1987","66 and older","Male","408","0.960792217589279","0.942425974723497","0.979158460455061"
"Other","1987","16-34 y.","Female","251","0.13046611088881","0.115581481497239","0.14535074028038"
"Other","1987","16-34 y.","Male","275","0.12663533346321","0.112333059235728","0.140937607690692"
"Other","1987","35-65 y.","Female","98","0.0381098536173024","0.0308624731318268","0.045357234102778"
"Other","1987","35-65 y.","Male","","","",""
"Other","1987","66 and older","Female","","","",""
"Other","1987","66 and older","Male","","","",""
"Part-time","1987","16-34 y.","Female","170","0.0949067886074694","0.0819546583334554","0.107858918881483"
"Part-time","1987","16-34 y.","Male","","","",""
"Part-time","1987","35-65 y.","Female","471","0.185974529392837","0.171246473784565","0.20070258500111"
"Part-time","1987","35-65 y.","Male","","","",""
"Part-time","1987","66 and older","Female","","","",""
"Part-time","1987","66 and older","Male","","","",""
"Full-time","1988","16-34 y.","Female","674","0.400392284256172","0.378249606003491","0.422534962508853"
"Full-time","1988","16-34 y.","Male","1171","0.603931118564631","0.582345042623053","0.625517194506209"
"Full-time","1988","35-65 y.","Female","697","0.247450362757504","0.230707898565074","0.264192826949934"
"Full-time","1988","35-65 y.","Male","2112","0.806185387110485","0.790876133351145","0.821494640869825"
"Full-time","1988","66 and older","Female","","","",""
"Full-time","1988","66 and older","Male","","","",""
"Non-working","1988","16-34 y.","Female","796","0.378867903785578","0.356945428632829","0.400790378938327"
"Non-working","1988","16-34 y.","Male","498","0.256178828183265","0.236912430475702","0.275445225890828"
"Non-working","1988","35-65 y.","Female","1293","0.519680197512568","0.500296300838527","0.539064094186609"
"Non-working","1988","35-65 y.","Male","427","0.183966291089835","0.168960238032216","0.198972344147454"
"Non-working","1988","66 and older","Female","620","0.981711373029447","0.971281334227096","0.992141411831799"
"Non-working","1988","66 and older","Male","399","0.95508683571141","0.935279242778975","0.974894428643844"
"Other","1988","16-34 y.","Female","254","0.130647675273244","0.115417586094533","0.145877764451956"
"Other","1988","16-34 y.","Male","274","0.124551410239362","0.109977225036624","0.139125595442099"
"Other","1988","35-65 y.","Female","90","0.0384860228341831","0.0310226167285364","0.0459494289398297"
"Other","1988","35-65 y.","Male","","","",""
"Other","1988","66 and older","Female","","","",""
"Other","1988","66 and older","Male","","","",""
"Part-time","1988","16-34 y.","Female","157","0.0900921366850056","0.0771532816876906","0.103030991682321"
"Part-time","1988","16-34 y.","Male","","","",""
"Part-time","1988","35-65 y.","Female","472","0.194383416895746","0.179030123096449","0.209736710695042"
"Part-time","1988","35-65 y.","Male","","","",""
"Part-time","1988","66 and older","Female","","","",""
"Part-time","1988","66 and older","Male","","","",""
"Full-time","1989","16-34 y.","Female","713","0.427029406694706","0.404440337477151","0.449618475912261"
"Full-time","1989","16-34 y.","Male","1207","0.61798794673009","0.596316620518896","0.639659272941285"
"Full-time","1989","35-65 y.","Female","687","0.251236122028845","0.23408632455041","0.268385919507279"
"Full-time","1989","35-65 y.","Male","2011","0.798803767918662","0.782929451863173","0.814678083974151"
"Full-time","1989","66 and older","Female","","","",""
"Full-time","1989","66 and older","Male","","","",""
"Non-working","1989","16-34 y.","Female","741","0.351596777567194","0.329792168563751","0.373401386570638"
"Non-working","1989","16-34 y.","Male","450","0.242564919096518","0.223446866253678","0.261682971939358"
"Non-working","1989","35-65 y.","Female","1228","0.519246869098624","0.499491119327916","0.539002618869332"
"Non-working","1989","35-65 y.","Male","417","0.189981723020408","0.174448257096302","0.205515188944513"
"Non-working","1989","66 and older","Female","616","0.983500370626342","0.973545236247519","0.993455505005166"
"Non-working","1989","66 and older","Male","377","0.949208331967374","0.927690668843443","0.970725995091305"
"Other","1989","16-34 y.","Female","211","0.116525678704575","0.10187320117052","0.13117815623863"
"Other","1989","16-34 y.","Male","246","0.121780996558878","0.107194596149311","0.136367396968445"
"Other","1989","35-65 y.","Female","95","0.0383812490221865","0.0307848717413905","0.0459776263029825"
"Other","1989","35-65 y.","Male","","","",""
"Other","1989","66 and older","Female","","","",""
"Other","1989","66 and older","Male","","","",""
"Part-time","1989","16-34 y.","Female","177","0.104848137033524","0.0908576769371758","0.118838597129873"
"Part-time","1989","16-34 y.","Male","","","",""
"Part-time","1989","35-65 y.","Female","447","0.191135759850345","0.175588483994484","0.206683035706206"
"Part-time","1989","35-65 y.","Male","","","",""
"Part-time","1989","66 and older","Female","","","",""
"Part-time","1989","66 and older","Male","","","",""
"Full-time","1990","16-34 y.","Female","1193","0.454929981845194","0.436006297310292","0.473853666380096"
"Full-time","1990","16-34 y.","Male","1826","0.646406442345256","0.628373307970168","0.664439576720344"
"Full-time","1990","35-65 y.","Female","1363","0.319039899934465","0.303739539665856","0.334340260203073"
"Full-time","1990","35-65 y.","Male","3005","0.82202437093953","0.809431526182591","0.834617215696469"
"Full-time","1990","66 and older","Female","","","",""
"Full-time","1990","66 and older","Male","","","",""
"Non-working","1990","16-34 y.","Female","898","0.328054659023965","0.310212502244131","0.345896815803799"
"Non-working","1990","16-34 y.","Male","534","0.217932023860289","0.202359859232424","0.233504188488154"
"Non-working","1990","35-65 y.","Female","1386","0.43782650560802","0.421540876811703","0.454112134404337"
"Non-working","1990","35-65 y.","Male","495","0.164703800263902","0.152492179824354","0.176915420703449"
"Non-working","1990","66 and older","Female","920","0.985953788963061","0.978430772036635","0.993476805889487"
"Non-working","1990","66 and older","Male","530","0.954281334626067","0.936981615020926","0.971581054231207"
"Other","1990","16-34 y.","Female","242","0.0922651478155854","0.0812673528489541","0.103262942782217"
"Other","1990","16-34 y.","Male","305","0.118453782316273","0.106264918677661","0.130642645954885"
"Other","1990","35-65 y.","Female","101","0.0349541665830801","0.028925215366814","0.0409831177993461"
"Other","1990","35-65 y.","Male","","","",""
"Other","1990","66 and older","Female","","","",""
"Other","1990","66 and older","Male","","","",""
"Part-time","1990","16-34 y.","Female","327","0.124750211315256","0.112192979116417","0.137307443514095"
"Part-time","1990","16-34 y.","Male","35","0.0172077514781822","0.0123025242223908","0.0221129787339736"
"Part-time","1990","35-65 y.","Female","715","0.208179427874435","0.194851868693143","0.221506987055727"
"Part-time","1990","35-65 y.","Male","33","0.00862997498776728","0.0055847183770098","0.0116752315985248"
"Part-time","1990","66 and older","Female","","","",""
"Part-time","1990","66 and older","Male","","","",""
"Full-time","1991","16-34 y.","Female","1059","0.418614224282881","0.399541149084587","0.437687299481175"
"Full-time","1991","16-34 y.","Male","1710","0.647383786629108","0.62903631287324","0.665731260384976"
"Full-time","1991","35-65 y.","Female","1342","0.326373281841449","0.310861507284707","0.34188505639819"
"Full-time","1991","35-65 y.","Male","2863","0.797378616007221","0.78406024677746","0.810696985236982"
"Full-time","1991","66 and older","Female","","","",""
"Full-time","1991","66 and older","Male","","","",""
"Non-working","1991","16-34 y.","Female","940","0.346828072544068","0.328426607286644","0.365229537801493"
"Non-working","1991","16-34 y.","Male","533","0.212724834717325","0.197009754560553","0.228439914874096"
"Non-working","1991","35-65 y.","Female","1432","0.438974855091144","0.422557412052443","0.455392298129845"
"Non-working","1991","35-65 y.","Male","591","0.18610993703118","0.173214271102253","0.199005602960108"
"Non-working","1991","66 and older","Female","911","0.98565076099284","0.977990941010109","0.993310580975572"
"Non-working","1991","66 and older","Male","534","0.960867604969778","0.944778533463556","0.976956676476001"
"Other","1991","16-34 y.","Female","283","0.116244652932446","0.103852862812043","0.12863644305285"
"Other","1991","16-34 y.","Male","323","0.12149987135185","0.108953935837142","0.134045806866559"
"Other","1991","35-65 y.","Female","123","0.041395449266338","0.0348053709441819","0.0479855275884941"
"Other","1991","35-65 y.","Male","","","",""
"Other","1991","66 and older","Female","","","",""
"Other","1991","66 and older","Male","","","",""
"Part-time","1991","16-34 y.","Female","288","0.118313050240604","0.105826137949118","0.13079996253209"
"Part-time","1991","16-34 y.","Male","39","0.018391507301717","0.0132318359158372","0.0235511786875969"
"Part-time","1991","35-65 y.","Female","613","0.193256413801069","0.180193825128912","0.206319002473226"
"Part-time","1991","35-65 y.","Male","30","0.0101902239514877","0.00686252635107628","0.0135179215518992"
"Part-time","1991","66 and older","Female","","","",""
"Part-time","1991","66 and older","Male","","","",""
"Full-time","1992","16-34 y.","Female","952","0.392649816965676","0.373522537127755","0.411777096803596"
"Full-time","1992","16-34 y.","Male","1604","0.637896476738162","0.619041878726391","0.656751074749933"
"Full-time","1992","35-65 y.","Female","1264","0.320697658493165","0.305176910970398","0.336218406015933"
"Full-time","1992","35-65 y.","Male","2695","0.764841486164637","0.750663178481666","0.779019793847608"
"Full-time","1992","66 and older","Female","","","",""
"Full-time","1992","66 and older","Male","","","",""
"Non-working","1992","16-34 y.","Female","1014","0.382708008087426","0.363670503318395","0.401745512856457"
"Non-working","1992","16-34 y.","Male","563","0.229343800689206","0.212850801358467","0.245836800019945"
"Non-working","1992","35-65 y.","Female","1530","0.461142231953866","0.444565927812735","0.477718536094996"
"Non-working","1992","35-65 y.","Male","685","0.214241371312368","0.200524515479576","0.227958227145161"
"Non-working","1992","66 and older","Female","915","0.994086555177869","0.989140264727065","0.999032845628674"
"Non-working","1992","66 and older","Male","539","0.969369197566049","0.955059044198313","0.983679350933784"
"Other","1992","16-34 y.","Female","270","0.111647680355452","0.0993124177023288","0.123982943008576"
"Other","1992","16-34 y.","Male","293","0.115611668282498","0.103067319038449","0.128156017526547"
"Other","1992","35-65 y.","Female","79","0.02493077164747","0.0197461296929249","0.0301154136020151"
"Other","1992","35-65 y.","Male","","","",""
"Other","1992","66 and older","Female","","","",""
"Other","1992","66 and older","Male","","","",""
"Part-time","1992","16-34 y.","Female","268","0.112994494591446","0.100594464804155","0.125394524378737"
"Part-time","1992","16-34 y.","Male","36","0.0171480542901338","0.0120550120711485","0.0222410965091192"
"Part-time","1992","35-65 y.","Female","601","0.193229337905499","0.180099941365237","0.206358734445761"
"Part-time","1992","35-65 y.","Male","30","0.0122035471392248","0.00853296372719489","0.0158741305512547"
"Part-time","1992","66 and older","Female","","","",""
"Part-time","1992","66 and older","Male","","","",""
"Full-time","1993","16-34 y.","Female","929","0.391227205345178","0.371910635897515","0.410543774792841"
"Full-time","1993","16-34 y.","Male","1547","0.616478508241166","0.597294942413475","0.635662074068856"
"Full-time","1993","35-65 y.","Female","1200","0.315364608244414","0.299732112413178","0.330997104075651"
"Full-time","1993","35-65 y.","Male","2594","0.759766772264682","0.745329778006479","0.774203766522886"
"Full-time","1993","66 and older","Female","","","",""
"Full-time","1993","66 and older","Male","","","",""
"Non-working","1993","16-34 y.","Female","971","0.375852788055811","0.3566819868555","0.395023589256121"
"Non-working","1993","16-34 y.","Male","586","0.242829588488256","0.225912596934593","0.259746580041919"
"Non-working","1993","35-65 y.","Female","1498","0.453599129807946","0.436850319282141","0.470347940333751"
"Non-working","1993","35-65 y.","Male","732","0.226544214758803","0.212398844112229","0.240689585405378"
"Non-working","1993","66 and older","Female","929","0.990135496360907","0.983814286212214","0.996456706509599"
"Non-working","1993","66 and older","Male","544","0.972097083562313","0.958468639381625","0.985725527743"
"Other","1993","16-34 y.","Female","296","0.118453526393012","0.105663116529269","0.131243936256755"
"Other","1993","16-34 y.","Male","300","0.122966553483874","0.110010369944008","0.135922737023739"
"Other","1993","35-65 y.","Female","96","0.0359395901647581","0.0296773336037995","0.0422018467257167"
"Other","1993","35-65 y.","Male","","","",""
"Other","1993","66 and older","Female","","","",""
"Other","1993","66 and older","Male","","","",""
"Part-time","1993","16-34 y.","Female","256","0.114466480206","0.101864768933304","0.127068191478696"
"Part-time","1993","16-34 y.","Male","35","0.0177253497867046","0.0125195268980486","0.0229311726753605"
"Part-time","1993","35-65 y.","Female","600","0.195096671782881","0.18176486643879","0.208428477126973"
"Part-time","1993","35-65 y.","Male","","","",""
"Part-time","1993","66 and older","Female","","","",""
"Part-time","1993","66 and older","Male","","","",""
"Full-time","1994","16-34 y.","Female","876","0.376967418094381","0.357726419253082","0.396208416935679"
"Full-time","1994","16-34 y.","Male","1494","0.62005821083224","0.600562316761502","0.639554104902979"
"Full-time","1994","35-65 y.","Female","1137","0.304583545598214","0.288921407267333","0.320245683929096"
"Full-time","1994","35-65 y.","Male","2481","0.739857004620307","0.724861463233407","0.754852546007207"
"Full-time","1994","66 and older","Female","","","",""
"Full-time","1994","66 and older","Male","","","",""
"Non-working","1994","16-34 y.","Female","1014","0.39863573759636","0.379196588560574","0.418074886632145"
"Non-working","1994","16-34 y.","Male","606","0.253876952155587","0.236395187913848","0.271358716397327"
"Non-working","1994","35-65 y.","Female","1495","0.468997864438653","0.452015079040494","0.485980649836812"
"Non-working","1994","35-65 y.","Male","751","0.239090282266694","0.224511215856309","0.253669348677079"
"Non-working","1994","66 and older","Female","942","0.99368359188308","0.988645739484635","0.998721444281526"
