"erwst","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Schleswig-Holstein","lower secondary degree","90","0.41080327218488","0.34442071570896","0.477185828660799"
"Full-time","1984","Schleswig-Holstein","secondary school degree","40","0.417653760440118","0.317956551571603","0.517350969308633"
"Full-time","1984","Schleswig-Holstein","college entrance qualification","","","",""
"Full-time","1984","Schleswig-Holstein","Other degree","","","",""
"Full-time","1984","Schleswig-Holstein","no degree/no degree yet","","","",""
"Full-time","1984","Hamburg","lower secondary degree","47","0.300951966193495","0.223291893342683","0.378612039044308"
"Full-time","1984","Hamburg","secondary school degree","31","0.459598478454004","0.331341304327619","0.58785565258039"
"Full-time","1984","Hamburg","college entrance qualification","","","",""
"Full-time","1984","Hamburg","Other degree","31","0.684785602595521","0.551960703300851","0.817610501890191"
"Full-time","1984","Hamburg","no degree/no degree yet","","","",""
"Full-time","1984","Lower Saxony","lower secondary degree","270","0.365724281640075","0.329603787757678","0.401844775522473"
"Full-time","1984","Lower Saxony","secondary school degree","95","0.393412061042594","0.331086986008806","0.455737136076383"
"Full-time","1984","Lower Saxony","college entrance qualification","59","0.463432082663926","0.376362148259801","0.550502017068052"
"Full-time","1984","Lower Saxony","Other degree","54","0.530584660458883","0.426901298365566","0.6342680225522"
"Full-time","1984","Lower Saxony","no degree/no degree yet","30","0.107743794052448","0.0460412394772541","0.169446348627641"
"Full-time","1984","Bremen","lower secondary degree","","","",""
"Full-time","1984","Bremen","secondary school degree","","","",""
"Full-time","1984","Bremen","college entrance qualification","","","",""
"Full-time","1984","Bremen","Other degree","","","",""
"Full-time","1984","Bremen","no degree/no degree yet","","","",""
"Full-time","1984","North Rhine-Westphalia","lower secondary degree","641","0.374635035586474","0.350806111925791","0.398463959247156"
"Full-time","1984","North Rhine-Westphalia","secondary school degree","216","0.435736895999183","0.391833001561811","0.479640790436555"
"Full-time","1984","North Rhine-Westphalia","college entrance qualification","180","0.48643414926822","0.435846726519134","0.537021572017307"
"Full-time","1984","North Rhine-Westphalia","Other degree","270","0.695766793209596","0.649689828731089","0.741843757688102"
"Full-time","1984","North Rhine-Westphalia","no degree/no degree yet","172","0.290017444231566","0.245878598289745","0.334156290173387"
"Full-time","1984","Hesse","lower secondary degree","224","0.370333932571865","0.32982939595449","0.41083846918924"
"Full-time","1984","Hesse","secondary school degree","90","0.466530790915966","0.396148358564109","0.536913223267823"
"Full-time","1984","Hesse","college entrance qualification","67","0.436483065305101","0.357379364405728","0.515586766204475"
"Full-time","1984","Hesse","Other degree","131","0.611011643049063","0.544598205097761","0.677425081000364"
"Full-time","1984","Hesse","no degree/no degree yet","77","0.305723919043881","0.23021280406558","0.381235034022183"
"Full-time","1984","Rhineland-Palatinate,Saarland","lower secondary degree","206","0.355137171850254","0.314996604421981","0.395277739278527"
"Full-time","1984","Rhineland-Palatinate,Saarland","secondary school degree","48","0.422177307432251","0.330706224787825","0.513648390076677"
"Full-time","1984","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Full-time","1984","Rhineland-Palatinate,Saarland","Other degree","40","0.715149238117413","0.594768155713916","0.835530320520911"
"Full-time","1984","Rhineland-Palatinate,Saarland","no degree/no degree yet","44","0.460974779728437","0.348161406583918","0.573788152872957"
"Full-time","1984","Baden-Württemberg","lower secondary degree","498","0.43697155534828","0.407153919218276","0.466789191478284"
"Full-time","1984","Baden-Württemberg","secondary school degree","119","0.392824489846151","0.336808364391808","0.448840615300495"
"Full-time","1984","Baden-Württemberg","college entrance qualification","103","0.500908680144577","0.430550189669948","0.571267170619207"
"Full-time","1984","Baden-Württemberg","Other degree","264","0.767372880182882","0.723422027044188","0.811323733321576"
"Full-time","1984","Baden-Württemberg","no degree/no degree yet","186","0.353118546977607","0.302685970285538","0.403551123669676"
"Full-time","1984","Bavaria","lower secondary degree","479","0.410024894039612","0.381129909605201","0.438919878474022"
"Full-time","1984","Bavaria","secondary school degree","183","0.460860349370684","0.410873965692189","0.510846733049179"
"Full-time","1984","Bavaria","college entrance qualification","111","0.441787131142438","0.378828454141981","0.504745808142895"
"Full-time","1984","Bavaria","Other degree","157","0.63368226399212","0.571144058284478","0.696220469699761"
