"erwst","year","migback","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","direct migration background","2011","0.521654407750611","0.504905444467114","0.538403371034109"
"Full-time","1984","indirect migration background","35","0.290517230630131","0.21186700365797","0.369167457602291"
"Full-time","1984","no migration background","3676","0.398729805628889","0.388432766407402","0.409026844850377"
"Non-working","1984","direct migration background","1127","0.38257442541674","0.366278618274252","0.398870232559227"
"Non-working","1984","indirect migration background","60","0.497518949328977","0.410901026699538","0.584136871958416"
"Non-working","1984","no migration background","3881","0.48171337035247","0.471205431629191","0.492221309075749"
"Other","1984","direct migration background","152","0.0402542457225191","0.0336638795102747","0.0468446119347635"
"Other","1984","indirect migration background","","","",""
"Other","1984","no migration background","601","0.0648344228673602","0.0596561460938477","0.0700126996408726"
"Part-time","1984","direct migration background","127","0.0555169211101298","0.0478391461454709","0.0631946960747887"
"Part-time","1984","indirect migration background","","","",""
"Part-time","1984","no migration background","528","0.0547224011512804","0.0499394005630228","0.059505401739538"
"Full-time","1985","direct migration background","1736","0.515237421660737","0.497187568052147","0.533287275269326"
"Full-time","1985","indirect migration background","40","0.328753672556608","0.252027574445875","0.405479770667341"
"Full-time","1985","no migration background","3480","0.407105020126631","0.3963379012848","0.417872138968461"
"Non-working","1985","direct migration background","985","0.393103439301846","0.375462723581116","0.410744155022576"
"Non-working","1985","indirect migration background","77","0.499858714322708","0.418193551560547","0.581523877084868"
"Non-working","1985","no migration background","3496","0.476147313591382","0.465201888123623","0.48709273905914"
"Other","1985","direct migration background","94","0.0341557881818974","0.0275959800328091","0.0407155963309857"
"Other","1985","indirect migration background","","","",""
"Other","1985","no migration background","404","0.0474020590432009","0.0427450099753366","0.0520591081110652"
"Part-time","1985","direct migration background","130","0.0575033508555202","0.0490953659128564","0.0659113357981841"
"Part-time","1985","indirect migration background","","","",""
"Part-time","1985","no migration background","618","0.069345607238787","0.0637780962272246","0.0749131182503494"
"Full-time","1986","direct migration background","1643","0.499300858624957","0.480963424392942","0.517638292856971"
"Full-time","1986","indirect migration background","50","0.338362917912023","0.264114519266924","0.412611316557122"
"Full-time","1986","no migration background","3337","0.409165434936284","0.398133802557585","0.420197067314983"
"Non-working","1986","direct migration background","972","0.402636193603487","0.384649768726001","0.420622618480973"
"Non-working","1986","indirect migration background","65","0.433413878258431","0.355651387110528","0.511176369406334"
"Non-working","1986","no migration background","3301","0.473133175336151","0.461931074146453","0.484335276525849"
"Other","1986","direct migration background","123","0.0432828314433849","0.0358197427153905","0.0507459201713792"
"Other","1986","indirect migration background","","","",""
"Other","1986","no migration background","481","0.0579573623458304","0.0527147596036432","0.0631999650880176"
"Part-time","1986","direct migration background","118","0.0547801163281713","0.0464347214879352","0.0631255111684075"
