"erwst","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","Schleswig-Holstein","170","0.417667308643713","0.368532028540361","0.466802588747066"
"Full-time","1984","Hamburg","145","0.380757842101538","0.326791549640911","0.434724134562165"
"Full-time","1984","Lower Saxony","509","0.374257092597827","0.347278341386641","0.401235843809012"
"Full-time","1984","Bremen","40","0.2119784463341","0.142255452670551","0.28170143999765"
"Full-time","1984","North Rhine-Westphalia","1493","0.406164066541405","0.389331195325315","0.422996937757495"
"Full-time","1984","Hesse","595","0.407242758955664","0.38002758929525","0.434457928616078"
"Full-time","1984","Rhineland-Palatinate,Saarland","369","0.385110415711067","0.352473406330437","0.417747425091697"
"Full-time","1984","Baden-Württemberg","1183","0.445044401365866","0.424600397614245","0.465488405117488"
"Full-time","1984","Bavaria","1002","0.426433772859489","0.4053217246105","0.447545821108478"
"Full-time","1984","Berlin","216","0.465774809247494","0.41754924032024","0.514000378174749"
"Full-time","1984","Brandenburg","","","",""
"Full-time","1984","Mecklenburg-Western Pomerania","","","",""
"Full-time","1984","Saxony","","","",""
"Full-time","1984","Saxony-Anhalt","","","",""
"Full-time","1984","Thuringia","","","",""
"Part-time","1984","Schleswig-Holstein","32","0.07611985866773","0.0496988489257405","0.102540868409719"
"Part-time","1984","Hamburg","17","","",""
"Part-time","1984","Lower Saxony","72","0.0577974921870114","0.0447878461355115","0.0708071382385114"
"Part-time","1984","Bremen","4","","",""
"Part-time","1984","North Rhine-Westphalia","148","0.0488585948070105","0.0414699082249035","0.0562472813891175"
"Part-time","1984","Hesse","73","0.0656567288504338","0.0519372132303186","0.079376244470549"
"Part-time","1984","Rhineland-Palatinate,Saarland","28","","",""
"Part-time","1984","Baden-Württemberg","135","0.0633625325223873","0.0533409296419666","0.073384135402808"
"Part-time","1984","Bavaria","121","0.0543714851734644","0.0446918572086847","0.064051113138244"
"Part-time","1984","Berlin","31","0.0674376455241154","0.0431929173290807","0.09168237371915"
"Part-time","1984","Brandenburg","","","",""
"Part-time","1984","Mecklenburg-Western Pomerania","","","",""
"Part-time","1984","Saxony","","","",""
"Part-time","1984","Saxony-Anhalt","","","",""
"Part-time","1984","Thuringia","","","",""
"Non-working","1984","Schleswig-Holstein","160","0.44165953932831","0.392184520705553","0.491134557951066"
"Non-working","1984","Hamburg","132","0.526347523574148","0.470855048628844","0.581839998519453"
"Non-working","1984","Lower Saxony","564","0.496941475836512","0.46906738348799","0.524815568185034"
"Non-working","1984","Bremen","78","0.689201481777142","0.610247561923066","0.768155401631218"
"Non-working","1984","North Rhine-Westphalia","1439","0.488862928575874","0.471729808547029","0.50599604860472"
"Non-working","1984","Hesse","500","0.460678017115142","0.433067869262276","0.488288164968008"
"Non-working","1984","Rhineland-Palatinate,Saarland","398","0.51399803934843","0.48047689026704","0.547519188429821"
"Non-working","1984","Baden-Württemberg","819","0.431562257874586","0.411187223805828","0.451937291943343"
"Non-working","1984","Bavaria","832","0.447116135839016","0.425891516154511","0.468340755523521"
"Non-working","1984","Berlin","146","0.426494474735211","0.378680737791472","0.474308211678951"
"Non-working","1984","Brandenburg","","","",""
"Non-working","1984","Mecklenburg-Western Pomerania","","","",""
"Non-working","1984","Saxony","","","",""
"Non-working","1984","Saxony-Anhalt","","","",""
"Non-working","1984","Thuringia","","","",""
"Other","1984","Schleswig-Holstein","25","","",""
"Other","1984","Hamburg","17","","",""
"Other","1984","Lower Saxony","91","0.0710039393786496","0.0566857858761602","0.0853220928811389"
"Other","1984","Bremen","10","","",""
"Other","1984","North Rhine-Westphalia","190","0.0561144100757102","0.0482263339462367","0.0640024862051838"
