"erwst","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","16-34 y.","2175","0.471802163173931","0.457388640725733","0.486215685622128"
"Full-time","1984","35-65 y.","3530","0.510407833407596","0.498105807675273","0.522709859139919"
"Full-time","1984","66 and older","","","",""
"Non-working","1984","16-34 y.","1673","0.354293525107543","0.340483609194393","0.368103441020692"
"Non-working","1984","35-65 y.","2165","0.376245853733398","0.364324012897962","0.388167694568834"
"Non-working","1984","66 and older","1230","0.965774880802731","0.955815013698619","0.975734747906842"
"Other","1984","16-34 y.","572","0.13165776970528","0.121895280558491","0.141420258852068"
"Other","1984","35-65 y.","187","0.0333607640680576","0.0289414899645075","0.0377800381716076"
"Other","1984","66 and older","","","",""
"Part-time","1984","16-34 y.","188","0.0422465420132472","0.0364387065603367","0.0480543774661577"
"Part-time","1984","35-65 y.","461","0.0799855487909483","0.0733097409954161","0.0866613565864805"
"Part-time","1984","66 and older","","","",""
"Full-time","1985","16-34 y.","2084","0.508671701690302","0.493521834113745","0.523821569266859"
"Full-time","1985","35-65 y.","3154","0.500036506983712","0.48715315478321","0.512919859184215"
"Full-time","1985","66 and older","","","",""
"Non-working","1985","16-34 y.","1493","0.33863743770035","0.324296041067907","0.352978834332793"
"Non-working","1985","35-65 y.","1995","0.378290474878639","0.365794638208002","0.390786311549276"
"Non-working","1985","66 and older","1070","0.965303727621944","0.954576176566529","0.97603127867736"
"Other","1985","16-34 y.","389","0.0990999184430572","0.0900451130595828","0.108154723826532"
"Other","1985","35-65 y.","115","0.0227895539216077","0.0189443370517274","0.026634770791488"
"Other","1985","66 and older","","","",""
"Part-time","1985","16-34 y.","217","0.0535909421662905","0.0467661520662662","0.0604157322663148"
"Part-time","1985","35-65 y.","522","0.0988834642160408","0.0911919615951817","0.1065749668369"
"Part-time","1985","66 and older","","","",""
"Full-time","1986","16-34 y.","2013","0.506692387533801","0.49138527720628","0.521999497861322"
"Full-time","1986","35-65 y.","3007","0.50586835936934","0.492652791986799","0.519083926751881"
"Full-time","1986","66 and older","","","",""
"Non-working","1986","16-34 y.","1421","0.323490047719249","0.309167190223154","0.337812905215344"
"Non-working","1986","35-65 y.","1900","0.379052361972717","0.366228382428912","0.391876341516522"
"Non-working","1986","66 and older","1017","0.974609330507958","0.965080774111542","0.984137886904374"
"Other","1986","16-34 y.","460","0.116426216223949","0.106606274364587","0.126246158083311"
"Other","1986","35-65 y.","162","0.0320051843251112","0.0273526197961733","0.0366577488540491"
"Other","1986","66 and older","","","",""
"Part-time","1986","16-34 y.","204","0.0533913485229999","0.0465082688959773","0.0602744281500224"
"Part-time","1986","35-65 y.","429","0.0830740943328316","0.0757787523951263","0.090369436270537"
"Part-time","1986","66 and older","","","",""
"Full-time","1987","16-34 y.","1961","0.510483278085192","0.495076314938275","0.525890241232108"
"Full-time","1987","35-65 y.","2982","0.519395487272576","0.506046153151457","0.532744821393696"
"Full-time","1987","66 and older","","","",""
"Non-working","1987","16-34 y.","1360","0.306322947615944","0.292115667356204","0.320530227875684"
"Non-working","1987","35-65 y.","1804","0.359907000719403","0.347082712179435","0.372731289259371"
"Non-working","1987","66 and older","1049","0.973617695036104","0.964081309085767","0.98315408098644"
"Other","1987","16-34 y.","526","0.128507519634576","0.11819324691849","0.138821792350663"
"Other","1987","35-65 y.","114","0.0238132237731192","0.0197394946140957","0.0278869529321428"
"Other","1987","66 and older","","","",""
"Part-time","1987","16-34 y.","197","0.054686254664288","0.0476786499803284","0.0616938593482475"
"Part-time","1987","35-65 y.","481","0.0968842882349012","0.0889808698940489","0.104787706575753"
"Part-time","1987","66 and older","","","",""
"Full-time","1988","16-34 y.","1845","0.504966965552476","0.489180054536122","0.520753876568829"
"Full-time","1988","35-65 y.","2809","0.523024542405341","0.50933404442837","0.536715040382312"
"Full-time","1988","66 and older","","","",""
"Non-working","1988","16-34 y.","1294","0.315832409732359","0.301154703807676","0.330510115657042"
"Non-working","1988","35-65 y.","1720","0.354102454348986","0.34099384925407","0.367211059443903"
"Non-working","1988","66 and older","1019","0.972151409749544","0.962218045790278","0.982084773708809"
"Other","1988","16-34 y.","528","0.127515521278248","0.116983566960824","0.138047475595672"
"Other","1988","35-65 y.","101","0.0222407957744874","0.018198749210631","0.0262828423383438"
"Other","1988","66 and older","","","",""
"Part-time","1988","16-34 y.","186","0.051685103436917","0.0446946142584029","0.0586755926154311"
"Part-time","1988","35-65 y.","483","0.100632207471185","0.0923861309644921","0.108878283977879"
"Part-time","1988","66 and older","","","",""
"Full-time","1989","16-34 y.","1920","0.525142197349983","0.509208192823254","0.541076201876712"
"Full-time","1989","35-65 y.","2698","0.522594072835395","0.508618609820737","0.536569535850053"
"Full-time","1989","66 and older","","","",""
"Non-working","1989","16-34 y.","1191","0.295577183455786","0.281017335194934","0.310137031716639"
"Non-working","1989","35-65 y.","1645","0.356073029332015","0.342675401497206","0.369470657166824"
"Non-working","1989","66 and older","993","0.971389405111487","0.961203478828216","0.981575331394759"
"Other","1989","16-34 y.","457","0.119225814034321","0.108885776257469","0.129565851811172"
"Other","1989","35-65 y.","108","0.0228084433960681","0.0186313158299954","0.0269855709621408"
"Other","1989","66 and older","","","",""
"Part-time","1989","16-34 y.","205","0.0600548051599097","0.0524737468754099","0.0676358634444094"
"Part-time","1989","35-65 y.","456","0.0985244544365219","0.0901859328686529","0.106862976004391"
"Part-time","1989","66 and older","","","",""
"Full-time","1990","16-34 y.","3019","0.553400798728557","0.540091825299905","0.56670977215721"
"Full-time","1990","35-65 y.","4368","0.569613010466881","0.558103327763638","0.581122693170124"
"Full-time","1990","66 and older","","","",""
"Non-working","1990","16-34 y.","1432","0.271421766324801","0.259516855992701","0.283326676656901"
"Non-working","1990","35-65 y.","1881","0.30176424170084","0.291093889247075","0.312434594154606"
"Non-working","1990","66 and older","1450","0.97506714246939","0.967176620194451","0.98295766474433"
"Other","1990","16-34 y.","547","0.105733206633926","0.0975012144354443","0.113965198832408"
"Other","1990","35-65 y.","112","0.0198534011775292","0.0166107008774887","0.0230961014775697"
"Other","1990","66 and older","","","",""
"Part-time","1990","16-34 y.","362","0.0694442283127157","0.0626388076107922","0.0762496490146392"
"Part-time","1990","35-65 y.","748","0.108769346654749","0.1015317870807","0.116006906228799"
"Part-time","1990","66 and older","","","",""
"Full-time","1991","16-34 y.","2769","0.535844549632139","0.522256909063446","0.549432190200833"
"Full-time","1991","35-65 y.","4205","0.561568241207777","0.549951820473982","0.573184661941571"
"Full-time","1991","66 and older","","","",""
"Non-working","1991","16-34 y.","1473","0.278108414038863","0.26590065444647","0.290316173631255"
"Non-working","1991","35-65 y.","2023","0.312707592675489","0.301854336669725","0.323560848681252"
"Non-working","1991","66 and older","1445","0.97713130567478","0.969525796595816","0.984736814753744"
"Other","1991","16-34 y.","606","0.118937629038052","0.110117887078549","0.127757370997554"
"Other","1991","35-65 y.","138","0.0238812501251551","0.0203068767439497","0.0274556235063605"
"Other","1991","66 and older","","","",""
"Part-time","1991","16-34 y.","327","0.0671094072909466","0.0602923024617079","0.0739265121201852"
"Part-time","1991","35-65 y.","643","0.10184291599158","0.094762453545605","0.108923378437554"
"Part-time","1991","66 and older","","","",""
"Full-time","1992","16-34 y.","2556","0.518433875528223","0.504584259305167","0.532283491751279"
"Full-time","1992","35-65 y.","3959","0.54352258403264","0.531779123579725","0.555266044485555"
"Full-time","1992","66 and older","","","",""
"Non-working","1992","16-34 y.","1577","0.304049352908708","0.291298936978784","0.316799768838633"
"Non-working","1992","35-65 y.","2215","0.337273200211364","0.326126769315856","0.348419631106872"
"Non-working","1992","66 and older","1454","0.985402336209856","0.979291991580799","0.991512680838913"
"Other","1992","16-34 y.","563","0.113680762029304","0.104882403305962","0.122479120752646"
"Other","1992","35-65 y.","106","0.0167946885404175","0.0137650854881821","0.0198242915926528"
"Other","1992","66 and older","","","",""
"Part-time","1992","16-34 y.","304","0.063836009533765","0.0570600325786726","0.0706119864888574"
"Part-time","1992","35-65 y.","631","0.102409527215579","0.0952614877402931","0.109557566690865"
"Part-time","1992","66 and older","","","",""
"Full-time","1993","16-34 y.","2476","0.508601022865028","0.494631831129565","0.522570214600491"
"Full-time","1993","35-65 y.","3794","0.538558014106283","0.526672614236481","0.550443413976086"
"Full-time","1993","66 and older","","","",""
"Non-working","1993","16-34 y.","1557","0.306537136820006","0.293654086825767","0.319420186814246"
"Non-working","1993","35-65 y.","2230","0.339564672034279","0.328274114303797","0.350855229764761"
"Non-working","1993","66 and older","1473","0.98380984599302","0.977423042799056","0.990196649186985"
"Other","1993","16-34 y.","596","0.120805171916987","0.111698685045404","0.129911658788571"
"Other","1993","35-65 y.","112","0.0206588955746182","0.0172676476659673","0.0240501434832692"
"Other","1993","66 and older","","","",""
"Part-time","1993","16-34 y.","291","0.0640566683979783","0.0572148350675154","0.0708985017284411"
"Part-time","1993","35-65 y.","622","0.101218418284819","0.094027309601612","0.108409526968027"
"Part-time","1993","66 and older","","","",""
"Full-time","1994","16-34 y.","2370","0.501507583592863","0.48738927327492","0.515625893910805"
"Full-time","1994","35-65 y.","3618","0.523855126555199","0.511810680368293","0.535899572742105"
"Full-time","1994","66 and older","","","",""
"Non-working","1994","16-34 y.","1620","0.324472981808262","0.311253168412098","0.337692795204425"
"Non-working","1994","35-65 y.","2246","0.353180559312579","0.341653949096753","0.364707169528405"
"Non-working","1994","66 and older","1496","0.985225873648395","0.979162668082422","0.991289079214368"
"Other","1994","16-34 y.","547","0.1108275947582","0.101963556224845","0.119691633291554"
"Other","1994","35-65 y.","143","0.024996335172039","0.0212314392596532","0.0287612310844248"
"Other","1994","66 and older","","","",""
"Part-time","1994","16-34 y.","281","0.0631918398406759","0.0563216217170299","0.0700620579643219"
"Part-time","1994","35-65 y.","598","0.0979679789601832","0.0907988774162064","0.10513708050416"
"Part-time","1994","66 and older","","","",""
"Full-time","1995","16-34 y.","2441","0.500121943531706","0.486209939255952","0.51403394780746"
"Full-time","1995","35-65 y.","3704","0.514318238669252","0.502485110044588","0.526151367293916"
"Full-time","1995","66 and older","","","",""
"Non-working","1995","16-34 y.","1657","0.325203795423479","0.312169611966063","0.338237978880895"
"Non-working","1995","35-65 y.","2305","0.354930792061496","0.343602023097051","0.36625956102594"
"Non-working","1995","66 and older","1522","0.978747034265376","0.971576234685788","0.985917833844964"
"Other","1995","16-34 y.","568","0.112623055172051","0.103827010348976","0.121419099995126"
"Other","1995","35-65 y.","171","0.0288511660508686","0.0248880909094824","0.0328142411922548"
"Other","1995","66 and older","","","",""
"Part-time","1995","16-34 y.","296","0.0620512058727642","0.0553387044828081","0.0687637072627203"
"Part-time","1995","35-65 y.","673","0.101899803218384","0.0947374325401002","0.109062173896667"
"Part-time","1995","66 and older","","","",""
"Full-time","1996","16-34 y.","2313","0.485958297955946","0.471790987961971","0.50012560794992"
"Full-time","1996","35-65 y.","3590","0.509609044034999","0.497696514784851","0.521521573285146"
"Full-time","1996","66 and older","","","",""
"Non-working","1996","16-34 y.","1634","0.336159249288307","0.322768859908218","0.349549638668397"
"Non-working","1996","35-65 y.","2269","0.35017819172973","0.33881092947864","0.36154545398082"
"Non-working","1996","66 and older","1540","0.977300381546762","0.969951556564599","0.984649206528924"
