"erwst","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","(0) in school","","","",""
"Full-time","1984","(1a) inadequately completed","615","0.465395717097779","0.43611794233883","0.494673491856728"
"Full-time","1984","(1b) general elementary school","1000","0.220492631026792","0.205694339278584","0.235290922775"
"Full-time","1984","(1c) basic vocational qualification","2365","0.504179604120601","0.489181379829818","0.519177828411384"
"Full-time","1984","(2b) intermediate general qualification","68","0.139553736616552","0.108456520442687","0.170650952790417"
"Full-time","1984","(2a) intermediate vocational","758","0.516277551243775","0.490202550693907","0.542352551793643"
"Full-time","1984","(2c_gen) general maturity certificate","71","0.0862041483589402","0.0592011048256676","0.113207191892213"
"Full-time","1984","(2c_voc) vocational maturity certificate","264","0.520745189234355","0.474892845077201","0.56659753339151"
"Full-time","1984","(3a) lower tertiary education","181","0.654309450051007","0.597155977461616","0.711462922640398"
"Full-time","1984","(3b) higher tertiary education","356","0.643803596947565","0.602918573837158","0.684688620057971"
"Part-time","1984","(0) in school","","","",""
"Part-time","1984","(1a) inadequately completed","","","",""
"Part-time","1984","(1b) general elementary school","164","0.0562585324616092","0.048033736149137","0.0644833287740814"
"Part-time","1984","(1c) basic vocational qualification","233","0.0535647304080703","0.0468105923522413","0.0603188684638994"
"Part-time","1984","(2b) intermediate general qualification","","","",""
"Part-time","1984","(2a) intermediate vocational","117","0.0724233371048741","0.0588995365569276","0.0859471376528206"
"Part-time","1984","(2c_gen) general maturity certificate","","","",""
"Part-time","1984","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1984","(3a) lower tertiary education","","","",""
"Part-time","1984","(3b) higher tertiary education","46","0.0884015337650938","0.0641647785641706","0.112638288966017"
"Non-working","1984","(0) in school","184","0.982027117977007","0.96303647065532","1.00101776529869"
"Non-working","1984","(1a) inadequately completed","446","0.476670572682029","0.447354390884604","0.505986754479453"
"Non-working","1984","(1b) general elementary school","1590","0.640712752619041","0.623586710090967","0.657838795147116"
"Non-working","1984","(1c) basic vocational qualification","1524","0.412245797305521","0.397479860560129","0.427011734050913"
"Non-working","1984","(2b) intermediate general qualification","247","0.537424114251542","0.49267968520408","0.582168543299004"
"Non-working","1984","(2a) intermediate vocational","463","0.364687306476911","0.339571988899738","0.389802624054084"
"Non-working","1984","(2c_gen) general maturity certificate","254","0.673514168223732","0.628398272898329","0.718630063549136"
"Non-working","1984","(2c_voc) vocational maturity certificate","151","0.390236645510874","0.345464247597662","0.435009043424086"
"Non-working","1984","(3a) lower tertiary education","65","0.265326520773668","0.212269264822561","0.318383776724776"
"Non-working","1984","(3b) higher tertiary education","105","0.232334347524154","0.196277683119524","0.268391011928784"
"Other","1984","(0) in school","","","",""
"Other","1984","(1a) inadequately completed","","","",""
"Other","1984","(1b) general elementary school","261","0.0825360838925573","0.0727136105580979","0.0923585572270167"
"Other","1984","(1c) basic vocational qualification","147","0.0300098681658073","0.0248918630530317","0.035127873278583"
"Other","1984","(2b) intermediate general qualification","145","0.289454011276788","0.248755850441722","0.330152172111854"
"Other","1984","(2a) intermediate vocational","73","0.0466118051744401","0.0356124448184328","0.0576111655304475"
"Other","1984","(2c_gen) general maturity certificate","78","0.212186341888217","0.172849951232245","0.251522732544189"
"Other","1984","(2c_voc) vocational maturity certificate","","","",""
"Other","1984","(3a) lower tertiary education","","","",""
"Other","1984","(3b) higher tertiary education","","","",""
"Full-time","1985","(0) in school","","","",""
"Full-time","1985","(1a) inadequately completed","482","0.422619913954302","0.390647950913015","0.45459187699559"
"Full-time","1985","(1b) general elementary school","933","0.241019763281872","0.224683067457502","0.257356459106242"
"Full-time","1985","(1c) basic vocational qualification","2104","0.492782465962579","0.476963541807069","0.508601390118089"
"Full-time","1985","(2b) intermediate general qualification","102","0.20900273342586","0.172437802227002","0.245567664624719"
"Full-time","1985","(2a) intermediate vocational","737","0.524347634469453","0.497648145828382","0.551047123110524"
"Full-time","1985","(2c_gen) general maturity certificate","78","0.146118593778318","0.11051009116217","0.181727096394466"
"Full-time","1985","(2c_voc) vocational maturity certificate","236","0.514087830502726","0.466001504953882","0.562174156051571"
"Full-time","1985","(3a) lower tertiary education","171","0.655449763305601","0.596304736577568","0.714594790033635"
"Full-time","1985","(3b) higher tertiary education","350","0.663702235511601","0.622699613143506","0.704704857879697"
"Part-time","1985","(0) in school","","","",""
"Part-time","1985","(1a) inadequately completed","","","",""
"Part-time","1985","(1b) general elementary school","184","0.0716165576359367","0.0617675363591907","0.0814655789126827"
"Part-time","1985","(1c) basic vocational qualification","274","0.0684102918913365","0.0604225273569843","0.0763980564256887"
"Part-time","1985","(2b) intermediate general qualification","","","",""
"Part-time","1985","(2a) intermediate vocational","134","0.0873053940893933","0.0722139174047558","0.102396870774031"
"Part-time","1985","(2c_gen) general maturity certificate","","","",""
"Part-time","1985","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1985","(3a) lower tertiary education","","","",""
"Part-time","1985","(3b) higher tertiary education","42","0.0792770444852391","0.0558292923799535","0.102724796590525"
"Non-working","1985","(0) in school","181","0.966362593209511","0.940521636012065","0.992203550406956"
"Non-working","1985","(1a) inadequately completed","393","0.524526032622225","0.492203132603837","0.556848932640612"
"Non-working","1985","(1b) general elementary school","1357","0.627140217115039","0.608669755110622","0.645610679119455"
"Non-working","1985","(1c) basic vocational qualification","1371","0.41890752015952","0.403296406080302","0.434518634238738"
"Non-working","1985","(2b) intermediate general qualification","245","0.545967760396234","0.501193529831854","0.590741990960613"
"Non-working","1985","(2a) intermediate vocational","431","0.359875707345865","0.334215694061008","0.385535720630721"
"Non-working","1985","(2c_gen) general maturity certificate","220","0.602674613691412","0.553343968301446","0.652005259081377"
"Non-working","1985","(2c_voc) vocational maturity certificate","133","0.377709153664569","0.331064754416039","0.424353552913099"
"Non-working","1985","(3a) lower tertiary education","61","0.273650269850809","0.218163035255176","0.329137504446442"
"Non-working","1985","(3b) higher tertiary education","103","0.232025306290337","0.195389636578156","0.268660976002519"
"Other","1985","(0) in school","","","",""
"Other","1985","(1a) inadequately completed","","","",""
"Other","1985","(1b) general elementary school","159","0.0602234619671524","0.0511365186411271","0.0693104052931776"
"Other","1985","(1c) basic vocational qualification","88","0.0198997219865641","0.0154808547640841","0.0243185892090441"
"Other","1985","(2b) intermediate general qualification","103","0.193938438346355","0.158382074708134","0.229494801984577"
"Other","1985","(2a) intermediate vocational","42","0.0284712640952891","0.0195796694237041","0.0373628587668741"
"Other","1985","(2c_gen) general maturity certificate","55","0.180921757686576","0.142114738522034","0.219728776851117"
"Other","1985","(2c_voc) vocational maturity certificate","","","",""
"Other","1985","(3a) lower tertiary education","","","",""
"Other","1985","(3b) higher tertiary education","","","",""
"Full-time","1986","(0) in school","","","",""
"Full-time","1986","(1a) inadequately completed","443","0.446648663965609","0.413286279987004","0.480011047944214"
"Full-time","1986","(1b) general elementary school","882","0.241848048479624","0.225015613283504","0.258680483675744"
"Full-time","1986","(1c) basic vocational qualification","2020","0.497274489900144","0.481013809156937","0.513535170643351"
"Full-time","1986","(2b) intermediate general qualification","96","0.201802150092763","0.165362575014604","0.238241725170922"
"Full-time","1986","(2a) intermediate vocational","717","0.516097883076216","0.48904637103082","0.543149395121612"
"Full-time","1986","(2c_gen) general maturity certificate","87","0.150757949159869","0.115910063342328","0.185605834977409"
"Full-time","1986","(2c_voc) vocational maturity certificate","240","0.526207298348142","0.478051822120246","0.574362774576037"
"Full-time","1986","(3a) lower tertiary education","161","0.632305727507925","0.572173595146351","0.692437859869498"
"Full-time","1986","(3b) higher tertiary education","324","0.630396396706577","0.588255110945246","0.672537682467908"
"Part-time","1986","(0) in school","","","",""
"Part-time","1986","(1a) inadequately completed","","","",""
"Part-time","1986","(1b) general elementary school","164","0.0662529170145591","0.0564757133901368","0.0760301206389814"
"Part-time","1986","(1c) basic vocational qualification","208","0.0557330084192319","0.0482723214487464","0.0631936953897174"
"Part-time","1986","(2b) intermediate general qualification","","","",""
"Part-time","1986","(2a) intermediate vocational","113","0.0745392999050327","0.0603219585643402","0.0887566412457252"
"Part-time","1986","(2c_gen) general maturity certificate","","","",""
"Part-time","1986","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1986","(3a) lower tertiary education","","","",""
"Part-time","1986","(3b) higher tertiary education","64","0.116603417480291","0.0885835343330667","0.144623300627516"
"Non-working","1986","(0) in school","183","0.961297396050899","0.933798442669417","0.988796349432381"
"Non-working","1986","(1a) inadequately completed","367","0.50460207584349","0.471049552818851","0.538154598868129"
"Non-working","1986","(1b) general elementary school","1260","0.625188336190475","0.606159619024154","0.644217053356795"
"Non-working","1986","(1c) basic vocational qualification","1283","0.417639408549649","0.401600607646065","0.433678209453233"
"Non-working","1986","(2b) intermediate general qualification","228","0.516413489008511","0.471041166469667","0.561785811547355"
"Non-working","1986","(2a) intermediate vocational","431","0.377386355629322","0.351147242062525","0.40362546919612"
"Non-working","1986","(2c_gen) general maturity certificate","234","0.610264348818552","0.562767516480284","0.657761181156821"
"Non-working","1986","(2c_voc) vocational maturity certificate","138","0.395597879048762","0.348439047910514","0.44275671018701"
"Non-working","1986","(3a) lower tertiary education","67","0.294798412520826","0.237936845335429","0.351659979706224"
"Non-working","1986","(3b) higher tertiary education","97","0.221578149861046","0.185320153781437","0.257836145940655"
"Other","1986","(0) in school","","","",""
"Other","1986","(1a) inadequately completed","","","",""
"Other","1986","(1b) general elementary school","180","0.0667106983153421","0.0569021798045219","0.0765192168261624"
"Other","1986","(1c) basic vocational qualification","121","0.0293530931309756","0.0238635936948379","0.0348425925671133"
"Other","1986","(2b) intermediate general qualification","128","0.249833921039534","0.210527858041952","0.289139984037116"
"Other","1986","(2a) intermediate vocational","50","0.0319764613894291","0.0224527789669675","0.0415001438118908"
"Other","1986","(2c_gen) general maturity certificate","70","0.2076463665607","0.168142257244778","0.247150475876622"
"Other","1986","(2c_voc) vocational maturity certificate","","","",""
"Other","1986","(3a) lower tertiary education","","","",""
"Other","1986","(3b) higher tertiary education","","","",""
"Full-time","1987","(0) in school","","","",""
"Full-time","1987","(1a) inadequately completed","417","0.460892461561268","0.426837085676543","0.494947837445994"
"Full-time","1987","(1b) general elementary school","849","0.242044411539036","0.225097903520548","0.258990919557525"
"Full-time","1987","(1c) basic vocational qualification","2002","0.496454641747652","0.480101565008803","0.512807718486501"
